# opt_chain GOOGL | epoch 1785070093 | 2026-07-26 08:48:13 | spot 319.30 | exps 20260727 20260729 20260731 20260803 20260805
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume_polygon(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 145393s
# strike right exp bid ask vol oi iv delta gamma
305.00 C 20260727 -1.00 -1.00 14 35 0.6694 0.8599 0.016675
307.50 C 20260727 -1.00 -1.00 2 0 0.5760 0.8454 0.020588
310.00 C 20260727 -1.00 -1.00 40 77 0.4310 0.8543 0.026539
312.50 C 20260727 -1.00 -1.00 28 0 0.3583 0.8162 0.036976
315.00 C 20260727 -1.00 -1.00 1277 387 0.4069 0.6871 0.043582
317.50 C 20260727 -1.00 -1.00 1730 166 0.3803 0.5760 0.051385
320.00 C 20260727 -1.00 -1.00 6852 1000 0.3649 0.4447 0.054044
322.50 C 20260727 -1.00 -1.00 5712 556 0.3634 0.3165 0.048937
325.00 C 20260727 -1.00 -1.00 7472 1488 0.3656 0.2088 0.039321
327.50 C 20260727 -1.00 -1.00 2155 300 0.3563 0.1198 0.028028
330.00 C 20260727 -1.00 -1.00 3938 1072 0.3777 0.0746 0.018722
332.50 C 20260727 -1.00 -1.00 1647 1114 0.3806 0.0411 0.011463
305.00 P 20260727 -1.00 -1.00 197 333 0.3434 -0.0191 0.006667
307.50 P 20260727 -1.00 -1.00 2092 0 0.3094 -0.0286 0.010592
310.00 P 20260727 -1.00 -1.00 1887 760 0.3154 -0.0753 0.022479
312.50 P 20260727 -1.00 -1.00 394 0 0.3129 -0.1506 0.037327
315.00 P 20260727 -1.00 -1.00 2983 1087 0.2951 -0.2528 0.054238
317.50 P 20260727 -1.00 -1.00 3080 270 0.2818 -0.4009 0.068602
320.00 P 20260727 -1.00 -1.00 2759 969 0.2426 -0.5881 0.080386
322.50 P 20260727 -1.00 -1.00 807 130 0.2466 -0.7675 0.063265
325.00 P 20260727 -1.00 -1.00 1350 499 -1.0000 -1.0000 -1.000000
327.50 P 20260727 -1.00 -1.00 71 69 -1.0000 -1.0000 -1.000000
330.00 P 20260727 -1.00 -1.00 349 703 -1.0000 -1.0000 -1.000000
332.50 P 20260727 -1.00 -1.00 25 42 -1.0000 -1.0000 -1.000000
305.00 C 20260729 -1.00 -1.00 2 53 0.4765 0.8379 0.016668
307.50 C 20260729 -1.00 -1.00 2 0 0.4530 0.8028 0.019960
310.00 C 20260729 -1.00 -1.00 45 61 0.4192 0.7649 0.023982
312.50 C 20260729 -1.00 -1.00 1 0 0.4435 0.6891 0.025942
315.00 C 20260729 -1.00 -1.00 374 124 0.4004 0.6332 0.030757
317.50 C 20260729 -1.00 -1.00 157 262 0.4162 0.5521 0.030946
320.00 C 20260729 -1.00 -1.00 607 384 0.3898 0.4730 0.033271
322.50 C 20260729 -1.00 -1.00 465 413 0.3784 0.3878 0.033103
325.00 C 20260729 -1.00 -1.00 2110 304 0.3886 0.3166 0.029749
327.50 C 20260729 -1.00 -1.00 364 115 0.3910 0.2469 0.026473
330.00 C 20260729 -1.00 -1.00 1489 270 0.3877 0.1886 0.022560
332.50 C 20260729 -1.00 -1.00 310 45 0.3930 0.1384 0.018481
305.00 P 20260729 -1.00 -1.00 150 135 0.3460 -0.0894 0.015085
307.50 P 20260729 -1.00 -1.00 59 0 0.3551 -0.1397 0.020423
310.00 P 20260729 -1.00 -1.00 321 271 0.3324 -0.1860 0.026161
312.50 P 20260729 -1.00 -1.00 266 0 0.3431 -0.2658 0.031058
315.00 P 20260729 -1.00 -1.00 847 199 0.3445 -0.3482 0.035440
317.50 P 20260729 -1.00 -1.00 246 155 0.3272 -0.4383 0.039231
320.00 P 20260729 -1.00 -1.00 854 419 0.2931 -0.5415 0.044165
322.50 P 20260729 -1.00 -1.00 53 59 0.2833 -0.6537 0.042920
325.00 P 20260729 -1.00 -1.00 51 299 0.2834 -0.7522 0.036934
327.50 P 20260729 -1.00 -1.00 101 152 0.2724 -0.8418 0.029432
330.00 P 20260729 -1.00 -1.00 37 171 0.1974 -0.9713 0.013842
332.50 P 20260729 -1.00 -1.00 18 113 0.3166 -0.9134 0.016811
305.00 C 20260731 -1.00 -1.00 17 53 0.4698 0.7926 0.015888
307.50 C 20260731 -1.00 -1.00 3 0 0.4496 0.7574 0.018048
310.00 C 20260731 -1.00 -1.00 80 131 0.4252 0.7172 0.020543
312.50 C 20260731 -1.00 -1.00 17 0 0.4161 0.6674 0.022840
315.00 C 20260731 -1.00 -1.00 383 527 0.3934 0.6127 0.025203
317.50 C 20260731 -1.00 -1.00 131 0 0.3879 0.5486 0.026503
320.00 C 20260731 -1.00 -1.00 6171 4716 0.3879 0.4833 0.026715
322.50 C 20260731 -1.00 -1.00 1062 202 0.3818 0.4165 0.026446
325.00 C 20260731 -1.00 -1.00 2698 1626 0.3793 0.3516 0.025521
327.50 C 20260731 -1.00 -1.00 5623 2882 0.3800 0.2940 0.023403
330.00 C 20260731 -1.00 -1.00 12136 1355 0.3813 0.2375 0.021256
332.50 C 20260731 -1.00 -1.00 2605 1480 0.3750 0.1894 0.018618
305.00 P 20260731 -1.00 -1.00 646 3149 0.3587 -0.1474 0.016623
307.50 P 20260731 -1.00 -1.00 416 0 0.3539 -0.1923 0.020029
310.00 P 20260731 -1.00 -1.00 1396 6595 0.3457 -0.2421 0.023488
312.50 P 20260731 -1.00 -1.00 256 0 0.3383 -0.3031 0.026780
315.00 P 20260731 -1.00 -1.00 991 2626 0.3338 -0.3712 0.029504
