# opt_chain GOOGL | epoch 1785073675 | 2026-07-26 09:47:55 | spot 319.30 | exps 20260727 20260729 20260731 20260803 20260805 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 148974s
# banda +-40.5% (adaptativa por gamma marginal) | vencimientos hasta 2026-08-21 (mensual siguiente)
# strike right exp bid ask vol oi iv delta gamma
282.50 C 20260727 -1.00 -1.00 -1 0 1.3804 0.9281 0.005027
285.00 C 20260727 -1.00 -1.00 2 9 1.2688 0.9297 0.005386
287.50 C 20260727 -1.00 -1.00 2 0 1.2183 0.9201 0.006144
290.00 C 20260727 -1.00 -1.00 2 9 1.1607 0.9112 0.006976
292.50 C 20260727 -1.00 -1.00 -1 0 1.0367 0.9146 0.007585
295.00 C 20260727 -1.00 -1.00 1 13 0.8766 0.9287 0.007881
297.50 C 20260727 -1.00 -1.00 -1 0 0.8361 0.9128 0.009550
300.00 C 20260727 -1.00 -1.00 15 31 0.8106 0.8917 0.011619
302.50 C 20260727 -1.00 -1.00 -1 0 0.7414 0.8798 0.013781
305.00 C 20260727 -1.00 -1.00 14 35 0.6793 0.8598 0.016677
307.50 C 20260727 -1.00 -1.00 2 0 0.5845 0.8453 0.020590
310.00 C 20260727 -1.00 -1.00 40 77 0.4374 0.8541 0.026544
312.50 C 20260727 -1.00 -1.00 28 0 0.3637 0.8161 0.036978
315.00 C 20260727 -1.00 -1.00 1277 387 0.4129 0.6870 0.043576
317.50 C 20260727 -1.00 -1.00 1730 166 0.3859 0.5759 0.051375
320.00 C 20260727 -1.00 -1.00 6852 1000 0.3702 0.4446 0.054034
322.50 C 20260727 -1.00 -1.00 5712 556 0.3687 0.3165 0.048928
325.00 C 20260727 -1.00 -1.00 7472 1488 0.3710 0.2088 0.039315
327.50 C 20260727 -1.00 -1.00 2155 300 0.3615 0.1198 0.028024
330.00 C 20260727 -1.00 -1.00 3938 1072 0.3832 0.0746 0.018720
332.50 C 20260727 -1.00 -1.00 1647 1114 0.3861 0.0411 0.011462
335.00 C 20260727 -1.00 -1.00 1419 595 0.4212 0.0292 0.007993
337.50 C 20260727 -1.00 -1.00 847 599 0.4329 0.0173 0.004948
340.00 C 20260727 -1.00 -1.00 762 2131 0.4822 0.0158 0.004110
342.50 C 20260727 -1.00 -1.00 115 163 0.4984 0.0102 0.002730
345.00 C 20260727 -1.00 -1.00 413 1029 0.5410 0.0095 0.002344
347.50 C 20260727 -1.00 -1.00 160 821 0.5942 0.0098 0.002210
350.00 C 20260727 -1.00 -1.00 2047 1598 0.6037 0.0063 0.001457
352.50 C 20260727 -1.00 -1.00 49 576 0.6563 0.0069 0.001451
355.00 C 20260727 -1.00 -1.00 282 930 0.6869 0.0056 0.001160
357.50 C 20260727 -1.00 -1.00 24 155 0.7389 0.0062 0.001175
282.50 P 20260727 -1.00 -1.00 2 0 0.8113 -0.0072 0.001225
285.00 P 20260727 -1.00 -1.00 39 34 0.7346 -0.0061 0.001160
287.50 P 20260727 -1.00 -1.00 1 0 0.7315 -0.0098 0.001799
290.00 P 20260727 -1.00 -1.00 9 179 0.6194 -0.0060 0.001365
292.50 P 20260727 -1.00 -1.00 40 0 0.5565 -0.0054 0.001387
295.00 P 20260727 -1.00 -1.00 99 183 0.4942 -0.0047 0.001373
297.50 P 20260727 -1.00 -1.00 -1 0 0.4923 -0.0102 0.002774
300.00 P 20260727 -1.00 -1.00 406 680 0.4069 -0.0072 0.002450
302.50 P 20260727 -1.00 -1.00 185 0 0.3934 -0.0140 0.004561
305.00 P 20260727 -1.00 -1.00 197 333 0.3483 -0.0191 0.006667
307.50 P 20260727 -1.00 -1.00 2092 0 0.3138 -0.0286 0.010593
310.00 P 20260727 -1.00 -1.00 1887 760 0.3199 -0.0753 0.022482
312.50 P 20260727 -1.00 -1.00 394 0 0.3174 -0.1507 0.037333
315.00 P 20260727 -1.00 -1.00 2983 1087 0.2994 -0.2528 0.054248
317.50 P 20260727 -1.00 -1.00 3080 270 0.2858 -0.4010 0.068614
320.00 P 20260727 -1.00 -1.00 2759 969 0.2460 -0.5882 0.080399
322.50 P 20260727 -1.00 -1.00 807 130 0.2501 -0.7676 0.063259
325.00 P 20260727 -1.00 -1.00 1350 499 -1.0000 -1.0000 -1.000000
327.50 P 20260727 -1.00 -1.00 71 69 -1.0000 -1.0000 -1.000000
