# opt_chain INTC | epoch 1785074495 | 2026-07-26 10:01:35 | spot 92.53 | exps 20260727 20260729 20260731 20260803 20260805 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 149793 | band 0.6000 vencimientos 8 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
82.00 C 20260727 -1.00 -1.00 102 0 1.9113 0.8376 0.022680
83.00 C 20260727 -1.00 -1.00 2 1 1.7914 0.8250 0.025439
84.00 C 20260727 -1.00 -1.00 2 4 1.7077 0.8067 0.028559
85.00 C 20260727 -1.00 -1.00 91 14 1.6390 0.7848 0.032024
86.00 C 20260727 -1.00 -1.00 23 6 1.5291 0.7603 0.036073
87.00 C 20260727 -1.00 -1.00 37 98 1.4465 0.7291 0.040467
88.00 C 20260727 -1.00 -1.00 83 47 1.3907 0.6915 0.044987
89.00 C 20260727 -1.00 -1.00 66 102 1.3231 0.6508 0.050098
90.00 C 20260727 -1.00 -1.00 386 77 1.2588 0.6014 0.054256
91.00 C 20260727 -1.00 -1.00 200 105 1.2420 0.5461 0.056780
92.00 C 20260727 -1.00 -1.00 880 106 1.2112 0.4892 0.058653
93.00 C 20260727 -1.00 -1.00 1611 31 1.1688 0.4288 0.059427
94.00 C 20260727 -1.00 -1.00 1557 25 1.1794 0.3713 0.057610
95.00 C 20260727 -1.00 -1.00 4616 322 1.1264 0.3116 0.055501
96.00 C 20260727 -1.00 -1.00 8698 73 1.1244 0.2583 0.051192
97.00 C 20260727 -1.00 -1.00 6218 72 1.1140 0.2117 0.046075
98.00 C 20260727 -1.00 -1.00 3054 142 1.1027 0.1684 0.040296
99.00 C 20260727 -1.00 -1.00 4439 549 1.1103 0.1334 0.034580
100.00 C 20260727 -1.00 -1.00 15839 1948 1.1052 0.1055 0.029058
101.00 C 20260727 -1.00 -1.00 1745 519 1.1143 0.0809 0.023834
102.00 C 20260727 -1.00 -1.00 2236 1129 1.1477 0.0672 0.020133
103.00 C 20260727 -1.00 -1.00 1892 708 1.1493 0.0527 0.016425
82.00 P 20260727 -1.00 -1.00 517 165 1.1178 -0.0518 0.016741
83.00 P 20260727 -1.00 -1.00 460 124 1.1130 -0.0715 0.021720
84.00 P 20260727 -1.00 -1.00 842 153 1.0702 -0.0923 0.027230
