# opt_chain LRCX | epoch 1785070281 | 2026-07-26 08:51:21 | spot 306.89 | exps 20260731
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume_polygon(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 145581s
# strike right exp bid ask vol oi iv delta gamma
295.00 C 20260731 -1.00 -1.00 2 9 1.2881 0.6194 0.007980
297.50 C 20260731 -1.00 -1.00 3 16 1.2815 0.5988 0.008137
300.00 C 20260731 -1.00 -1.00 580 79 1.2835 0.5779 0.008242
302.50 C 20260731 -1.00 -1.00 56 49 1.2805 0.5571 0.008380
305.00 C 20260731 -1.00 -1.00 60 22 1.3182 0.5369 0.008253
307.50 C 20260731 -1.00 -1.00 14 18 1.2750 0.5156 0.008520
310.00 C 20260731 -1.00 -1.00 25 184 1.2730 0.4950 0.008487
312.50 C 20260731 -1.00 -1.00 13 36 1.2476 0.4728 0.008609
315.00 C 20260731 -1.00 -1.00 32 33 1.2490 0.4521 0.008550
317.50 C 20260731 -1.00 -1.00 28 63 1.2439 0.4307 0.008535
320.00 C 20260731 -1.00 -1.00 107 2029 1.2685 0.4128 0.008329
295.00 P 20260731 -1.00 -1.00 244 318 1.3497 -0.3833 0.007633
297.50 P 20260731 -1.00 -1.00 44 75 1.3309 -0.4027 0.007848
300.00 P 20260731 -1.00 -1.00 264 722 1.3088 -0.4226 0.008091
302.50 P 20260731 -1.00 -1.00 129 56 1.3381 -0.4429 0.008026
305.00 P 20260731 -1.00 -1.00 85 221 1.3281 -0.4631 0.008199
307.50 P 20260731 -1.00 -1.00 40 33 1.3168 -0.4832 0.008256
310.00 P 20260731 -1.00 -1.00 1155 296 1.3147 -0.5031 0.008227
312.50 P 20260731 -1.00 -1.00 56 55 1.3026 -0.5237 0.008259
315.00 P 20260731 -1.00 -1.00 68 351 1.2939 -0.5444 0.008270
317.50 P 20260731 -1.00 -1.00 17 80 1.3003 -0.5638 0.008187
320.00 P 20260731 -1.00 -1.00 67 356 1.3049 -0.5833 0.008117
