# opt_chain SPCX | epoch 1785070281 | 2026-07-26 08:51:21 | spot 115.02 | exps 20260731
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume_polygon(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 145581s
# strike right exp bid ask vol oi iv delta gamma
110.00 C 20260731 -1.00 -1.00 1249 416 1.2538 0.6078 0.022263
111.00 C 20260731 -1.00 -1.00 167 189 1.2430 0.5850 0.022807
112.00 C 20260731 -1.00 -1.00 1512 466 1.2415 0.5618 0.023191
113.00 C 20260731 -1.00 -1.00 2069 325 1.2492 0.5387 0.023403
114.00 C 20260731 -1.00 -1.00 2248 345 1.2403 0.5157 0.023611
115.00 C 20260731 -1.00 -1.00 7733 5332 1.2308 0.4926 0.023641
116.00 C 20260731 -1.00 -1.00 1707 444 1.2305 0.4698 0.023496
117.00 C 20260731 -1.00 -1.00 1033 645 1.2122 0.4453 0.023686
118.00 C 20260731 -1.00 -1.00 1239 847 1.2298 0.4241 0.023206
119.00 C 20260731 -1.00 -1.00 825 333 1.2295 0.4013 0.023060
120.00 C 20260731 -1.00 -1.00 7526 3837 1.2434 0.3810 0.022609
110.00 P 20260731 -1.00 -1.00 7852 13339 0.9524 -0.3748 0.029005
111.00 P 20260731 -1.00 -1.00 2344 2138 0.9431 -0.4045 0.029855
112.00 P 20260731 -1.00 -1.00 5511 1902 0.9431 -0.4350 0.030433
113.00 P 20260731 -1.00 -1.00 2788 2612 0.9430 -0.4655 0.031012
114.00 P 20260731 -1.00 -1.00 1935 1285 0.9355 -0.4960 0.031287
115.00 P 20260731 -1.00 -1.00 2832 16594 0.9365 -0.5260 0.030949
116.00 P 20260731 -1.00 -1.00 1193 1553 0.9195 -0.5580 0.031194
117.00 P 20260731 -1.00 -1.00 966 1506 0.9206 -0.5885 0.030843
118.00 P 20260731 -1.00 -1.00 352 1212 0.9038 -0.6222 0.031061
119.00 P 20260731 -1.00 -1.00 213 1844 0.9097 -0.6480 0.029850
120.00 P 20260731 -1.00 -1.00 2627 8877 0.9045 -0.6757 0.028898
