# opt_chain TSLA | epoch 1785070030 | 2026-07-26 08:47:10 | spot 313.33 | exps 20260727 20260729 20260731 20260803 20260805
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume_polygon(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 145268s
# strike right exp bid ask vol oi iv delta gamma
300.00 C 20260727 -1.00 -1.00 4053 103 0.8555 0.7649 0.018494
302.50 C 20260727 -1.00 -1.00 3068 0 0.8031 0.7243 0.021227
305.00 C 20260727 -1.00 -1.00 7613 137 0.7586 0.6768 0.024356
307.50 C 20260727 -1.00 -1.00 8842 0 0.7187 0.6188 0.027192
310.00 C 20260727 -1.00 -1.00 29850 215 0.6912 0.5501 0.029353
312.50 C 20260727 -1.00 -1.00 12689 77 0.6752 0.4767 0.030284
315.00 C 20260727 -1.00 -1.00 20507 336 0.6595 0.4000 0.030039
317.50 C 20260727 -1.00 -1.00 9802 213 0.6528 0.3278 0.028352
320.00 C 20260727 -1.00 -1.00 27900 1376 0.6507 0.2606 0.025601
322.50 C 20260727 -1.00 -1.00 20210 2408 0.6508 0.2041 0.022264
325.00 C 20260727 -1.00 -1.00 13948 2206 0.6584 0.1567 0.018652
300.00 P 20260727 -1.00 -1.00 24801 2318 0.5680 -0.1438 0.020449
302.50 P 20260727 -1.00 -1.00 7109 0 0.5443 -0.1947 0.025909
305.00 P 20260727 -1.00 -1.00 21426 593 0.5228 -0.2591 0.031683
307.50 P 20260727 -1.00 -1.00 20182 0 0.5093 -0.3402 0.037263
310.00 P 20260727 -1.00 -1.00 36794 3039 0.4855 -0.4353 0.041488
312.50 P 20260727 -1.00 -1.00 11097 494 0.4672 -0.5406 0.043533
315.00 P 20260727 -1.00 -1.00 18950 605 0.4493 -0.6521 0.042555
317.50 P 20260727 -1.00 -1.00 7204 655 0.4196 -0.7665 0.038026
320.00 P 20260727 -1.00 -1.00 21670 2105 0.3323 -0.9019 0.027060
322.50 P 20260727 -1.00 -1.00 3628 876 -1.0000 -1.0000 -1.000000
325.00 P 20260727 -1.00 -1.00 6474 1891 -1.0000 -1.0000 -1.000000
300.00 C 20260729 -1.00 -1.00 634 23 0.7299 0.7132 0.015500
302.50 C 20260729 -1.00 -1.00 201 0 0.7170 0.6758 0.016821
305.00 C 20260729 -1.00 -1.00 901 17 0.6973 0.6353 0.018033
307.50 C 20260729 -1.00 -1.00 841 31 0.6786 0.5900 0.019033
310.00 C 20260729 -1.00 -1.00 5017 24 0.6704 0.5420 0.019800
312.50 C 20260729 -1.00 -1.00 3376 33 0.6634 0.4930 0.020147
315.00 C 20260729 -1.00 -1.00 8186 92 0.6545 0.4431 0.020041
317.50 C 20260729 -1.00 -1.00 2469 105 0.6519 0.3930 0.019739
320.00 C 20260729 -1.00 -1.00 6108 520 0.6512 0.3466 0.018969
322.50 C 20260729 -1.00 -1.00 1575 1073 0.6426 0.3007 0.017978
325.00 C 20260729 -1.00 -1.00 3187 890 0.6489 0.2595 0.016692
300.00 P 20260729 -1.00 -1.00 6408 2435 0.5747 -0.2414 0.018128
302.50 P 20260729 -1.00 -1.00 1966 0 0.5602 -0.2872 0.020218
305.00 P 20260729 -1.00 -1.00 2781 166 0.5579 -0.3382 0.022114
307.50 P 20260729 -1.00 -1.00 3201 149 0.5447 -0.3942 0.023525
310.00 P 20260729 -1.00 -1.00 4906 718 0.5394 -0.4540 0.024573
312.50 P 20260729 -1.00 -1.00 1709 256 0.5308 -0.5152 0.025170
315.00 P 20260729 -1.00 -1.00 6277 2902 0.5205 -0.5783 0.025051
317.50 P 20260729 -1.00 -1.00 1041 353 0.5165 -0.6411 0.024443
320.00 P 20260729 -1.00 -1.00 1245 1923 0.4991 -0.7027 0.023133
322.50 P 20260729 -1.00 -1.00 230 494 0.4871 -0.7652 0.021393
325.00 P 20260729 -1.00 -1.00 441 1291 0.4799 -0.8132 0.018730
300.00 C 20260731 -1.00 -1.00 772 253 0.6886 0.6884 0.013670
302.50 C 20260731 -1.00 -1.00 272 67 0.6775 0.6558 0.014577
305.00 C 20260731 -1.00 -1.00 1133 40 0.6604 0.6195 0.015298
307.50 C 20260731 -1.00 -1.00 1246 36 0.6484 0.5808 0.015949
310.00 C 20260731 -1.00 -1.00 7143 158 0.6449 0.5407 0.016420
312.50 C 20260731 -1.00 -1.00 3733 80 0.6423 0.5003 0.016596
315.00 C 20260731 -1.00 -1.00 7541 422 0.6316 0.4590 0.016634
317.50 C 20260731 -1.00 -1.00 2815 314 0.6275 0.4174 0.016493
320.00 C 20260731 -1.00 -1.00 14929 1609 0.6332 0.3778 0.016109
322.50 C 20260731 -1.00 -1.00 2041 1470 0.6218 0.3387 0.015631
325.00 C 20260731 -1.00 -1.00 7900 3281 0.6184 0.3017 0.014897
300.00 P 20260731 -1.00 -1.00 10333 4349 0.5539 -0.2779 0.016024
302.50 P 20260731 -1.00 -1.00 2174 755 0.5537 -0.3194 0.017231
305.00 P 20260731 -1.00 -1.00 4643 1216 0.5453 -0.3622 0.018357
307.50 P 20260731 -1.00 -1.00 3167 1165 0.5357 -0.4089 0.019217
310.00 P 20260731 -1.00 -1.00 7678 2353 0.5328 -0.4575 0.019877
312.50 P 20260731 -1.00 -1.00 2091 348 0.5272 -0.5067 0.020237
315.00 P 20260731 -1.00 -1.00 5021 1218 0.5187 -0.5571 0.020197
317.50 P 20260731 -1.00 -1.00 1605 645 0.5135 -0.6083 0.020023
320.00 P 20260731 -1.00 -1.00 7216 2466 0.5083 -0.6568 0.019352
322.50 P 20260731 -1.00 -1.00 478 895 0.4961 -0.7061 0.018468
325.00 P 20260731 -1.00 -1.00 790 1400 0.4931 -0.7533 0.017281
300.00 C 20260803 -1.00 -1.00 56 37 0.5949 0.6800 0.012909
302.50 C 20260803 -1.00 -1.00 5 2 0.5834 0.6489 0.013649
305.00 C 20260803 -1.00 -1.00 25 6 0.5723 0.6145 0.014222
307.50 C 20260803 -1.00 -1.00 145 21 0.5654 0.5784 0.014722
310.00 C 20260803 -1.00 -1.00 981 48 0.5639 0.5414 0.015097
312.50 C 20260803 -1.00 -1.00 410 12 0.5591 0.5042 0.015328
315.00 C 20260803 -1.00 -1.00 375 43 0.5517 0.4662 0.015335
317.50 C 20260803 -1.00 -1.00 2230 1090 0.5497 0.4283 0.015192
320.00 C 20260803 -1.00 -1.00 1251 1399 0.5504 0.3908 0.014978
322.50 C 20260803 -1.00 -1.00 586 703 0.5485 0.3556 0.014562
325.00 C 20260803 -1.00 -1.00 399 746 0.5443 0.3214 0.013995
300.00 P 20260803 -1.00 -1.00 494 634 0.4920 -0.2935 0.014917
302.50 P 20260803 -1.00 -1.00 274 19 0.4917 -0.3311 0.015922
305.00 P 20260803 -1.00 -1.00 524 102 0.4831 -0.3712 0.016741
307.50 P 20260803 -1.00 -1.00 208 99 0.4767 -0.4138 0.017416
310.00 P 20260803 -1.00 -1.00 482 100 0.4744 -0.4577 0.017972
312.50 P 20260803 -1.00 -1.00 137 86 0.4698 -0.5022 0.018284
315.00 P 20260803 -1.00 -1.00 319 230 0.4616 -0.5478 0.018321
317.50 P 20260803 -1.00 -1.00 195 76 0.4601 -0.5933 0.018099
320.00 P 20260803 -1.00 -1.00 333 914 0.4609 -0.6371 0.017639
322.50 P 20260803 -1.00 -1.00 53 80 0.4497 -0.6810 0.017030
325.00 P 20260803 -1.00 -1.00 160 124 0.4429 -0.7249 0.016229
300.00 C 20260805 -1.00 -1.00 38 11 0.6054 0.6661 0.011684
302.50 C 20260805 -1.00 -1.00 -1 0 0.5889 0.6376 0.012241
305.00 C 20260805 -1.00 -1.00 8 7 0.5811 0.6065 0.012659
