# opt_chain TSLA | epoch 1785097209 | 2026-07-26 16:20:09 | spot 313.33 | exps 20260727 20260729 20260731 20260803 20260805 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 172508 | band 0.6000 vencimientos 8 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
200.00 C 20260727 -1.00 -1.00 -1 0 4.5425 0.9698 0.000862
205.00 C 20260727 -1.00 -1.00 -1 0 4.4595 0.9642 0.001008
210.00 C 20260727 -1.00 -1.00 10 0 4.3612 0.9590 0.001156
215.00 C 20260727 -1.00 -1.00 -1 0 4.0957 0.9585 0.001243
220.00 C 20260727 -1.00 -1.00 72 0 3.9371 0.9548 0.001391
225.00 C 20260727 -1.00 -1.00 -1 0 3.4015 0.9646 0.001311
230.00 C 20260727 -1.00 -1.00 4 0 3.6939 0.9443 0.001772
235.00 C 20260727 -1.00 -1.00 -1 0 3.2561 0.9501 0.001826
240.00 C 20260727 -1.00 -1.00 -1 0 2.9376 0.9527 0.001931
245.00 C 20260727 -1.00 -1.00 14 0 2.9610 0.9392 0.002359
250.00 C 20260727 -1.00 -1.00 6 0 2.4932 0.9505 0.002360
252.50 C 20260727 -1.00 -1.00 -1 0 2.2330 0.9593 0.002237
255.00 C 20260727 -1.00 -1.00 4 0 2.6442 0.9229 0.003136
257.50 C 20260727 -1.00 -1.00 -1 0 2.0444 0.9573 0.002542
260.00 C 20260727 -1.00 -1.00 1 1 2.3615 0.9241 0.003473
262.50 C 20260727 -1.00 -1.00 2 0 2.2621 0.9212 0.003727
265.00 C 20260727 -1.00 -1.00 2 0 1.8976 0.9437 0.003458
267.50 C 20260727 -1.00 -1.00 -1 0 2.0486 0.9165 0.004300
270.00 C 20260727 -1.00 -1.00 36 9 1.9346 0.9147 0.004625
272.50 C 20260727 -1.00 -1.00 5 0 1.8651 0.9080 0.005080
275.00 C 20260727 -1.00 -1.00 4 0 1.5803 0.9276 0.005023
277.50 C 20260727 -1.00 -1.00 8 0 1.6851 0.8978 0.006093
280.00 C 20260727 -1.00 -1.00 13 10 1.6091 0.8905 0.006737
282.50 C 20260727 -1.00 -1.00 -1 0 1.4827 0.8887 0.007401
285.00 C 20260727 -1.00 -1.00 21 10 1.4522 0.8736 0.008328
287.50 C 20260727 -1.00 -1.00 69 0 1.3557 0.8636 0.009338
