# opt_chain TSM | epoch 1785070155 | 2026-07-26 08:49:15 | spot 402.63 | exps 20260731
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume_polygon(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 145394s
# strike right exp bid ask vol oi iv delta gamma
385.00 C 20260731 -1.00 -1.00 152 326 0.7267 0.7051 0.009738
387.50 C 20260731 -1.00 -1.00 3 11 0.7182 0.6820 0.010256
390.00 C 20260731 -1.00 -1.00 215 247 0.7176 0.6564 0.010649
392.50 C 20260731 -1.00 -1.00 183 35 0.7015 0.6304 0.011073
395.00 C 20260731 -1.00 -1.00 125 116 0.6816 0.6036 0.011586
397.50 C 20260731 -1.00 -1.00 76 96 0.6722 0.5745 0.011955
400.00 C 20260731 -1.00 -1.00 1616 1622 0.6718 0.5444 0.012174
402.50 C 20260731 -1.00 -1.00 191 67 0.6693 0.5143 0.012394
405.00 C 20260731 -1.00 -1.00 275 2749 0.6582 0.4837 0.012468
407.50 C 20260731 -1.00 -1.00 336 1084 0.6420 0.4515 0.012635
410.00 C 20260731 -1.00 -1.00 1938 2824 0.6387 0.4198 0.012555
412.50 C 20260731 -1.00 -1.00 289 166 0.6392 0.3887 0.012401
415.00 C 20260731 -1.00 -1.00 1456 676 0.6324 0.3578 0.012222
417.50 C 20260731 -1.00 -1.00 586 133 0.6253 0.3284 0.011862
420.00 C 20260731 -1.00 -1.00 1764 997 0.6196 0.2989 0.011464
385.00 P 20260731 -1.00 -1.00 1124 4034 0.6100 -0.2653 0.011007
387.50 P 20260731 -1.00 -1.00 130 410 0.6065 -0.2937 0.011650
390.00 P 20260731 -1.00 -1.00 813 1619 0.6045 -0.3228 0.012284
392.50 P 20260731 -1.00 -1.00 130 154 0.5979 -0.3528 0.012880
395.00 P 20260731 -1.00 -1.00 1300 1450 0.5836 -0.3845 0.013452
397.50 P 20260731 -1.00 -1.00 376 1134 0.5759 -0.4184 0.013908
400.00 P 20260731 -1.00 -1.00 1665 4550 0.5708 -0.4533 0.014318
402.50 P 20260731 -1.00 -1.00 162 64 0.5710 -0.4887 0.014545
405.00 P 20260731 -1.00 -1.00 420 1468 0.5539 -0.5253 0.014799
407.50 P 20260731 -1.00 -1.00 752 182 0.5433 -0.5631 0.014879
410.00 P 20260731 -1.00 -1.00 802 1129 0.5391 -0.6009 0.014785
412.50 P 20260731 -1.00 -1.00 323 83 0.5331 -0.6388 0.014621
415.00 P 20260731 -1.00 -1.00 100 582 0.5235 -0.6746 0.014160
417.50 P 20260731 -1.00 -1.00 319 526 0.5110 -0.7130 0.013705
420.00 P 20260731 -1.00 -1.00 416 12272 0.5028 -0.7513 0.013120
