# opt_chain TXN | epoch 1785073683 | 2026-07-26 09:48:03 | spot 279.00 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 148982s
# banda +-60.0% (adaptativa por gamma marginal) | vencimientos hasta 2026-08-21 (mensual siguiente)
# strike right exp bid ask vol oi iv delta gamma
247.50 C 20260731 -1.00 -1.00 -1 0 0.8809 0.8786 0.006883
250.00 C 20260731 -1.00 -1.00 5 6 0.7703 0.8857 0.007488
252.50 C 20260731 -1.00 -1.00 2 2 0.7663 0.8647 0.008452
255.00 C 20260731 -1.00 -1.00 10 2 0.7887 0.8318 0.009432
257.50 C 20260731 -1.00 -1.00 1 1 0.7615 0.8130 0.010490
260.00 C 20260731 -1.00 -1.00 10 2 0.7230 0.7958 0.011741
262.50 C 20260731 -1.00 -1.00 1 1 0.7077 0.7677 0.012897
265.00 C 20260731 -1.00 -1.00 2 2 0.7149 0.7291 0.013740
267.50 C 20260731 -1.00 -1.00 2 2 0.7198 0.6917 0.014583
270.00 C 20260731 -1.00 -1.00 16 15 0.7183 0.6550 0.015444
272.50 C 20260731 -1.00 -1.00 24 21 0.6759 0.6192 0.016781
275.00 C 20260731 -1.00 -1.00 2 324 0.6921 0.5749 0.016827
277.50 C 20260731 -1.00 -1.00 18 1 0.6858 0.5325 0.017406
280.00 C 20260731 -1.00 -1.00 70 43 0.6660 0.4889 0.017901
282.50 C 20260731 -1.00 -1.00 10 36 0.6665 0.4456 0.017610
285.00 C 20260731 -1.00 -1.00 17 104 0.6687 0.4026 0.017274
287.50 C 20260731 -1.00 -1.00 130 1322 0.6489 0.3564 0.017241
290.00 C 20260731 -1.00 -1.00 477 599 0.6509 0.3186 0.016290
292.50 C 20260731 -1.00 -1.00 17 1236 0.6487 0.2794 0.015413
295.00 C 20260731 -1.00 -1.00 17 559 0.6344 0.2365 0.014621
297.50 C 20260731 -1.00 -1.00 13 205 0.6385 0.2083 0.013354
300.00 C 20260731 -1.00 -1.00 100 162 0.6319 0.1759 0.012131
302.50 C 20260731 -1.00 -1.00 20 70 0.6316 0.1460 0.010874
305.00 C 20260731 -1.00 -1.00 17 243 0.6581 0.1339 0.009817
307.50 C 20260731 -1.00 -1.00 39 58 0.6286 0.1039 0.008484
310.00 C 20260731 -1.00 -1.00 29 316 0.6318 0.0856 0.007343
247.50 P 20260731 -1.00 -1.00 21 3 0.7234 -0.0831 0.006253
250.00 P 20260731 -1.00 -1.00 244 253 0.7208 -0.1013 0.007295
252.50 P 20260731 -1.00 -1.00 36 6 0.7033 -0.1159 0.008309
255.00 P 20260731 -1.00 -1.00 44 118 0.7079 -0.1428 0.009477
257.50 P 20260731 -1.00 -1.00 31 15 0.6946 -0.1671 0.010680
260.00 P 20260731 -1.00 -1.00 564 473 0.6797 -0.1919 0.011976
262.50 P 20260731 -1.00 -1.00 127 30 0.6894 -0.2263 0.013099
265.00 P 20260731 -1.00 -1.00 61 284 0.6810 -0.2618 0.014198
267.50 P 20260731 -1.00 -1.00 18 17 0.6732 -0.2983 0.015337
