# opt_chain WDC | epoch 1785070343 | 2026-07-26 08:52:23 | spot 519.83 | exps 20260731
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume_polygon(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 145643s
# strike right exp bid ask vol oi iv delta gamma
497.50 C 20260731 -1.00 -1.00 4 27 1.4479 0.6034 0.004277
500.00 C 20260731 -1.00 -1.00 38 99 1.4610 0.5922 0.004274
502.50 C 20260731 -1.00 -1.00 1 23 1.4403 0.5814 0.004368
505.00 C 20260731 -1.00 -1.00 3 70 1.4534 0.5704 0.004363
507.50 C 20260731 -1.00 -1.00 1 20 1.4318 0.5592 0.004463
510.00 C 20260731 -1.00 -1.00 49 196 1.4235 0.5480 0.004524
512.50 C 20260731 -1.00 -1.00 3 44 1.4193 0.5367 0.004572
515.00 C 20260731 -1.00 -1.00 58 97 1.4243 0.5259 0.004549
517.50 C 20260731 -1.00 -1.00 8 90 1.3946 0.5139 0.004634
520.00 C 20260731 -1.00 -1.00 79 45 1.3750 0.5019 0.004686
522.50 C 20260731 -1.00 -1.00 33 1 1.3716 0.4904 0.004685
525.00 C 20260731 -1.00 -1.00 71 29 1.3872 0.4802 0.004620
527.50 C 20260731 -1.00 -1.00 28 12 1.3568 0.4668 0.004707
530.00 C 20260731 -1.00 -1.00 71 36 1.3515 0.4549 0.004712
532.50 C 20260731 -1.00 -1.00 12 10 1.3442 0.4428 0.004722
535.00 C 20260731 -1.00 -1.00 44 50 1.3419 0.4311 0.004716
537.50 C 20260731 -1.00 -1.00 27 17 1.3376 0.4191 0.004716
540.00 C 20260731 -1.00 -1.00 79 35 1.3412 0.4079 0.004690
542.50 C 20260731 -1.00 -1.00 23 3 1.3399 0.3962 0.004680
497.50 P 20260731 -1.00 -1.00 7 5 1.1917 -0.3884 0.005172
500.00 P 20260731 -1.00 -1.00 235 339 1.1922 -0.4018 0.005217
502.50 P 20260731 -1.00 -1.00 30 7 1.1835 -0.4150 0.005302
505.00 P 20260731 -1.00 -1.00 14 95 1.1769 -0.4284 0.005380
507.50 P 20260731 -1.00 -1.00 5 12 1.1815 -0.4419 0.005408
510.00 P 20260731 -1.00 -1.00 63 154 1.1617 -0.4556 0.005549
512.50 P 20260731 -1.00 -1.00 9 26 1.1693 -0.4692 0.005563
515.00 P 20260731 -1.00 -1.00 40 109 1.1476 -0.4832 0.005654
517.50 P 20260731 -1.00 -1.00 47 3 1.1317 -0.4975 0.005711
520.00 P 20260731 -1.00 -1.00 19 238 1.1149 -0.5123 0.005774
522.50 P 20260731 -1.00 -1.00 1 5 1.1051 -0.5269 0.005800
525.00 P 20260731 -1.00 -1.00 22 155 1.0935 -0.5420 0.005837
527.50 P 20260731 -1.00 -1.00 3 6 1.0888 -0.5567 0.005837
530.00 P 20260731 -1.00 -1.00 39 117 1.0832 -0.5716 0.005841
532.50 P 20260731 -1.00 -1.00 11 2 1.0687 -0.5879 0.005892
535.00 P 20260731 -1.00 -1.00 13 104 1.0690 -0.6024 0.005865
537.50 P 20260731 -1.00 -1.00 18 7 1.0772 -0.6158 0.005798
540.00 P 20260731 -1.00 -1.00 74 2025 1.0589 -0.6314 0.005799
542.50 P 20260731 -1.00 -1.00 3 0 1.0446 -0.6464 0.005766
