# opt_chain AMD | epoch 1785182927 | 2026-07-27 16:08:47 | spot 494.88 | exps 20260727 20260729
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 80 | greeks_ok_pct 0.0000 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
495.00 C 20260727 -1.00 -1.00 11201 31 -1.0000 -1.0000 -1.0000
495.00 P 20260727 -1.00 -1.00 3110 379 -1.0000 -1.0000 -1.0000
492.50 C 20260727 -1.00 -1.00 7953 35 -1.0000 -1.0000 -1.0000
492.50 P 20260727 -1.00 -1.00 3690 122 -1.0000 -1.0000 -1.0000
497.50 C 20260727 -1.00 -1.00 7358 48 -1.0000 -1.0000 -1.0000
497.50 P 20260727 -1.00 -1.00 2772 684 -1.0000 -1.0000 -1.0000
490.00 C 20260727 -1.00 -1.00 13223 35 -1.0000 -1.0000 -1.0000
490.00 P 20260727 -1.00 -1.00 10047 475 -1.0000 -1.0000 -1.0000
500.00 C 20260727 -1.00 -1.00 20534 133 -1.0000 -1.0000 -1.0000
500.00 P 20260727 -1.00 -1.00 6165 1847 -1.0000 -1.0000 -1.0000
487.50 C 20260727 -1.00 -1.00 11084 8 -1.0000 -1.0000 -1.0000
487.50 P 20260727 -1.00 -1.00 3882 105 -1.0000 -1.0000 -1.0000
502.50 C 20260727 -1.00 -1.00 2346 66 -1.0000 -1.0000 -1.0000
502.50 P 20260727 -1.00 -1.00 1571 120 -1.0000 -1.0000 -1.0000
485.00 C 20260727 -1.00 -1.00 11872 22 -1.0000 -1.0000 -1.0000
485.00 P 20260727 -1.00 -1.00 9228 1984 -1.0000 -1.0000 -1.0000
505.00 C 20260727 -1.00 -1.00 5049 86 -1.0000 -1.0000 -1.0000
505.00 P 20260727 -1.00 -1.00 2253 277 -1.0000 -1.0000 -1.0000
482.50 C 20260727 -1.00 -1.00 8399 15 -1.0000 -1.0000 -1.0000
482.50 P 20260727 -1.00 -1.00 7689 172 -1.0000 -1.0000 -1.0000
507.50 C 20260727 -1.00 -1.00 3146 35 -1.0000 -1.0000 -1.0000
507.50 P 20260727 -1.00 -1.00 4941 100 -1.0000 -1.0000 -1.0000
480.00 C 20260727 -1.00 -1.00 7661 27 -1.0000 -1.0000 -1.0000
480.00 P 20260727 -1.00 -1.00 14921 499 -1.0000 -1.0000 -1.0000
510.00 C 20260727 -1.00 -1.00 5789 86 -1.0000 -1.0000 -1.0000
510.00 P 20260727 -1.00 -1.00 3223 531 -1.0000 -1.0000 -1.0000
477.50 C 20260727 -1.00 -1.00 797 22 -1.0000 -1.0000 -1.0000
477.50 P 20260727 -1.00 -1.00 4880 152 -1.0000 -1.0000 -1.0000
512.50 C 20260727 -1.00 -1.00 2650 93 -1.0000 -1.0000 -1.0000
512.50 P 20260727 -1.00 -1.00 588 175 -1.0000 -1.0000 -1.0000
475.00 C 20260727 -1.00 -1.00 341 71 -1.0000 -1.0000 -1.0000
