# opt_chain AMZN | epoch 1785159758 | 2026-07-27 09:42:38 | spot 234.71 | exps 20260727 20260729
# fuente ibkr_tws | band 0.0800 | max_strikes 12 | narrow 1 | vencimientos 2 | rows 46 | greeks_ok_pct 1.0000 | bidask_ok_pct 0.9348
# strike right exp bid ask vol oi iv delta gamma
235.00 C 20260727 0.91 0.97 4199 4635 0.4429 0.4563 0.1427
235.00 P 20260727 1.24 1.29 1180 1492 0.4429 -0.5439 0.1428
232.50 C 20260727 2.48 2.59 1088 1448 0.4500 0.7800 0.1050
232.50 P 20260727 0.34 0.36 1681 1267 0.4500 -0.2201 0.1050
237.50 C 20260727 0.23 0.25 5507 1652 0.4578 0.1616 0.0859
237.50 P 20260727 3.00 3.25 24 1543 0.4578 -0.8389 0.0860
230.00 C 20260727 4.50 4.85 127 814 0.4901 0.9372 0.0401
230.00 P 20260727 0.09 0.10 839 5088 0.4901 -0.0628 0.0401
240.00 C 20260727 0.06 0.07 3828 4858 0.5077 0.0478 0.0313
240.00 P 20260727 5.30 5.55 22 2587 0.5077 -0.9528 0.0314
227.50 C 20260727 6.80 7.40 9 711 0.5834 0.9757 0.0153
227.50 P 20260727 0.03 0.04 282 1095 0.5834 -0.0243 0.0153
242.50 C 20260727 0.02 0.03 432 3727 0.5888 0.0179 0.0119
242.50 P 20260727 7.70 8.20 1 588 0.5888 -0.9828 0.0120
225.00 C 20260727 9.05 10.10 0 500 0.6829 0.9896 0.0064
225.00 P 20260727 0.01 0.03 340 1447 0.6829 -0.0104 0.0064
245.00 C 20260727 -1.00 0.01 654 3009 0.6773 0.0090 0.0057
245.00 P 20260727 9.85 11.05 19 362 0.6773 -0.9916 0.0058
247.50 C 20260727 -1.00 0.01 287 1867 0.7560 0.0043 0.0026
247.50 P 20260727 12.35 13.55 139 9 0.7560 -0.9964 0.0027
220.00 C 20260727 14.05 14.90 0 284 0.9476 0.9950 0.0024
220.00 P 20260727 -1.00 0.01 269 1275 0.9476 -0.0050 0.0024
235.00 C 20260729 2.66 2.80 1223 1596 0.3909 0.4862 0.0554
235.00 P 20260729 2.95 3.05 107 461 0.3909 -0.5145 0.0555
232.50 C 20260729 4.05 4.20 298 958 0.3932 0.6273 0.0522
232.50 P 20260729 1.82 1.93 227 492 0.3932 -0.3732 0.0523
237.50 C 20260729 1.69 1.75 425 1134 0.3912 0.3573 0.0519
237.50 P 20260729 4.40 4.60 36 163 0.3912 -0.6491 0.0519
230.00 C 20260729 5.70 5.95 121 543 0.3989 0.7486 0.0434
230.00 P 20260729 1.02 1.14 114 1481 0.3989 -0.2516 0.0435
240.00 C 20260729 1.01 1.04 672 1503 0.3937 0.2436 0.0432
240.00 P 20260729 6.25 6.40 10 334 0.3937 -0.7579 0.0434
227.50 C 20260729 7.70 8.05 0 162 0.4089 0.8357 0.0329
227.50 P 20260729 0.62 0.65 38 633 0.4089 -0.1644 0.0329
242.50 C 20260729 0.57 0.60 431 1181 0.3981 0.1503 0.0318
242.50 P 20260729 7.20 9.05 33 112 0.3981 -0.8517 0.0321
225.00 C 20260729 9.55 10.95 98 91 0.4236 0.8991 0.0226
225.00 P 20260729 0.35 0.38 21 1289 0.4236 -0.1010 0.0227
245.00 C 20260729 0.31 0.32 206 3404 0.4044 0.0913 0.0220
245.00 P 20260729 10.05 11.55 1 226 0.4044 -0.9113 0.0223
222.50 C 20260729 11.40 12.80 0 160 0.4432 0.9398 0.0146
222.50 P 20260729 0.21 0.33 69 366 0.4432 -0.0602 0.0146
247.50 C 20260729 0.16 0.17 127 723 0.4128 0.0530 0.0142
247.50 P 20260729 11.80 14.00 4 131 0.4128 -0.9500 0.0145
220.00 C 20260729 14.20 16.00 21 520 0.4666 0.9622 0.0095
220.00 P 20260729 0.12 0.23 7 1548 0.4666 -0.0378 0.0095
