# opt_chain ASML | epoch 1785162734 | 2026-07-27 10:32:14 | spot 1648.32 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 80 | greeks_ok_pct 1.0000 | bidask_ok_pct 1.0000
# strike right exp bid ask vol oi iv delta gamma
1650.00 C 20260731 53.80 60.80 7 11 0.8006 0.5135 0.0028
1650.00 P 20260731 57.70 61.80 63 249 0.8006 -0.4870 0.0028
1645.00 C 20260731 56.20 62.50 1 1 0.8012 0.5275 0.0028
1645.00 P 20260731 55.10 59.40 5 13 0.8012 -0.4730 0.0028
1655.00 C 20260731 51.30 57.70 1 2 0.8000 0.4995 0.0028
1655.00 P 20260731 60.20 64.50 2 12 0.8000 -0.5010 0.0028
1640.00 C 20260731 58.80 65.80 0 1 0.8019 0.5415 0.0028
1640.00 P 20260731 52.70 57.50 12 57 0.8019 -0.4589 0.0028
1660.00 C 20260731 49.00 55.60 5 2 0.7995 0.4855 0.0028
1660.00 P 20260731 62.80 67.70 15 54 0.7995 -0.5150 0.0028
1635.00 C 20260731 61.40 67.70 0 2 0.8026 0.5555 0.0028
1635.00 P 20260731 50.40 54.60 5 41 0.8026 -0.4449 0.0028
1665.00 C 20260731 46.70 53.30 3 3 0.7990 0.4715 0.0028
1665.00 P 20260731 65.50 70.00 34 24 0.7990 -0.5290 0.0028
1630.00 C 20260731 64.00 70.70 0 8 0.8033 0.5695 0.0028
1630.00 P 20260731 48.10 52.30 16 43 0.8033 -0.4309 0.0028
1670.00 C 20260731 44.50 49.20 7 8 0.7986 0.4575 0.0028
1670.00 P 20260731 68.30 73.20 14 88 0.7986 -0.5430 0.0028
1625.00 C 20260731 67.00 72.30 6 0 0.8042 0.5834 0.0027
1625.00 P 20260731 45.80 50.00 15 36 0.8042 -0.4169 0.0028
1675.00 C 20260731 42.30 47.10 6 4 0.7982 0.4435 0.0028
1675.00 P 20260731 71.10 76.00 5 28 0.7982 -0.5571 0.0028
