# opt_chain INTC | epoch 1785165500 | 2026-07-27 11:18:20 | spot 89.39 | exps 20260727 20260729
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 64 | greeks_ok_pct 1.0000 | bidask_ok_pct 0.9844
# strike right exp bid ask vol oi iv delta gamma
89.00 C 20260727 1.05 1.15 6206 94 1.1999 0.5502 0.1600
89.00 P 20260727 0.83 0.87 5117 479 1.1999 -0.4499 0.1600
90.00 C 20260727 0.60 0.66 9758 123 1.1756 0.3889 0.1582
90.00 P 20260727 1.27 1.40 10377 2985 1.1756 -0.6111 0.1582
88.00 C 20260727 1.73 1.81 3539 37 1.2375 0.6962 0.1371
88.00 P 20260727 0.45 0.50 10235 726 1.2375 -0.3039 0.1371
91.00 C 20260727 0.33 0.37 10568 106 1.1758 0.2444 0.1295
91.00 P 20260727 2.00 2.11 2956 451 1.1758 -0.7556 0.1295
87.00 C 20260727 2.45 2.62 2122 93 1.2906 0.8135 0.1008
87.00 P 20260727 0.24 0.28 9852 635 1.2906 -0.1865 0.1008
92.00 C 20260727 0.16 0.21 3703 386 1.2077 0.1470 0.0923
92.00 P 20260727 2.81 3.10 6426 881 1.2077 -0.8531 0.0924
86.00 C 20260727 3.35 3.85 1905 12 1.3595 0.8886 0.0676
86.00 P 20260727 0.15 0.16 2982 449 1.3595 -0.1114 0.0676
93.00 C 20260727 0.09 0.10 7561 524 1.2629 0.0823 0.0591
93.00 P 20260727 3.40 3.90 1167 444 1.2629 -0.9179 0.0591
85.00 C 20260727 4.25 4.55 268 65 1.4352 0.9369 0.0418
85.00 P 20260727 0.08 0.09 6035 2658 1.4352 -0.0631 0.0418
94.00 C 20260727 0.05 0.07 5671 608 1.3317 0.0530 0.0393
94.00 P 20260727 4.55 5.00 753 2121 1.3317 -0.9471 0.0394
84.00 C 20260727 5.20 5.80 26 4 1.5105 0.9643 0.0252
84.00 P 20260727 0.04 0.05 2295 713 1.5105 -0.0357 0.0252
95.00 C 20260727 0.03 0.05 9839 1575 1.4102 0.0313 0.0241
95.00 P 20260727 5.30 5.90 1829 1188 1.4102 -0.9689 0.0242
83.00 C 20260727 6.20 6.80 8 2 1.5854 0.9798 0.0149
83.00 P 20260727 0.02 0.03 1761 376 1.5854 -0.0202 0.0149
96.00 C 20260727 0.02 0.03 3002 1581 1.4871 0.0183 0.0146
96.00 P 20260727 6.40 6.85 737 1026 1.4871 -0.9819 0.0146
82.00 C 20260727 7.20 7.55 114 102 1.6625 0.9880 0.0091
82.00 P 20260727 -1.00 0.04 915 509 1.6625 -0.0120 0.0091
97.00 C 20260727 0.01 0.02 6206 1510 1.5573 0.0118 0.0095
97.00 P 20260727 7.30 7.85 172 763 1.5573 -0.9884 0.0095
89.00 C 20260729 2.95 3.15 381 108 1.0233 0.5347 0.0561
89.00 P 20260729 2.63 2.80 812 388 1.0233 -0.4655 0.0561
90.00 C 20260729 2.47 2.61 957 809 1.0190 0.4786 0.0564
90.00 P 20260729 3.10 3.30 3927 2403 1.0190 -0.5216 0.0565
88.00 C 20260729 3.45 3.70 244 134 1.0288 0.5904 0.0546
88.00 P 20260729 2.17 2.28 557 1294 1.0288 -0.4097 0.0546
91.00 C 20260729 2.04 2.18 578 58 1.0161 0.4228 0.0559
91.00 P 20260729 3.60 3.90 439 255 1.0161 -0.5775 0.0559
87.00 C 20260729 4.05 4.35 472 62 1.0354 0.6412 0.0520
87.00 P 20260729 1.79 1.86 1053 218 1.0354 -0.3589 0.0520
92.00 C 20260729 1.70 1.81 393 95 1.0149 0.3686 0.0540
92.00 P 20260729 4.20 4.55 455 250 1.0149 -0.6318 0.0541
86.00 C 20260729 4.70 5.05 51 72 1.0430 0.6922 0.0486
86.00 P 20260729 1.44 1.54 264 157 1.0430 -0.3079 0.0487
93.00 C 20260729 1.37 1.50 588 128 1.0155 0.3156 0.0509
93.00 P 20260729 4.90 5.25 295 90 1.0155 -0.6849 0.0510
85.00 C 20260729 5.40 5.70 55 7 1.0516 0.7436 0.0445
85.00 P 20260729 1.16 1.24 1367 677 1.0516 -0.2565 0.0445
94.00 C 20260729 1.12 1.23 617 421 1.0180 0.2757 0.0475
94.00 P 20260729 5.65 5.95 182 352 1.0180 -0.7248 0.0476
84.00 C 20260729 6.15 6.50 1 3 1.0614 0.7881 0.0395
84.00 P 20260729 0.92 0.98 158 166 1.0614 -0.2120 0.0395
95.00 C 20260729 0.90 0.98 3209 364 1.0224 0.2336 0.0434
95.00 P 20260729 6.40 6.75 157 374 1.0224 -0.7669 0.0435
83.00 C 20260729 6.90 7.30 151 1 1.0725 0.8243 0.0348
83.00 P 20260729 0.71 0.79 412 86 1.0725 -0.1758 0.0349
96.00 C 20260729 0.72 0.80 584 373 1.0285 0.1910 0.0387
96.00 P 20260729 7.20 7.55 53 220 1.0285 -0.8096 0.0388
82.00 C 20260729 7.70 9.40 27 30 1.0847 0.8559 0.0303
82.00 P 20260729 0.55 0.62 744 149 1.0847 -0.1441 0.0304
97.00 C 20260729 0.58 0.64 637 628 1.0359 0.1640 0.0346
97.00 P 20260729 8.05 8.45 21 391 1.0359 -0.8366 0.0347
