# opt_chain MSFT | epoch 1785182989 | 2026-07-27 16:09:49 | spot 388.97 | exps 20260727 20260731
# fuente ibkr_tws | band 0.0800 | max_strikes 12 | narrow 1 | vencimientos 2 | rows 48 | greeks_ok_pct 0.0208 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
390.00 C 20260727 -1.00 -1.00 19762 2464 -1.0000 -1.0000 -1.0000
390.00 P 20260727 -1.00 -1.00 31113 332 1.2313 -0.8613 0.0300
387.50 C 20260727 -1.00 -1.00 3230 1643 -1.0000 -1.0000 -1.0000
387.50 P 20260727 -1.00 -1.00 13598 336 -1.0000 -1.0000 -1.0000
392.50 C 20260727 -1.00 -1.00 68165 1306 -1.0000 -1.0000 -1.0000
392.50 P 20260727 -1.00 -1.00 17246 155 -1.0000 -1.0000 -1.0000
385.00 C 20260727 -1.00 -1.00 1706 1949 -1.0000 -1.0000 -1.0000
385.00 P 20260727 -1.00 -1.00 9498 609 -1.0000 -1.0000 -1.0000
395.00 C 20260727 -1.00 -1.00 133262 2622 -1.0000 -1.0000 -1.0000
395.00 P 20260727 -1.00 -1.00 2796 255 -1.0000 -1.0000 -1.0000
382.50 C 20260727 -1.00 -1.00 391 661 -1.0000 -1.0000 -1.0000
382.50 P 20260727 -1.00 -1.00 3828 496 -1.0000 -1.0000 -1.0000
397.50 C 20260727 -1.00 -1.00 28110 1297 -1.0000 -1.0000 -1.0000
397.50 P 20260727 -1.00 -1.00 278 53 -1.0000 -1.0000 -1.0000
380.00 C 20260727 -1.00 -1.00 696 935 -1.0000 -1.0000 -1.0000
380.00 P 20260727 -1.00 -1.00 2629 1876 -1.0000 -1.0000 -1.0000
400.00 C 20260727 -1.00 -1.00 36131 3723 -1.0000 -1.0000 -1.0000
400.00 P 20260727 -1.00 -1.00 451 181 -1.0000 -1.0000 -1.0000
377.50 C 20260727 -1.00 -1.00 49 150 -1.0000 -1.0000 -1.0000
377.50 P 20260727 -1.00 -1.00 496 702 -1.0000 -1.0000 -1.0000
402.50 C 20260727 -1.00 -1.00 4112 890 -1.0000 -1.0000 -1.0000
402.50 P 20260727 -1.00 -1.00 341 356 -1.0000 -1.0000 -1.0000
375.00 C 20260727 -1.00 -1.00 74 252 -1.0000 -1.0000 -1.0000
375.00 P 20260727 -1.00 -1.00 714 932 -1.0000 -1.0000 -1.0000
390.00 C 20260731 -1.00 -1.00 2102 5402 -1.0000 -1.0000 -1.0000
390.00 P 20260731 -1.00 -1.00 1792 1246 -1.0000 -1.0000 -1.0000
387.50 C 20260731 -1.00 -1.00 296 873 -1.0000 -1.0000 -1.0000
387.50 P 20260731 -1.00 -1.00 604 613 -1.0000 -1.0000 -1.0000
392.50 C 20260731 -1.00 -1.00 979 2912 -1.0000 -1.0000 -1.0000
392.50 P 20260731 -1.00 -1.00 432 427 -1.0000 -1.0000 -1.0000
385.00 C 20260731 -1.00 -1.00 549 1587 -1.0000 -1.0000 -1.0000
385.00 P 20260731 -1.00 -1.00 926 1833 -1.0000 -1.0000 -1.0000
395.00 C 20260731 -1.00 -1.00 2459 3208 -1.0000 -1.0000 -1.0000
395.00 P 20260731 -1.00 -1.00 233 1553 -1.0000 -1.0000 -1.0000
382.50 C 20260731 -1.00 -1.00 217 1133 -1.0000 -1.0000 -1.0000
382.50 P 20260731 -1.00 -1.00 1023 1891 -1.0000 -1.0000 -1.0000
397.50 C 20260731 -1.00 -1.00 428 929 -1.0000 -1.0000 -1.0000
397.50 P 20260731 -1.00 -1.00 49 614 -1.0000 -1.0000 -1.0000
380.00 C 20260731 -1.00 -1.00 1037 1919 -1.0000 -1.0000 -1.0000
380.00 P 20260731 -1.00 -1.00 1527 3017 -1.0000 -1.0000 -1.0000
400.00 C 20260731 -1.00 -1.00 4439 8017 -1.0000 -1.0000 -1.0000
400.00 P 20260731 -1.00 -1.00 295 1147 -1.0000 -1.0000 -1.0000
377.50 C 20260731 -1.00 -1.00 415 203 -1.0000 -1.0000 -1.0000
377.50 P 20260731 -1.00 -1.00 431 397 -1.0000 -1.0000 -1.0000
402.50 C 20260731 -1.00 -1.00 383 1849 -1.0000 -1.0000 -1.0000
402.50 P 20260731 -1.00 -1.00 344 155 -1.0000 -1.0000 -1.0000
375.00 C 20260731 -1.00 -1.00 471 581 -1.0000 -1.0000 -1.0000
375.00 P 20260731 -1.00 -1.00 1035 1542 -1.0000 -1.0000 -1.0000
