# opt_chain NVDA | epoch 1785168222 | 2026-07-27 12:03:42 | spot 197.96 | exps 20260727 20260729
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 44 | greeks_ok_pct 1.0000 | bidask_ok_pct 0.9773
# strike right exp bid ask vol oi iv delta gamma
197.50 C 20260727 1.25 1.27 64703 2656 0.6283 0.5676 0.1497
197.50 P 20260727 0.84 0.85 153566 7265 0.6283 -0.4325 0.1497
200.00 C 20260727 0.36 0.37 182492 2635 0.6659 0.2349 0.1101
200.00 P 20260727 2.41 2.46 165084 20139 0.6659 -0.7653 0.1102
195.00 C 20260727 3.10 3.15 7645 1353 0.6730 0.8492 0.0832
195.00 P 20260727 0.21 0.22 132141 13368 0.6730 -0.1509 0.0832
202.50 C 20260727 0.10 0.11 139958 608 0.7615 0.0789 0.0462
202.50 P 20260727 4.55 4.80 53956 14812 0.7615 -0.9215 0.0463
192.50 C 20260727 5.40 5.60 1569 565 0.7976 0.9524 0.0297
192.50 P 20260727 0.06 0.07 48926 1635 0.7976 -0.0476 0.0297
205.00 C 20260727 0.04 0.05 148274 3660 0.8883 0.0279 0.0172
205.00 P 20260727 6.95 7.50 39466 20411 0.8883 -0.9727 0.0172
190.00 C 20260727 7.60 8.20 312 590 0.9493 0.9791 0.0127
190.00 P 20260727 0.02 0.03 20483 5204 0.9493 -0.0209 0.0127
207.50 C 20260727 0.02 0.03 114787 6061 1.0817 0.0175 0.0095
207.50 P 20260727 9.55 9.70 5409 4780 1.0817 -0.9830 0.0096
187.50 C 20260727 8.80 10.80 363 126 1.0696 0.9908 0.0055
187.50 P 20260727 0.01 0.02 5609 7199 1.0696 -0.0093 0.0055
210.00 C 20260727 0.02 0.03 85628 16525 1.2775 0.0147 0.0069
210.00 P 20260727 11.90 12.70 1052 6081 1.2775 -0.9856 0.0070
185.00 C 20260727 11.10 14.40 41 142 1.1417 0.9971 0.0018
185.00 P 20260727 -1.00 0.01 6222 12209 1.1417 -0.0029 0.0018
197.50 C 20260729 3.45 3.50 8314 622 0.5395 0.5278 0.0486
197.50 P 20260729 3.00 3.05 14387 1379 0.5395 -0.4726 0.0487
200.00 C 20260729 2.28 2.29 12253 415 0.5257 0.4057 0.0486
200.00 P 20260729 4.25 4.35 22456 8223 0.5257 -0.5950 0.0487
195.00 C 20260729 4.95 5.05 5091 314 0.5489 0.6461 0.0446
195.00 P 20260729 2.00 2.03 13625 3671 0.5489 -0.3542 0.0447
202.50 C 20260729 1.39 1.41 19436 535 0.5173 0.2897 0.0436
202.50 P 20260729 5.90 5.95 9753 1490 0.5173 -0.7112 0.0438
192.50 C 20260729 6.70 6.85 2853 253 0.5582 0.7498 0.0375
192.50 P 20260729 1.29 1.31 8021 1790 0.5582 -0.2504 0.0375
205.00 C 20260729 0.80 0.81 22265 1212 0.5110 0.1938 0.0353
205.00 P 20260729 7.75 7.90 7680 7118 0.5110 -0.8075 0.0355
190.00 C 20260729 8.75 8.85 1660 108 0.5734 0.8306 0.0289
190.00 P 20260729 0.81 0.83 18089 2290 0.5734 -0.1695 0.0290
207.50 C 20260729 0.44 0.45 14132 3124 0.5126 0.1211 0.0259
207.50 P 20260729 9.85 10.05 1036 1104 0.5126 -0.8874 0.0251
187.50 C 20260729 10.95 11.05 2517 20 0.5971 0.8876 0.0211
187.50 P 20260729 0.51 0.52 1973 576 0.5971 -0.1125 0.0211
210.00 C 20260729 0.24 0.25 18396 10539 0.5173 0.0692 0.0169
210.00 P 20260729 12.15 12.35 3221 4450 0.5173 -0.9334 0.0170
185.00 C 20260729 13.25 13.40 963 57 0.6293 0.9220 0.0153
185.00 P 20260729 0.33 0.34 2875 761 0.6293 -0.0781 0.0153
