# opt_chain QCOM | epoch 1785173150 | 2026-07-27 13:25:50 | spot 167.53 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 72 | greeks_ok_pct 1.0000 | bidask_ok_pct 1.0000
# strike right exp bid ask vol oi iv delta gamma
167.50 C 20260731 8.00 8.15 55 162 1.1163 0.5258 0.0202
167.50 P 20260731 7.70 8.20 74 343 1.1163 -0.4745 0.0202
170.00 C 20260731 6.60 7.20 311 404 1.1119 0.4757 0.0202
170.00 P 20260731 8.85 9.50 320 1066 1.1119 -0.5246 0.0202
165.00 C 20260731 9.05 9.70 226 389 1.1216 0.5760 0.0197
165.00 P 20260731 6.40 6.85 158 750 1.1216 -0.4242 0.0197
172.50 C 20260731 5.55 6.20 303 250 1.1083 0.4263 0.0200
172.50 P 20260731 10.25 10.95 56 329 1.1083 -0.5741 0.0200
162.50 C 20260731 10.50 11.15 9 6 1.1278 0.6251 0.0190
162.50 P 20260731 5.35 5.75 52 176 1.1278 -0.3751 0.0190
175.00 C 20260731 4.85 5.00 288 1081 1.1058 0.3783 0.0195
175.00 P 20260731 12.00 12.55 37 521 1.1058 -0.6222 0.0195
160.00 C 20260731 11.95 12.75 27 48 1.1348 0.6728 0.0180
160.00 P 20260731 4.50 4.75 397 1617 1.1348 -0.3274 0.0180
177.50 C 20260731 4.00 4.30 241 2048 1.1042 0.3334 0.0186
177.50 P 20260731 13.60 14.25 7 333 1.1042 -0.6671 0.0186
157.50 C 20260731 13.70 14.35 2 4 1.1425 0.7171 0.0167
157.50 P 20260731 3.55 3.95 63 727 1.1425 -0.2831 0.0167
180.00 C 20260731 3.30 3.55 412 1654 1.1037 0.2902 0.0176
180.00 P 20260731 15.50 16.05 12 677 1.1037 -0.7104 0.0176
155.00 C 20260731 15.45 16.15 12 697 1.1509 0.7590 0.0153
155.00 P 20260731 3.00 3.20 85 644 1.1509 -0.2412 0.0153
182.50 C 20260731 2.77 2.93 111 1994 1.1042 0.2520 0.0163
182.50 P 20260731 17.30 17.95 14 168 1.1042 -0.7487 0.0163
152.50 C 20260731 17.35 17.95 41 415 1.1600 0.7970 0.0138
152.50 P 20260731 2.42 2.56 104 425 1.1600 -0.2031 0.0138
185.00 C 20260731 2.28 2.38 260 1044 1.1058 0.2166 0.0150
185.00 P 20260731 19.30 19.95 3 240 1.1058 -0.7842 0.0150
150.00 C 20260731 19.35 20.15 23 66 1.1697 0.8307 0.0122
150.00 P 20260731 1.94 2.07 695 1570 1.1697 -0.1693 0.0122
149.00 C 20260731 20.15 20.90 0 0 1.1738 0.8434 0.0115
149.00 P 20260731 1.74 1.89 16 105 1.1738 -0.1566 0.0115
148.00 C 20260731 20.50 22.55 0 2 1.1779 0.8561 0.0109
148.00 P 20260731 1.60 1.70 43 74 1.1779 -0.1440 0.0109
187.50 C 20260731 1.86 1.97 212 649 1.1085 0.1851 0.0136
187.50 P 20260731 21.25 22.15 4 86 1.1085 -0.8158 0.0136
147.00 C 20260731 21.45 23.40 0 1 1.1821 0.8668 0.0103
147.00 P 20260731 1.43 1.57 13 47 1.1821 -0.1333 0.0103
146.00 C 20260731 22.20 24.25 30 30 1.1863 0.8771 0.0097
146.00 P 20260731 1.28 1.45 58 88 1.1863 -0.1230 0.0097
167.50 C 20260807 9.50 10.10 9 37 0.8388 0.5332 0.0163
167.50 P 20260807 9.10 9.80 25 13 0.8388 -0.4666 0.0164
170.00 C 20260807 8.45 8.90 72 406 0.8371 0.4928 0.0163
170.00 P 20260807 10.40 11.10 9 210 0.8371 -0.5080 0.0164
165.00 C 20260807 10.70 11.40 1 26 0.8407 0.5748 0.0160
165.00 P 20260807 7.90 8.45 77 535 0.8407 -0.4268 0.0160
172.50 C 20260807 7.40 7.80 13 80 0.8357 0.4524 0.0163
172.50 P 20260807 11.85 12.60 1 107 0.8357 -0.5486 0.0164
162.50 C 20260807 12.10 12.75 12 14 0.8428 0.6151 0.0156
162.50 P 20260807 6.90 7.35 23 14 0.8428 -0.3863 0.0157
175.00 C 20260807 6.45 6.85 102 127 0.8346 0.4139 0.0160
175.00 P 20260807 13.35 14.15 7 93 0.8346 -0.5863 0.0161
160.00 C 20260807 13.65 14.40 0 10 0.8452 0.6542 0.0150
160.00 P 20260807 5.85 6.30 54 161 0.8452 -0.3470 0.0150
177.50 C 20260807 5.60 6.10 1 42 0.8338 0.3754 0.0157
177.50 P 20260807 15.10 15.75 2 29 0.8338 -0.6249 0.0157
157.50 C 20260807 15.20 16.00 0 0 0.8478 0.6927 0.0143
157.50 P 20260807 5.00 5.40 25 13 0.8478 -0.3085 0.0143
180.00 C 20260807 4.85 5.30 25 125 0.8333 0.3403 0.0151
180.00 P 20260807 16.75 17.60 15 145 0.8333 -0.6611 0.0152
155.00 C 20260807 16.90 18.35 0 35 0.8506 0.7288 0.0134
155.00 P 20260807 4.30 4.65 55 190 0.8506 -0.2723 0.0134
182.50 C 20260807 4.15 4.65 35 74 0.8331 0.3052 0.0145
182.50 P 20260807 18.60 19.35 0 60 0.8331 -0.6955 0.0146
152.50 C 20260807 18.35 20.20 0 0 0.8536 0.7635 0.0124
152.50 P 20260807 3.55 3.85 45 112 0.8536 -0.2374 0.0125
185.00 C 20260807 3.60 3.95 78 135 0.8331 0.2741 0.0137
185.00 P 20260807 20.55 21.60 5 94 0.8331 -0.7269 0.0138
150.00 C 20260807 20.20 22.15 0 2 0.8568 0.7955 0.0114
150.00 P 20260807 2.99 3.15 213 485 0.8568 -0.2053 0.0114
187.50 C 20260807 2.98 3.45 59 130 0.8335 0.2436 0.0129
187.50 P 20260807 21.75 23.45 3 29 0.8335 -0.7576 0.0130
