# opt_chain STX | epoch 1785178241 | 2026-07-27 14:50:41 | spot 803.43 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 80 | greeks_ok_pct 0.6000 | bidask_ok_pct 1.0000
# strike right exp bid ask vol oi iv delta gamma
805.00 C 20260731 52.90 62.30 10 13 -1.0000 -1.0000 -1.0000
805.00 P 20260731 53.20 61.80 5 19 1.6569 -0.4683 0.0029
800.00 C 20260731 54.00 64.70 258 36 -1.0000 -1.0000 -1.0000
800.00 P 20260731 52.20 57.10 139 110 -1.0000 -1.0000 -1.0000
810.00 C 20260731 49.80 60.00 7 61 1.6530 0.5177 0.0029
810.00 P 20260731 55.00 64.10 15 93 1.6530 -0.4825 0.0029
795.00 C 20260731 56.80 67.30 12 22 1.6648 0.5603 0.0028
795.00 P 20260731 47.00 56.70 4 37 -1.0000 -1.0000 -1.0000
815.00 C 20260731 48.30 57.50 2 3 1.6491 0.5035 0.0029
815.00 P 20260731 56.10 66.30 11 131 1.6491 -0.4967 0.0029
790.00 C 20260731 60.10 69.80 9 4 1.6688 0.5745 0.0028
790.00 P 20260731 47.20 52.30 36 50 1.6688 -0.4256 0.0028
820.00 C 20260731 46.10 55.30 0 23 1.6452 0.4893 0.0029
820.00 P 20260731 59.20 67.70 38 90 1.6452 -0.5110 0.0029
785.00 C 20260731 62.70 72.40 1 12 1.6728 0.5878 0.0028
785.00 P 20260731 43.80 50.20 6 101 1.6728 -0.4124 0.0028
825.00 C 20260731 42.00 52.00 4 13 1.6414 0.4745 0.0029
825.00 P 20260731 61.60 73.90 23 41 1.6414 -0.5257 0.0029
780.00 C 20260731 64.90 75.20 2 27 -1.0000 -1.0000 -1.0000
780.00 P 20260731 42.40 48.90 42 198 1.6768 -0.3984 0.0027
830.00 C 20260731 41.80 48.70 9 113 1.6376 0.4605 0.0029
830.00 P 20260731 65.00 75.70 25 49 -1.0000 -1.0000 -1.0000
775.00 C 20260731 65.00 78.00 0 45 -1.0000 -1.0000 -1.0000
775.00 P 20260731 39.40 46.90 3 19 1.6808 -0.3844 0.0027
835.00 C 20260731 39.80 46.40 36 26 1.6338 0.4466 0.0029
835.00 P 20260731 67.50 79.20 1 22 1.6338 -0.5537 0.0029
770.00 C 20260731 69.60 81.00 0 41 -1.0000 -1.0000 -1.0000
770.00 P 20260731 37.70 44.00 16 113 1.6848 -0.3703 0.0027
840.00 C 20260731 36.90 46.30 7 35 -1.0000 -1.0000 -1.0000
840.00 P 20260731 72.40 82.00 17 79 -1.0000 -1.0000 -1.0000
765.00 C 20260731 72.80 84.00 0 22 1.6887 0.6429 0.0026
765.00 P 20260731 34.80 41.70 7 75 1.6887 -0.3572 0.0026
845.00 C 20260731 36.40 42.10 13 38 -1.0000 -1.0000 -1.0000
845.00 P 20260731 73.60 85.10 15 57 1.6263 -0.5813 0.0028
760.00 C 20260731 74.60 87.00 0 4 1.6927 0.6562 0.0026
760.00 P 20260731 32.10 39.70 7 28 -1.0000 -1.0000 -1.0000
850.00 C 20260731 34.50 40.60 122 1941 -1.0000 -1.0000 -1.0000
850.00 P 20260731 76.20 88.30 34 117 -1.0000 -1.0000 -1.0000
755.00 C 20260731 78.70 90.00 1 2 1.6967 0.6697 0.0025
755.00 P 20260731 29.40 39.40 0 30 -1.0000 -1.0000 -1.0000
805.00 C 20260807 66.30 77.30 6 39 -1.0000 -1.0000 -1.0000
805.00 P 20260807 64.20 76.00 3 6 -1.0000 -1.0000 -1.0000
800.00 C 20260807 67.70 79.90 0 22 1.3016 0.5551 0.0022
800.00 P 20260807 63.20 73.80 16 51 1.3016 -0.4454 0.0022
810.00 C 20260807 61.10 73.70 1 28 1.2954 0.5332 0.0022
810.00 P 20260807 66.80 77.00 3 35 1.2954 -0.4673 0.0022
795.00 C 20260807 70.50 79.60 2 26 -1.0000 -1.0000 -1.0000
795.00 P 20260807 61.00 70.50 6 3 1.3047 -0.4343 0.0022
815.00 C 20260807 61.60 72.80 1 22 1.2923 0.5223 0.0022
815.00 P 20260807 70.00 81.80 3 2 1.2923 -0.4783 0.0022
790.00 C 20260807 72.80 84.00 1 10 -1.0000 -1.0000 -1.0000
790.00 P 20260807 56.80 68.00 4 29 1.3078 -0.4233 0.0022
820.00 C 20260807 59.10 69.20 64 15 1.2892 0.5110 0.0022
820.00 P 20260807 73.20 84.30 0 25 -1.0000 -1.0000 -1.0000
785.00 C 20260807 75.70 87.40 0 1 1.3108 0.5881 0.0021
785.00 P 20260807 56.10 65.50 0 3 -1.0000 -1.0000 -1.0000
825.00 C 20260807 57.50 67.10 1 4 1.2861 0.5002 0.0022
825.00 P 20260807 74.90 87.00 3 7 1.2861 -0.5003 0.0022
780.00 C 20260807 78.60 90.10 0 9 1.3138 0.5990 0.0021
780.00 P 20260807 53.10 64.40 3 12 -1.0000 -1.0000 -1.0000
830.00 C 20260807 54.10 65.00 9 7 1.2830 0.4891 0.0022
830.00 P 20260807 77.70 88.80 0 74 1.2830 -0.5115 0.0022
775.00 C 20260807 80.60 92.80 0 5 1.3168 0.6098 0.0021
775.00 P 20260807 49.70 61.60 0 14 -1.0000 -1.0000 -1.0000
835.00 C 20260807 53.20 63.10 26 3 -1.0000 -1.0000 -1.0000
835.00 P 20260807 80.60 93.00 0 8 1.2799 -0.5227 0.0022
770.00 C 20260807 83.20 95.50 0 17 1.3197 0.6206 0.0021
770.00 P 20260807 47.00 58.40 0 29 1.3197 -0.3798 0.0021
840.00 C 20260807 51.20 59.80 67 86 1.2768 0.4667 0.0022
840.00 P 20260807 83.40 95.40 0 65 1.2768 -0.5339 0.0022
765.00 C 20260807 86.00 97.80 0 4 1.3226 0.6312 0.0021
765.00 P 20260807 45.40 55.90 0 65 -1.0000 -1.0000 -1.0000
845.00 C 20260807 46.80 58.70 0 2 1.2738 0.4553 0.0022
845.00 P 20260807 87.60 97.50 0 20 -1.0000 -1.0000 -1.0000
760.00 C 20260807 89.10 101.10 0 4 -1.0000 -1.0000 -1.0000
760.00 P 20260807 43.30 55.70 1 31 -1.0000 -1.0000 -1.0000
850.00 C 20260807 46.90 55.90 8 14 -1.0000 -1.0000 -1.0000
850.00 P 20260807 89.90 101.40 6 11 -1.0000 -1.0000 -1.0000
755.00 C 20260807 91.60 103.80 0 9 -1.0000 -1.0000 -1.0000
755.00 P 20260807 41.30 51.10 0 11 -1.0000 -1.0000 -1.0000
