# opt_chain TSLA | epoch 1785164180 | 2026-07-27 10:56:20 | spot 308.69 | exps 20260727 20260729
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 80 | greeks_ok_pct 1.0000 | bidask_ok_pct 1.0000
# strike right exp bid ask vol oi iv delta gamma
307.50 C 20260727 2.84 2.88 21370 1003 0.7555 0.5877 0.0688
307.50 P 20260727 1.66 1.69 57870 3059 0.7555 -0.4124 0.0688
310.00 C 20260727 1.65 1.67 37483 4397 0.7573 0.4140 0.0685
310.00 P 20260727 2.95 2.98 65340 6119 0.7573 -0.5862 0.0686
305.00 C 20260727 4.50 4.65 10398 618 0.7791 0.7469 0.0550
305.00 P 20260727 0.89 0.90 87943 3521 0.7791 -0.2532 0.0550
312.50 C 20260727 0.90 0.91 27336 2108 0.7759 0.2708 0.0569
312.50 P 20260727 4.60 4.75 22802 1194 0.7759 -0.7295 0.0570
302.50 C 20260727 6.55 6.85 1182 140 0.8212 0.8590 0.0365
302.50 P 20260727 0.45 0.46 30317 2292 0.8212 -0.1411 0.0365
315.00 C 20260727 0.47 0.48 45612 3798 0.8071 0.1571 0.0397
315.00 P 20260727 6.65 6.85 12536 1925 0.8071 -0.8433 0.0397
300.00 C 20260727 8.80 9.10 3020 385 0.8744 0.9153 0.0238
300.00 P 20260727 0.23 0.25 46367 2403 0.8744 -0.0847 0.0238
317.50 C 20260727 0.25 0.26 26112 1439 0.8480 0.0971 0.0269
317.50 P 20260727 8.85 9.20 3480 1048 0.8480 -0.9101 0.0255
297.50 C 20260727 10.95 11.80 300 56 0.9357 0.9507 0.0146
297.50 P 20260727 0.12 0.14 8576 1050 0.9357 -0.0493 0.0146
320.00 C 20260727 0.14 0.15 38612 4122 0.9038 0.0526 0.0158
320.00 P 20260727 11.25 11.60 3715 3854 0.9038 -0.9479 0.0158
295.00 C 20260727 13.35 14.20 634 28 1.0133 0.9715 0.0086
295.00 P 20260727 0.08 0.09 8779 1954 1.0133 -0.0285 0.0086
322.50 C 20260727 0.08 0.09 12980 3879 0.9498 0.0313 0.0099
322.50 P 20260727 13.65 14.15 2353 1003 0.9498 -0.9692 0.0099
292.50 C 20260727 15.65 17.10 2 13 1.1091 0.9800 0.0059
292.50 P 20260727 0.05 0.06 1862 549 1.1091 -0.0200 0.0059
325.00 C 20260727 0.05 0.06 16051 3290 0.9972 0.0189 0.0061
325.00 P 20260727 16.10 16.60 773 1418 0.9972 -0.9817 0.0062
290.00 C 20260727 18.50 19.20 505 87 1.2106 0.9868 0.0038
290.00 P 20260727 0.04 0.05 4971 5059 1.2106 -0.0133 0.0038
327.50 C 20260727 0.03 0.04 6208 2132 1.0655 0.0108 0.0036
327.50 P 20260727 18.60 19.15 90 627 1.0655 -0.9897 0.0036
287.50 C 20260727 20.65 22.25 8 27 1.3154 0.9899 0.0028
287.50 P 20260727 0.03 0.04 1355 385 1.3154 -0.0101 0.0028
330.00 C 20260727 0.02 0.03 10304 5993 1.1440 0.0085 0.0027
330.00 P 20260727 21.05 21.60 1908 929 1.1440 -0.9920 0.0027
285.00 C 20260727 23.20 24.65 20 13 1.4135 0.9924 0.0020
285.00 P 20260727 0.02 0.03 1106 2573 1.4135 -0.0076 0.0020
332.50 C 20260727 0.01 0.02 3523 1914 1.2256 0.0065 0.0020
332.50 P 20260727 23.50 24.05 12 433 1.2256 -0.9941 0.0020
307.50 C 20260729 6.40 6.55 3477 234 0.6059 0.5460 0.0273
307.50 P 20260729 5.15 5.20 5137 562 0.6059 -0.4544 0.0273
310.00 C 20260729 5.20 5.25 7142 1792 0.6056 0.4777 0.0274
310.00 P 20260729 6.40 6.50 8748 1731 0.6056 -0.5228 0.0275
305.00 C 20260729 7.80 7.95 3194 194 0.6079 0.6132 0.0263
305.00 P 20260729 4.05 4.15 9109 585 0.6079 -0.3871 0.0263
312.50 C 20260729 4.15 4.20 5663 986 0.6065 0.4092 0.0267
312.50 P 20260729 7.80 7.95 2785 319 0.6065 -0.5914 0.0268
302.50 C 20260729 9.40 9.60 1062 58 0.6116 0.6790 0.0245
302.50 P 20260729 3.15 3.25 4132 220 0.6116 -0.3212 0.0246
315.00 C 20260729 3.25 3.30 10711 4473 0.6074 0.3463 0.0254
315.00 P 20260729 9.45 9.55 4371 2914 0.6074 -0.6544 0.0255
300.00 C 20260729 11.20 11.35 3966 148 0.6173 0.7357 0.0223
300.00 P 20260729 2.46 2.49 14297 2448 0.6173 -0.2645 0.0223
317.50 C 20260729 2.54 2.58 3580 408 0.6073 0.2869 0.0235
317.50 P 20260729 11.20 11.35 570 528 0.6073 -0.7140 0.0235
297.50 C 20260729 13.10 13.25 163 63 0.6251 0.7880 0.0195
297.50 P 20260729 1.88 1.91 2600 345 0.6251 -0.2121 0.0195
320.00 C 20260729 1.96 1.99 5583 2366 0.6085 0.2338 0.0210
320.00 P 20260729 13.10 13.25 7027 1716 0.6085 -0.7671 0.0211
295.00 C 20260729 15.10 15.35 181 36 0.6351 0.8307 0.0167
295.00 P 20260729 1.42 1.45 2942 1114 0.6351 -0.1694 0.0167
322.50 C 20260729 1.49 1.53 1924 1481 0.6139 0.1892 0.0184
322.50 P 20260729 15.15 15.35 4074 425 0.6139 -0.8119 0.0184
292.50 C 20260729 17.10 17.65 70 16 0.6477 0.8657 0.0140
292.50 P 20260729 1.08 1.10 1550 181 0.6477 -0.1344 0.0140
325.00 C 20260729 1.14 1.17 2754 1970 0.6223 0.1512 0.0157
