# opt_chain WDC | epoch 1785182807 | 2026-07-27 16:06:47 | spot 498.46 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 66 | greeks_ok_pct 0.0000 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
497.50 C 20260731 -1.00 -1.00 16 27 -1.0000 -1.0000 -1.0000
497.50 P 20260731 -1.00 -1.00 16 9 -1.0000 -1.0000 -1.0000
500.00 C 20260731 -1.00 -1.00 229 136 -1.0000 -1.0000 -1.0000
500.00 P 20260731 -1.00 -1.00 92 383 -1.0000 -1.0000 -1.0000
495.00 C 20260731 -1.00 -1.00 16 19 -1.0000 -1.0000 -1.0000
495.00 P 20260731 -1.00 -1.00 15 198 -1.0000 -1.0000 -1.0000
502.50 C 20260731 -1.00 -1.00 18 24 -1.0000 -1.0000 -1.0000
502.50 P 20260731 -1.00 -1.00 0 20 -1.0000 -1.0000 -1.0000
492.50 C 20260731 -1.00 -1.00 22 1 -1.0000 -1.0000 -1.0000
492.50 P 20260731 -1.00 -1.00 6 103 -1.0000 -1.0000 -1.0000
505.00 C 20260731 -1.00 -1.00 60 69 -1.0000 -1.0000 -1.0000
505.00 P 20260731 -1.00 -1.00 0 94 -1.0000 -1.0000 -1.0000
490.00 C 20260731 -1.00 -1.00 68 53 -1.0000 -1.0000 -1.0000
490.00 P 20260731 -1.00 -1.00 64 205 -1.0000 -1.0000 -1.0000
507.50 C 20260731 -1.00 -1.00 4 21 -1.0000 -1.0000 -1.0000
507.50 P 20260731 -1.00 -1.00 4 14 -1.0000 -1.0000 -1.0000
487.50 C 20260731 -1.00 -1.00 11 0 -1.0000 -1.0000 -1.0000
487.50 P 20260731 -1.00 -1.00 30 48 -1.0000 -1.0000 -1.0000
510.00 C 20260731 -1.00 -1.00 41 217 -1.0000 -1.0000 -1.0000
510.00 P 20260731 -1.00 -1.00 38 190 -1.0000 -1.0000 -1.0000
485.00 C 20260731 -1.00 -1.00 15 6 -1.0000 -1.0000 -1.0000
485.00 P 20260731 -1.00 -1.00 177 86 -1.0000 -1.0000 -1.0000
512.50 C 20260731 -1.00 -1.00 5 45 -1.0000 -1.0000 -1.0000
512.50 P 20260731 -1.00 -1.00 6 31 -1.0000 -1.0000 -1.0000
482.50 C 20260731 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.0000
482.50 P 20260731 -1.00 -1.00 7 160 -1.0000 -1.0000 -1.0000
515.00 C 20260731 -1.00 -1.00 29 129 -1.0000 -1.0000 -1.0000
515.00 P 20260731 -1.00 -1.00 7 101 -1.0000 -1.0000 -1.0000
480.00 C 20260731 -1.00 -1.00 36 80 -1.0000 -1.0000 -1.0000
480.00 P 20260731 -1.00 -1.00 69 529 -1.0000 -1.0000 -1.0000
517.50 C 20260731 -1.00 -1.00 9 98 -1.0000 -1.0000 -1.0000
517.50 P 20260731 -1.00 -1.00 48 48 -1.0000 -1.0000 -1.0000
477.50 C 20260731 -1.00 -1.00 5 0 -1.0000 -1.0000 -1.0000
477.50 P 20260731 -1.00 -1.00 0 35 -1.0000 -1.0000 -1.0000
520.00 C 20260731 -1.00 -1.00 190 66 -1.0000 -1.0000 -1.0000
520.00 P 20260731 -1.00 -1.00 34 250 -1.0000 -1.0000 -1.0000
475.00 C 20260731 -1.00 -1.00 3 31 -1.0000 -1.0000 -1.0000
475.00 P 20260731 -1.00 -1.00 147 206 -1.0000 -1.0000 -1.0000
522.50 C 20260731 -1.00 -1.00 9 32 -1.0000 -1.0000 -1.0000
522.50 P 20260731 -1.00 -1.00 1 5 -1.0000 -1.0000 -1.0000
500.00 C 20260807 -1.00 -1.00 7 65 -1.0000 -1.0000 -1.0000
500.00 P 20260807 -1.00 -1.00 30 108 -1.0000 -1.0000 -1.0000
495.00 C 20260807 -1.00 -1.00 5 30 -1.0000 -1.0000 -1.0000
495.00 P 20260807 -1.00 -1.00 11 37 -1.0000 -1.0000 -1.0000
505.00 C 20260807 -1.00 -1.00 6 12 -1.0000 -1.0000 -1.0000
505.00 P 20260807 -1.00 -1.00 10 37 -1.0000 -1.0000 -1.0000
490.00 C 20260807 -1.00 -1.00 3 9 -1.0000 -1.0000 -1.0000
490.00 P 20260807 -1.00 -1.00 10 56 -1.0000 -1.0000 -1.0000
487.50 C 20260807 -1.00 -1.00 2 0 -1.0000 -1.0000 -1.0000
487.50 P 20260807 -1.00 -1.00 0 19 -1.0000 -1.0000 -1.0000
510.00 C 20260807 -1.00 -1.00 16 24 -1.0000 -1.0000 -1.0000
510.00 P 20260807 -1.00 -1.00 4 51 -1.0000 -1.0000 -1.0000
485.00 C 20260807 -1.00 -1.00 1 32 -1.0000 -1.0000 -1.0000
485.00 P 20260807 -1.00 -1.00 21 82 -1.0000 -1.0000 -1.0000
482.50 C 20260807 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.0000
482.50 P 20260807 -1.00 -1.00 0 15 -1.0000 -1.0000 -1.0000
515.00 C 20260807 -1.00 -1.00 6 16 -1.0000 -1.0000 -1.0000
515.00 P 20260807 -1.00 -1.00 7 43 -1.0000 -1.0000 -1.0000
480.00 C 20260807 -1.00 -1.00 5 89 -1.0000 -1.0000 -1.0000
480.00 P 20260807 -1.00 -1.00 44 58 -1.0000 -1.0000 -1.0000
477.50 C 20260807 -1.00 -1.00 0 1 -1.0000 -1.0000 -1.0000
477.50 P 20260807 -1.00 -1.00 0 4 -1.0000 -1.0000 -1.0000
520.00 C 20260807 -1.00 -1.00 15 45 -1.0000 -1.0000 -1.0000
520.00 P 20260807 -1.00 -1.00 31 94 -1.0000 -1.0000 -1.0000
475.00 C 20260807 -1.00 -1.00 4 6 -1.0000 -1.0000 -1.0000
475.00 P 20260807 -1.00 -1.00 6 67 -1.0000 -1.0000 -1.0000
