# opt_chain WDC | epoch 1785175260 | 2026-07-27 14:01:00 | spot 493.39 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 68 | greeks_ok_pct 1.0000 | bidask_ok_pct 1.0000
# strike right exp bid ask vol oi iv delta gamma
492.50 C 20260731 27.15 30.75 19 1 1.3465 0.5351 0.0057
492.50 P 20260731 25.75 29.60 6 103 1.3465 -0.4648 0.0057
495.00 C 20260731 25.90 29.10 7 19 1.3426 0.5216 0.0057
495.00 P 20260731 27.40 30.90 6 198 1.3426 -0.4787 0.0057
490.00 C 20260731 28.45 31.95 64 53 1.3506 0.5493 0.0056
490.00 P 20260731 25.65 28.70 63 205 1.3506 -0.4509 0.0056
497.50 C 20260731 24.60 28.35 12 27 1.3388 0.5074 0.0057
497.50 P 20260731 28.55 32.00 15 9 1.3388 -0.4932 0.0057
487.50 C 20260731 29.40 33.55 9 0 1.3547 0.5634 0.0056
487.50 P 20260731 23.60 26.70 30 48 1.3547 -0.4368 0.0056
500.00 C 20260731 23.95 26.25 212 136 1.3350 0.4931 0.0057
500.00 P 20260731 29.65 33.70 89 383 1.3350 -0.5072 0.0057
485.00 C 20260731 31.10 34.85 15 6 1.3589 0.5775 0.0055
485.00 P 20260731 22.50 27.10 170 86 1.3589 -0.4227 0.0055
502.50 C 20260731 22.40 24.50 12 24 1.3314 0.4787 0.0057
502.50 P 20260731 31.35 35.00 0 20 1.3314 -0.5216 0.0058
482.50 C 20260731 32.50 36.35 1 0 1.3633 0.5918 0.0055
482.50 P 20260731 22.25 26.45 6 160 1.3633 -0.4084 0.0055
505.00 C 20260731 21.30 23.95 57 69 1.3279 0.4643 0.0058
505.00 P 20260731 32.20 36.25 0 94 1.3279 -0.5360 0.0058
480.00 C 20260731 34.00 37.05 34 80 1.3677 0.6024 0.0054
480.00 P 20260731 21.20 24.90 67 529 1.3677 -0.3978 0.0054
507.50 C 20260731 19.75 23.70 3 21 1.3245 0.4498 0.0058
507.50 P 20260731 33.60 37.45 4 14 1.3245 -0.5505 0.0058
477.50 C 20260731 35.30 39.40 5 0 1.3723 0.6161 0.0054
477.50 P 20260731 20.25 24.05 0 35 1.3723 -0.3841 0.0054
510.00 C 20260731 19.15 22.65 47 217 1.3212 0.4353 0.0057
510.00 P 20260731 35.50 38.95 37 190 1.3212 -0.5644 0.0057
475.00 C 20260731 37.10 40.80 3 31 1.3769 0.6294 0.0053
475.00 P 20260731 19.25 21.95 143 206 1.3769 -0.3707 0.0053
512.50 C 20260731 18.05 20.80 4 45 1.3180 0.4221 0.0057
512.50 P 20260731 36.35 40.75 5 31 1.3180 -0.5783 0.0057
472.50 C 20260731 38.60 42.35 7 5 1.3817 0.6427 0.0052
472.50 P 20260731 18.35 21.40 8 37 1.3817 -0.3574 0.0052
515.00 C 20260731 17.30 20.55 8 129 1.3149 0.4082 0.0057
515.00 P 20260731 38.30 42.25 7 101 1.3149 -0.5929 0.0057
470.00 C 20260731 40.25 44.15 7 16 1.3865 0.6593 0.0051
470.00 P 20260731 17.60 19.55 176 2123 1.3865 -0.3442 0.0051
517.50 C 20260731 16.30 19.40 8 98 1.3119 0.3942 0.0056
517.50 P 20260731 40.45 43.80 46 48 1.3119 -0.6062 0.0056
495.00 C 20260807 40.85 44.20 3 30 1.2714 0.5394 0.0037
495.00 P 20260807 41.85 46.40 5 37 1.2714 -0.4612 0.0037
490.00 C 20260807 43.15 47.75 1 9 1.2754 0.5576 0.0036
490.00 P 20260807 39.40 42.80 9 56 1.2754 -0.4429 0.0036
487.50 C 20260807 44.05 48.95 1 0 1.2774 0.5684 0.0036
487.50 P 20260807 38.15 42.15 0 19 1.2774 -0.4321 0.0036
500.00 C 20260807 38.70 42.00 7 65 1.2673 0.5212 0.0037
500.00 P 20260807 44.40 48.10 29 108 1.2673 -0.4776 0.0037
485.00 C 20260807 45.55 50.55 1 32 1.2795 0.5758 0.0036
485.00 P 20260807 36.60 41.25 15 82 1.2795 -0.4246 0.0036
482.50 C 20260807 46.75 51.80 1 0 1.2815 0.5849 0.0035
482.50 P 20260807 36.35 40.00 0 15 1.2815 -0.4155 0.0036
505.00 C 20260807 36.50 39.70 6 12 1.2633 0.5049 0.0037
505.00 P 20260807 47.55 52.10 4 37 1.2633 -0.4956 0.0037
480.00 C 20260807 48.55 53.10 5 89 1.2835 0.5940 0.0035
480.00 P 20260807 35.10 38.00 28 58 1.2835 -0.4064 0.0035
477.50 C 20260807 50.05 53.85 0 1 1.2855 0.6030 0.0035
477.50 P 20260807 34.30 37.65 0 4 1.2855 -0.3958 0.0035
510.00 C 20260807 33.50 37.35 13 24 1.2593 0.4864 0.0037
510.00 P 20260807 49.75 55.10 4 51 1.2593 -0.5165 0.0037
475.00 C 20260807 50.75 54.95 4 6 1.2875 0.6136 0.0035
475.00 P 20260807 32.85 35.60 5 67 1.2875 -0.3867 0.0035
472.50 C 20260807 52.05 56.50 1 0 1.2895 0.6226 0.0034
472.50 P 20260807 32.25 35.35 0 28 1.2895 -0.3778 0.0035
515.00 C 20260807 31.35 37.70 5 16 1.2554 0.4682 0.0037
515.00 P 20260807 51.10 57.95 12 43 1.2554 -0.5325 0.0037
470.00 C 20260807 53.30 58.05 0 6 1.2915 0.6316 0.0034
470.00 P 20260807 31.15 33.90 3 75 1.2915 -0.3689 0.0034
