# opt_chain AVGO | epoch 1785183632 | 2026-07-27 16:20:32 | spot 382.61 | exps 20260727 20260729 20260731 20260803 20260805 20260807 20260810 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 91 | band 0.6000 vencimientos 9 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
230.00 C 20260727 -1.00 -1.00 14 2 -1.0000 -1.0000 -1.000000
240.00 C 20260727 -1.00 -1.00 12 2 -1.0000 -1.0000 -1.000000
250.00 C 20260727 -1.00 -1.00 8 0 -1.0000 -1.0000 -1.000000
260.00 C 20260727 -1.00 -1.00 4 0 -1.0000 -1.0000 -1.000000
270.00 C 20260727 -1.00 -1.00 11 1 -1.0000 -1.0000 -1.000000
280.00 C 20260727 -1.00 -1.00 9 1 -1.0000 -1.0000 -1.000000
290.00 C 20260727 -1.00 -1.00 12 1 -1.0000 -1.0000 -1.000000
295.00 C 20260727 -1.00 -1.00 12 4 -1.0000 -1.0000 -1.000000
300.00 C 20260727 -1.00 -1.00 8 3 -1.0000 -1.0000 -1.000000
305.00 C 20260727 -1.00 -1.00 10 0 -1.0000 -1.0000 -1.000000
310.00 C 20260727 -1.00 -1.00 13 0 -1.0000 -1.0000 -1.000000
315.00 C 20260727 -1.00 -1.00 4 0 -1.0000 -1.0000 -1.000000
320.00 C 20260727 -1.00 -1.00 4 0 -1.0000 -1.0000 -1.000000
322.50 C 20260727 -1.00 -1.00 5 0 -1.0000 -1.0000 -1.000000
325.00 C 20260727 -1.00 -1.00 4 0 -1.0000 -1.0000 -1.000000
327.50 C 20260727 -1.00 -1.00 5 1 -1.0000 -1.0000 -1.000000
330.00 C 20260727 -1.00 -1.00 3 3 -1.0000 -1.0000 -1.000000
332.50 C 20260727 -1.00 -1.00 12 0 -1.0000 -1.0000 -1.000000
335.00 C 20260727 -1.00 -1.00 6 1 -1.0000 -1.0000 -1.000000
337.50 C 20260727 -1.00 -1.00 9 0 -1.0000 -1.0000 -1.000000
340.00 C 20260727 -1.00 -1.00 4 3 -1.0000 -1.0000 -1.000000
342.50 C 20260727 -1.00 -1.00 29 3 -1.0000 -1.0000 -1.000000
345.00 C 20260727 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
347.50 C 20260727 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
350.00 C 20260727 -1.00 -1.00 9 2 -1.0000 -1.0000 -1.000000
352.50 C 20260727 -1.00 -1.00 7 1 -1.0000 -1.0000 -1.000000
355.00 C 20260727 -1.00 -1.00 17 2 -1.0000 -1.0000 -1.000000
357.50 C 20260727 -1.00 -1.00 5 3 -1.0000 -1.0000 -1.000000
360.00 C 20260727 -1.00 -1.00 10 33 -1.0000 -1.0000 -1.000000
362.50 C 20260727 -1.00 -1.00 17 18 -1.0000 -1.0000 -1.000000
365.00 C 20260727 -1.00 -1.00 4 7 -1.0000 -1.0000 -1.000000
367.50 C 20260727 -1.00 -1.00 1 4 -1.0000 -1.0000 -1.000000
370.00 C 20260727 -1.00 -1.00 19 15 -1.0000 -1.0000 -1.000000
372.50 C 20260727 -1.00 -1.00 36 35 -1.0000 -1.0000 -1.000000
375.00 C 20260727 -1.00 -1.00 468 45 -1.0000 -1.0000 -1.000000
377.50 C 20260727 -1.00 -1.00 862 81 -1.0000 -1.0000 -1.000000
380.00 C 20260727 -1.00 -1.00 3804 131 -1.0000 -1.0000 -1.000000
382.50 C 20260727 -1.00 -1.00 7001 446 -1.0000 -1.0000 -1.000000
385.00 C 20260727 -1.00 -1.00 6266 443 0.1529 0.1815 0.221184
387.50 C 20260727 -1.00 -1.00 3718 270 0.2282 0.0220 0.029226
390.00 C 20260727 -1.00 -1.00 6563 2722 0.3599 0.0147 0.013165
392.50 C 20260727 -1.00 -1.00 2104 366 0.4853 0.0113 0.007827
395.00 C 20260727 -1.00 -1.00 2392 1474 0.5995 0.0093 0.005276
397.50 C 20260727 -1.00 -1.00 666 482 0.7415 0.0099 0.004552
400.00 C 20260727 -1.00 -1.00 1674 1182 0.8257 0.0069 0.002935
402.50 C 20260727 -1.00 -1.00 464 634 0.9377 0.0061 0.002335
405.00 C 20260727 -1.00 -1.00 411 363 1.0773 0.0070 0.002292
407.50 C 20260727 -1.00 -1.00 78 132 1.1597 0.0051 0.001605
410.00 C 20260727 -1.00 -1.00 195 880 1.2696 0.0047 0.001371
412.50 C 20260727 -1.00 -1.00 68 311 1.3789 0.0044 0.001190
415.00 C 20260727 -1.00 -1.00 17 1009 1.5156 0.0052 0.001249
417.50 C 20260727 -1.00 -1.00 222 33 1.7071 0.0077 0.001574
420.00 C 20260727 -1.00 -1.00 30 1258 1.7307 0.0046 0.000993
422.50 C 20260727 -1.00 -1.00 43 56 1.7665 0.0035 0.000748
425.00 C 20260727 -1.00 -1.00 7 209 1.9366 0.0042 0.000815
427.50 C 20260727 -1.00 -1.00 3 34 2.2417 0.0092 0.001396
430.00 C 20260727 -1.00 -1.00 49 2026 2.5707 0.0146 0.001843
432.50 C 20260727 -1.00 -1.00 121 587 2.1394 0.0029 0.000521
435.00 C 20260727 -1.00 -1.00 6 693 2.6346 0.0099 0.001273
437.50 C 20260727 -1.00 -1.00 5 9 3.2267 0.0246 0.002271
440.00 C 20260727 -1.00 -1.00 1 1634 2.5629 0.0040 0.000585
442.50 C 20260727 -1.00 -1.00 1 6 2.8581 0.0073 0.000897
445.00 C 20260727 -1.00 -1.00 1 21 2.9588 0.0071 0.000843
447.50 C 20260727 -1.00 -1.00 1 21 4.6305 0.0570 0.003153
450.00 C 20260727 -1.00 -1.00 1 133 3.1854 0.0072 0.000792
452.50 C 20260727 -1.00 -1.00 2 8 3.6061 0.0123 0.001134
455.00 C 20260727 -1.00 -1.00 1 57 3.4095 0.0073 0.000748
460.00 C 20260727 -1.00 -1.00 2 8 4.2407 0.0193 0.001406
465.00 C 20260727 -1.00 -1.00 3 15 4.7997 0.0271 0.001660
470.00 C 20260727 -1.00 -1.00 1 7 4.5402 0.0141 0.001017
475.00 C 20260727 -1.00 -1.00 3 8 4.4392 0.0098 0.000744
480.00 C 20260727 -1.00 -1.00 1 101 4.3643 0.0059 0.000484
485.00 C 20260727 -1.00 -1.00 3 57 4.6789 0.0074 0.000552
490.00 C 20260727 -1.00 -1.00 2 2 6.0606 0.0269 0.001307
495.00 C 20260727 -1.00 -1.00 1 15 4.8558 0.0046 0.000356
500.00 C 20260727 -1.00 -1.00 2 18 5.0133 0.0045 0.000335
505.00 C 20260727 -1.00 -1.00 4 6 5.1692 0.0044 0.000316
510.00 C 20260727 -1.00 -1.00 1 4 6.5559 0.0185 0.000877
515.00 C 20260727 -1.00 -1.00 1 2 7.0438 0.0234 0.000995
520.00 C 20260727 -1.00 -1.00 1 9 7.2047 0.0223 0.000934
525.00 C 20260727 -1.00 -1.00 7 5 7.5138 0.0238 0.000947
530.00 C 20260727 -1.00 -1.00 1 2 7.6923 0.0231 0.000902
535.00 C 20260727 -1.00 -1.00 2 16 7.8373 0.0220 0.000848
230.00 P 20260727 -1.00 -1.00 10 4 -1.0000 -1.0000 -1.000000
240.00 P 20260727 -1.00 -1.00 10 3 11.2258 -0.0146 0.000418
250.00 P 20260727 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
260.00 P 20260727 -1.00 -1.00 8 0 9.4142 -0.0162 0.000546
270.00 P 20260727 -1.00 -1.00 2 9 8.3296 -0.0149 0.000572
280.00 P 20260727 -1.00 -1.00 11 13 7.0510 -0.0100 0.000489
290.00 P 20260727 -1.00 -1.00 6 7 5.5914 -0.0053 0.000346
295.00 P 20260727 -1.00 -1.00 1 16 5.4784 -0.0073 0.000468
300.00 P 20260727 -1.00 -1.00 8 16 5.3672 -0.0094 0.000600
305.00 P 20260727 -1.00 -1.00 5 21 5.3581 -0.0145 0.000872
310.00 P 20260727 -1.00 -1.00 2 35 3.7886 -0.0022 0.000225
315.00 P 20260727 -1.00 -1.00 5 27 4.4523 -0.0115 0.000867
320.00 P 20260727 -1.00 -1.00 7 31 3.6318 -0.0057 0.000564
322.50 P 20260727 -1.00 -1.00 6 7 3.6174 -0.0076 0.000734
325.00 P 20260727 -1.00 -1.00 4 99 3.4764 -0.0079 0.000790
327.50 P 20260727 -1.00 -1.00 7 8 3.6472 -0.0137 0.001224
330.00 P 20260727 -1.00 -1.00 7 39 3.3548 -0.0107 0.001086
332.50 P 20260727 -1.00 -1.00 12 8 3.0912 -0.0094 0.001041
335.00 P 20260727 -1.00 -1.00 3 15 2.9855 -0.0103 0.001173
337.50 P 20260727 -1.00 -1.00 334 34 2.3240 -0.0026 0.000439
340.00 P 20260727 -1.00 -1.00 48 207 2.3741 -0.0049 0.000753
342.50 P 20260727 -1.00 -1.00 33 705 2.4265 -0.0090 0.001278
345.00 P 20260727 -1.00 -1.00 149 299 2.1096 -0.0054 0.000931
347.50 P 20260727 -1.00 -1.00 8 552 2.0708 -0.0080 0.001342
350.00 P 20260727 -1.00 -1.00 681 1623 1.7880 -0.0044 0.000916
352.50 P 20260727 -1.00 -1.00 114 51 1.6897 -0.0056 0.001202
355.00 P 20260727 -1.00 -1.00 82 979 1.5316 -0.0050 0.001204
357.50 P 20260727 -1.00 -1.00 40 74 1.4651 -0.0076 0.001808
360.00 P 20260727 -1.00 -1.00 719 584 1.2486 -0.0047 0.001388
362.50 P 20260727 -1.00 -1.00 513 87 1.1536 -0.0065 0.002004
365.00 P 20260727 -1.00 -1.00 1384 437 0.9995 -0.0057 0.002062
367.50 P 20260727 -1.00 -1.00 1020 384 0.8762 -0.0065 0.002615
370.00 P 20260727 -1.00 -1.00 3060 859 0.8446 -0.0145 0.005543
372.50 P 20260727 -1.00 -1.00 2180 294 0.6321 -0.0088 0.004764
375.00 P 20260727 -1.00 -1.00 3717 826 0.5113 -0.0107 0.007081
377.50 P 20260727 -1.00 -1.00 4456 231 0.4202 -0.0236 0.016932
380.00 P 20260727 -1.00 -1.00 6299 874 0.2792 -0.0341 0.034748
382.50 P 20260727 -1.00 -1.00 1709 318 0.2768 -0.2568 0.150120
385.00 P 20260727 -1.00 -1.00 1030 335 0.4434 -0.6228 0.111116
387.50 P 20260727 -1.00 -1.00 194 107 0.8449 -0.7020 0.052710
390.00 P 20260727 -1.00 -1.00 174 333 0.8867 -0.8053 0.039939
392.50 P 20260727 -1.00 -1.00 22 808 1.2420 -0.8051 0.028522
395.00 P 20260727 -1.00 -1.00 45 331 1.5595 -0.8100 0.022338
397.50 P 20260727 -1.00 -1.00 24 144 1.5555 -0.8641 0.018281
400.00 P 20260727 -1.00 -1.00 29 33 1.8700 -0.8579 0.015603
402.50 P 20260727 -1.00 -1.00 2 4 2.0759 -0.8666 0.013485
405.00 P 20260727 -1.00 -1.00 8 11 2.3336 -0.8672 0.011945
407.50 P 20260727 -1.00 -1.00 3 92 2.5197 -0.8734 0.010650
410.00 P 20260727 -1.00 -1.00 5 125 2.7046 -0.8788 0.009594
412.50 P 20260727 -1.00 -1.00 14 18 2.5748 -0.9111 0.008008
415.00 P 20260727 -1.00 -1.00 2 0 2.7410 -0.9154 0.007262
417.50 P 20260727 -1.00 -1.00 3 0 3.1834 -0.8961 0.007253
420.00 P 20260727 -1.00 -1.00 5 0 3.0533 -0.9241 0.006051
422.50 P 20260727 -1.00 -1.00 5 0 3.5094 -0.9040 0.006207
425.00 P 20260727 -1.00 -1.00 26 0 3.4993 -0.9201 0.005472
427.50 P 20260727 -1.00 -1.00 23 0 3.8145 -0.9117 0.005381
430.00 P 20260727 -1.00 -1.00 18 0 3.8718 -0.9216 0.004884
