# opt_chain DRAM | epoch 1785183638 | 2026-07-27 16:20:38 | spot 52.35 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 97 | band 0.6000 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
32.00 C 20260731 -1.00 -1.00 13 0 -1.0000 -1.0000 -1.000000
33.00 C 20260731 -1.00 -1.00 19 1 -1.0000 -1.0000 -1.000000
34.00 C 20260731 -1.00 -1.00 20 0 -1.0000 -1.0000 -1.000000
34.50 C 20260731 -1.00 -1.00 13 0 -1.0000 -1.0000 -1.000000
35.00 C 20260731 -1.00 -1.00 4 4 -1.0000 -1.0000 -1.000000
35.50 C 20260731 -1.00 -1.00 3 0 -1.0000 -1.0000 -1.000000
36.00 C 20260731 -1.00 -1.00 16 0 -1.0000 -1.0000 -1.000000
36.50 C 20260731 -1.00 -1.00 15 0 -1.0000 -1.0000 -1.000000
37.00 C 20260731 -1.00 -1.00 5 1 -1.0000 -1.0000 -1.000000
37.50 C 20260731 -1.00 -1.00 8 0 -1.0000 -1.0000 -1.000000
38.00 C 20260731 -1.00 -1.00 6 0 -1.0000 -1.0000 -1.000000
38.50 C 20260731 -1.00 -1.00 3 0 -1.0000 -1.0000 -1.000000
39.00 C 20260731 -1.00 -1.00 7 0 -1.0000 -1.0000 -1.000000
39.50 C 20260731 -1.00 -1.00 7 1 -1.0000 -1.0000 -1.000000
40.00 C 20260731 -1.00 -1.00 14 51 -1.0000 -1.0000 -1.000000
40.50 C 20260731 -1.00 -1.00 5 0 -1.0000 -1.0000 -1.000000
41.00 C 20260731 -1.00 -1.00 3 123 -1.0000 -1.0000 -1.000000
41.50 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
42.00 C 20260731 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
42.50 C 20260731 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
43.00 C 20260731 -1.00 -1.00 2 3 -1.0000 -1.0000 -1.000000
43.50 C 20260731 -1.00 -1.00 2 0 -1.0000 -1.0000 -1.000000
44.00 C 20260731 -1.00 -1.00 4 5 0.8126 0.9818 0.009792
44.50 C 20260731 -1.00 -1.00 2 1 1.1046 0.9292 0.022078
45.00 C 20260731 -1.00 -1.00 2 26 1.1262 0.9101 0.025868
45.50 C 20260731 -1.00 -1.00 2 2 1.0655 0.9056 0.028385
46.00 C 20260731 -1.00 -1.00 14 10 1.1897 0.8662 0.032795
46.50 C 20260731 -1.00 -1.00 3 11 1.1185 0.8593 0.036004
47.00 C 20260731 -1.00 -1.00 12 7 1.1019 0.8403 0.039647
47.50 C 20260731 -1.00 -1.00 2 11 1.1033 0.8176 0.043314
48.00 C 20260731 -1.00 -1.00 3 47 1.1396 0.7894 0.046377
48.50 C 20260731 -1.00 -1.00 40 5 1.2441 0.7452 0.046474
49.00 C 20260731 -1.00 -1.00 61 187 1.1596 0.7306 0.051294
49.50 C 20260731 -1.00 -1.00 14 4 1.1828 0.7004 0.053176
50.00 C 20260731 -1.00 -1.00 615 717 1.1924 0.6726 0.055391
50.50 C 20260731 -1.00 -1.00 61 33 1.1849 0.6437 0.057074
51.00 C 20260731 -1.00 -1.00 344 96 1.1500 0.6155 0.059928
51.50 C 20260731 -1.00 -1.00 248 35 1.1520 0.5844 0.061044
52.00 C 20260731 -1.00 -1.00 651 1059 1.1654 0.5534 0.061553
52.50 C 20260731 -1.00 -1.00 469 1706 1.2184 0.5241 0.059840
53.00 C 20260731 -1.00 -1.00 588 787 1.1764 0.4935 0.061432
53.50 C 20260731 -1.00 -1.00 195 477 1.1393 0.4610 0.062813
54.00 C 20260731 -1.00 -1.00 5823 1079 1.1627 0.4328 0.061009
54.50 C 20260731 -1.00 -1.00 253 510 1.1726 0.4040 0.059957
55.00 C 20260731 -1.00 -1.00 12031 3873 1.1746 0.3753 0.059040
55.50 C 20260731 -1.00 -1.00 276 553 1.1349 0.3436 0.058612
56.00 C 20260731 -1.00 -1.00 4851 3607 1.1406 0.3183 0.056326
56.50 C 20260731 -1.00 -1.00 241 174 1.1462 0.2932 0.054087
57.00 C 20260731 -1.00 -1.00 615 5084 1.1716 0.2729 0.051366
