# opt_chain NFLX | epoch 1785156333 | 2026-07-27 08:45:33 | spot 70.54 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 93 | band 0.4050 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
57.00 C 20260731 -1.00 -1.00 -1 0 1.1092 0.9647 0.009007
58.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
59.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
60.00 C 20260731 -1.00 -1.00 71 195 -1.0000 -1.0000 -1.000000
61.00 C 20260731 -1.00 -1.00 1 7 -1.0000 -1.0000 -1.000000
62.00 C 20260731 -1.00 -1.00 1 100 -1.0000 -1.0000 -1.000000
63.00 C 20260731 -1.00 -1.00 14 212 -1.0000 -1.0000 -1.000000
64.00 C 20260731 -1.00 -1.00 65 81 -1.0000 -1.0000 -1.000000
65.00 C 20260731 -1.00 -1.00 128 567 0.4212 0.9626 0.024853
66.00 C 20260731 -1.00 -1.00 562 574 0.3166 0.9735 0.025139
67.00 C 20260731 -1.00 -1.00 307 1347 -1.0000 -1.0000 -1.000000
68.00 C 20260731 -1.00 -1.00 1128 8085 0.2593 0.8990 0.087959
69.00 C 20260731 -1.00 -1.00 3462 2502 0.3154 0.7370 0.133766
70.00 C 20260731 -1.00 -1.00 12856 9862 0.3427 0.5818 0.147388
71.00 C 20260731 -1.00 -1.00 11950 7816 0.3564 0.4370 0.142933
72.00 C 20260731 -1.00 -1.00 7357 5411 0.3676 0.3100 0.124074
73.00 C 20260731 -1.00 -1.00 4520 5005 0.3813 0.2101 0.097986
74.00 C 20260731 -1.00 -1.00 5843 7203 0.4004 0.1380 0.072066
75.00 C 20260731 -1.00 -1.00 3580 10930 0.4165 0.0925 0.051202
76.00 C 20260731 -1.00 -1.00 840 7517 0.4424 0.0636 0.036457
77.00 C 20260731 -1.00 -1.00 765 2427 0.4694 0.0461 0.026404
78.00 C 20260731 -1.00 -1.00 234 3312 0.5077 0.0353 0.019847
79.00 C 20260731 -1.00 -1.00 193 3610 0.5253 0.0257 0.014574
80.00 C 20260731 -1.00 -1.00 838 8943 0.5609 0.0214 0.011682
81.00 C 20260731 -1.00 -1.00 217 786 0.5844 0.0154 0.008504
82.00 C 20260731 -1.00 -1.00 22 975 0.6110 0.0121 0.006654
83.00 C 20260731 -1.00 -1.00 220 2175 0.6508 0.0115 0.005916
84.00 C 20260731 -1.00 -1.00 116 1839 0.6636 0.0086 0.004469
85.00 C 20260731 -1.00 -1.00 385 2728 0.7026 0.0082 0.004030
86.00 C 20260731 -1.00 -1.00 94 938 0.7412 0.0078 0.003661
87.00 C 20260731 -1.00 -1.00 111 913 0.7793 0.0074 0.003347
88.00 C 20260731 -1.00 -1.00 3 2505 0.8169 0.0071 0.003078
89.00 C 20260731 -1.00 -1.00 156 1504 0.8541 0.0069 0.002844
57.00 P 20260731 -1.00 -1.00 47 59 0.8382 -0.0087 0.003607
58.00 P 20260731 -1.00 -1.00 40 40 0.7793 -0.0093 0.004140
59.00 P 20260731 -1.00 -1.00 668 670 0.6890 -0.0080 0.004067
60.00 P 20260731 -1.00 -1.00 367 2066 0.6777 -0.0129 0.006308
61.00 P 20260731 -1.00 -1.00 340 1015 0.6147 -0.0141 0.007476
62.00 P 20260731 -1.00 -1.00 94 14880 0.5799 -0.0201 0.010730
63.00 P 20260731 -1.00 -1.00 146 1569 0.5323 -0.0246 0.013995
64.00 P 20260731 -1.00 -1.00 510 1632 0.5078 -0.0390 0.021355
65.00 P 20260731 -1.00 -1.00 1407 17820 0.4728 -0.0555 0.030691
66.00 P 20260731 -1.00 -1.00 2185 3155 0.4473 -0.0868 0.045496
67.00 P 20260731 -1.00 -1.00 2023 4126 0.4455 -0.1438 0.065952
68.00 P 20260731 -1.00 -1.00 5706 5657 0.4483 -0.2232 0.087369
69.00 P 20260731 -1.00 -1.00 5354 3408 0.4510 -0.3239 0.104066
70.00 P 20260731 -1.00 -1.00 4320 4045 0.4550 -0.4347 0.112225
71.00 P 20260731 -1.00 -1.00 878 1064 0.4723 -0.5439 0.108966
72.00 P 20260731 -1.00 -1.00 233 1103 0.4966 -0.6414 0.098923
73.00 P 20260731 -1.00 -1.00 124 1040 0.5022 -0.7274 0.086251
74.00 P 20260731 -1.00 -1.00 1040 8287 0.5690 -0.7731 0.069605
75.00 P 20260731 -1.00 -1.00 139 1259 0.6271 -0.8054 0.057139
76.00 P 20260731 -1.00 -1.00 40 858 0.5392 -0.8931 0.045040
77.00 P 20260731 -1.00 -1.00 41 329 0.7272 -0.8601 0.040516
78.00 P 20260731 -1.00 -1.00 12 22 0.7403 -0.8856 0.034186
79.00 P 20260731 -1.00 -1.00 10 15 0.8047 -0.8932 0.029888
80.00 P 20260731 -1.00 -1.00 41 43 0.8681 -0.8995 0.026488
81.00 P 20260731 -1.00 -1.00 8 0 0.8795 -0.9207 0.022276
82.00 P 20260731 -1.00 -1.00 2 0 1.2120 -0.8594 0.024178
83.00 P 20260731 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
84.00 P 20260731 -1.00 -1.00 8 0 1.0172 -0.9363 0.016229
85.00 P 20260731 -1.00 -1.00 1 1 1.1539 -0.9248 0.016314
86.00 P 20260731 -1.00 -1.00 2 0 1.0018 -0.9634 0.010878
87.00 P 20260731 -1.00 -1.00 3 0 1.4229 -0.8973 0.016322
88.00 P 20260731 -1.00 -1.00 5 0 1.4962 -0.8973 0.015523
89.00 P 20260731 -1.00 -1.00 1 0 1.5525 -0.9001 0.014668
57.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
58.00 C 20260807 -1.00 -1.00 -1 0 0.4622 0.9931 0.003297
59.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
60.00 C 20260807 -1.00 -1.00 11 41 -1.0000 -1.0000 -1.000000
61.00 C 20260807 -1.00 -1.00 30 67 -1.0000 -1.0000 -1.000000
62.00 C 20260807 -1.00 -1.00 3 14 -1.0000 -1.0000 -1.000000
63.00 C 20260807 -1.00 -1.00 9 161 -1.0000 -1.0000 -1.000000
64.00 C 20260807 -1.00 -1.00 6 25 0.0012 1.0000 0.000000
65.00 C 20260807 -1.00 -1.00 38 127 0.4828 0.8414 0.040349
66.00 C 20260807 -1.00 -1.00 28 176 0.2981 0.9016 0.046869
67.00 C 20260807 -1.00 -1.00 41 1245 0.3006 0.8403 0.065116
68.00 C 20260807 -1.00 -1.00 516 1077 0.3167 0.7535 0.080561
69.00 C 20260807 -1.00 -1.00 488 800 0.3177 0.6653 0.093976
70.00 C 20260807 -1.00 -1.00 1571 3273 0.3214 0.5655 0.099078
71.00 C 20260807 -1.00 -1.00 2070 1295 0.3288 0.4684 0.097788
72.00 C 20260807 -1.00 -1.00 792 1231 0.3405 0.3776 0.091456
73.00 C 20260807 -1.00 -1.00 970 1478 0.3413 0.2968 0.081766
74.00 C 20260807 -1.00 -1.00 739 1541 0.3514 0.2293 0.070183
75.00 C 20260807 -1.00 -1.00 938 2644 0.3578 0.1748 0.058015
76.00 C 20260807 -1.00 -1.00 550 4768 0.3709 0.1334 0.047160
77.00 C 20260807 -1.00 -1.00 195 878 0.3804 0.1025 0.037719
78.00 C 20260807 -1.00 -1.00 123 808 0.3982 0.0792 0.030062
79.00 C 20260807 -1.00 -1.00 40 424 0.4079 0.0618 0.024044
80.00 C 20260807 -1.00 -1.00 293 2378 0.4167 0.0466 0.018731
81.00 C 20260807 -1.00 -1.00 58 678 0.4360 0.0372 0.015057
82.00 C 20260807 -1.00 -1.00 69 687 0.4490 0.0302 0.012262
83.00 C 20260807 -1.00 -1.00 9 642 0.4632 0.0252 0.010135
84.00 C 20260807 -1.00 -1.00 14 706 0.4772 0.0205 0.008240
85.00 C 20260807 -1.00 -1.00 98 1393 0.4979 0.0178 0.007026
86.00 C 20260807 -1.00 -1.00 11 685 0.5184 0.0153 0.005981
87.00 C 20260807 -1.00 -1.00 8 78 0.5455 0.0147 0.005500
88.00 C 20260807 -1.00 -1.00 19 619 0.5566 0.0125 0.004682
57.00 P 20260807 -1.00 -1.00 1 1 0.5729 -0.0148 0.005221
58.00 P 20260807 -1.00 -1.00 10 10 0.5313 -0.0159 0.005972
59.00 P 20260807 -1.00 -1.00 -1 0 0.5081 -0.0203 0.007721
60.00 P 20260807 -1.00 -1.00 29 7143 0.4766 -0.0235 0.009394
61.00 P 20260807 -1.00 -1.00 55 386 0.4501 -0.0288 0.011848
62.00 P 20260807 -1.00 -1.00 56 333 0.4226 -0.0382 0.015725
63.00 P 20260807 -1.00 -1.00 132 883 0.4085 -0.0534 0.021504
64.00 P 20260807 -1.00 -1.00 227 1671 0.3923 -0.0742 0.028868
65.00 P 20260807 -1.00 -1.00 457 2045 0.3859 -0.1079 0.038943
66.00 P 20260807 -1.00 -1.00 230 658 0.3813 -0.1539 0.050190
67.00 P 20260807 -1.00 -1.00 252 1108 0.3874 -0.2134 0.061659
68.00 P 20260807 -1.00 -1.00 585 1196 0.3824 -0.2831 0.071596
69.00 P 20260807 -1.00 -1.00 400 652 0.3877 -0.3607 0.078750
70.00 P 20260807 -1.00 -1.00 391 1067 0.3919 -0.4431 0.082016
71.00 P 20260807 -1.00 -1.00 162 539 0.3972 -0.5236 0.081636
72.00 P 20260807 -1.00 -1.00 26 437 0.4082 -0.5997 0.077498
73.00 P 20260807 -1.00 -1.00 26 302 0.4388 -0.6580 0.068492
74.00 P 20260807 -1.00 -1.00 31 325 0.4688 -0.7053 0.060001
75.00 P 20260807 -1.00 -1.00 118 581 0.4734 -0.7602 0.054530
