# opt_chain NVDA | epoch 1785183608 | 2026-07-27 16:20:08 | spot 196.67 | exps 20260727 20260729 20260731 20260803 20260805 20260807 20260810 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 68 | band 0.4050 vencimientos 9 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
145.00 C 20260727 -1.00 -1.00 101 3 5.7091 0.9969 0.000412
150.00 C 20260727 -1.00 -1.00 186 22 5.4849 0.9937 0.000795
155.00 C 20260727 -1.00 -1.00 412 41 8.2962 0.9327 0.003938
160.00 C 20260727 -1.00 -1.00 322 17 6.8087 0.9419 0.004317
165.00 C 20260727 -1.00 -1.00 228 12 6.0814 0.9308 0.005496
167.50 C 20260727 -1.00 -1.00 285 14 5.5778 0.9293 0.006087
170.00 C 20260727 -1.00 -1.00 338 85 5.3095 0.9182 0.007110
172.50 C 20260727 -1.00 -1.00 339 9 5.7612 0.8813 0.008752
175.00 C 20260727 -1.00 -1.00 173 63 4.4107 0.9086 0.009302
177.50 C 20260727 -1.00 -1.00 134 46 3.9339 0.9043 0.010795
180.00 C 20260727 -1.00 -1.00 242 107 2.1639 0.9784 0.005928
182.50 C 20260727 -1.00 -1.00 147 49 3.0737 0.8878 0.015617
185.00 C 20260727 -1.00 -1.00 231 142 1.4721 0.9791 0.008463
187.50 C 20260727 -1.00 -1.00 928 126 2.3092 0.8461 0.025748
190.00 C 20260727 -1.00 -1.00 936 590 0.7989 0.9816 0.013981
192.50 C 20260727 -1.00 -1.00 6367 565 0.6023 0.9540 0.039828
195.00 C 20260727 -1.00 -1.00 48642 1353 -1.0000 -1.0000 -1.000000
197.50 C 20260727 -1.00 -1.00 292337 2656 0.1560 0.0553 0.179095
200.00 C 20260727 -1.00 -1.00 373264 2635 0.4335 0.0226 0.030723
202.50 C 20260727 -1.00 -1.00 195943 608 0.6531 0.0109 0.011027
205.00 C 20260727 -1.00 -1.00 168979 3660 0.9290 0.0115 0.008131
207.50 C 20260727 -1.00 -1.00 120437 6061 1.1463 0.0095 0.005492
210.00 C 20260727 -1.00 -1.00 95974 16525 1.3609 0.0081 0.004004
212.50 C 20260727 -1.00 -1.00 32965 12363 1.5731 0.0071 0.003078
215.00 C 20260727 -1.00 -1.00 25927 19166 1.7827 0.0063 0.002459
217.50 C 20260727 -1.00 -1.00 13644 10025 1.9900 0.0057 0.002024
220.00 C 20260727 -1.00 -1.00 1661 9515 2.1948 0.0053 0.001705
222.50 C 20260727 -1.00 -1.00 627 3960 2.3974 0.0049 0.001464
225.00 C 20260727 -1.00 -1.00 95 3427 2.6508 0.0058 0.001526
227.50 C 20260727 -1.00 -1.00 51 1259 2.7847 0.0043 0.001127
230.00 C 20260727 -1.00 -1.00 48 2291 2.9576 0.0040 0.001005
232.50 C 20260727 -1.00 -1.00 100 1584 3.1287 0.0038 0.000903
235.00 C 20260727 -1.00 -1.00 8 3119 3.2980 0.0036 0.000817
