# opt_chain META | epoch 1785260206 | 2026-07-28 13:36:46 | spot 594.28 | exps 20260731 20260803
# fuente ibkr_tws | band 0.0800 | max_strikes 12 | narrow 1 | vencimientos 2 | rows 48 | greeks_ok_pct 1.0000 | bidask_ok_pct 1.0000
# strike right exp bid ask vol oi iv delta gamma
595.00 C 20260731 24.35 25.15 922 304 1.1331 0.5175 0.0065
595.00 P 20260731 24.65 25.35 500 985 1.1331 -0.4827 0.0065
592.50 C 20260731 25.50 26.45 2971 35 1.1329 0.5336 0.0064
592.50 P 20260731 23.35 24.25 626 122 1.1329 -0.4669 0.0065
597.50 C 20260731 23.20 24.05 330 151 1.1333 0.5016 0.0065
597.50 P 20260731 26.05 27.00 111 286 1.1333 -0.4987 0.0065
590.00 C 20260731 26.80 27.60 480 1150 1.1328 0.5495 0.0065
590.00 P 20260731 22.15 23.05 2355 891 1.1328 -0.4507 0.0065
600.00 C 20260731 22.05 22.70 2100 2865 1.1335 0.4857 0.0064
600.00 P 20260731 27.30 28.30 584 2962 1.1335 -0.5146 0.0064
587.50 C 20260731 28.15 29.10 20 46 1.1327 0.5658 0.0064
587.50 P 20260731 20.95 21.75 177 180 1.1327 -0.4345 0.0064
602.50 C 20260731 20.80 21.80 224 516 1.1336 0.4698 0.0064
602.50 P 20260731 28.50 29.85 48 382 1.1336 -0.5305 0.0064
585.00 C 20260731 29.15 30.35 20 183 1.1326 0.5819 0.0063
585.00 P 20260731 19.75 20.50 311 580 1.1326 -0.4184 0.0063
605.00 C 20260731 19.75 20.60 217 860 1.1338 0.4539 0.0064
605.00 P 20260731 30.00 31.10 28 505 1.1338 -0.5464 0.0064
582.50 C 20260731 30.35 31.65 101 21 1.1325 0.5979 0.0063
582.50 P 20260731 18.70 19.35 88 164 1.1325 -0.4023 0.0063
607.50 C 20260731 18.65 19.50 200 246 1.1339 0.4385 0.0065
607.50 P 20260731 31.40 32.80 35 180 1.1339 -0.5622 0.0064
580.00 C 20260731 31.90 33.05 80 526 1.1325 0.6137 0.0062
580.00 P 20260731 17.55 18.40 306 1269 1.1325 -0.3865 0.0062
595.00 C 20260803 24.85 26.30 26 34 0.8320 0.5211 0.0063
595.00 P 20260803 25.30 26.55 40 100 0.8320 -0.4796 0.0063
592.50 C 20260803 26.25 27.35 7 1 0.8320 0.5351 0.0062
592.50 P 20260803 24.15 25.30 12 8 0.8320 -0.4640 0.0063
597.50 C 20260803 23.75 25.05 5 21 0.8320 0.5056 0.0063
597.50 P 20260803 26.60 27.90 0 85 0.8320 -0.4949 0.0063
590.00 C 20260803 27.55 28.60 24 29 0.8321 0.5521 0.0062
590.00 P 20260803 22.75 23.95 118 87 0.8321 -0.4483 0.0062
600.00 C 20260803 22.65 24.10 72 275 0.8320 0.4902 0.0063
600.00 P 20260803 27.85 29.25 28 354 0.8320 -0.5104 0.0063
587.50 C 20260803 28.40 30.15 7 5 0.8323 0.5677 0.0062
587.50 P 20260803 21.60 22.50 26 19 0.8323 -0.4327 0.0062
602.50 C 20260803 21.35 22.85 10 343 0.8320 0.4747 0.0062
602.50 P 20260803 29.50 30.40 13 96 0.8320 -0.5259 0.0063
585.00 C 20260803 29.80 31.45 2 8 0.8325 0.5835 0.0061
585.00 P 20260803 20.60 21.65 40 54 0.8325 -0.4171 0.0061
605.00 C 20260803 20.35 21.75 10 330 0.8321 0.4593 0.0062
605.00 P 20260803 30.75 32.15 26 179 0.8321 -0.5414 0.0062
582.50 C 20260803 31.20 32.80 0 0 0.8327 0.5991 0.0061
582.50 P 20260803 19.50 20.50 17 4 0.8327 -0.4014 0.0061
607.50 C 20260803 19.30 20.55 24 135 0.8323 0.4438 0.0062
607.50 P 20260803 32.15 33.65 12 40 0.8323 -0.5569 0.0062
580.00 C 20260803 32.65 34.25 33 44 0.8330 0.6143 0.0060
580.00 P 20260803 18.40 19.45 18 103 0.8330 -0.3861 0.0060
