# opt_chain MU | epoch 1785251094 | 2026-07-28 11:04:54 | spot 814.37 | exps 20260729 20260731
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 136 | greeks_ok_pct 1.0000 | bidask_ok_pct 1.0000
# strike right exp bid ask vol oi iv delta gamma
815.00 C 20260729 24.10 24.65 2752 18 1.3401 0.5137 0.0064
815.00 P 20260729 25.60 26.30 2526 208 1.3401 -0.4865 0.0064
810.00 C 20260729 26.65 27.45 2935 254 1.3468 0.5405 0.0063
810.00 P 20260729 23.30 23.80 3200 517 1.3468 -0.4597 0.0063
820.00 C 20260729 21.75 22.25 4852 12 1.3339 0.4819 0.0064
820.00 P 20260729 28.20 28.95 2808 431 1.3339 -0.5183 0.0064
805.00 C 20260729 29.50 30.20 1744 58 1.3541 0.5716 0.0062
805.00 P 20260729 21.00 21.55 2528 411 1.3541 -0.4285 0.0062
825.00 C 20260729 19.45 20.05 2572 13 1.3283 0.4498 0.0064
825.00 P 20260729 30.85 31.85 973 379 1.3283 -0.5554 0.0064
800.00 C 20260729 31.95 33.30 3473 167 1.3620 0.6066 0.0061
800.00 P 20260729 19.05 19.50 9423 1974 1.3620 -0.3935 0.0061
830.00 C 20260729 17.40 17.95 2583 46 1.3232 0.4135 0.0063
830.00 P 20260729 33.80 34.90 1482 585 1.3232 -0.5818 0.0063
795.00 C 20260729 35.05 36.45 668 14 1.3705 0.6363 0.0059
795.00 P 20260729 17.00 17.55 1297 444 1.3705 -0.3638 0.0059
835.00 C 20260729 15.50 16.00 721 8 1.3186 0.3824 0.0062
835.00 P 20260729 36.55 38.05 560 410 1.3186 -0.6177 0.0062
790.00 C 20260729 38.25 39.70 582 3 1.3797 0.6607 0.0057
790.00 P 20260729 15.20 15.75 2141 528 1.3797 -0.3393 0.0057
840.00 C 20260729 13.80 14.25 1451 163 1.3146 0.3515 0.0061
840.00 P 20260729 39.85 41.35 404 366 1.3146 -0.6487 0.0061
785.00 C 20260729 41.60 43.00 182 4 1.3894 0.6927 0.0054
785.00 P 20260729 13.60 14.10 1119 328 1.3894 -0.3074 0.0054
845.00 C 20260729 12.15 12.65 956 139 1.3110 0.3278 0.0059
845.00 P 20260729 43.20 44.70 158 357 1.3110 -0.6724 0.0059
780.00 C 20260729 45.05 46.65 74 1 1.3998 0.7150 0.0052
780.00 P 20260729 12.10 12.50 1461 480 1.3998 -0.2850 0.0052
850.00 C 20260729 10.75 11.00 6679 422 1.3080 0.2934 0.0057
850.00 P 20260729 46.80 48.45 741 1420 1.3080 -0.7069 0.0057
775.00 C 20260729 48.25 50.30 25 0 1.4108 0.7401 0.0050
775.00 P 20260729 10.75 11.25 964 619 1.4108 -0.2600 0.0050
855.00 C 20260729 9.40 9.90 599 36 1.3056 0.2723 0.0055
855.00 P 20260729 50.40 51.95 49 224 1.3056 -0.7280 0.0055
770.00 C 20260729 52.45 54.30 48 26 1.4224 0.7625 0.0047
770.00 P 20260729 9.60 9.95 1201 312 1.4224 -0.2376 0.0047
860.00 C 20260729 8.25 8.70 1707 321 1.3037 0.2470 0.0052
860.00 P 20260729 54.35 55.75 233 437 1.3037 -0.7533 0.0052
765.00 C 20260729 56.30 58.30 49 25 1.4345 0.7942 0.0043
765.00 P 20260729 8.45 8.90 657 409 1.4345 -0.2058 0.0043
815.00 C 20260731 37.20 38.10 506 36 1.2520 0.5261 0.0042
815.00 P 20260731 38.30 39.10 989 11420 1.2520 -0.4741 0.0042
810.00 C 20260731 39.60 40.65 744 71 1.2556 0.5470 0.0041
810.00 P 20260731 35.85 36.60 1116 8293 1.2556 -0.4532 0.0041
820.00 C 20260731 34.75 35.55 1163 52 1.2484 0.4970 0.0042
820.00 P 20260731 40.80 42.00 1914 8861 1.2484 -0.5033 0.0042
805.00 C 20260731 42.15 43.40 200 29 1.2592 0.5593 0.0041
805.00 P 20260731 33.50 34.25 401 1454 1.2592 -0.4409 0.0041
825.00 C 20260731 32.45 33.25 577 71 1.2448 0.4760 0.0042
825.00 P 20260731 43.45 44.75 343 1020 1.2448 -0.5243 0.0042
800.00 C 20260731 45.00 46.10 1740 5638 1.2628 0.5884 0.0040
800.00 P 20260731 31.40 32.05 7013 8731 1.2628 -0.4118 0.0041
830.00 C 20260731 30.20 31.00 532 67 1.2411 0.4549 0.0042
830.00 P 20260731 46.30 47.50 1431 1020 1.2411 -0.5454 0.0042
795.00 C 20260731 47.60 49.30 175 15 1.2666 0.6092 0.0040
795.00 P 20260731 29.15 29.85 825 1101 1.2666 -0.3898 0.0040
835.00 C 20260731 28.10 28.85 432 44 1.2373 0.4342 0.0042
835.00 P 20260731 49.15 50.20 109 853 1.2373 -0.5661 0.0042
790.00 C 20260731 51.25 52.05 233 19 1.2705 0.6291 0.0039
790.00 P 20260731 27.15 27.80 921 4210 1.2705 -0.3710 0.0039
840.00 C 20260731 26.15 26.85 429 66 1.2334 0.4139 0.0042
840.00 P 20260731 52.15 53.70 418 1288 1.2334 -0.5864 0.0042
785.00 C 20260731 53.60 55.25 91 23 1.2746 0.6486 0.0038
785.00 P 20260731 25.25 25.85 583 960 1.2746 -0.3516 0.0038
845.00 C 20260731 24.20 24.90 246 47 1.2295 0.3933 0.0041
845.00 P 20260731 54.85 56.50 93 534 1.2295 -0.6071 0.0041
780.00 C 20260731 56.80 58.55 57 66 1.2790 0.6672 0.0037
780.00 P 20260731 23.40 24.05 513 1939 1.2790 -0.3318 0.0037
850.00 C 20260731 22.35 23.10 3254 900 1.2255 0.3727 0.0041
850.00 P 20260731 58.15 59.65 1901 5977 1.2255 -0.6277 0.0041
775.00 C 20260731 60.10 61.60 6 11 1.2837 0.6852 0.0036
775.00 P 20260731 21.70 22.30 357 842 1.2837 -0.3149 0.0036
855.00 C 20260731 20.65 21.40 159 154 1.2215 0.3627 0.0040
855.00 P 20260731 61.40 63.05 79 751 1.2215 -0.6377 0.0040
770.00 C 20260731 62.90 65.10 50 65 1.2888 0.7051 0.0035
770.00 P 20260731 20.05 20.70 642 797 1.2888 -0.2950 0.0035
860.00 C 20260731 19.15 19.75 855 198 1.2175 0.3437 0.0040
860.00 P 20260731 64.70 66.10 171 1874 1.2175 -0.6567 0.0040
765.00 C 20260731 67.00 68.65 32 82 1.2943 0.7228 0.0034
765.00 P 20260731 18.55 19.15 246 704 1.2943 -0.2773 0.0034
692.50 C 20260729 116.55 129.50 0 0 1.6665 0.9610 0.0011
692.50 P 20260729 1.27 1.43 85 25 1.6665 -0.0406 0.0011
700.00 C 20260729 109.90 119.70 25 42 1.6383 0.9501 0.0014
700.00 P 20260729 1.57 1.70 3214 1668 1.6383 -0.0499 0.0014
707.50 C 20260729 105.70 113.20 0 0 1.6110 0.9395 0.0016
707.50 P 20260729 1.95 2.10 68 20 1.6110 -0.0605 0.0016
715.00 C 20260729 98.45 105.05 1 0 1.5846 0.9323 0.0018
715.00 P 20260729 2.35 2.55 499 37 1.5846 -0.0677 0.0018
722.50 C 20260729 91.10 98.05 0 1 1.5591 0.9167 0.0021
722.50 P 20260729 2.89 3.10 186 39 1.5591 -0.0833 0.0021
730.00 C 20260729 84.10 91.25 12 44 1.5346 0.9035 0.0024
730.00 P 20260729 3.50 3.75 537 217 1.5346 -0.0965 0.0024
737.50 C 20260729 77.10 84.50 0 0 1.5111 0.8823 0.0028
737.50 P 20260729 4.25 4.60 178 61 1.5111 -0.1177 0.0028
745.00 C 20260729 70.50 78.00 1 0 1.4886 0.8641 0.0031
745.00 P 20260729 5.20 5.55 546 151 1.4886 -0.1360 0.0031
755.00 C 20260729 63.30 66.20 4 17 1.4605 0.8216 0.0038
755.00 P 20260729 6.75 7.15 417 267 1.4605 -0.1784 0.0038
870.00 C 20260729 6.25 6.60 1328 287 1.3018 0.1956 0.0045
870.00 P 20260729 62.65 64.70 117 519 1.3018 -0.8047 0.0046
885.00 C 20260729 4.05 4.40 952 268 1.3039 0.1458 0.0038
885.00 P 20260729 72.55 78.80 91 332 1.3039 -0.8546 0.0038
900.00 C 20260729 2.70 2.77 16550 1164 1.3120 0.1017 0.0029
900.00 P 20260729 86.25 91.25 236 615 1.3120 -0.8987 0.0029
915.00 C 20260729 1.74 1.93 561 440 1.3262 0.0677 0.0021
915.00 P 20260729 99.25 105.75 29 238 1.3262 -0.9328 0.0021
930.00 C 20260729 1.10 1.20 731 507 1.3467 0.0485 0.0016
930.00 P 20260729 112.30 120.05 16 143 1.3467 -0.9523 0.0016
692.50 C 20260731 124.55 131.75 3 0 1.4198 0.9004 0.0016
692.50 P 20260731 5.35 5.60 23 100 1.4198 -0.0998 0.0016
700.00 C 20260731 117.80 123.30 15 208 1.4033 0.8888 0.0018
700.00 P 20260731 6.00 6.50 1439 7096 1.4033 -0.1113 0.0018
707.50 C 20260731 111.35 118.20 0 0 1.3875 0.8730 0.0020
707.50 P 20260731 6.90 7.45 18 87 1.3875 -0.1271 0.0020
715.00 C 20260731 103.10 111.70 0 19 1.3725 0.8585 0.0022
715.00 P 20260731 7.95 8.45 159 1506 1.3725 -0.1397 0.0021
722.50 C 20260731 98.25 101.25 1 1 1.3582 0.8398 0.0024
722.50 P 20260731 9.15 9.60 35 122 1.3582 -0.1570 0.0023
730.00 C 20260731 92.35 94.75 173 278 1.3448 0.8214 0.0026
730.00 P 20260731 10.60 10.90 308 651 1.3448 -0.1727 0.0025
737.50 C 20260731 86.70 89.10 7 25 1.3322 0.8018 0.0028
737.50 P 20260731 11.90 12.40 51 139 1.3322 -0.1918 0.0027
745.00 C 20260731 80.65 83.30 7 52 1.3206 0.7805 0.0029
745.00 P 20260731 13.55 14.05 422 1184 1.3206 -0.2140 0.0029
755.00 C 20260731 73.25 75.35 22 58 1.3066 0.7556 0.0032
755.00 P 20260731 15.95 16.50 142 655 1.3066 -0.2438 0.0032
870.00 C 20260731 15.95 16.55 834 236 1.2097 0.2947 0.0038
870.00 P 20260731 72.30 74.20 101 1571 1.2097 -0.7058 0.0038
885.00 C 20260731 12.30 12.80 96 429 1.1989 0.2509 0.0035
885.00 P 20260731 83.25 86.00 56 1280 1.1989 -0.7497 0.0035
900.00 C 20260731 9.50 9.90 5313 3185 1.1905 0.2050 0.0031
900.00 P 20260731 95.60 98.15 371 5134 1.1905 -0.7957 0.0031
915.00 C 20260731 7.05 7.55 209 329 1.1855 0.1629 0.0027
915.00 P 20260731 107.70 110.10 21 387 1.1855 -0.8379 0.0027
930.00 C 20260731 5.30 5.50 235 570 1.1844 0.1267 0.0023
930.00 P 20260731 117.00 124.65 59 712 1.1844 -0.8742 0.0023
