# opt_chain SKHY | epoch 1785252320 | 2026-07-28 11:25:20 | spot 133.16 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 152 | greeks_ok_pct 0.9671 | bidask_ok_pct 1.0000
# strike right exp bid ask vol oi iv delta gamma
133.00 C 20260731 8.60 9.40 99 46 1.7953 0.5370 0.0179
133.00 P 20260731 8.60 9.90 78 354 1.7953 -0.4632 0.0179
134.00 C 20260731 7.80 8.80 56 4 1.7933 0.5193 0.0180
134.00 P 20260731 9.10 10.40 264 127 1.7933 -0.4809 0.0180
132.00 C 20260731 9.30 9.60 360 7 1.7976 0.5549 0.0178
132.00 P 20260731 8.10 9.20 209 109 1.7976 -0.4453 0.0177
135.00 C 20260731 8.00 8.40 1681 114 1.7916 0.5016 0.0180
135.00 P 20260731 9.70 11.00 424 8009 1.7916 -0.4986 0.0180
131.00 C 20260731 9.70 10.30 238 3 1.8001 0.5727 0.0175
131.00 P 20260731 7.70 8.50 176 240 1.8001 -0.4274 0.0176
136.00 C 20260731 7.70 7.90 101 3 1.7902 0.4839 0.0180
136.00 P 20260731 10.40 10.90 165 125 1.7902 -0.5163 0.0180
130.00 C 20260731 10.10 10.80 1819 68 1.8029 0.5907 0.0174
130.00 P 20260731 7.20 7.70 1779 2112 1.8029 -0.4096 0.0174
137.00 C 20260731 6.80 7.50 77 24 1.7890 0.4662 0.0179
137.00 P 20260731 11.00 12.20 11 131 1.7890 -0.5340 0.0179
129.00 C 20260731 10.50 11.40 141 0 1.8059 0.6058 0.0173
129.00 P 20260731 6.50 7.90 337 196 1.8059 -0.3943 0.0173
138.00 C 20260731 6.70 7.10 80 35 1.7880 0.4488 0.0179
138.00 P 20260731 11.50 12.90 10 240 1.7880 -0.5514 0.0179
128.00 C 20260731 10.60 12.00 22 1 1.8093 0.6233 0.0170
128.00 P 20260731 6.30 7.00 173 229 1.8093 -0.3768 0.0170
139.00 C 20260731 6.10 6.70 37 49 1.7873 0.4320 0.0177
139.00 P 20260731 12.10 13.50 35 260 1.7873 -0.5682 0.0177
127.00 C 20260731 11.10 12.70 0 14 1.8129 0.6406 0.0167
127.00 P 20260731 5.80 6.90 188 184 1.8129 -0.3595 0.0167
140.00 C 20260731 5.90 6.30 2917 941 1.7868 0.4153 0.0176
140.00 P 20260731 12.70 14.20 560 5175 1.7868 -0.5849 0.0176
126.00 C 20260731 11.70 13.20 21 0 1.8168 0.6599 0.0162
126.00 P 20260731 5.40 6.50 58 86 1.8168 -0.3402 0.0162
