# opt_chain TSM | epoch 1785262244 | 2026-07-28 14:10:44 | spot 390.04 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 136 | greeks_ok_pct 1.0000 | bidask_ok_pct 1.0000
# strike right exp bid ask vol oi iv delta gamma
390.00 C 20260731 9.35 9.75 559 431 0.6565 0.5141 0.0171
390.00 P 20260731 9.00 9.45 437 3654 0.6565 -0.4864 0.0171
392.50 C 20260731 8.05 8.50 256 173 0.6530 0.4717 0.0171
392.50 P 20260731 10.25 10.75 47 274 0.6530 -0.5289 0.0171
387.50 C 20260731 10.70 11.20 147 17 0.6603 0.5563 0.0167
387.50 P 20260731 7.90 8.30 37 589 0.6603 -0.4441 0.0168
395.00 C 20260731 6.90 7.35 245 305 0.6500 0.4290 0.0170
395.00 P 20260731 11.70 12.20 133 2409 0.6500 -0.5716 0.0170
385.00 C 20260731 12.05 12.55 276 635 0.6646 0.5979 0.0164
385.00 P 20260731 6.85 7.25 559 3822 0.6646 -0.4025 0.0164
397.50 C 20260731 6.00 6.35 126 287 0.6474 0.3877 0.0166
397.50 P 20260731 13.05 13.65 42 1345 0.6474 -0.6129 0.0166
382.50 C 20260731 13.65 14.15 105 115 0.6693 0.6375 0.0157
382.50 P 20260731 6.05 6.35 74 691 0.6693 -0.3628 0.0157
400.00 C 20260731 5.25 5.35 1041 1862 0.6451 0.3471 0.0161
400.00 P 20260731 14.75 15.35 252 4866 0.6451 -0.6537 0.0161
380.00 C 20260731 15.20 15.85 319 1615 0.6745 0.6760 0.0150
380.00 P 20260731 5.10 5.45 934 5189 0.6745 -0.3242 0.0150
402.50 C 20260731 4.30 4.60 669 212 0.6432 0.3088 0.0153
402.50 P 20260731 16.30 17.10 8 181 0.6432 -0.6921 0.0154
377.50 C 20260731 16.70 17.65 7 116 0.6801 0.7116 0.0141
377.50 P 20260731 4.35 4.65 301 700 0.6801 -0.2886 0.0141
405.00 C 20260731 3.65 3.95 543 2686 0.6416 0.2721 0.0145
405.00 P 20260731 18.10 18.80 79 1524 0.6416 -0.7289 0.0145
375.00 C 20260731 18.85 19.70 9 125 0.6863 0.7456 0.0131
375.00 P 20260731 3.75 4.00 608 3358 0.6863 -0.2546 0.0131
407.50 C 20260731 3.00 3.25 97 1312 0.6404 0.2381 0.0135
407.50 P 20260731 20.05 20.70 12 874 0.6404 -0.7629 0.0136
372.50 C 20260731 20.40 21.40 1 1 0.6929 0.7766 0.0121
372.50 P 20260731 3.15 3.45 235 1323 0.6929 -0.2236 0.0121
410.00 C 20260731 2.54 2.70 2066 3695 0.6396 0.2074 0.0125
410.00 P 20260731 21.90 22.80 65 1101 0.6396 -0.7938 0.0126
370.00 C 20260731 22.55 23.60 34 173 0.7000 0.8056 0.0110
370.00 P 20260731 2.76 2.93 527 2416 0.7000 -0.1945 0.0110
412.50 C 20260731 2.09 2.23 106 356 0.6391 0.1787 0.0114
412.50 P 20260731 23.80 25.10 2 335 0.6391 -0.8226 0.0115
367.50 C 20260731 24.55 26.10 20 0 0.7075 0.8296 0.0100
367.50 P 20260731 2.32 2.48 241 894 0.7075 -0.1705 0.0100
415.00 C 20260731 1.70 1.85 432 1962 0.6391 0.1527 0.0103
415.00 P 20260731 25.45 27.10 34 550 0.6391 -0.8487 0.0104
390.00 C 20260807 14.05 14.80 99 105 0.5519 0.5241 0.0112
390.00 P 20260807 13.50 14.15 190 497 0.5519 -0.4770 0.0113
392.50 C 20260807 12.80 13.65 42 5 0.5495 0.4952 0.0112
