# opt_chain INTC | epoch 1785270028 | 2026-07-28 16:20:28 | spot 86.76 | exps 20260729 20260731 20260803 20260805 20260807 20260810 20260812 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 87 | band 0.6000 vencimientos 9 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
55.00 C 20260729 -1.00 -1.00 27 23 3.7515 0.9886 0.001647
60.00 C 20260729 -1.00 -1.00 5 1 3.8578 0.9634 0.004290
65.00 C 20260729 -1.00 -1.00 10 9 2.8461 0.9694 0.005042
66.00 C 20260729 -1.00 -1.00 14 9 2.7113 0.9680 0.005477
67.00 C 20260729 -1.00 -1.00 15 10 2.5786 0.9666 0.005967
68.00 C 20260729 -1.00 -1.00 13 15 2.4479 0.9650 0.006524
69.00 C 20260729 -1.00 -1.00 4814 66 2.3191 0.9632 0.007160
70.00 C 20260729 -1.00 -1.00 4814 16 2.1922 0.9613 0.007891
71.00 C 20260729 -1.00 -1.00 6413 6 2.1789 0.9516 0.009565
72.00 C 20260729 -1.00 -1.00 28417 30 2.1102 0.9452 0.010972
73.00 C 20260729 -1.00 -1.00 22014 32 2.0376 0.9384 0.012539
74.00 C 20260729 -1.00 -1.00 18 9 1.8659 0.9385 0.013688
75.00 C 20260729 -1.00 -1.00 29 3 1.7279 0.9345 0.015444
76.00 C 20260729 -1.00 -1.00 26 24 1.5918 0.9300 0.017588
77.00 C 20260729 -1.00 -1.00 35 5 1.4575 0.9246 0.020251
78.00 C 20260729 -1.00 -1.00 23 55 1.4175 0.9040 0.024921
79.00 C 20260729 -1.00 -1.00 15 20 1.4751 0.8670 0.030515
80.00 C 20260729 -1.00 -1.00 268 37 1.3399 0.8509 0.036042
81.00 C 20260729 -1.00 -1.00 75 47 1.2064 0.8315 0.043298
82.00 C 20260729 -1.00 -1.00 198 73 1.1747 0.7898 0.051629
83.00 C 20260729 -1.00 -1.00 457 75 1.0636 0.7501 0.062310
84.00 C 20260729 -1.00 -1.00 1463 4 1.0169 0.6884 0.072653
85.00 C 20260729 -1.00 -1.00 6266 30 1.0297 0.6110 0.077627
86.00 C 20260729 -1.00 -1.00 5936 101 1.0148 0.5315 0.082317
87.00 C 20260729 -1.00 -1.00 14913 241 1.0028 0.4504 0.082168
88.00 C 20260729 -1.00 -1.00 14157 457 1.0196 0.3719 0.078306
89.00 C 20260729 -1.00 -1.00 4196 245 1.0058 0.2995 0.071797
90.00 C 20260729 -1.00 -1.00 26872 1270 1.0283 0.2363 0.063262
