# opt_chain NOK | epoch 1785270035 | 2026-07-28 16:20:35 | spot 8.92 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 95 | band 0.6000 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
6.00 C 20260731 -1.00 -1.00 2 0 0.0002 0.9998 0.000001
7.00 C 20260731 -1.00 -1.00 9 3 1.2102 0.9874 0.032216
8.00 C 20260731 -1.00 -1.00 75 686 1.0781 0.8729 0.237226
8.50 C 20260731 -1.00 -1.00 922 411 0.8727 0.7330 0.458216
9.00 C 20260731 -1.00 -1.00 8232 6100 0.8297 0.4643 0.583935
9.50 C 20260731 -1.00 -1.00 2211 10918 0.8019 0.2055 0.432170
10.00 C 20260731 -1.00 -1.00 7063 18747 0.8226 0.0680 0.195194
10.50 C 20260731 -1.00 -1.00 205 4679 1.0168 0.0440 0.110616
11.00 C 20260731 -1.00 -1.00 172 26860 1.2550 0.0372 0.078843
11.50 C 20260731 -1.00 -1.00 33 3461 1.4616 0.0327 0.060799
12.00 C 20260731 -1.00 -1.00 9 10427 1.8540 0.0488 0.065877
6.00 P 20260731 -1.00 -1.00 1 7 -1.0000 -1.0000 -1.000000
7.00 P 20260731 -1.00 -1.00 307 176 1.4552 -0.0301 0.056931
8.00 P 20260731 -1.00 -1.00 966 2881 0.9483 -0.1017 0.228011
8.50 P 20260731 -1.00 -1.00 3049 14864 0.8578 -0.2637 0.463601
9.00 P 20260731 -1.00 -1.00 1185 12357 0.8173 -0.5367 0.592828
9.50 P 20260731 -1.00 -1.00 364 3703 0.7841 -0.8002 0.434686
10.00 P 20260731 -1.00 -1.00 334 12197 0.9697 -0.8921 0.232465
10.50 P 20260731 -1.00 -1.00 45 3909 0.9720 -0.9655 0.097535
11.00 P 20260731 -1.00 -1.00 77 1897 1.1817 -0.9709 0.069235
11.50 P 20260731 -1.00 -1.00 17 826 1.2722 -0.9846 0.038382
12.00 P 20260731 -1.00 -1.00 131 1331 1.5669 -0.9771 0.042496
6.00 C 20260807 -1.00 -1.00 9 6 -1.0000 -1.0000 -1.000000
7.00 C 20260807 -1.00 -1.00 2 15 1.0547 0.9287 0.086814
8.00 C 20260807 -1.00 -1.00 173 113 0.7997 0.8102 0.230784
8.50 C 20260807 -1.00 -1.00 322 180 0.7536 0.6713 0.330192
9.00 C 20260807 -1.00 -1.00 1168 1591 0.7237 0.4920 0.375715
9.50 C 20260807 -1.00 -1.00 962 2721 0.7283 0.3216 0.333547
10.00 C 20260807 -1.00 -1.00 3849 5797 0.7237 0.1857 0.250084
10.50 C 20260807 -1.00 -1.00 7117 3388 0.7342 0.0999 0.161118
11.00 C 20260807 -1.00 -1.00 154 8934 0.7580 0.0538 0.096885
11.50 C 20260807 -1.00 -1.00 4 850 0.8838 0.0474 0.075175
12.00 C 20260807 -1.00 -1.00 171 8603 0.9171 0.0294 0.049103
6.00 P 20260807 -1.00 -1.00 22 34 1.3076 -0.0249 0.030375
7.00 P 20260807 -1.00 -1.00 316 211 0.9612 -0.0539 0.077714
8.00 P 20260807 -1.00 -1.00 145 11443 0.7788 -0.1842 0.232701
8.50 P 20260807 -1.00 -1.00 282 1043 0.7389 -0.3261 0.335729
9.00 P 20260807 -1.00 -1.00 650 9715 0.7033 -0.5093 0.386926
9.50 P 20260807 -1.00 -1.00 47 627 0.6967 -0.6878 0.344741
