# opt_chain XLK | epoch 1785242733 | 2026-07-28 08:45:33 | spot 171.57 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 92 | band 0.4050 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
130.00 C 20260731 -1.00 -1.00 192 301 2.6590 0.8881 0.004349
135.00 C 20260731 -1.00 -1.00 189 40 2.2904 0.8856 0.005136
140.00 C 20260731 -1.00 -1.00 12 4 1.9798 0.8781 0.006192
145.00 C 20260731 -1.00 -1.00 26 18 1.8287 0.8505 0.007645
150.00 C 20260731 -1.00 -1.00 28 15 1.5372 0.8357 0.009682
152.00 C 20260731 -1.00 -1.00 215 155 1.4825 0.8206 0.010660
152.50 C 20260731 -1.00 -1.00 246 160 1.3983 0.8262 0.011056
153.00 C 20260731 -1.00 -1.00 36 37 1.4344 0.8153 0.011239
154.00 C 20260731 -1.00 -1.00 -1 0 1.2969 0.8226 0.012085
155.00 C 20260731 -1.00 -1.00 -1 0 1.2557 0.8159 0.012802
156.00 C 20260731 -1.00 -1.00 49 20 1.2683 0.8008 0.013391
157.00 C 20260731 -1.00 -1.00 52 46 1.2566 0.7891 0.014068
157.50 C 20260731 -1.00 -1.00 3 47 1.2373 0.7840 0.014446
158.00 C 20260731 -1.00 -1.00 -1 0 1.1338 0.7931 0.015375
159.00 C 20260731 -1.00 -1.00 -1 0 1.1078 0.7808 0.016258
160.00 C 20260731 -1.00 -1.00 1 5 1.0790 0.7670 0.017172
161.00 C 20260731 -1.00 -1.00 -1 0 1.0459 0.7533 0.018206
162.00 C 20260731 -1.00 -1.00 2 2 0.9863 0.7436 0.019672
162.50 C 20260731 -1.00 -1.00 3 3 1.0122 0.7283 0.019724
163.00 C 20260731 -1.00 -1.00 9 1 0.9759 0.7239 0.020626
164.00 C 20260731 -1.00 -1.00 2 3 0.9257 0.7102 0.022286
165.00 C 20260731 -1.00 -1.00 5 13 0.9200 0.6882 0.023302
166.00 C 20260731 -1.00 -1.00 1 1 0.8484 0.6749 0.025835
167.00 C 20260731 -1.00 -1.00 4 4 0.8920 0.6430 0.025417
167.50 C 20260731 -1.00 -1.00 19 5 0.8772 0.6313 0.026037
168.00 C 20260731 -1.00 -1.00 17 14 0.8318 0.6223 0.027615
169.00 C 20260731 -1.00 -1.00 14 11 0.7109 0.6046 0.032665
170.00 C 20260731 -1.00 -1.00 6 33 0.7770 0.5676 0.030539
171.00 C 20260731 -1.00 -1.00 1 3 0.7518 0.5372 0.032115
172.00 C 20260731 -1.00 -1.00 9 10 0.7180 0.5047 0.033897
172.50 C 20260731 -1.00 -1.00 21 38 0.7019 0.4874 0.034460
173.00 C 20260731 -1.00 -1.00 65 40 0.6617 0.4673 0.036285
174.00 C 20260731 -1.00 -1.00 20 46 0.6484 0.4298 0.036501
175.00 C 20260731 -1.00 -1.00 312 650 0.6330 0.3904 0.036818
176.00 C 20260731 -1.00 -1.00 66 249 0.6043 0.3481 0.037164
177.00 C 20260731 -1.00 -1.00 37 68 0.5659 0.3014 0.037061
177.50 C 20260731 -1.00 -1.00 11 51 0.6002 0.2961 0.034660
178.00 C 20260731 -1.00 -1.00 34 144 0.5608 0.2632 0.035223
179.00 C 20260731 -1.00 -1.00 458 418 0.5647 0.2312 0.032858
180.00 C 20260731 -1.00 -1.00 179 519 0.5570 0.2004 0.030305
181.00 C 20260731 -1.00 -1.00 35 344 0.5449 0.1666 0.027590
182.00 C 20260731 -1.00 -1.00 47 1270 0.6618 0.1926 0.024856
182.50 C 20260731 -1.00 -1.00 121 745 0.5596 0.1348 0.023579
183.00 C 20260731 -1.00 -1.00 204 339 0.5281 0.1125 0.021748
184.00 C 20260731 -1.00 -1.00 27 301 0.4962 0.0769 0.017606
185.00 C 20260731 -1.00 -1.00 63 444 0.4902 0.0608 0.014776
186.00 C 20260731 -1.00 -1.00 458 551 0.5501 0.0686 0.014569
187.00 C 20260731 -1.00 -1.00 45 259 0.4902 0.0367 0.009857
187.50 C 20260731 -1.00 -1.00 62 152 0.4780 0.0292 0.008365
188.00 C 20260731 -1.00 -1.00 98 299 0.5110 0.0330 0.008744
189.00 C 20260731 -1.00 -1.00 11 151 0.5284 0.0307 0.007919
190.00 C 20260731 -1.00 -1.00 31 349 0.5124 0.0218 0.006035
191.00 C 20260731 -1.00 -1.00 6 39 0.5622 0.0264 0.006519
192.00 C 20260731 -1.00 -1.00 1 92 0.6835 0.0493 0.008913
193.00 C 20260731 -1.00 -1.00 3 39 0.7391 0.0555 0.009070
194.00 C 20260731 -1.00 -1.00 2 498 0.7206 0.0428 0.007557
195.00 C 20260731 -1.00 -1.00 12 213 0.5444 0.0081 0.002416
196.00 C 20260731 -1.00 -1.00 1 93 0.7954 0.0466 0.007316
197.00 C 20260731 -1.00 -1.00 1 78 0.7479 0.0302 0.005503
198.00 C 20260731 -1.00 -1.00 2 49 0.7801 0.0309 0.005387
199.00 C 20260731 -1.00 -1.00 1 2 0.8697 0.0432 0.006312
200.00 C 20260731 -1.00 -1.00 14 407 0.7145 0.0133 0.002876
202.50 C 20260731 -1.00 -1.00 6 75 0.7607 0.0125 0.002558
205.00 C 20260731 -1.00 -1.00 2 612 0.8309 0.0135 0.002512
207.50 C 20260731 -1.00 -1.00 1 15 0.8637 0.0121 0.002178
210.00 C 20260731 -1.00 -1.00 1 842 0.8591 0.0083 0.001558
215.00 C 20260731 -1.00 -1.00 1 12 1.3004 0.0413 0.004079
130.00 P 20260731 -1.00 -1.00 2 208 1.5596 -0.0256 0.002323
135.00 P 20260731 -1.00 -1.00 320 765 1.3111 -0.0240 0.002597
140.00 P 20260731 -1.00 -1.00 1 3 1.1304 -0.0258 0.003216
145.00 P 20260731 -1.00 -1.00 1 28 0.6830 -0.0040 0.001046
150.00 P 20260731 -1.00 -1.00 54 99 0.6134 -0.0097 0.002537
152.00 P 20260731 -1.00 -1.00 1 1 0.6485 -0.0236 0.005149
152.50 P 20260731 -1.00 -1.00 -1 0 0.7123 -0.0396 0.007173
153.00 P 20260731 -1.00 -1.00 -1 0 0.7021 -0.0419 0.007610
154.00 P 20260731 -1.00 -1.00 1 1 0.5854 -0.0248 0.005957
155.00 P 20260731 -1.00 -1.00 7 35 0.5811 -0.0307 0.007202
156.00 P 20260731 -1.00 -1.00 1 1 0.6264 -0.0532 0.010409
157.00 P 20260731 -1.00 -1.00 7 7 0.5697 -0.0495 0.010764
157.50 P 20260731 -1.00 -1.00 4 5 0.5969 -0.0618 0.012411
158.00 P 20260731 -1.00 -1.00 2 2 0.5852 -0.0648 0.013159
159.00 P 20260731 -1.00 -1.00 1 1 0.5535 -0.0706 0.014765
160.00 P 20260731 -1.00 -1.00 47 306 0.5203 -0.0763 0.016597
161.00 P 20260731 -1.00 -1.00 5 24 0.4608 -0.0698 0.017600
162.00 P 20260731 -1.00 -1.00 13 117 0.4808 -0.1022 0.022302
162.50 P 20260731 -1.00 -1.00 2 2 0.4574 -0.1033 0.023645
163.00 P 20260731 -1.00 -1.00 99 95 0.4464 -0.1102 0.025481
164.00 P 20260731 -1.00 -1.00 246 154 0.4430 -0.1362 0.029915
165.00 P 20260731 -1.00 -1.00 391 977 0.4234 -0.1616 0.034790
166.00 P 20260731 -1.00 -1.00 102 219 0.4143 -0.1948 0.040220
167.00 P 20260731 -1.00 -1.00 135 439 0.4238 -0.2424 0.044705
167.50 P 20260731 -1.00 -1.00 32 374 0.4179 -0.2642 0.047188
168.00 P 20260731 -1.00 -1.00 20 536 0.3911 -0.2770 0.051598
169.00 P 20260731 -1.00 -1.00 94 145 0.3969 -0.3323 0.055780
170.00 P 20260731 -1.00 -1.00 116 1721 0.3539 -0.3787 0.065148
171.00 P 20260731 -1.00 -1.00 52 408 0.3469 -0.4448 0.068923
172.00 P 20260731 -1.00 -1.00 111 246 0.2956 -0.5177 0.082050
172.50 P 20260731 -1.00 -1.00 17 389 0.2998 -0.5567 0.079634
173.00 P 20260731 -1.00 -1.00 12 74 0.2852 -0.6017 0.082218
174.00 P 20260731 -1.00 -1.00 23 239 0.2026 -0.7495 0.096690
175.00 P 20260731 -1.00 -1.00 72 602 0.1360 -0.9351 0.065176
176.00 P 20260731 -1.00 -1.00 2 580 -1.0000 -1.0000 -1.000000
177.00 P 20260731 -1.00 -1.00 12 420 -1.0000 -1.0000 -1.000000
177.50 P 20260731 -1.00 -1.00 12 167 -1.0000 -1.0000 -1.000000
178.00 P 20260731 -1.00 -1.00 2 220 -1.0000 -1.0000 -1.000000
179.00 P 20260731 -1.00 -1.00 6 355 -1.0000 -1.0000 -1.000000
180.00 P 20260731 -1.00 -1.00 10 207 -1.0000 -1.0000 -1.000000
181.00 P 20260731 -1.00 -1.00 31 219 -1.0000 -1.0000 -1.000000
182.00 P 20260731 -1.00 -1.00 75 214 -1.0000 -1.0000 -1.000000
182.50 P 20260731 -1.00 -1.00 7 113 -1.0000 -1.0000 -1.000000
183.00 P 20260731 -1.00 -1.00 9 223 -1.0000 -1.0000 -1.000000
184.00 P 20260731 -1.00 -1.00 2 131 -1.0000 -1.0000 -1.000000
185.00 P 20260731 -1.00 -1.00 5 316 -1.0000 -1.0000 -1.000000
186.00 P 20260731 -1.00 -1.00 2 130 -1.0000 -1.0000 -1.000000
187.00 P 20260731 -1.00 -1.00 3 85 -1.0000 -1.0000 -1.000000
187.50 P 20260731 -1.00 -1.00 2 68 -1.0000 -1.0000 -1.000000
188.00 P 20260731 -1.00 -1.00 10 40 -1.0000 -1.0000 -1.000000
189.00 P 20260731 -1.00 -1.00 4 8 -1.0000 -1.0000 -1.000000
190.00 P 20260731 -1.00 -1.00 6 0 -1.0000 -1.0000 -1.000000
191.00 P 20260731 -1.00 -1.00 7 0 -1.0000 -1.0000 -1.000000
192.00 P 20260731 -1.00 -1.00 4 0 -1.0000 -1.0000 -1.000000
193.00 P 20260731 -1.00 -1.00 9 0 -1.0000 -1.0000 -1.000000
194.00 P 20260731 -1.00 -1.00 6 0 -1.0000 -1.0000 -1.000000
195.00 P 20260731 -1.00 -1.00 6 4 -1.0000 -1.0000 -1.000000
196.00 P 20260731 -1.00 -1.00 106 0 -1.0000 -1.0000 -1.000000
197.00 P 20260731 -1.00 -1.00 108 0 -1.0000 -1.0000 -1.000000
