# opt_chain AAPL | epoch 1785330724 | 2026-07-29 09:12:04 | spot 338.87 | exps 20260729 20260731
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 146 | greeks_ok_pct 0.0137 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
340.00 C 20260729 -1.00 -1.00 0 10849 0.3063 0.5112 0.0727
340.00 P 20260729 -1.00 -1.00 0 2503 0.3063 -0.4890 0.0727
337.50 C 20260729 -1.00 -1.00 0 6493 -1.0000 -1.0000 -1.0000
337.50 P 20260729 -1.00 -1.00 0 6769 -1.0000 -1.0000 -1.0000
342.50 C 20260729 -1.00 -1.00 0 6840 -1.0000 -1.0000 -1.0000
342.50 P 20260729 -1.00 -1.00 0 407 -1.0000 -1.0000 -1.0000
335.00 C 20260729 -1.00 -1.00 0 2591 -1.0000 -1.0000 -1.0000
335.00 P 20260729 -1.00 -1.00 0 11883 -1.0000 -1.0000 -1.0000
345.00 C 20260729 -1.00 -1.00 0 16026 -1.0000 -1.0000 -1.0000
345.00 P 20260729 -1.00 -1.00 0 157 -1.0000 -1.0000 -1.0000
332.50 C 20260729 -1.00 -1.00 0 1677 -1.0000 -1.0000 -1.0000
332.50 P 20260729 -1.00 -1.00 0 5289 -1.0000 -1.0000 -1.0000
347.50 C 20260729 -1.00 -1.00 0 5362 -1.0000 -1.0000 -1.0000
347.50 P 20260729 -1.00 -1.00 0 59 -1.0000 -1.0000 -1.0000
330.00 C 20260729 -1.00 -1.00 0 2446 -1.0000 -1.0000 -1.0000
330.00 P 20260729 -1.00 -1.00 0 11689 -1.0000 -1.0000 -1.0000
350.00 C 20260729 -1.00 -1.00 0 8167 -1.0000 -1.0000 -1.0000
350.00 P 20260729 -1.00 -1.00 0 111 -1.0000 -1.0000 -1.0000
327.50 C 20260729 -1.00 -1.00 0 6361 -1.0000 -1.0000 -1.0000
327.50 P 20260729 -1.00 -1.00 0 4862 -1.0000 -1.0000 -1.0000
352.50 C 20260729 -1.00 -1.00 0 4164 -1.0000 -1.0000 -1.0000
352.50 P 20260729 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.0000
325.00 C 20260729 -1.00 -1.00 0 703 -1.0000 -1.0000 -1.0000
325.00 P 20260729 -1.00 -1.00 0 9942 -1.0000 -1.0000 -1.0000
355.00 C 20260729 -1.00 -1.00 0 2643 -1.0000 -1.0000 -1.0000
355.00 P 20260729 -1.00 -1.00 0 71 -1.0000 -1.0000 -1.0000
322.50 C 20260729 -1.00 -1.00 0 394 -1.0000 -1.0000 -1.0000
322.50 P 20260729 -1.00 -1.00 0 4427 -1.0000 -1.0000 -1.0000
357.50 C 20260729 -1.00 -1.00 0 1748 -1.0000 -1.0000 -1.0000
357.50 P 20260729 -1.00 -1.00 0 1 -1.0000 -1.0000 -1.0000
320.00 C 20260729 -1.00 -1.00 0 396 -1.0000 -1.0000 -1.0000
320.00 P 20260729 -1.00 -1.00 0 13834 -1.0000 -1.0000 -1.0000
360.00 C 20260729 -1.00 -1.00 0 4368 -1.0000 -1.0000 -1.0000
360.00 P 20260729 -1.00 -1.00 0 13 -1.0000 -1.0000 -1.0000
317.50 C 20260729 -1.00 -1.00 0 684 -1.0000 -1.0000 -1.0000
317.50 P 20260729 -1.00 -1.00 0 846 -1.0000 -1.0000 -1.0000
362.50 C 20260729 -1.00 -1.00 0 364 -1.0000 -1.0000 -1.0000
362.50 P 20260729 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.0000
315.00 C 20260729 -1.00 -1.00 0 347 -1.0000 -1.0000 -1.0000
315.00 P 20260729 -1.00 -1.00 0 4653 -1.0000 -1.0000 -1.0000
340.00 C 20260731 -1.00 -1.00 0 12739 -1.0000 -1.0000 -1.0000
340.00 P 20260731 -1.00 -1.00 0 6791 -1.0000 -1.0000 -1.0000
337.50 C 20260731 -1.00 -1.00 0 5460 -1.0000 -1.0000 -1.0000
