# opt_chain DRAM | epoch 1785340613 | 2026-07-29 11:56:53 | spot 45.03 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 108 | greeks_ok_pct 1.0000 | bidask_ok_pct 1.0000
# strike right exp bid ask vol oi iv delta gamma
45.00 C 20260731 2.01 2.04 64 189 1.4372 0.5269 0.0803
45.00 P 20260731 1.94 1.97 1157 7834 1.4372 -0.4733 0.0803
45.50 C 20260731 1.77 1.78 287 14 1.4243 0.4867 0.0808
45.50 P 20260731 2.20 2.22 462 494 1.4243 -0.5135 0.0809
44.50 C 20260731 2.29 2.30 1 4 1.4509 0.5663 0.0783
44.50 P 20260731 1.71 1.74 339 346 1.4509 -0.4339 0.0783
46.00 C 20260731 1.53 1.56 401 56 1.4120 0.4459 0.0811
46.00 P 20260731 2.47 2.49 1666 2575 1.4120 -0.5543 0.0812
44.00 C 20260731 2.50 3.25 1 14 1.4654 0.6052 0.0762
44.00 P 20260731 1.51 1.53 1013 1564 1.4654 -0.3949 0.0762
46.50 C 20260731 1.33 1.35 166 552 1.4006 0.4064 0.0799
46.50 P 20260731 2.76 2.78 443 988 1.4006 -0.5939 0.0800
43.50 C 20260731 2.78 3.55 0 1 1.4806 0.6424 0.0728
43.50 P 20260731 1.32 1.34 110 590 1.4806 -0.3577 0.0728
47.00 C 20260731 1.14 1.16 748 1072 1.3900 0.3664 0.0785
47.00 P 20260731 2.96 3.15 1043 2824 1.3900 -0.6339 0.0786
43.00 C 20260731 3.15 3.85 39 168 1.4964 0.6787 0.0694
43.00 P 20260731 1.15 1.17 837 2920 1.4964 -0.3214 0.0695
47.50 C 20260731 0.98 0.99 354 172 1.3811 0.3294 0.0756
47.50 P 20260731 3.30 3.50 334 732 1.3811 -0.6709 0.0757
42.50 C 20260731 3.45 4.50 0 2 1.5128 0.7119 0.0651
42.50 P 20260731 0.99 1.02 107 488 1.5128 -0.2882 0.0651
48.00 C 20260731 0.83 0.84 3282 10735 1.3732 0.2919 0.0725
48.00 P 20260731 3.65 3.85 901 4045 1.3732 -0.7085 0.0726
42.00 C 20260731 3.85 4.75 0 13 1.5295 0.7443 0.0609
42.00 P 20260731 0.86 0.88 707 4266 1.5295 -0.2557 0.0610
48.50 C 20260731 0.71 0.72 194 193 1.3672 0.2585 0.0683
48.50 P 20260731 4.05 4.25 40 1086 1.3672 -0.7419 0.0683
41.50 C 20260731 4.20 5.10 0 0 1.5462 0.7721 0.0564
41.50 P 20260731 0.74 0.76 157 528 1.5462 -0.2280 0.0564
49.00 C 20260731 0.59 0.60 3671 1313 1.3624 0.2265 0.0641
49.00 P 20260731 4.25 4.70 174 21722 1.3624 -0.7739 0.0641
41.00 C 20260731 4.60 5.40 0 123 1.5627 0.8001 0.0519
41.00 P 20260731 0.62 0.65 308 10989 1.5627 -0.2000 0.0519
49.50 C 20260731 0.49 0.50 321 791 1.3585 0.1989 0.0592
49.50 P 20260731 4.65 5.10 24 698 1.3585 -0.8016 0.0593
40.50 C 20260731 5.00 6.20 0 6 1.5788 0.8250 0.0472
40.50 P 20260731 0.54 0.56 159 409 1.5788 -0.1751 0.0472
50.00 C 20260731 0.41 0.42 19610 14871 1.3554 0.1712 0.0544
50.00 P 20260731 5.15 5.45 481 11241 1.3554 -0.8293 0.0545
45.00 C 20260807 3.20 3.55 76 66 1.1466 0.5406 0.0488
45.00 P 20260807 3.05 3.20 845 5114 1.1466 -0.4599 0.0489
45.50 C 20260807 2.95 3.40 27 3 1.1418 0.5164 0.0491
45.50 P 20260807 3.10 3.55 46 169 1.1418 -0.4842 0.0491
44.50 C 20260807 3.45 4.10 0 7 1.1516 0.5650 0.0480
44.50 P 20260807 2.61 3.05 186 136 1.1516 -0.4354 0.0481
46.00 C 20260807 2.73 3.05 177 13 1.1373 0.4919 0.0492
46.00 P 20260807 3.30 3.80 267 1021 1.1373 -0.5091 0.0493
44.00 C 20260807 3.70 4.15 8 7 1.1570 0.5884 0.0473
44.00 P 20260807 2.48 2.75 51 1341 1.1570 -0.4120 0.0473
46.50 C 20260807 2.53 2.98 59 71 1.1329 0.4668 0.0494
46.50 P 20260807 3.75 4.10 72 1123 1.1329 -0.5338 0.0495
43.50 C 20260807 3.90 5.00 2 0 1.1628 0.6123 0.0463
43.50 P 20260807 2.05 2.56 19 133 1.1628 -0.3881 0.0464
47.00 C 20260807 2.33 2.59 809 564 1.1288 0.4430 0.0492
47.00 P 20260807 4.00 4.40 171 1536 1.1288 -0.5577 0.0493
43.00 C 20260807 4.15 4.80 0 21 1.1693 0.6356 0.0451
43.00 P 20260807 2.14 2.30 99 195 1.1693 -0.3647 0.0452
47.50 C 20260807 1.97 2.51 1031 130 1.1249 0.4194 0.0488
47.50 P 20260807 4.35 4.70 76 694 1.1249 -0.5813 0.0489
42.50 C 20260807 4.60 5.00 0 1 1.1766 0.6586 0.0438
42.50 P 20260807 1.95 2.20 136 78 1.1766 -0.3417 0.0439
48.00 C 20260807 1.93 2.19 622 289 1.1213 0.3957 0.0483
48.00 P 20260807 4.60 5.05 142 1547 1.1213 -0.6051 0.0484
42.00 C 20260807 4.90 5.70 2 3 1.1846 0.6815 0.0424
42.00 P 20260807 1.72 1.99 49 300 1.1846 -0.3188 0.0425
48.50 C 20260807 1.76 2.29 146 334 1.1179 0.3726 0.0477
48.50 P 20260807 4.95 5.40 45 182 1.1179 -0.6282 0.0478
41.50 C 20260807 5.15 5.75 3 7 1.1930 0.7027 0.0409
41.50 P 20260807 1.47 1.82 26 50 1.1930 -0.2976 0.0409
49.00 C 20260807 1.58 2.01 35 367 1.1148 0.3514 0.0467
49.00 P 20260807 5.35 5.75 49 254 1.1148 -0.6495 0.0469
41.00 C 20260807 5.55 5.95 3 4 1.2016 0.7240 0.0391
41.00 P 20260807 1.43 1.65 62 554 1.2016 -0.2762 0.0391
49.50 C 20260807 1.50 1.93 7 47 1.1119 0.3296 0.0457
49.50 P 20260807 5.60 6.10 26 1107 1.1119 -0.6714 0.0459
40.50 C 20260807 5.90 7.15 0 1 1.2100 0.7465 0.0373
40.50 P 20260807 1.40 1.59 29 164 1.2100 -0.2537 0.0374
50.00 C 20260807 1.39 1.50 1641 4351 1.1093 0.3069 0.0447
50.00 P 20260807 6.05 6.50 139 3080 1.1093 -0.6933 0.0448
