# opt_chain SNDK | epoch 1785355904 | 2026-07-29 16:11:44 | spot 1007.34 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 160 | greeks_ok_pct 0.0437 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
1005.00 C 20260731 -1.00 -1.00 304 6 1.8246 0.7223 0.0018
1005.00 P 20260731 -1.00 -1.00 575 855 1.8073 -0.2777 0.0018
1010.00 C 20260731 -1.00 -1.00 533 12 1.8070 0.7130 0.0018
1010.00 P 20260731 -1.00 -1.00 859 363 1.8070 -0.2871 0.0018
1000.00 C 20260731 -1.00 -1.00 2032 1919 1.8083 0.7316 0.0017
1000.00 P 20260731 -1.00 -1.00 7194 4436 1.8083 -0.2684 0.0017
1015.00 C 20260731 -1.00 -1.00 474 17 1.8093 0.7036 0.0018
1015.00 P 20260731 -1.00 -1.00 1109 81 -1.0000 -1.0000 -1.0000
995.00 C 20260731 -1.00 -1.00 116 5 -1.0000 -1.0000 -1.0000
995.00 P 20260731 -1.00 -1.00 740 307 -1.0000 -1.0000 -1.0000
1020.00 C 20260731 -1.00 -1.00 1152 33 -1.0000 -1.0000 -1.0000
1020.00 P 20260731 -1.00 -1.00 2550 503 -1.0000 -1.0000 -1.0000
990.00 C 20260731 -1.00 -1.00 69 2 -1.0000 -1.0000 -1.0000
990.00 P 20260731 -1.00 -1.00 1310 482 -1.0000 -1.0000 -1.0000
1025.00 C 20260731 -1.00 -1.00 645 6 -1.0000 -1.0000 -1.0000
1025.00 P 20260731 -1.00 -1.00 1230 300 -1.0000 -1.0000 -1.0000
985.00 C 20260731 -1.00 -1.00 32 2 -1.0000 -1.0000 -1.0000
985.00 P 20260731 -1.00 -1.00 441 217 -1.0000 -1.0000 -1.0000
1030.00 C 20260731 -1.00 -1.00 1194 24 -1.0000 -1.0000 -1.0000
1030.00 P 20260731 -1.00 -1.00 1582 150 -1.0000 -1.0000 -1.0000
980.00 C 20260731 -1.00 -1.00 60 19 -1.0000 -1.0000 -1.0000
980.00 P 20260731 -1.00 -1.00 940 1016 -1.0000 -1.0000 -1.0000
1035.00 C 20260731 -1.00 -1.00 680 13 -1.0000 -1.0000 -1.0000
1035.00 P 20260731 -1.00 -1.00 541 154 -1.0000 -1.0000 -1.0000
975.00 C 20260731 -1.00 -1.00 9 3 -1.0000 -1.0000 -1.0000
975.00 P 20260731 -1.00 -1.00 652 192 -1.0000 -1.0000 -1.0000
1040.00 C 20260731 -1.00 -1.00 959 22 -1.0000 -1.0000 -1.0000
1040.00 P 20260731 -1.00 -1.00 867 276 -1.0000 -1.0000 -1.0000
970.00 C 20260731 -1.00 -1.00 5 4 -1.0000 -1.0000 -1.0000
970.00 P 20260731 -1.00 -1.00 470 342 -1.0000 -1.0000 -1.0000
1045.00 C 20260731 -1.00 -1.00 542 14 -1.0000 -1.0000 -1.0000
1045.00 P 20260731 -1.00 -1.00 781 123 -1.0000 -1.0000 -1.0000
965.00 C 20260731 -1.00 -1.00 3 2 -1.0000 -1.0000 -1.0000
965.00 P 20260731 -1.00 -1.00 384 215 -1.0000 -1.0000 -1.0000
1050.00 C 20260731 -1.00 -1.00 3655 88 -1.0000 -1.0000 -1.0000
1050.00 P 20260731 -1.00 -1.00 3556 1390 -1.0000 -1.0000 -1.0000
960.00 C 20260731 -1.00 -1.00 54 22 -1.0000 -1.0000 -1.0000
960.00 P 20260731 -1.00 -1.00 531 170 -1.0000 -1.0000 -1.0000
1055.00 C 20260731 -1.00 -1.00 734 33 -1.0000 -1.0000 -1.0000
1055.00 P 20260731 -1.00 -1.00 946 87 -1.0000 -1.0000 -1.0000
1005.00 C 20260807 -1.00 -1.00 18 1 -1.0000 -1.0000 -1.0000
1005.00 P 20260807 -1.00 -1.00 31 0 -1.0000 -1.0000 -1.0000
1010.00 C 20260807 -1.00 -1.00 9 0 -1.0000 -1.0000 -1.0000
1010.00 P 20260807 -1.00 -1.00 155 93 -1.0000 -1.0000 -1.0000
1000.00 C 20260807 -1.00 -1.00 467 120 -1.0000 -1.0000 -1.0000
1000.00 P 20260807 -1.00 -1.00 665 1546 -1.0000 -1.0000 -1.0000
1015.00 C 20260807 -1.00 -1.00 11 1 -1.0000 -1.0000 -1.0000
1015.00 P 20260807 -1.00 -1.00 19 4 -1.0000 -1.0000 -1.0000
995.00 C 20260807 -1.00 -1.00 3 2 -1.0000 -1.0000 -1.0000
995.00 P 20260807 -1.00 -1.00 39 12 -1.0000 -1.0000 -1.0000
1020.00 C 20260807 -1.00 -1.00 33 2 -1.0000 -1.0000 -1.0000
1020.00 P 20260807 -1.00 -1.00 88 18 -1.0000 -1.0000 -1.0000
990.00 C 20260807 -1.00 -1.00 17 0 -1.0000 -1.0000 -1.0000
990.00 P 20260807 -1.00 -1.00 37 186 -1.0000 -1.0000 -1.0000
1025.00 C 20260807 -1.00 -1.00 201 1 -1.0000 -1.0000 -1.0000
1025.00 P 20260807 -1.00 -1.00 73 2 -1.0000 -1.0000 -1.0000
985.00 C 20260807 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.0000
985.00 P 20260807 -1.00 -1.00 8 6 -1.0000 -1.0000 -1.0000
1030.00 C 20260807 -1.00 -1.00 85 6 -1.0000 -1.0000 -1.0000
