# opt_chain GOOGL | epoch 1785329127 | 2026-07-29 08:45:27 | spot 335.93 | exps 20260729 20260731 20260803 20260805 20260807 20260810 20260812 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 86 | band 0.4050 vencimientos 9 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
267.50 C 20260729 -1.00 -1.00 50 30 -1.0000 -1.0000 -1.000000
270.00 C 20260729 -1.00 -1.00 187 51 -1.0000 -1.0000 -1.000000
272.50 C 20260729 -1.00 -1.00 188 54 -1.0000 -1.0000 -1.000000
275.00 C 20260729 -1.00 -1.00 36 11 -1.0000 -1.0000 -1.000000
277.50 C 20260729 -1.00 -1.00 27 19 -1.0000 -1.0000 -1.000000
280.00 C 20260729 -1.00 -1.00 27 24 -1.0000 -1.0000 -1.000000
282.50 C 20260729 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
285.00 C 20260729 -1.00 -1.00 2 18 -1.0000 -1.0000 -1.000000
287.50 C 20260729 -1.00 -1.00 4 2 -1.0000 -1.0000 -1.000000
290.00 C 20260729 -1.00 -1.00 8 46 -1.0000 -1.0000 -1.000000
292.50 C 20260729 -1.00 -1.00 4 3 -1.0000 -1.0000 -1.000000
295.00 C 20260729 -1.00 -1.00 2 55 -1.0000 -1.0000 -1.000000
297.50 C 20260729 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
300.00 C 20260729 -1.00 -1.00 4 25 -1.0000 -1.0000 -1.000000
302.50 C 20260729 -1.00 -1.00 5 5 -1.0000 -1.0000 -1.000000
305.00 C 20260729 -1.00 -1.00 9 53 -1.0000 -1.0000 -1.000000
307.50 C 20260729 -1.00 -1.00 7 38 -1.0000 -1.0000 -1.000000
310.00 C 20260729 -1.00 -1.00 13 109 -1.0000 -1.0000 -1.000000
312.50 C 20260729 -1.00 -1.00 8 4 -1.0000 -1.0000 -1.000000
315.00 C 20260729 -1.00 -1.00 16 204 -1.0000 -1.0000 -1.000000
317.50 C 20260729 -1.00 -1.00 34 197 -1.0000 -1.0000 -1.000000
320.00 C 20260729 -1.00 -1.00 178 361 -1.0000 -1.0000 -1.000000
322.50 C 20260729 -1.00 -1.00 110 474 -1.0000 -1.0000 -1.000000
325.00 C 20260729 -1.00 -1.00 2098 1032 -1.0000 -1.0000 -1.000000
327.50 C 20260729 -1.00 -1.00 4475 1000 -1.0000 -1.0000 -1.000000
330.00 C 20260729 -1.00 -1.00 19361 1995 -1.0000 -1.0000 -1.000000
332.50 C 20260729 -1.00 -1.00 10873 1547 0.2887 0.8114 0.078435
335.00 C 20260729 -1.00 -1.00 29994 2835 0.3903 0.5478 0.085370
337.50 C 20260729 -1.00 -1.00 7749 926 0.4430 0.3575 0.071808
340.00 C 20260729 -1.00 -1.00 12313 2005 0.4736 0.2187 0.052707
342.50 C 20260729 -1.00 -1.00 5147 1620 0.5029 0.1264 0.034860
345.00 C 20260729 -1.00 -1.00 5010 2358 0.5366 0.0716 0.021526
347.50 C 20260729 -1.00 -1.00 929 637 0.5647 0.0411 0.012995
350.00 C 20260729 -1.00 -1.00 1270 1418 0.5968 0.0237 0.007790
352.50 C 20260729 -1.00 -1.00 410 300 0.6481 0.0159 0.005091
355.00 C 20260729 -1.00 -1.00 269 284 0.6720 0.0090 0.003000
357.50 C 20260729 -1.00 -1.00 89 635 0.7255 0.0068 0.002168
360.00 C 20260729 -1.00 -1.00 1171 1534 0.7969 0.0063 0.001832
362.50 C 20260729 -1.00 -1.00 454 567 1.0131 0.0159 0.003257
365.00 C 20260729 -1.00 -1.00 73 171 0.9201 0.0043 0.001148
367.50 C 20260729 -1.00 -1.00 47 232 1.0082 0.0051 0.001211
370.00 C 20260729 -1.00 -1.00 741 2073 1.0444 0.0038 0.000903
372.50 C 20260729 -1.00 -1.00 24 1201 1.1466 0.0046 0.000970
375.00 C 20260729 -1.00 -1.00 7 1044 1.2510 0.0061 0.001131
377.50 C 20260729 -1.00 -1.00 61 354 1.5232 0.0146 0.002027
380.00 C 20260729 -1.00 -1.00 48 445 1.4756 0.0091 0.001375
382.50 C 20260729 -1.00 -1.00 1 33 1.5068 0.0074 0.001121
385.00 C 20260729 -1.00 -1.00 2 172 1.5202 0.0051 0.000804
387.50 C 20260729 -1.00 -1.00 1 17 1.7629 0.0110 0.001365
390.00 C 20260729 -1.00 -1.00 17 160 1.6195 0.0041 0.000623
392.50 C 20260729 -1.00 -1.00 2 118 1.9105 0.0108 0.001239
395.00 C 20260729 -1.00 -1.00 1 131 1.8524 0.0068 0.000843
400.00 C 20260729 -1.00 -1.00 10 402 1.9459 0.0053 0.000651
405.00 C 20260729 -1.00 -1.00 1 63 2.1418 0.0070 0.000753
410.00 C 20260729 -1.00 -1.00 31 35 2.5073 0.0125 0.001082
415.00 C 20260729 -1.00 -1.00 38 49 2.3218 0.0046 0.000482
420.00 C 20260729 -1.00 -1.00 3 24 2.9882 0.0192 0.001294
425.00 C 20260729 -1.00 -1.00 63 64 3.0303 0.0146 0.001022
267.50 P 20260729 -1.00 -1.00 1 7 2.5634 -0.0053 0.000487
270.00 P 20260729 -1.00 -1.00 11 16 2.4667 -0.0055 0.000523
272.50 P 20260729 -1.00 -1.00 9 9 2.5610 -0.0092 0.000806
275.00 P 20260729 -1.00 -1.00 24 28 2.3601 -0.0076 0.000733
277.50 P 20260729 -1.00 -1.00 24 45 2.1400 -0.0052 0.000577
280.00 P 20260729 -1.00 -1.00 12 58 2.0887 -0.0064 0.000709
282.50 P 20260729 -1.00 -1.00 15 41 2.1967 -0.0111 0.001119
285.00 P 20260729 -1.00 -1.00 2 505 1.8014 -0.0042 0.000575
287.50 P 20260729 -1.00 -1.00 4 9 1.8140 -0.0073 0.000920
290.00 P 20260729 -1.00 -1.00 5 47 1.8059 -0.0098 0.001211
292.50 P 20260729 -1.00 -1.00 10 13 1.5940 -0.0068 0.000988
295.00 P 20260729 -1.00 -1.00 5 570 1.4019 -0.0037 0.000662
297.50 P 20260729 -1.00 -1.00 8 14 1.3981 -0.0069 0.001141
300.00 P 20260729 -1.00 -1.00 49 525 1.2308 -0.0042 0.000833
302.50 P 20260729 -1.00 -1.00 6 13 1.3568 -0.0142 0.002209
305.00 P 20260729 -1.00 -1.00 157 286 1.0382 -0.0038 0.000906
307.50 P 20260729 -1.00 -1.00 462 413 0.9761 -0.0051 0.001254
310.00 P 20260729 -1.00 -1.00 436 604 0.8727 -0.0044 0.001229
312.50 P 20260729 -1.00 -1.00 258 2288 0.7899 -0.0048 0.001465
315.00 P 20260729 -1.00 -1.00 528 903 0.7472 -0.0081 0.002445
317.50 P 20260729 -1.00 -1.00 839 328 0.7460 -0.0178 0.004866
320.00 P 20260729 -1.00 -1.00 3579 1152 0.7267 -0.0304 0.007982
322.50 P 20260729 -1.00 -1.00 2014 612 0.7005 -0.0546 0.013201
325.00 P 20260729 -1.00 -1.00 6535 1146 0.6853 -0.0944 0.020500
327.50 P 20260729 -1.00 -1.00 4289 1105 0.6830 -0.1574 0.029530
330.00 P 20260729 -1.00 -1.00 7517 2888 0.6960 -0.2472 0.038270
332.50 P 20260729 -1.00 -1.00 4103 653 0.7323 -0.3583 0.043361
335.00 P 20260729 -1.00 -1.00 2931 459 0.7689 -0.4717 0.043797
337.50 P 20260729 -1.00 -1.00 222 133 0.8228 -0.5727 0.040009
340.00 P 20260729 -1.00 -1.00 76 91 0.8924 -0.6555 0.034958
342.50 P 20260729 -1.00 -1.00 3 63 0.9621 -0.7188 0.029421
345.00 P 20260729 -1.00 -1.00 21 110 1.1200 -0.7520 0.023928
347.50 P 20260729 -1.00 -1.00 3 87 1.2647 -0.7757 0.020055
350.00 P 20260729 -1.00 -1.00 19 92 1.1764 -0.8378 0.017523
352.50 P 20260729 -1.00 -1.00 8 3 1.4947 -0.8144 0.014982
355.00 P 20260729 -1.00 -1.00 1 2 1.6200 -0.8276 0.013204
357.50 P 20260729 -1.00 -1.00 20 0 1.7595 -0.8363 0.011781
360.00 P 20260729 -1.00 -1.00 1 53 1.8754 -0.8472 0.010614
362.50 P 20260729 -1.00 -1.00 1 25 2.0509 -0.8477 0.009690
365.00 P 20260729 -1.00 -1.00 2 0 2.1064 -0.8631 0.008828
367.50 P 20260729 -1.00 -1.00 1 0 2.2571 -0.8643 0.008176
370.00 P 20260729 -1.00 -1.00 2 0 2.3620 -0.8695 0.007579
372.50 P 20260729 -1.00 -1.00 2 0 2.4662 -0.8742 0.007055
375.00 P 20260729 -1.00 -1.00 265 0 2.5696 -0.8784 0.006594
377.50 P 20260729 -1.00 -1.00 1 0 2.6835 -0.8813 0.006197
380.00 P 20260729 -1.00 -1.00 8 0 2.7745 -0.8859 0.005818
382.50 P 20260729 -1.00 -1.00 -1 0 2.8870 -0.8883 0.005505
385.00 P 20260729 -1.00 -1.00 2 0 2.9107 -0.8980 0.005105
387.50 P 20260729 -1.00 -1.00 2 0 3.0770 -0.8951 0.004929
390.00 P 20260729 -1.00 -1.00 -1 0 3.2422 -0.8924 0.004764
392.50 P 20260729 -1.00 -1.00 26 0 3.2754 -0.9002 0.004466
395.00 P 20260729 -1.00 -1.00 15 0 3.3737 -0.9025 0.004265
400.00 P 20260729 -1.00 -1.00 28 0 3.5684 -0.9067 0.003910
405.00 P 20260729 -1.00 -1.00 184 0 3.8575 -0.9033 0.003710
410.00 P 20260729 -1.00 -1.00 184 0 4.1538 -0.8995 0.003541
415.00 P 20260729 -1.00 -1.00 -1 0 4.1491 -0.9158 0.003136
420.00 P 20260729 -1.00 -1.00 -1 0 4.3239 -0.9192 0.002929
425.00 P 20260729 -1.00 -1.00 2 0 4.4989 -0.9216 0.002756
250.00 C 20260731 -1.00 -1.00 5 27 -1.0000 -1.0000 -1.000000
255.00 C 20260731 -1.00 -1.00 1 155 -1.0000 -1.0000 -1.000000
260.00 C 20260731 -1.00 -1.00 5 13 -1.0000 -1.0000 -1.000000
265.00 C 20260731 -1.00 -1.00 4 15 -1.0000 -1.0000 -1.000000
270.00 C 20260731 -1.00 -1.00 30 62 -1.0000 -1.0000 -1.000000
275.00 C 20260731 -1.00 -1.00 2 26 -1.0000 -1.0000 -1.000000
280.00 C 20260731 -1.00 -1.00 4 172 -1.0000 -1.0000 -1.000000
285.00 C 20260731 -1.00 -1.00 2 75 -1.0000 -1.0000 -1.000000
287.50 C 20260731 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
290.00 C 20260731 -1.00 -1.00 2 74 -1.0000 -1.0000 -1.000000
292.50 C 20260731 -1.00 -1.00 60 3 -1.0000 -1.0000 -1.000000
295.00 C 20260731 -1.00 -1.00 1 113 -1.0000 -1.0000 -1.000000
297.50 C 20260731 -1.00 -1.00 6 42 -1.0000 -1.0000 -1.000000
300.00 C 20260731 -1.00 -1.00 327 364 -1.0000 -1.0000 -1.000000
302.50 C 20260731 -1.00 -1.00 2 44 -1.0000 -1.0000 -1.000000
305.00 C 20260731 -1.00 -1.00 20 44 -1.0000 -1.0000 -1.000000
307.50 C 20260731 -1.00 -1.00 13 6 -1.0000 -1.0000 -1.000000
310.00 C 20260731 -1.00 -1.00 124 182 -1.0000 -1.0000 -1.000000
312.50 C 20260731 -1.00 -1.00 62 16 -1.0000 -1.0000 -1.000000
315.00 C 20260731 -1.00 -1.00 75 381 -1.0000 -1.0000 -1.000000
317.50 C 20260731 -1.00 -1.00 9 72 -1.0000 -1.0000 -1.000000
320.00 C 20260731 -1.00 -1.00 275 3705 -1.0000 -1.0000 -1.000000
322.50 C 20260731 -1.00 -1.00 161 379 -1.0000 -1.0000 -1.000000
325.00 C 20260731 -1.00 -1.00 925 1841 0.2049 0.9739 0.010793
327.50 C 20260731 -1.00 -1.00 1005 7946 0.3075 0.8361 0.029299
330.00 C 20260731 -1.00 -1.00 3964 5297 0.3315 0.7359 0.036057
332.50 C 20260731 -1.00 -1.00 1575 3081 0.3544 0.6311 0.039205
335.00 C 20260731 -1.00 -1.00 8549 11633 0.3726 0.5290 0.039389
337.50 C 20260731 -1.00 -1.00 1513 9201 0.3759 0.4336 0.038243
340.00 C 20260731 -1.00 -1.00 8000 11162 0.3884 0.3466 0.035049
342.50 C 20260731 -1.00 -1.00 1195 4852 0.3959 0.2706 0.030603
345.00 C 20260731 -1.00 -1.00 7004 5129 0.4015 0.2056 0.025946
347.50 C 20260731 -1.00 -1.00 818 875 0.4076 0.1508 0.021067
350.00 C 20260731 -1.00 -1.00 3170 5411 0.4109 0.1094 0.016607
352.50 C 20260731 -1.00 -1.00 316 638 0.4240 0.0793 0.012753
355.00 C 20260731 -1.00 -1.00 719 1654 0.4285 0.0562 0.009608
357.50 C 20260731 -1.00 -1.00 262 2624 0.4405 0.0403 0.007152
360.00 C 20260731 -1.00 -1.00 1038 3117 0.4563 0.0297 0.005411
362.50 C 20260731 -1.00 -1.00 114 427 0.4778 0.0249 0.004408
365.00 C 20260731 -1.00 -1.00 278 2046 0.4857 0.0173 0.003183
367.50 C 20260731 -1.00 -1.00 117 584 0.5136 0.0148 0.002647
370.00 C 20260731 -1.00 -1.00 444 5153 0.5235 0.0110 0.002009
372.50 C 20260731 -1.00 -1.00 11 1811 0.5534 0.0105 0.001812
375.00 C 20260731 -1.00 -1.00 842 3571 0.5444 0.0061 0.001133
377.50 C 20260731 -1.00 -1.00 12 1299 0.5818 0.0066 0.001137
380.00 C 20260731 -1.00 -1.00 273 2672 0.6035 0.0055 0.000946
385.00 C 20260731 -1.00 -1.00 19 3499 0.6618 0.0051 0.000806
390.00 C 20260731 -1.00 -1.00 55 4521 0.6835 0.0034 0.000540
395.00 C 20260731 -1.00 -1.00 192 1676 0.7836 0.0051 0.000675
400.00 C 20260731 -1.00 -1.00 370 12245 0.7423 0.0017 0.000257
405.00 C 20260731 -1.00 -1.00 15 1531 0.8122 0.0022 0.000305
410.00 C 20260731 -1.00 -1.00 75 999 0.8812 0.0027 0.000336
415.00 C 20260731 -1.00 -1.00 1 494 1.0184 0.0051 0.000519
420.00 C 20260731 -1.00 -1.00 166 1708 0.9966 0.0030 0.000325
425.00 C 20260731 -1.00 -1.00 59 1824 1.0232 0.0023 0.000255
250.00 P 20260731 -1.00 -1.00 32 361 1.3595 -0.0029 0.000237
255.00 P 20260731 -1.00 -1.00 10 83 1.2261 -0.0023 0.000214
260.00 P 20260731 -1.00 -1.00 277 439 1.2650 -0.0055 0.000444
265.00 P 20260731 -1.00 -1.00 70 162 1.0445 -0.0022 0.000238
270.00 P 20260731 -1.00 -1.00 47 300 1.1031 -0.0067 0.000607
275.00 P 20260731 -1.00 -1.00 262 501 0.8950 -0.0026 0.000319
280.00 P 20260731 -1.00 -1.00 15 1110 0.8923 -0.0054 0.000625
285.00 P 20260731 -1.00 -1.00 24 500 0.8033 -0.0054 0.000688
287.50 P 20260731 -1.00 -1.00 3 31 0.8000 -0.0078 0.000968
290.00 P 20260731 -1.00 -1.00 42 748 0.8116 -0.0113 0.001334
292.50 P 20260731 -1.00 -1.00 31 257 0.7638 -0.0113 0.001423
295.00 P 20260731 -1.00 -1.00 356 1429 0.6924 -0.0097 0.001361
297.50 P 20260731 -1.00 -1.00 37 270 0.6694 -0.0114 0.001635
300.00 P 20260731 -1.00 -1.00 359 4461 0.6304 -0.0127 0.001893
302.50 P 20260731 -1.00 -1.00 14 339 0.6106 -0.0173 0.002528
305.00 P 20260731 -1.00 -1.00 1465 3765 0.5872 -0.0216 0.003186
307.50 P 20260731 -1.00 -1.00 161 421 0.5911 -0.0319 0.004424
310.00 P 20260731 -1.00 -1.00 2710 6880 0.5470 -0.0354 0.005186
312.50 P 20260731 -1.00 -1.00 208 389 0.5273 -0.0471 0.006771
315.00 P 20260731 -1.00 -1.00 1146 2643 0.5270 -0.0654 0.008927
317.50 P 20260731 -1.00 -1.00 661 637 0.5062 -0.0876 0.011435
320.00 P 20260731 -1.00 -1.00 2589 2886 0.5003 -0.1176 0.014495
322.50 P 20260731 -1.00 -1.00 474 1068 0.5035 -0.1630 0.017843
325.00 P 20260731 -1.00 -1.00 5437 5297 0.5018 -0.2107 0.021243
327.50 P 20260731 -1.00 -1.00 2075 2427 0.5091 -0.2733 0.023875
330.00 P 20260731 -1.00 -1.00 1203 1652 0.4986 -0.3327 0.026940
332.50 P 20260731 -1.00 -1.00 476 904 0.5080 -0.4045 0.027908
335.00 P 20260731 -1.00 -1.00 866 858 0.5231 -0.4755 0.028166
337.50 P 20260731 -1.00 -1.00 88 169 0.5370 -0.5424 0.027071
340.00 P 20260731 -1.00 -1.00 89 1659 0.5509 -0.6058 0.025723
342.50 P 20260731 -1.00 -1.00 42 161 0.5703 -0.6604 0.023669
345.00 P 20260731 -1.00 -1.00 127 662 0.5925 -0.7068 0.021262
347.50 P 20260731 -1.00 -1.00 45 815 0.6246 -0.7457 0.018961
350.00 P 20260731 -1.00 -1.00 76 888 0.6718 -0.7713 0.016698
352.50 P 20260731 -1.00 -1.00 21 96 0.6767 -0.8045 0.014961
355.00 P 20260731 -1.00 -1.00 80 746 0.7412 -0.8143 0.013214
357.50 P 20260731 -1.00 -1.00 21 139 0.7755 -0.8329 0.011840
360.00 P 20260731 -1.00 -1.00 19 974 0.8327 -0.8416 0.010685
362.50 P 20260731 -1.00 -1.00 2 19 0.8728 -0.8548 0.009697
365.00 P 20260731 -1.00 -1.00 1 23 0.9389 -0.8579 0.008907
367.50 P 20260731 -1.00 -1.00 3 1 0.9721 -0.8669 0.008188
370.00 P 20260731 -1.00 -1.00 2 2 1.0375 -0.8677 0.007628
372.50 P 20260731 -1.00 -1.00 1 1 1.0829 -0.8724 0.007105
375.00 P 20260731 -1.00 -1.00 3 0 1.0552 -0.8928 0.006404
377.50 P 20260731 -1.00 -1.00 1 0 1.1536 -0.8846 0.006178
380.00 P 20260731 -1.00 -1.00 11 2 1.1885 -0.8902 0.005781
385.00 P 20260731 -1.00 -1.00 3 0 1.3441 -0.8834 0.005336
390.00 P 20260731 -1.00 -1.00 2 0 1.3928 -0.8962 0.004730
395.00 P 20260731 -1.00 -1.00 2 0 1.4788 -0.9010 0.004306
