# opt_chain SMH | epoch 1785329117 | 2026-07-29 08:45:17 | spot 525.90 | exps 20260729 20260731 20260803 20260805 20260807 20260810 20260812 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 75 | band 0.4050 vencimientos 9 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
445.00 C 20260729 -1.00 -1.00 -1 0 3.0572 0.9418 0.002058
447.50 C 20260729 -1.00 -1.00 -1 0 2.9509 0.9417 0.002136
450.00 C 20260729 -1.00 -1.00 1 1 2.8734 0.9402 0.002241
452.50 C 20260729 -1.00 -1.00 1 1 2.7963 0.9386 0.002354
455.00 C 20260729 -1.00 -1.00 -1 0 2.7998 0.9296 0.002588
457.50 C 20260729 -1.00 -1.00 -1 0 2.6709 0.9311 0.002674
460.00 C 20260729 -1.00 -1.00 10 0 2.5508 0.9320 0.002775
462.50 C 20260729 -1.00 -1.00 -1 0 2.4635 0.9300 0.002933
465.00 C 20260729 -1.00 -1.00 -1 0 2.3767 0.9279 0.003106
467.50 C 20260729 -1.00 -1.00 -1 0 2.3223 0.9225 0.003347
470.00 C 20260729 -1.00 -1.00 -1 0 2.2124 0.9223 0.003518
472.50 C 20260729 -1.00 -1.00 -1 0 2.1270 0.9197 0.003750
475.00 C 20260729 -1.00 -1.00 1 1 2.0500 0.9160 0.004021
477.50 C 20260729 -1.00 -1.00 -1 0 2.0208 0.9070 0.004402
480.00 C 20260729 -1.00 -1.00 1 1 1.9839 0.8985 0.004793
482.50 C 20260729 -1.00 -1.00 -1 0 1.9000 0.8946 0.005154
485.00 C 20260729 -1.00 -1.00 -1 0 1.8165 0.8903 0.005561
487.50 C 20260729 -1.00 -1.00 -1 0 1.7648 0.8822 0.006054
490.00 C 20260729 -1.00 -1.00 10 10 1.7432 0.8687 0.006622
492.50 C 20260729 -1.00 -1.00 -1 0 1.6450 0.8627 0.007210
495.00 C 20260729 -1.00 -1.00 -1 0 1.6147 0.8452 0.007907
497.50 C 20260729 -1.00 -1.00 1 2 1.5587 0.8309 0.008668
500.00 C 20260729 -1.00 -1.00 3 3 1.4823 0.8186 0.009545
502.50 C 20260729 -1.00 -1.00 -1 0 1.5092 0.7907 0.010331
505.00 C 20260729 -1.00 -1.00 2 4 1.4635 0.7701 0.011259
507.50 C 20260729 -1.00 -1.00 2 1 1.4239 0.7437 0.012159
510.00 C 20260729 -1.00 -1.00 2 3 1.3728 0.7174 0.013218
512.50 C 20260729 -1.00 -1.00 -1 0 1.3220 0.6890 0.014402
515.00 C 20260729 -1.00 -1.00 123 13 1.3102 0.6548 0.015353
517.50 C 20260729 -1.00 -1.00 9 8 1.2555 0.6188 0.016372
520.00 C 20260729 -1.00 -1.00 323 71 1.2500 0.5769 0.016823
522.50 C 20260729 -1.00 -1.00 14 9 1.2209 0.5350 0.017610
525.00 C 20260729 -1.00 -1.00 137 49 1.2129 0.4917 0.017842
527.50 C 20260729 -1.00 -1.00 136 34 1.1490 0.4446 0.018472
530.00 C 20260729 -1.00 -1.00 566 347 1.1557 0.3996 0.018018
532.50 C 20260729 -1.00 -1.00 370 284 1.1222 0.3512 0.017951
535.00 C 20260729 -1.00 -1.00 1042 680 1.1929 0.3217 0.016167
537.50 C 20260729 -1.00 -1.00 437 305 1.1782 0.2808 0.015363
540.00 C 20260729 -1.00 -1.00 605 469 1.1689 0.2401 0.014474
542.50 C 20260729 -1.00 -1.00 789 779 1.2043 0.2161 0.013144
545.00 C 20260729 -1.00 -1.00 1518 1109 1.1310 0.1712 0.012041
547.50 C 20260729 -1.00 -1.00 241 121 1.1938 0.1563 0.010795
550.00 C 20260729 -1.00 -1.00 2467 1543 1.0999 0.1129 0.009335
552.50 C 20260729 -1.00 -1.00 301 182 1.1491 0.1026 0.008316
555.00 C 20260729 -1.00 -1.00 178 436 1.1467 0.0821 0.007097
557.50 C 20260729 -1.00 -1.00 101 82 1.1483 0.0661 0.006035
560.00 C 20260729 -1.00 -1.00 496 366 1.2458 0.0681 0.005709
562.50 C 20260729 -1.00 -1.00 86 247 1.1569 0.0445 0.004323
565.00 C 20260729 -1.00 -1.00 232 333 1.1712 0.0355 0.003583
567.50 C 20260729 -1.00 -1.00 6914 6566 1.1116 0.0228 0.002584
570.00 C 20260729 -1.00 -1.00 834 523 1.2075 0.0260 0.002664
572.50 C 20260729 -1.00 -1.00 3793 5342 1.2632 0.0254 0.002501
575.00 C 20260729 -1.00 -1.00 25 494 1.2739 0.0212 0.002117
577.50 C 20260729 -1.00 -1.00 44 70 1.3490 0.0225 0.002107
580.00 C 20260729 -1.00 -1.00 104 959 1.2396 0.0106 0.001204
582.50 C 20260729 -1.00 -1.00 5 19 1.3896 0.0164 0.001563
585.00 C 20260729 -1.00 -1.00 12 535 1.4886 0.0198 0.001707
587.50 C 20260729 -1.00 -1.00 364 172 1.2672 0.0052 0.000627
590.00 C 20260729 -1.00 -1.00 57 3027 1.2746 0.0040 0.000495
592.50 C 20260729 -1.00 -1.00 14 122 1.5725 0.0135 0.001183
595.00 C 20260729 -1.00 -1.00 14 53 1.6136 0.0128 0.001103
597.50 C 20260729 -1.00 -1.00 4 136 1.4627 0.0056 0.000578
600.00 C 20260729 -1.00 -1.00 56 308 1.4827 0.0046 0.000479
602.50 C 20260729 -1.00 -1.00 10 95 1.4958 0.0040 0.000420
605.00 C 20260729 -1.00 -1.00 32 142 1.5333 0.0039 0.000401
607.50 C 20260729 -1.00 -1.00 5 415 1.6549 0.0059 0.000536
610.00 C 20260729 -1.00 -1.00 31 143 1.6969 0.0058 0.000513
612.50 C 20260729 -1.00 -1.00 6 74 1.7387 0.0057 0.000491
615.00 C 20260729 -1.00 -1.00 1 76 1.7578 0.0048 0.000421
617.50 C 20260729 -1.00 -1.00 7 180 1.7993 0.0047 0.000405
620.00 C 20260729 -1.00 -1.00 12 100 1.8406 0.0046 0.000389
622.50 C 20260729 -1.00 -1.00 4 94 1.8929 0.0049 0.000398
625.00 C 20260729 -1.00 -1.00 85 148 1.8276 0.0033 0.000287
