# opt_chain MSFT | epoch 1785425288 | 2026-07-30 11:28:08 | spot 444.76 | exps 20260731 20260803
# fuente ibkr_tws | band 0.0800 | max_strikes 12 | narrow 1 | vencimientos 2 | rows 48 | greeks_ok_pct 1.0000 | bidask_ok_pct 1.0000
# strike right exp bid ask vol oi iv delta gamma
445.00 C 20260731 5.40 5.80 9593 3939 0.5597 0.5010 0.0282
445.00 P 20260731 5.75 6.15 7431 45 0.5597 -0.4994 0.0282
442.50 C 20260731 6.45 7.30 2752 835 0.5661 0.5731 0.0273
442.50 P 20260731 4.55 4.95 2838 2 0.5661 -0.4272 0.0273
447.50 C 20260731 4.25 4.50 10405 2273 0.5532 0.4251 0.0281
447.50 P 20260731 6.90 7.60 8522 10 0.5532 -0.5753 0.0281
440.00 C 20260731 8.15 8.80 7928 7119 0.5725 0.6343 0.0258
440.00 P 20260731 3.65 3.95 9368 55 0.5725 -0.3659 0.0258
450.00 C 20260731 3.20 3.50 33238 11627 0.5468 0.3635 0.0272
450.00 P 20260731 8.40 9.00 7601 221 0.5468 -0.6457 0.0270
437.50 C 20260731 9.75 10.55 3362 1108 0.5795 0.6988 0.0236
437.50 P 20260731 2.98 3.10 3128 28 0.5795 -0.3013 0.0236
452.50 C 20260731 2.42 2.57 9926 3399 0.5409 0.2988 0.0253
452.50 P 20260731 9.95 11.00 1264 5 0.5409 -0.7017 0.0254
435.00 C 20260731 11.60 12.30 18488 15694 0.5873 0.7481 0.0213
435.00 P 20260731 2.29 2.42 9485 154 0.5873 -0.2520 0.0214
455.00 C 20260731 1.80 1.87 16256 1983 0.5365 0.2382 0.0228
455.00 P 20260731 11.85 12.40 3527 21 0.5365 -0.7625 0.0228
432.50 C 20260731 13.10 14.40 450 1184 0.5963 0.7999 0.0186
432.50 P 20260731 1.74 1.87 3489 12 0.5963 -0.2002 0.0186
457.50 C 20260731 1.25 1.35 4577 1152 0.5339 0.1814 0.0195
457.50 P 20260731 13.65 14.70 230 10 0.5339 -0.8195 0.0195
430.00 C 20260731 15.90 16.40 22613 18619 0.6065 0.8412 0.0158
430.00 P 20260731 1.32 1.41 8262 203 0.6065 -0.1589 0.0158
445.00 C 20260803 7.05 7.55 556 211 0.3836 0.5068 0.0219
445.00 P 20260803 7.15 7.70 1460 1 0.3836 -0.4942 0.0220
442.50 C 20260803 8.40 9.10 185 66 0.3880 0.5604 0.0214
442.50 P 20260803 6.10 6.75 443 0 0.3880 -0.4404 0.0215
447.50 C 20260803 5.60 6.25 406 61 0.3796 0.4519 0.0219
447.50 P 20260803 8.40 9.10 403 1 0.3796 -0.5493 0.0220
440.00 C 20260803 9.55 10.55 366 250 0.3928 0.6123 0.0205
440.00 P 20260803 5.00 5.65 508 4 0.3928 -0.3884 0.0206
450.00 C 20260803 4.50 5.25 2090 1677 0.3760 0.3975 0.0215
450.00 P 20260803 9.85 10.45 945 1 0.3760 -0.6040 0.0216
437.50 C 20260803 11.40 12.10 307 77 0.3979 0.6629 0.0194
437.50 P 20260803 4.20 4.75 381 0 0.3979 -0.3377 0.0194
452.50 C 20260803 3.85 4.35 323 76 0.3729 0.3439 0.0208
452.50 P 20260803 11.40 12.05 91 20 0.3729 -0.6578 0.0209
435.00 C 20260803 13.10 13.90 240 327 0.4031 0.7066 0.0180
435.00 P 20260803 3.45 4.00 306 6 0.4031 -0.2939 0.0180
455.00 C 20260803 3.15 3.50 1191 295 0.3703 0.2937 0.0196
455.00 P 20260803 12.80 13.75 123 0 0.3703 -0.7084 0.0197
432.50 C 20260803 14.80 15.80 68 60 0.4085 0.7495 0.0164
432.50 P 20260803 3.00 3.30 315 0 0.4085 -0.2509 0.0164
457.50 C 20260803 2.40 2.59 596 80 0.3682 0.2460 0.0180
457.50 P 20260803 14.85 16.05 32 0 0.3682 -0.7563 0.0181
430.00 C 20260803 16.80 17.65 370 406 0.4139 0.7866 0.0148
430.00 P 20260803 2.47 2.61 826 0 0.4139 -0.2137 0.0148
