# opt_chain SMH | epoch 1785421928 | 2026-07-30 10:32:08 | spot 542.94 | exps 20260731 20260803
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 140 | greeks_ok_pct 0.6500 | bidask_ok_pct 1.0000
# strike right exp bid ask vol oi iv delta gamma
542.50 C 20260731 8.25 9.85 896 155 0.7135 0.5194 0.0178
542.50 P 20260731 8.00 9.50 6 831 0.7135 -0.4808 0.0178
545.00 C 20260731 7.05 8.15 686 759 0.7049 0.4749 0.0179
545.00 P 20260731 8.90 10.90 106 3262 0.7049 -0.5254 0.0179
540.00 C 20260731 9.60 11.00 749 1420 0.7226 0.5618 0.0173
540.00 P 20260731 7.10 8.20 136 4673 0.7226 -0.4384 0.0173
547.50 C 20260731 5.80 7.00 52 164 0.6970 0.4294 0.0179
547.50 P 20260731 10.50 12.25 23 440 0.6970 -0.5709 0.0180
537.50 C 20260731 11.00 12.85 171 225 0.7322 0.6037 0.0167
537.50 P 20260731 6.10 7.20 134 219 0.7322 -0.3964 0.0167
550.00 C 20260731 4.85 6.00 1242 4496 0.6897 0.3838 0.0176
550.00 P 20260731 11.85 14.40 764 3981 0.6897 -0.6166 0.0176
535.00 C 20260731 12.60 14.70 297 703 0.7422 0.6446 0.0159
535.00 P 20260731 5.25 6.25 243 5466 0.7422 -0.3555 0.0159
552.50 C 20260731 4.05 5.10 292 221 0.6833 0.3408 0.0170
552.50 P 20260731 13.10 16.25 7 1331 0.6833 -0.6596 0.0171
532.50 C 20260731 14.40 16.05 641 1147 0.7526 0.6846 0.0150
532.50 P 20260731 4.20 5.20 332 11524 0.7526 -0.3155 0.0150
555.00 C 20260731 3.10 4.25 323 1192 0.6779 0.2990 0.0162
555.00 P 20260731 15.20 17.70 1029 5145 0.6779 -0.7015 0.0163
530.00 C 20260731 16.30 17.75 820 580 0.7633 0.7094 0.0142
530.00 P 20260731 4.00 4.70 417 23588 0.7633 -0.2907 0.0142
557.50 C 20260731 2.61 3.50 207 75 0.6734 0.2618 0.0153
557.50 P 20260731 16.60 19.75 6 630 0.6734 -0.7387 0.0153
527.50 C 20260731 18.25 20.05 27 507 0.7744 0.7424 0.0133
527.50 P 20260731 3.30 4.20 102 11509 0.7744 -0.2577 0.0133
560.00 C 20260731 2.20 2.90 677 5467 0.6701 0.2145 0.0139
560.00 P 20260731 18.05 21.45 16 3783 0.6701 -0.7861 0.0139
525.00 C 20260731 19.35 22.25 181 2032 0.7858 0.7716 0.0122
525.00 P 20260731 2.81 3.50 645 1816 0.7858 -0.2285 0.0122
562.50 C 20260731 1.72 2.42 123 104 0.6680 0.1899 0.0129
562.50 P 20260731 20.30 23.40 0 124 0.6680 -0.8107 0.0129
522.50 C 20260731 21.25 24.55 78 672 0.7975 0.8066 0.0109
522.50 P 20260731 2.23 3.05 774 30983 0.7975 -0.1934 0.0109
565.00 C 20260731 1.38 1.88 1199 1532 0.6672 0.1593 0.0116
565.00 P 20260731 22.50 25.65 13 2602 0.6672 -0.8414 0.0116
520.00 C 20260731 23.80 26.60 93 4412 0.8096 0.8202 0.0103
520.00 P 20260731 1.92 2.40 333 101426 0.8096 -0.1799 0.0103
567.50 C 20260731 1.09 1.46 61 100 0.6677 0.1253 0.0098
567.50 P 20260731 23.75 27.80 1 320 0.6677 -0.8756 0.0098
542.50 C 20260803 10.85 12.65 2 11 0.4988 0.5150 0.0138
542.50 P 20260803 10.50 12.85 1 8 0.4988 -0.4858 0.0138
545.00 C 20260803 8.95 11.30 45 19 0.4948 0.4806 0.0138
545.00 P 20260803 11.50 14.50 21 43 0.4948 -0.5202 0.0138
540.00 C 20260803 12.00 14.65 48 30 0.5031 0.5489 0.0135
540.00 P 20260803 9.25 11.65 14 239 0.5031 -0.4518 0.0135
547.50 C 20260803 8.35 10.10 40 42 -1.0000 -1.0000 -1.0000
547.50 P 20260803 12.30 15.80 1 248 0.4911 -0.5552 0.0139
537.50 C 20260803 13.15 15.85 2 113 -1.0000 -1.0000 -1.0000
537.50 P 20260803 8.65 10.55 36 7 0.5078 -0.4184 0.0132
550.00 C 20260803 7.20 9.00 1026 54 0.4879 0.4114 0.0137
550.00 P 20260803 13.50 17.00 4 48 0.4879 -0.5896 0.0137
535.00 C 20260803 14.90 17.45 3 209 -1.0000 -1.0000 -1.0000
535.00 P 20260803 7.45 10.30 3 42 0.5129 -0.3865 0.0128
552.50 C 20260803 6.35 7.95 11 75 -1.0000 -1.0000 -1.0000
552.50 P 20260803 15.55 18.30 0 8 0.4850 -0.6239 0.0135
532.50 C 20260803 16.50 19.20 3 40 0.5183 0.6519 0.0122
532.50 P 20260803 6.90 8.40 6 1775 0.5183 -0.3486 0.0123
555.00 C 20260803 5.40 7.00 9 51 -1.0000 -1.0000 -1.0000
555.00 P 20260803 16.80 19.90 0 101 -1.0000 -1.0000 -1.0000
530.00 C 20260803 18.00 20.65 89 267 0.5240 0.6796 0.0117
530.00 P 20260803 6.00 8.70 17 1886 0.5240 -0.3194 0.0117
557.50 C 20260803 4.65 6.10 47 70 -1.0000 -1.0000 -1.0000
557.50 P 20260803 18.50 21.75 1 31 -1.0000 -1.0000 -1.0000
527.50 C 20260803 20.10 22.95 35 26 0.5300 0.7026 0.0112
527.50 P 20260803 5.45 7.45 235 2100 0.5300 -0.2978 0.0112
560.00 C 20260803 4.05 5.30 22 191 0.4787 0.2875 0.0122
560.00 P 20260803 20.50 22.75 1 114 0.4787 -0.7141 0.0123
525.00 C 20260803 21.85 24.50 29 39 0.5363 0.7357 0.0105
525.00 P 20260803 4.90 7.50 23 421 0.5363 -0.2646 0.0105
562.50 C 20260803 3.50 4.70 18 389 0.4775 0.2526 0.0115
562.50 P 20260803 22.25 24.65 0 3 -1.0000 -1.0000 -1.0000
522.50 C 20260803 23.80 26.90 22 21 0.5429 0.7502 0.0101
522.50 P 20260803 4.20 6.85 2 163 0.5429 -0.2501 0.0101
565.00 C 20260803 2.82 3.95 219 156 0.4766 0.2324 0.0110
565.00 P 20260803 24.15 27.35 1 7 -1.0000 -1.0000 -1.0000
520.00 C 20260803 25.80 28.85 48 76 0.5498 0.7720 0.0094
520.00 P 20260803 3.85 4.85 2 41 0.5498 -0.2282 0.0094
567.50 C 20260803 2.39 3.40 13 170 -1.0000 -1.0000 -1.0000
567.50 P 20260803 25.80 29.45 1 3 -1.0000 -1.0000 -1.0000
462.50 C 20260731 78.70 82.65 0 0 1.2038 0.9897 0.0007
462.50 P 20260731 0.09 0.33 3 59 1.2038 -0.0100 0.0007
470.00 C 20260731 71.20 75.00 0 1 1.1438 0.9857 0.0010
470.00 P 20260731 0.16 0.24 125 3196 1.1438 -0.0137 0.0010
477.50 C 20260731 63.80 67.30 0 0 1.0847 0.9803 0.0014
477.50 P 20260731 0.22 0.46 20 1586 1.0847 -0.0197 0.0014
485.00 C 20260731 56.35 60.25 3 20 1.0272 0.9715 0.0020
485.00 P 20260731 0.30 0.47 44 614 1.0272 -0.0277 0.0020
492.50 C 20260731 49.00 53.00 1 150 -1.0000 -1.0000 -1.0000
492.50 P 20260731 0.30 0.64 30 127 0.9726 -0.0397 0.0028
500.00 C 20260731 41.75 45.35 171 289 0.9221 0.9423 0.0040
500.00 P 20260731 0.58 0.86 10738 102451 0.9221 -0.0603 0.0041
507.50 C 20260731 34.60 38.15 17 29 -1.0000 -1.0000 -1.0000
507.50 P 20260731 0.94 1.48 27 610 0.8762 -0.0894 0.0059
515.00 C 20260731 27.70 31.60 46 129 0.8349 0.8636 0.0083
515.00 P 20260731 1.60 2.08 70 2908 0.8349 -0.1364 0.0083
572.50 C 20260731 0.64 0.92 97 261 0.6729 0.0864 0.0075
572.50 P 20260731 28.45 32.30 1 97 0.6729 -0.9128 0.0076
580.00 C 20260731 0.34 0.48 1649 23924 -1.0000 -1.0000 -1.0000
580.00 P 20260731 35.70 39.45 8 2524 0.6909 -0.9506 0.0048
587.50 C 20260731 0.12 0.29 10 200 -1.0000 -1.0000 -1.0000
587.50 P 20260731 43.10 46.75 0 46 0.7196 -0.9713 0.0030
595.00 C 20260731 0.10 0.30 74 885 0.7566 0.0192 0.0019
595.00 P 20260731 50.25 54.20 1 64 -1.0000 -1.0000 -1.0000
602.50 C 20260731 0.06 0.11 26 185 -1.0000 -1.0000 -1.0000
602.50 P 20260731 57.50 61.65 0 6 -1.0000 -1.0000 -1.0000
610.00 C 20260731 0.03 0.29 27 841 -1.0000 -1.0000 -1.0000
610.00 P 20260731 65.35 69.15 0 2 -1.0000 -1.0000 -1.0000
617.50 C 20260731 0.01 0.09 5 114 -1.0000 -1.0000 -1.0000
617.50 P 20260731 72.80 76.60 0 0 -1.0000 -1.0000 -1.0000
462.50 C 20260803 79.10 82.80 0 1 0.7579 0.9784 0.0012
462.50 P 20260803 0.20 1.54 0 9 -1.0000 -1.0000 -1.0000
470.00 C 20260803 71.75 75.65 0 1 -1.0000 -1.0000 -1.0000
470.00 P 20260803 0.48 0.86 29 271 -1.0000 -1.0000 -1.0000
477.50 C 20260803 64.45 68.25 0 2 -1.0000 -1.0000 -1.0000
477.50 P 20260803 0.48 1.81 0 20 -1.0000 -1.0000 -1.0000
485.00 C 20260803 57.20 61.25 0 0 0.6692 0.9445 0.0029
485.00 P 20260803 0.68 2.26 1 20 -1.0000 -1.0000 -1.0000
492.50 C 20260803 50.05 53.90 0 0 -1.0000 -1.0000 -1.0000
492.50 P 20260803 1.05 2.67 0 85 0.6408 -0.0738 0.0038
500.00 C 20260803 43.05 46.70 0 35 -1.0000 -1.0000 -1.0000
500.00 P 20260803 1.43 2.55 155 319 0.6136 -0.1011 0.0050
507.50 C 20260803 36.15 39.40 1 3 -1.0000 -1.0000 -1.0000
507.50 P 20260803 2.06 2.75 29 20 -1.0000 -1.0000 -1.0000
