# opt_chain SPCX | epoch 1785442248 | 2026-07-30 16:10:48 | spot 112.41 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 136 | greeks_ok_pct 0.0588 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
112.00 C 20260731 -1.00 -1.00 5665 2501 1.1175 0.5363 0.0410
112.00 P 20260731 -1.00 -1.00 7069 5792 1.1175 -0.4638 0.0410
113.00 C 20260731 -1.00 -1.00 6647 1673 1.1349 0.4958 0.0408
113.00 P 20260731 -1.00 -1.00 5662 3606 1.1349 -0.5044 0.0409
111.00 C 20260731 -1.00 -1.00 1268 977 -1.0000 -1.0000 -1.0000
111.00 P 20260731 -1.00 -1.00 3555 3205 -1.0000 -1.0000 -1.0000
114.00 C 20260731 -1.00 -1.00 5209 2648 -1.0000 -1.0000 -1.0000
114.00 P 20260731 -1.00 -1.00 7089 2173 -1.0000 -1.0000 -1.0000
110.00 C 20260731 -1.00 -1.00 1257 2021 -1.0000 -1.0000 -1.0000
110.00 P 20260731 -1.00 -1.00 13500 15071 -1.0000 -1.0000 -1.0000
115.00 C 20260731 -1.00 -1.00 13647 12480 -1.0000 -1.0000 -1.0000
115.00 P 20260731 -1.00 -1.00 11604 17554 -1.0000 -1.0000 -1.0000
109.00 C 20260731 -1.00 -1.00 196 461 -1.0000 -1.0000 -1.0000
109.00 P 20260731 -1.00 -1.00 3017 2136 -1.0000 -1.0000 -1.0000
116.00 C 20260731 -1.00 -1.00 5820 1572 -1.0000 -1.0000 -1.0000
116.00 P 20260731 -1.00 -1.00 2444 2432 -1.0000 -1.0000 -1.0000
108.00 C 20260731 -1.00 -1.00 154 469 -1.0000 -1.0000 -1.0000
108.00 P 20260731 -1.00 -1.00 4287 3224 -1.0000 -1.0000 -1.0000
117.00 C 20260731 -1.00 -1.00 6443 1806 -1.0000 -1.0000 -1.0000
117.00 P 20260731 -1.00 -1.00 2413 1561 -1.0000 -1.0000 -1.0000
107.00 C 20260731 -1.00 -1.00 33 1822 -1.0000 -1.0000 -1.0000
107.00 P 20260731 -1.00 -1.00 5640 5977 -1.0000 -1.0000 -1.0000
118.00 C 20260731 -1.00 -1.00 5827 2274 -1.0000 -1.0000 -1.0000
118.00 P 20260731 -1.00 -1.00 1551 1289 -1.0000 -1.0000 -1.0000
106.00 C 20260731 -1.00 -1.00 27 296 -1.0000 -1.0000 -1.0000
106.00 P 20260731 -1.00 -1.00 2504 6910 -1.0000 -1.0000 -1.0000
119.00 C 20260731 -1.00 -1.00 3002 1758 -1.0000 -1.0000 -1.0000
119.00 P 20260731 -1.00 -1.00 234 1949 -1.0000 -1.0000 -1.0000
105.00 C 20260731 -1.00 -1.00 181 495 -1.0000 -1.0000 -1.0000
105.00 P 20260731 -1.00 -1.00 3601 6831 -1.0000 -1.0000 -1.0000
120.00 C 20260731 -1.00 -1.00 16682 13222 -1.0000 -1.0000 -1.0000
120.00 P 20260731 -1.00 -1.00 2176 8647 -1.0000 -1.0000 -1.0000
104.00 C 20260731 -1.00 -1.00 22 128 -1.0000 -1.0000 -1.0000
104.00 P 20260731 -1.00 -1.00 1145 1330 -1.0000 -1.0000 -1.0000
121.00 C 20260731 -1.00 -1.00 2502 4840 -1.0000 -1.0000 -1.0000
121.00 P 20260731 -1.00 -1.00 305 790 -1.0000 -1.0000 -1.0000
103.00 C 20260731 -1.00 -1.00 12 127 -1.0000 -1.0000 -1.0000
103.00 P 20260731 -1.00 -1.00 387 1127 -1.0000 -1.0000 -1.0000
122.00 C 20260731 -1.00 -1.00 2019 2119 -1.0000 -1.0000 -1.0000
122.00 P 20260731 -1.00 -1.00 142 1394 -1.0000 -1.0000 -1.0000
112.00 C 20260807 -1.00 -1.00 568 743 -1.0000 -1.0000 -1.0000
112.00 P 20260807 -1.00 -1.00 678 1897 -1.0000 -1.0000 -1.0000
113.00 C 20260807 -1.00 -1.00 618 835 -1.0000 -1.0000 -1.0000
113.00 P 20260807 -1.00 -1.00 654 938 -1.0000 -1.0000 -1.0000
111.00 C 20260807 -1.00 -1.00 190 492 -1.0000 -1.0000 -1.0000
111.00 P 20260807 -1.00 -1.00 1595 1545 -1.0000 -1.0000 -1.0000
114.00 C 20260807 -1.00 -1.00 632 493 -1.0000 -1.0000 -1.0000
114.00 P 20260807 -1.00 -1.00 1117 535 -1.0000 -1.0000 -1.0000
110.00 C 20260807 -1.00 -1.00 961 1360 -1.0000 -1.0000 -1.0000
110.00 P 20260807 -1.00 -1.00 7221 16633 -1.0000 -1.0000 -1.0000
115.00 C 20260807 -1.00 -1.00 2417 4792 -1.0000 -1.0000 -1.0000
115.00 P 20260807 -1.00 -1.00 4169 8657 -1.0000 -1.0000 -1.0000
109.00 C 20260807 -1.00 -1.00 59 68 -1.0000 -1.0000 -1.0000
109.00 P 20260807 -1.00 -1.00 306 511 -1.0000 -1.0000 -1.0000
116.00 C 20260807 -1.00 -1.00 471 2746 -1.0000 -1.0000 -1.0000
116.00 P 20260807 -1.00 -1.00 1006 661 -1.0000 -1.0000 -1.0000
108.00 C 20260807 -1.00 -1.00 156 229 -1.0000 -1.0000 -1.0000
108.00 P 20260807 -1.00 -1.00 396 829 -1.0000 -1.0000 -1.0000
117.00 C 20260807 -1.00 -1.00 365 474 -1.0000 -1.0000 -1.0000
117.00 P 20260807 -1.00 -1.00 704 676 -1.0000 -1.0000 -1.0000
107.00 C 20260807 -1.00 -1.00 145 32 -1.0000 -1.0000 -1.0000
107.00 P 20260807 -1.00 -1.00 264 228 -1.0000 -1.0000 -1.0000
118.00 C 20260807 -1.00 -1.00 550 769 -1.0000 -1.0000 -1.0000
118.00 P 20260807 -1.00 -1.00 334 671 -1.0000 -1.0000 -1.0000
106.00 C 20260807 -1.00 -1.00 55 25 -1.0000 -1.0000 -1.0000
106.00 P 20260807 -1.00 -1.00 379 310 -1.0000 -1.0000 -1.0000
119.00 C 20260807 -1.00 -1.00 193 479 -1.0000 -1.0000 -1.0000
119.00 P 20260807 -1.00 -1.00 89 755 -1.0000 -1.0000 -1.0000
105.00 C 20260807 -1.00 -1.00 69 209 -1.0000 -1.0000 -1.0000
105.00 P 20260807 -1.00 -1.00 4547 6535 -1.0000 -1.0000 -1.0000
120.00 C 20260807 -1.00 -1.00 3628 5503 -1.0000 -1.0000 -1.0000
120.00 P 20260807 -1.00 -1.00 735 5890 -1.0000 -1.0000 -1.0000
