# opt_chain SPY | epoch 1785424617 | 2026-07-30 11:16:57 | spot 735.54 | exps 20260730 20260731
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 126 | greeks_ok_pct 0.9921 | bidask_ok_pct 0.8889
# strike right exp bid ask vol oi iv delta gamma
736.00 C 20260730 1.70 1.71 103683 7499 0.2868 0.4676 0.0793
736.00 P 20260730 2.27 2.28 189266 6178 0.2868 -0.5326 0.0794
735.00 C 20260730 2.26 2.27 52887 7482 0.2966 0.5454 0.0765
735.00 P 20260730 1.83 1.84 265352 11932 0.2966 -0.4548 0.0765
737.00 C 20260730 1.23 1.24 128369 5777 0.2786 0.3866 0.0786
737.00 P 20260730 2.79 2.81 182989 5064 0.2786 -0.6137 0.0786
734.00 C 20260730 2.89 2.91 17455 3659 0.3047 0.6154 0.0718
734.00 P 20260730 1.46 1.47 166201 4143 0.3047 -0.3847 0.0718
738.00 C 20260730 0.85 0.86 181498 6560 0.2716 0.3066 0.0739
738.00 P 20260730 3.41 3.44 157814 11423 0.2716 -0.6937 0.0740
733.00 C 20260730 3.58 3.61 7745 3043 0.3122 0.6837 0.0652
733.00 P 20260730 1.16 1.17 125114 32564 0.3122 -0.3164 0.0652
739.00 C 20260730 0.57 0.58 220943 5634 0.2659 0.2378 0.0665
739.00 P 20260730 4.12 4.15 52681 4452 0.2659 -0.7627 0.0666
732.00 C 20260730 4.34 4.37 10099 3941 0.3205 0.7416 0.0578
732.00 P 20260730 0.91 0.92 84882 4291 0.3205 -0.2584 0.0578
740.00 C 20260730 0.36 0.37 234764 13523 0.2623 0.1699 0.0552
740.00 P 20260730 4.90 4.95 24821 3660 0.2623 -0.8306 0.0553
731.00 C 20260730 5.14 5.18 4420 3016 0.3303 0.7879 0.0504
731.00 P 20260730 0.72 0.73 67601 3745 0.3303 -0.2122 0.0504
741.00 C 20260730 0.22 0.23 118079 3869 0.2607 0.1144 0.0426
741.00 P 20260730 5.76 5.81 10074 3457 0.2607 -0.8863 0.0427
730.00 C 20260730 5.98 6.02 5579 2922 0.3387 0.8263 0.0433
