# opt_chain TSM | epoch 1785442115 | 2026-07-30 16:08:35 | spot 404.76 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 160 | greeks_ok_pct 0.0187 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
405.00 C 20260731 -1.00 -1.00 946 4515 -1.0000 -1.0000 -1.0000
405.00 P 20260731 -1.00 -1.00 343 1357 -1.0000 -1.0000 -1.0000
402.50 C 20260731 -1.00 -1.00 708 694 -1.0000 -1.0000 -1.0000
402.50 P 20260731 -1.00 -1.00 358 171 -1.0000 -1.0000 -1.0000
407.50 C 20260731 -1.00 -1.00 809 1344 -1.0000 -1.0000 -1.0000
407.50 P 20260731 -1.00 -1.00 194 856 -1.0000 -1.0000 -1.0000
400.00 C 20260731 -1.00 -1.00 6525 3927 -1.0000 -1.0000 -1.0000
400.00 P 20260731 -1.00 -1.00 1680 4752 -1.0000 -1.0000 -1.0000
410.00 C 20260731 -1.00 -1.00 2361 4084 -1.0000 -1.0000 -1.0000
410.00 P 20260731 -1.00 -1.00 212 885 -1.0000 -1.0000 -1.0000
397.50 C 20260731 -1.00 -1.00 1120 1238 -1.0000 -1.0000 -1.0000
397.50 P 20260731 -1.00 -1.00 542 1517 -1.0000 -1.0000 -1.0000
412.50 C 20260731 -1.00 -1.00 1415 303 -1.0000 -1.0000 -1.0000
412.50 P 20260731 -1.00 -1.00 49 323 -1.0000 -1.0000 -1.0000
395.00 C 20260731 -1.00 -1.00 253 462 -1.0000 -1.0000 -1.0000
395.00 P 20260731 -1.00 -1.00 504 2343 -1.0000 -1.0000 -1.0000
415.00 C 20260731 -1.00 -1.00 1435 1507 -1.0000 -1.0000 -1.0000
415.00 P 20260731 -1.00 -1.00 111 407 -1.0000 -1.0000 -1.0000
392.50 C 20260731 -1.00 -1.00 967 1263 -1.0000 -1.0000 -1.0000
392.50 P 20260731 -1.00 -1.00 156 243 -1.0000 -1.0000 -1.0000
417.50 C 20260731 -1.00 -1.00 667 697 -1.0000 -1.0000 -1.0000
417.50 P 20260731 -1.00 -1.00 11 280 -1.0000 -1.0000 -1.0000
390.00 C 20260731 -1.00 -1.00 298 3282 -1.0000 -1.0000 -1.0000
390.00 P 20260731 -1.00 -1.00 746 3279 -1.0000 -1.0000 -1.0000
420.00 C 20260731 -1.00 -1.00 1818 3866 -1.0000 -1.0000 -1.0000
420.00 P 20260731 -1.00 -1.00 342 3792 -1.0000 -1.0000 -1.0000
387.50 C 20260731 -1.00 -1.00 75 332 -1.0000 -1.0000 -1.0000
387.50 P 20260731 -1.00 -1.00 1002 611 -1.0000 -1.0000 -1.0000
422.50 C 20260731 -1.00 -1.00 891 1317 -1.0000 -1.0000 -1.0000
422.50 P 20260731 -1.00 -1.00 2 12 -1.0000 -1.0000 -1.0000
385.00 C 20260731 -1.00 -1.00 60 676 -1.0000 -1.0000 -1.0000
385.00 P 20260731 -1.00 -1.00 989 3515 -1.0000 -1.0000 -1.0000
425.00 C 20260731 -1.00 -1.00 762 1779 -1.0000 -1.0000 -1.0000
425.00 P 20260731 -1.00 -1.00 47 144 -1.0000 -1.0000 -1.0000
382.50 C 20260731 -1.00 -1.00 37 132 -1.0000 -1.0000 -1.0000
382.50 P 20260731 -1.00 -1.00 341 720 -1.0000 -1.0000 -1.0000
427.50 C 20260731 -1.00 -1.00 78 2277 -1.0000 -1.0000 -1.0000
427.50 P 20260731 -1.00 -1.00 0 3 -1.0000 -1.0000 -1.0000
380.00 C 20260731 -1.00 -1.00 2269 1815 -1.0000 -1.0000 -1.0000
380.00 P 20260731 -1.00 -1.00 1216 5409 -1.0000 -1.0000 -1.0000
405.00 C 20260807 -1.00 -1.00 429 984 -1.0000 -1.0000 -1.0000
405.00 P 20260807 -1.00 -1.00 80 154 -1.0000 -1.0000 -1.0000
402.50 C 20260807 -1.00 -1.00 729 360 -1.0000 -1.0000 -1.0000
402.50 P 20260807 -1.00 -1.00 160 46 -1.0000 -1.0000 -1.0000
407.50 C 20260807 -1.00 -1.00 50 139 -1.0000 -1.0000 -1.0000
407.50 P 20260807 -1.00 -1.00 45 34 -1.0000 -1.0000 -1.0000
400.00 C 20260807 -1.00 -1.00 809 2693 -1.0000 -1.0000 -1.0000
400.00 P 20260807 -1.00 -1.00 1669 1036 -1.0000 -1.0000 -1.0000
410.00 C 20260807 -1.00 -1.00 1238 475 -1.0000 -1.0000 -1.0000
410.00 P 20260807 -1.00 -1.00 16 507 -1.0000 -1.0000 -1.0000
397.50 C 20260807 -1.00 -1.00 103 1309 -1.0000 -1.0000 -1.0000
397.50 P 20260807 -1.00 -1.00 51 62 -1.0000 -1.0000 -1.0000
412.50 C 20260807 -1.00 -1.00 35 204 -1.0000 -1.0000 -1.0000
412.50 P 20260807 -1.00 -1.00 50 89 -1.0000 -1.0000 -1.0000
395.00 C 20260807 -1.00 -1.00 127 764 -1.0000 -1.0000 -1.0000
395.00 P 20260807 -1.00 -1.00 134 228 -1.0000 -1.0000 -1.0000
415.00 C 20260807 -1.00 -1.00 1076 325 -1.0000 -1.0000 -1.0000
415.00 P 20260807 -1.00 -1.00 27 131 -1.0000 -1.0000 -1.0000
392.50 C 20260807 -1.00 -1.00 57 569 -1.0000 -1.0000 -1.0000
392.50 P 20260807 -1.00 -1.00 716 797 -1.0000 -1.0000 -1.0000
417.50 C 20260807 -1.00 -1.00 46 74 -1.0000 -1.0000 -1.0000
417.50 P 20260807 -1.00 -1.00 16 30 -1.0000 -1.0000 -1.0000
390.00 C 20260807 -1.00 -1.00 58 811 -1.0000 -1.0000 -1.0000
390.00 P 20260807 -1.00 -1.00 542 523 -1.0000 -1.0000 -1.0000
420.00 C 20260807 -1.00 -1.00 1840 640 -1.0000 -1.0000 -1.0000
420.00 P 20260807 -1.00 -1.00 537 428 -1.0000 -1.0000 -1.0000
387.50 C 20260807 -1.00 -1.00 168 1537 -1.0000 -1.0000 -1.0000
