# opt_chain AMD | epoch 1785440035 | 2026-07-30 15:33:55 | spot 487.73 | exps 20260731 20260803 20260805 20260807 20260810 20260812 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 112 | band 0.6000 vencimientos 8 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
295.00 C 20260731 -1.00 -1.00 4 8 3.7996 0.9937 0.000167
300.00 C 20260731 -1.00 -1.00 1 41 -1.0000 -1.0000 -1.000000
305.00 C 20260731 -1.00 -1.00 3 7 -1.0000 -1.0000 -1.000000
310.00 C 20260731 -1.00 -1.00 3 6 -1.0000 -1.0000 -1.000000
315.00 C 20260731 -1.00 -1.00 2 4 0.0004 1.0000 0.000000
320.00 C 20260731 -1.00 -1.00 34 90 2.9927 0.9960 0.000140
325.00 C 20260731 -1.00 -1.00 10 23 -1.0000 -1.0000 -1.000000
330.00 C 20260731 -1.00 -1.00 14 139 -1.0000 -1.0000 -1.000000
335.00 C 20260731 -1.00 -1.00 4 21 3.0356 0.9907 0.000298
340.00 C 20260731 -1.00 -1.00 1 16 2.9806 0.9891 0.000345
345.00 C 20260731 -1.00 -1.00 4 12 2.2133 0.9982 0.000090
350.00 C 20260731 -1.00 -1.00 13 46 -1.0000 -1.0000 -1.000000
352.50 C 20260731 -1.00 -1.00 10 0 -1.0000 -1.0000 -1.000000
355.00 C 20260731 -1.00 -1.00 9 10 -1.0000 -1.0000 -1.000000
357.50 C 20260731 -1.00 -1.00 7 0 -1.0000 -1.0000 -1.000000
360.00 C 20260731 -1.00 -1.00 3 39 -1.0000 -1.0000 -1.000000
362.50 C 20260731 -1.00 -1.00 -1 0 0.0004 1.0000 -0.000000
365.00 C 20260731 -1.00 -1.00 1 10 1.6513 0.9995 0.000039
367.50 C 20260731 -1.00 -1.00 2 0 0.0004 1.0000 -0.000000
370.00 C 20260731 -1.00 -1.00 7 18 -1.0000 -1.0000 -1.000000
372.50 C 20260731 -1.00 -1.00 4 1 1.5296 0.9995 0.000039
375.00 C 20260731 -1.00 -1.00 3 14 0.0004 1.0000 -0.000000
377.50 C 20260731 -1.00 -1.00 6 1 -1.0000 -1.0000 -1.000000
380.00 C 20260731 -1.00 -1.00 6 34 0.0004 1.0000 -0.000000
382.50 C 20260731 -1.00 -1.00 2 0 -1.0000 -1.0000 -1.000000
385.00 C 20260731 -1.00 -1.00 5 40 -1.0000 -1.0000 -1.000000
387.50 C 20260731 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
390.00 C 20260731 -1.00 -1.00 11 55 -1.0000 -1.0000 -1.000000
392.50 C 20260731 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
395.00 C 20260731 -1.00 -1.00 2 10 -1.0000 -1.0000 -1.000000
397.50 C 20260731 -1.00 -1.00 2 14 1.1409 0.9997 0.000037
400.00 C 20260731 -1.00 -1.00 32 85 -1.0000 -1.0000 -1.000000
402.50 C 20260731 -1.00 -1.00 2 10 -1.0000 -1.0000 -1.000000
405.00 C 20260731 -1.00 -1.00 1 11 -1.0000 -1.0000 -1.000000
407.50 C 20260731 -1.00 -1.00 3 6 -1.0000 -1.0000 -1.000000
410.00 C 20260731 -1.00 -1.00 25 71 -1.0000 -1.0000 -1.000000
412.50 C 20260731 -1.00 -1.00 6 9 -1.0000 -1.0000 -1.000000
415.00 C 20260731 -1.00 -1.00 1 44 -1.0000 -1.0000 -1.000000
417.50 C 20260731 -1.00 -1.00 4 46 -1.0000 -1.0000 -1.000000
420.00 C 20260731 -1.00 -1.00 42 149 0.7491 1.0000 0.000009
422.50 C 20260731 -1.00 -1.00 18 61 -1.0000 -1.0000 -1.000000
425.00 C 20260731 -1.00 -1.00 10 242 -1.0000 -1.0000 -1.000000
427.50 C 20260731 -1.00 -1.00 107 140 -1.0000 -1.0000 -1.000000
430.00 C 20260731 -1.00 -1.00 168 541 -1.0000 -1.0000 -1.000000
432.50 C 20260731 -1.00 -1.00 99 193 -1.0000 -1.0000 -1.000000
435.00 C 20260731 -1.00 -1.00 125 456 1.3501 0.9475 0.002857
437.50 C 20260731 -1.00 -1.00 63 212 -1.0000 -1.0000 -1.000000
440.00 C 20260731 -1.00 -1.00 491 783 1.2326 0.9459 0.003209
442.50 C 20260731 -1.00 -1.00 126 239 0.7524 0.9934 0.000875
445.00 C 20260731 -1.00 -1.00 693 717 0.8662 0.9789 0.002090
447.50 C 20260731 -1.00 -1.00 92 166 0.9117 0.9667 0.002929
450.00 C 20260731 -1.00 -1.00 1584 3174 0.8640 0.9651 0.003202
452.50 C 20260731 -1.00 -1.00 115 995 0.8715 0.9528 0.004048
455.00 C 20260731 -1.00 -1.00 549 639 0.9768 0.9191 0.005513
457.50 C 20260731 -1.00 -1.00 255 223 0.9058 0.9190 0.005955
460.00 C 20260731 -1.00 -1.00 2732 1324 0.9559 0.8900 0.007106
462.50 C 20260731 -1.00 -1.00 1051 304 0.9167 0.8808 0.007895
465.00 C 20260731 -1.00 -1.00 2421 605 0.9991 0.8366 0.008881
467.50 C 20260731 -1.00 -1.00 895 534 1.0241 0.8071 0.009668
470.00 C 20260731 -1.00 -1.00 4162 2123 0.9728 0.7932 0.010674
472.50 C 20260731 -1.00 -1.00 2040 539 0.9729 0.7649 0.011481
475.00 C 20260731 -1.00 -1.00 3257 691 0.9541 0.7365 0.012343
477.50 C 20260731 -1.00 -1.00 2785 1886 0.9329 0.7074 0.013289
480.00 C 20260731 -1.00 -1.00 6160 6921 0.9431 0.6723 0.013938
482.50 C 20260731 -1.00 -1.00 1986 267 0.9346 0.6379 0.014599
485.00 C 20260731 -1.00 -1.00 5458 4205 0.9124 0.6019 0.015262
487.50 C 20260731 -1.00 -1.00 3002 385 0.9062 0.5632 0.015697
490.00 C 20260731 -1.00 -1.00 7561 967 0.9114 0.5240 0.015942
492.50 C 20260731 -1.00 -1.00 6269 3102 0.8947 0.4846 0.016181
495.00 C 20260731 -1.00 -1.00 8178 5937 0.8764 0.4437 0.016251
497.50 C 20260731 -1.00 -1.00 9891 166 0.8716 0.4029 0.016069
500.00 C 20260731 -1.00 -1.00 20036 8955 0.8866 0.3653 0.015546
502.50 C 20260731 -1.00 -1.00 2622 559 0.8597 0.3254 0.015141
505.00 C 20260731 -1.00 -1.00 5087 1653 0.8685 0.2920 0.014245
507.50 C 20260731 -1.00 -1.00 1779 837 0.8519 0.2521 0.013616
510.00 C 20260731 -1.00 -1.00 6375 2081 0.8686 0.2255 0.012580
512.50 C 20260731 -1.00 -1.00 2840 508 0.8504 0.1936 0.011620
515.00 C 20260731 -1.00 -1.00 4101 1601 0.8554 0.1679 0.010568
517.50 C 20260731 -1.00 -1.00 2158 433 0.8629 0.1435 0.009545
520.00 C 20260731 -1.00 -1.00 8498 2135 0.8519 0.1211 0.008537
522.50 C 20260731 -1.00 -1.00 1300 468 0.8492 0.1024 0.007540
525.00 C 20260731 -1.00 -1.00 2702 1677 0.8611 0.0879 0.006657
527.50 C 20260731 -1.00 -1.00 1153 235 0.8682 0.0723 0.005772
530.00 C 20260731 -1.00 -1.00 4741 2716 0.8673 0.0617 0.005058
