# opt_chain DIA | epoch 1785432558 | 2026-07-30 13:29:18 | spot 515.41 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 77358 | band 0.1800 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
455.00 C 20260731 -1.00 -1.00 3 3 1.0434 0.9887 0.000929
460.00 C 20260731 -1.00 -1.00 3 3 0.9649 0.9880 0.001057
465.00 C 20260731 -1.00 -1.00 1 0 0.9043 0.9852 0.001338
470.00 C 20260731 -1.00 -1.00 61 61 0.8107 0.9861 0.001415
475.00 C 20260731 -1.00 -1.00 1 76 0.7347 0.9850 0.001672
480.00 C 20260731 -1.00 -1.00 8 7 0.6596 0.9835 0.002013
485.00 C 20260731 -1.00 -1.00 1 101 0.6019 0.9790 0.002721
489.00 C 20260731 -1.00 -1.00 5 1 0.5264 0.9799 0.002984
490.00 C 20260731 -1.00 -1.00 1 5 0.5283 0.9764 0.003436
491.00 C 20260731 -1.00 -1.00 -1 0 0.5137 0.9758 0.003614
492.00 C 20260731 -1.00 -1.00 2 2 0.4991 0.9751 0.003807
492.50 C 20260731 -1.00 -1.00 -1 0 0.4753 0.9780 0.003577
493.00 C 20260731 -1.00 -1.00 -1 2 0.4681 0.9777 0.003677
494.00 C 20260731 -1.00 -1.00 4 0 0.4535 0.9771 0.003890
495.00 C 20260731 -1.00 -1.00 7 1 0.4555 0.9730 0.004493
496.00 C 20260731 -1.00 -1.00 1 139 0.4410 0.9722 0.004765
497.00 C 20260731 -1.00 -1.00 12 12 0.4265 0.9713 0.005063
497.50 C 20260731 -1.00 -1.00 5 6 0.4193 0.9708 0.005224
498.00 C 20260731 -1.00 -1.00 10 10 0.4121 0.9704 0.005392
499.00 C 20260731 -1.00 -1.00 5 6 0.3959 0.9694 0.005757
500.00 C 20260731 -1.00 -1.00 3 16 0.3794 0.9683 0.006164
501.00 C 20260731 -1.00 -1.00 8 6 0.3630 0.9672 0.006623
502.00 C 20260731 -1.00 -1.00 7 6 0.3547 0.9618 0.007617
502.50 C 20260731 -1.00 -1.00 -1 0 0.3384 0.9652 0.007427
503.00 C 20260731 -1.00 -1.00 1 8 0.3302 0.9645 0.007731
504.00 C 20260731 -1.00 -1.00 5 7 0.3139 0.9629 0.008407
505.00 C 20260731 -1.00 -1.00 3 582 0.3057 0.9566 0.009782
506.00 C 20260731 -1.00 -1.00 7 25 0.2976 0.9500 0.011296
507.00 C 20260731 -1.00 -1.00 1 1 0.2814 0.9474 0.012451
507.50 C 20260731 -1.00 -1.00 2 58 0.2733 0.9461 0.013103
508.00 C 20260731 -1.00 -1.00 4 5 0.2652 0.9446 0.013811
509.00 C 20260731 -1.00 -1.00 1 14 0.2490 0.9414 0.015426
510.00 C 20260731 -1.00 -1.00 14 54 0.2451 0.9278 0.018466
511.00 C 20260731 -1.00 -1.00 21 18 0.2356 0.9134 0.021876
512.00 C 20260731 -1.00 -1.00 1 101 0.2214 0.9023 0.025445
512.50 C 20260731 -1.00 -1.00 7 36 0.2214 0.8894 0.027988
513.00 C 20260731 -1.00 -1.00 2 17 0.2167 0.8807 0.030341
514.00 C 20260731 -1.00 -1.00 13 35 0.2043 0.8620 0.035652
515.00 C 20260731 -1.00 -1.00 208 157 0.1974 0.8282 0.042242
516.00 C 20260731 -1.00 -1.00 543 221 0.1905 0.7919 0.049708
517.00 C 20260731 -1.00 -1.00 358 164 0.1858 0.7435 0.057008
517.50 C 20260731 -1.00 -1.00 136 136 0.1791 0.7204 0.061583
518.00 C 20260731 -1.00 -1.00 335 247 0.1771 0.6908 0.065416
519.00 C 20260731 -1.00 -1.00 1676 1227 0.1740 0.6263 0.071978
520.00 C 20260731 -1.00 -1.00 431 1000 0.1681 0.5540 0.077336
521.00 C 20260731 -1.00 -1.00 237 384 0.1649 0.4769 0.079801
522.00 C 20260731 -1.00 -1.00 409 1179 0.1615 0.3966 0.078616
523.00 C 20260731 -1.00 -1.00 197 281 0.1578 0.3184 0.074362
524.00 C 20260731 -1.00 -1.00 132 510 0.1567 0.2452 0.066456
525.00 C 20260731 -1.00 -1.00 285 1745 0.1532 0.1816 0.056392
526.00 C 20260731 -1.00 -1.00 74 371 0.1536 0.1291 0.045374
527.00 C 20260731 -1.00 -1.00 53 2343 0.1519 0.0889 0.034600
528.00 C 20260731 -1.00 -1.00 77 625 0.1537 0.0607 0.025656
529.00 C 20260731 -1.00 -1.00 54 530 0.1536 0.0388 0.017857
530.00 C 20260731 -1.00 -1.00 100 1087 0.1604 0.0286 0.013398
531.00 C 20260731 -1.00 -1.00 73 1031 0.1614 0.0189 0.009244
532.00 C 20260731 -1.00 -1.00 44 600 0.1685 0.0135 0.006730
533.00 C 20260731 -1.00 -1.00 13 824 0.2036 0.0249 0.009329
534.00 C 20260731 -1.00 -1.00 7 184 0.1941 0.0120 0.005270
535.00 C 20260731 -1.00 -1.00 3 3671 0.2239 0.0194 0.006817
536.00 C 20260731 -1.00 -1.00 33 379 0.2102 0.0090 0.003742
537.00 C 20260731 -1.00 -1.00 580 3865 0.2218 0.0086 0.003389
538.00 C 20260731 -1.00 -1.00 505 809 0.2334 0.0082 0.003086
539.00 C 20260731 -1.00 -1.00 1 320 0.5274 0.1331 0.013527
540.00 C 20260731 -1.00 -1.00 1 642 0.2566 0.0075 0.002597
541.00 C 20260731 -1.00 -1.00 20 11 0.3278 0.0234 0.005484
542.00 C 20260731 -1.00 -1.00 110 123 0.2724 0.0055 0.001855
543.00 C 20260731 -1.00 -1.00 4 2 0.3322 0.0149 0.003693
544.00 C 20260731 -1.00 -1.00 9 5 0.3170 0.0090 0.002474
545.00 C 20260731 -1.00 -1.00 253 1244 0.3212 0.0075 0.002073
546.00 C 20260731 -1.00 -1.00 -1 0 0.3398 0.0084 0.002177
547.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
548.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
549.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
550.00 C 20260731 -1.00 -1.00 10 3564 0.3853 0.0075 0.001731
555.00 C 20260731 -1.00 -1.00 100 3720 0.4344 0.0057 0.001206
560.00 C 20260731 -1.00 -1.00 115 473 0.5045 0.0068 0.001205
565.00 C 20260731 -1.00 -1.00 5 5 0.5669 0.0069 0.001088
570.00 C 20260731 -1.00 -1.00 1 72 0.6570 0.0094 0.001244
455.00 P 20260731 -1.00 -1.00 1 2 0.9207 -0.0053 0.000532
460.00 P 20260731 -1.00 -1.00 1 57 0.7757 -0.0027 0.000342
465.00 P 20260731 -1.00 -1.00 1 35 0.7369 -0.0035 0.000462
470.00 P 20260731 -1.00 -1.00 40 116 0.6857 -0.0044 0.000608
475.00 P 20260731 -1.00 -1.00 27 77 0.6116 -0.0041 0.000650
480.00 P 20260731 -1.00 -1.00 6 3786 0.5375 -0.0038 0.000690
485.00 P 20260731 -1.00 -1.00 14 3607 0.4813 -0.0051 0.000991
489.00 P 20260731 -1.00 -1.00 35 86 0.4608 -0.0091 0.001738
490.00 P 20260731 -1.00 -1.00 19 483 0.4010 -0.0038 0.000931
491.00 P 20260731 -1.00 -1.00 30 82 0.4275 -0.0088 0.001806
492.00 P 20260731 -1.00 -1.00 5 66 0.4302 -0.0108 0.002168
492.50 P 20260731 -1.00 -1.00 7 62 0.4238 -0.0109 0.002230
493.00 P 20260731 -1.00 -1.00 90 106 0.3712 -0.0053 0.001323
494.00 P 20260731 -1.00 -1.00 1 238 0.3817 -0.0086 0.001989
495.00 P 20260731 -1.00 -1.00 15 481 0.4825 -0.0348 0.005208
496.00 P 20260731 -1.00 -1.00 6 274 0.4327 -0.0260 0.004580
497.00 P 20260731 -1.00 -1.00 5 63 0.4313 -0.0297 0.005172
497.50 P 20260731 -1.00 -1.00 1 36 0.4280 -0.0322 0.005544
498.00 P 20260731 -1.00 -1.00 2 72 0.3082 -0.0063 0.001849
499.00 P 20260731 -1.00 -1.00 1 82 0.3033 -0.0078 0.002289
500.00 P 20260731 -1.00 -1.00 124 1185 0.2831 -0.0068 0.002157
501.00 P 20260731 -1.00 -1.00 3 175 0.2860 -0.0098 0.002985
502.00 P 20260731 -1.00 -1.00 44 253 0.2735 -0.0102 0.003246
502.50 P 20260731 -1.00 -1.00 311 354 0.2596 -0.0091 0.003054
503.00 P 20260731 -1.00 -1.00 14 576 0.2534 -0.0093 0.003195
