# opt_chain GLW | epoch 1785418129 | 2026-07-30 09:28:49 | spot 124.05 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 62928 | band 0.6000 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
110.00 C 20260731 -1.00 -1.00 38 48 -1.0000 -1.0000 -1.000000
111.00 C 20260731 -1.00 -1.00 36 15 -1.0000 -1.0000 -1.000000
112.00 C 20260731 -1.00 -1.00 6 3 -1.0000 -1.0000 -1.000000
113.00 C 20260731 -1.00 -1.00 4 84 -1.0000 -1.0000 -1.000000
114.00 C 20260731 -1.00 -1.00 5 87 -1.0000 -1.0000 -1.000000
115.00 C 20260731 -1.00 -1.00 68 415 -1.0000 -1.0000 -1.000000
116.00 C 20260731 -1.00 -1.00 9 25 -1.0000 -1.0000 -1.000000
117.00 C 20260731 -1.00 -1.00 19 32 -1.0000 -1.0000 -1.000000
118.00 C 20260731 -1.00 -1.00 15 200 -1.0000 -1.0000 -1.000000
119.00 C 20260731 -1.00 -1.00 17 46 -1.0000 -1.0000 -1.000000
120.00 C 20260731 -1.00 -1.00 1022 1375 -1.0000 -1.0000 -1.000000
121.00 C 20260731 -1.00 -1.00 27 70 -1.0000 -1.0000 -1.000000
122.00 C 20260731 -1.00 -1.00 65 315 -1.0000 -1.0000 -1.000000
123.00 C 20260731 -1.00 -1.00 55 48 -1.0000 -1.0000 -1.000000
124.00 C 20260731 -1.00 -1.00 49 103 -1.0000 -1.0000 -1.000000
125.00 C 20260731 -1.00 -1.00 2283 885 -1.0000 -1.0000 -1.000000
126.00 C 20260731 -1.00 -1.00 173 147 -1.0000 -1.0000 -1.000000
127.00 C 20260731 -1.00 -1.00 119 94 -1.0000 -1.0000 -1.000000
128.00 C 20260731 -1.00 -1.00 208 134 -1.0000 -1.0000 -1.000000
129.00 C 20260731 -1.00 -1.00 276 201 0.3179 0.7890 0.112367
130.00 C 20260731 -1.00 -1.00 1986 1378 0.4513 0.6170 0.104118
131.00 C 20260731 -1.00 -1.00 198 92 0.5121 0.5104 0.096998
132.00 C 20260731 -1.00 -1.00 315 386 0.6152 0.4331 0.078358
133.00 C 20260731 -1.00 -1.00 693 238 0.7482 0.3840 0.063133
134.00 C 20260731 -1.00 -1.00 128 109 0.6770 0.3076 0.063647
135.00 C 20260731 -1.00 -1.00 901 642 0.7222 0.2621 0.055503
136.00 C 20260731 -1.00 -1.00 159 146 0.7599 0.2235 0.048604
137.00 C 20260731 -1.00 -1.00 53 108 0.7712 0.1858 0.042433
138.00 C 20260731 -1.00 -1.00 216 347 0.8136 0.1604 0.036745
110.00 P 20260731 -1.00 -1.00 1061 1643 1.9563 -0.0661 0.008076
111.00 P 20260731 -1.00 -1.00 60 146 2.0004 -0.0825 0.009280
112.00 P 20260731 -1.00 -1.00 44 371 1.8833 -0.0820 0.009816
113.00 P 20260731 -1.00 -1.00 35 380 1.9831 -0.1041 0.011193
114.00 P 20260731 -1.00 -1.00 143 273 2.0258 -0.1195 0.012235
115.00 P 20260731 -1.00 -1.00 402 929 1.9998 -0.1332 0.013235
116.00 P 20260731 -1.00 -1.00 96 221 2.0548 -0.1562 0.014253
117.00 P 20260731 -1.00 -1.00 88 496 2.0655 -0.1738 0.015226
118.00 P 20260731 -1.00 -1.00 62 219 2.1052 -0.1938 0.016107
119.00 P 20260731 -1.00 -1.00 63 227 2.1138 -0.2110 0.017010
120.00 P 20260731 -1.00 -1.00 2052 1760 2.1229 -0.2324 0.017715
121.00 P 20260731 -1.00 -1.00 211 243 2.1667 -0.2565 0.018212
122.00 P 20260731 -1.00 -1.00 364 434 2.1809 -0.2776 0.018840
123.00 P 20260731 -1.00 -1.00 63 91 2.3405 -0.3064 0.018519
124.00 P 20260731 -1.00 -1.00 128 261 2.2887 -0.3228 0.019490
125.00 P 20260731 -1.00 -1.00 510 1166 2.3250 -0.3449 0.019610
126.00 P 20260731 -1.00 -1.00 72 158 2.4329 -0.3691 0.019051
