# opt_chain SPCX | epoch 1785426895 | 2026-07-30 11:54:55 | spot 114.78 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 114 | band 0.6000 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
102.00 C 20260731 -1.00 -1.00 60 1519 -1.0000 -1.0000 -1.000000
103.00 C 20260731 -1.00 -1.00 2 127 1.2450 0.9360 0.014713
104.00 C 20260731 -1.00 -1.00 4 128 -1.0000 -1.0000 -1.000000
105.00 C 20260731 -1.00 -1.00 37 495 1.0162 0.9369 0.017812
106.00 C 20260731 -1.00 -1.00 3 296 1.2538 0.8685 0.024840
107.00 C 20260731 -1.00 -1.00 15 1822 1.0898 0.8721 0.028132
108.00 C 20260731 -1.00 -1.00 71 469 1.0395 0.8475 0.032822
109.00 C 20260731 -1.00 -1.00 119 461 0.9618 0.8269 0.038485
110.00 C 20260731 -1.00 -1.00 378 2021 1.1021 0.7571 0.041322
111.00 C 20260731 -1.00 -1.00 300 977 1.0793 0.7147 0.045585
112.00 C 20260731 -1.00 -1.00 542 2501 1.0777 0.6680 0.049387
113.00 C 20260731 -1.00 -1.00 557 1673 1.1301 0.6123 0.049215
114.00 C 20260731 -1.00 -1.00 810 2648 1.1150 0.5621 0.051323
115.00 C 20260731 -1.00 -1.00 5344 12480 1.1520 0.5114 0.050982
116.00 C 20260731 -1.00 -1.00 3662 1572 1.1661 0.4632 0.049449
117.00 C 20260731 -1.00 -1.00 3023 1806 1.1441 0.4126 0.049423
118.00 C 20260731 -1.00 -1.00 3726 2274 1.2030 0.3713 0.046259
119.00 C 20260731 -1.00 -1.00 2239 1758 1.2076 0.3312 0.043650
120.00 C 20260731 -1.00 -1.00 11018 13222 1.2299 0.2948 0.040608
121.00 C 20260731 -1.00 -1.00 1329 4840 1.2520 0.2598 0.037763
122.00 C 20260731 -1.00 -1.00 764 2119 1.2911 0.2325 0.034668
123.00 C 20260731 -1.00 -1.00 545 2700 1.3020 0.2062 0.031745
124.00 C 20260731 -1.00 -1.00 647 2837 1.3258 0.1830 0.028896
125.00 C 20260731 -1.00 -1.00 4111 13116 1.3625 0.1634 0.026252
126.00 C 20260731 -1.00 -1.00 759 1537 1.4119 0.1477 0.023898
127.00 C 20260731 -1.00 -1.00 438 1862 1.4201 0.1300 0.021689
128.00 C 20260731 -1.00 -1.00 890 3377 1.4532 0.1186 0.019750
102.00 P 20260731 -1.00 -1.00 286 805 1.1786 -0.0427 0.011075
103.00 P 20260731 -1.00 -1.00 216 1127 1.2112 -0.0598 0.014303
104.00 P 20260731 -1.00 -1.00 515 1330 1.1753 -0.0724 0.017000
105.00 P 20260731 -1.00 -1.00 1536 6831 1.1483 -0.0900 0.020401
