# opt_chain STX | epoch 1785440066 | 2026-07-30 15:34:26 | spot 848.94 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 85 | band 0.6000 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
510.00 C 20260731 -1.00 -1.00 1 0 4.8960 0.9780 0.000224
512.50 C 20260731 -1.00 -1.00 -1 0 4.7781 0.9790 0.000221
515.00 C 20260731 -1.00 -1.00 1 1 4.3465 0.9850 0.000179
517.50 C 20260731 -1.00 -1.00 -1 0 4.8194 0.9764 0.000241
520.00 C 20260731 -1.00 -1.00 1 2 4.6629 0.9784 0.000231
522.50 C 20260731 -1.00 -1.00 -1 0 4.5469 0.9794 0.000227
525.00 C 20260731 -1.00 -1.00 10 1 4.5092 0.9793 0.000230
527.50 C 20260731 -1.00 -1.00 10 0 4.4718 0.9791 0.000234
530.00 C 20260731 -1.00 -1.00 16 3 4.4345 0.9789 0.000238
532.50 C 20260731 -1.00 -1.00 10 0 4.3974 0.9788 0.000241
535.00 C 20260731 -1.00 -1.00 1 0 4.3605 0.9786 0.000245
537.50 C 20260731 -1.00 -1.00 1 1 4.1701 0.9810 0.000230
540.00 C 20260731 -1.00 -1.00 4 2 4.2873 0.9782 0.000253
542.50 C 20260731 -1.00 -1.00 4 0 4.2509 0.9780 0.000257
545.00 C 20260731 -1.00 -1.00 22 12 4.2401 0.9774 0.000264
547.50 C 20260731 -1.00 -1.00 2 0 4.0772 0.9794 0.000253
550.00 C 20260731 -1.00 -1.00 3 2 4.0163 0.9797 0.000253
552.50 C 20260731 -1.00 -1.00 2 1 3.8294 0.9824 0.000233
555.00 C 20260731 -1.00 -1.00 6 3 3.6435 0.9855 0.000208
557.50 C 20260731 -1.00 -1.00 -1 0 4.0111 0.9773 0.000280
560.00 C 20260731 -1.00 -1.00 2 3 4.1244 0.9728 0.000315
562.50 C 20260731 -1.00 -1.00 2 1 3.0832 0.9934 0.000123
565.00 C 20260731 -1.00 -1.00 2 7 3.3575 0.9885 0.000184
567.50 C 20260731 -1.00 -1.00 12 6 4.0447 0.9708 0.000340
570.00 C 20260731 -1.00 -1.00 2 19 4.0059 0.9706 0.000346
572.50 C 20260731 -1.00 -1.00 10 5 4.3396 0.9587 0.000422
575.00 C 20260731 -1.00 -1.00 16 4 3.9785 0.9684 0.000369
577.50 C 20260731 -1.00 -1.00 2 1 3.9278 0.9685 0.000372
580.00 C 20260731 -1.00 -1.00 2 4 3.7418 0.9736 0.000340
582.50 C 20260731 -1.00 -1.00 2 1 3.7779 0.9706 0.000367
585.00 C 20260731 -1.00 -1.00 1 0 3.7403 0.9703 0.000373
587.50 C 20260731 -1.00 -1.00 -1 0 3.7028 0.9700 0.000380
590.00 C 20260731 -1.00 -1.00 4 25 3.0790 0.9861 0.000237
592.50 C 20260731 -1.00 -1.00 11 6 3.5431 0.9728 0.000368
595.00 C 20260731 -1.00 -1.00 8 4 3.5791 0.9697 0.000397
597.50 C 20260731 -1.00 -1.00 1 0 3.4938 0.9713 0.000389
600.00 C 20260731 -1.00 -1.00 14 31 3.5419 0.9677 0.000422
602.50 C 20260731 -1.00 -1.00 -1 0 3.4692 0.9688 0.000419
605.00 C 20260731 -1.00 -1.00 1 0 3.3846 0.9705 0.000411
607.50 C 20260731 -1.00 -1.00 -1 0 3.3125 0.9718 0.000405
610.00 C 20260731 -1.00 -1.00 -1 0 3.3246 0.9694 0.000430
612.50 C 20260731 -1.00 -1.00 -1 0 3.2409 0.9712 0.000421
615.00 C 20260731 -1.00 -1.00 -1 0 3.2053 0.9709 0.000429
617.50 C 20260731 -1.00 -1.00 2 0 3.1699 0.9707 0.000437
620.00 C 20260731 -1.00 -1.00 1 1 3.1346 0.9704 0.000445
622.50 C 20260731 -1.00 -1.00 1 0 2.7674 0.9812 0.000342
625.00 C 20260731 -1.00 -1.00 2 3 3.0645 0.9698 0.000463
627.50 C 20260731 -1.00 -1.00 1 1 3.1124 0.9656 0.000505
630.00 C 20260731 -1.00 -1.00 1 1 3.0421 0.9669 0.000501
632.50 C 20260731 -1.00 -1.00 -1 0 2.9604 0.9688 0.000491
635.00 C 20260731 -1.00 -1.00 2 6 2.9260 0.9685 0.000501
637.50 C 20260731 -1.00 -1.00 40 20 2.8448 0.9706 0.000488
640.00 C 20260731 -1.00 -1.00 1 13 2.7874 0.9715 0.000486
642.50 C 20260731 -1.00 -1.00 1 1 2.7885 0.9693 0.000515
645.00 C 20260731 -1.00 -1.00 1 4 2.8129 0.9659 0.000555
647.50 C 20260731 -1.00 -1.00 2 1 2.7791 0.9655 0.000567
650.00 C 20260731 -1.00 -1.00 8 9 2.7803 0.9633 0.000596
652.50 C 20260731 -1.00 -1.00 -1 0 2.7119 0.9648 0.000591
655.00 C 20260731 -1.00 -1.00 1 2 2.6207 0.9676 0.000572
657.50 C 20260731 -1.00 -1.00 1 1 2.6452 0.9640 0.000617
660.00 C 20260731 -1.00 -1.00 1 5 2.4855 0.9710 0.000553
662.50 C 20260731 -1.00 -1.00 -1 0 2.5791 0.9631 0.000645
665.00 C 20260731 -1.00 -1.00 1 1 2.5921 0.9601 0.000684
667.50 C 20260731 -1.00 -1.00 1 1 2.6393 0.9553 0.000739
670.00 C 20260731 -1.00 -1.00 1 1 2.6064 0.9548 0.000756
672.50 C 20260731 -1.00 -1.00 -1 0 2.4711 0.9600 0.000720
675.00 C 20260731 -1.00 -1.00 2 1 2.4386 0.9595 0.000736
677.50 C 20260731 -1.00 -1.00 -1 0 2.4063 0.9590 0.000754
680.00 C 20260731 -1.00 -1.00 3 23 2.3288 0.9613 0.000743
682.50 C 20260731 -1.00 -1.00 -1 0 2.3421 0.9580 0.000790
685.00 C 20260731 -1.00 -1.00 1 1 2.2762 0.9596 0.000787
