# opt_chain TXN | epoch 1785436277 | 2026-07-30 14:31:17 | spot 279.76 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 76 | band 0.4050 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
205.00 C 20260731 -1.00 -1.00 2 5 2.9913 0.9724 0.001316
210.00 C 20260731 -1.00 -1.00 1 1 2.7505 0.9725 0.001427
212.50 C 20260731 -1.00 -1.00 -1 0 2.6496 0.9716 0.001519
215.00 C 20260731 -1.00 -1.00 -1 0 2.6017 0.9676 0.001716
217.50 C 20260731 -1.00 -1.00 1 1 2.2740 0.9777 0.001443
220.00 C 20260731 -1.00 -1.00 1 1 2.4052 0.9653 0.001963
222.50 C 20260731 -1.00 -1.00 -1 0 2.2578 0.9674 0.001990
225.00 C 20260731 -1.00 -1.00 2 1 2.1626 0.9661 0.002142
227.50 C 20260731 -1.00 -1.00 -1 0 1.9379 0.9740 0.001936
230.00 C 20260731 -1.00 -1.00 1 0 2.0253 0.9595 0.002640
232.50 C 20260731 -1.00 -1.00 -1 0 1.8833 0.9617 0.002713
235.00 C 20260731 -1.00 -1.00 -1 0 1.8252 0.9572 0.003065
237.50 C 20260731 -1.00 -1.00 -1 0 1.5874 0.9691 0.002717
240.00 C 20260731 -1.00 -1.00 1 3 1.6130 0.9560 0.003547
242.50 C 20260731 -1.00 -1.00 -1 0 1.5572 0.9506 0.004047
245.00 C 20260731 -1.00 -1.00 1 8 1.5343 0.9418 0.004723
247.50 C 20260731 -1.00 -1.00 -1 0 1.3511 0.9484 0.004838
250.00 C 20260731 -1.00 -1.00 3 9 1.3135 0.9399 0.005668
252.50 C 20260731 -1.00 -1.00 2 2 1.1809 0.9416 0.006144
255.00 C 20260731 -1.00 -1.00 30 13 1.1204 0.9336 0.007189
257.50 C 20260731 -1.00 -1.00 1 2 1.0329 0.9265 0.008373
260.00 C 20260731 -1.00 -1.00 38 13 0.9462 0.9181 0.009876
262.50 C 20260731 -1.00 -1.00 6 2 0.7416 0.9397 0.010046
265.00 C 20260731 -1.00 -1.00 6 8 0.6150 0.9437 0.011407
267.50 C 20260731 -1.00 -1.00 1 6 0.6823 0.8838 0.017861
270.00 C 20260731 -1.00 -1.00 255 386 0.6220 0.8519 0.023087
272.50 C 20260731 -1.00 -1.00 2 23 0.6070 0.7902 0.029679
275.00 C 20260731 -1.00 -1.00 63 337 0.5732 0.7161 0.036644
277.50 C 20260731 -1.00 -1.00 1 501 0.5618 0.6207 0.042248
280.00 C 20260731 -1.00 -1.00 297 401 0.5416 0.5121 0.046363
282.50 C 20260731 -1.00 -1.00 62 52 0.5428 0.4002 0.044318
285.00 C 20260731 -1.00 -1.00 420 827 0.5717 0.3079 0.038175
287.50 C 20260731 -1.00 -1.00 97 1331 0.4973 0.1881 0.033577
290.00 C 20260731 -1.00 -1.00 152 540 0.5768 0.1524 0.025421
292.50 C 20260731 -1.00 -1.00 8 1244 0.5801 0.1021 0.018973
295.00 C 20260731 -1.00 -1.00 15 430 0.6097 0.0702 0.013836
297.50 C 20260731 -1.00 -1.00 54 215 0.6297 0.0509 0.010221
300.00 C 20260731 -1.00 -1.00 27 438 0.6225 0.0282 0.006428
302.50 C 20260731 -1.00 -1.00 8 76 1.0946 0.1184 0.011232
305.00 C 20260731 -1.00 -1.00 11 257 0.7927 0.0311 0.005502
307.50 C 20260731 -1.00 -1.00 2 80 1.1093 0.0745 0.007938
310.00 C 20260731 -1.00 -1.00 4 359 1.0558 0.0514 0.006143
312.50 C 20260731 -1.00 -1.00 3 159 1.0286 0.0324 0.004405
315.00 C 20260731 -1.00 -1.00 1 69 1.1960 0.0478 0.005118
317.50 C 20260731 -1.00 -1.00 5 10 1.0848 0.0240 0.003201
320.00 C 20260731 -1.00 -1.00 15 1167 0.9237 0.0061 0.001137
322.50 C 20260731 -1.00 -1.00 1 17 1.3895 0.0422 0.003991
325.00 C 20260731 -1.00 -1.00 1 171 1.4530 0.0407 0.003710
327.50 C 20260731 -1.00 -1.00 10 4 1.5160 0.0393 0.003464
330.00 C 20260731 -1.00 -1.00 4 202 1.5786 0.0380 0.003246
332.50 C 20260731 -1.00 -1.00 7 44 1.6406 0.0369 0.003052
335.00 C 20260731 -1.00 -1.00 42 134 1.4398 0.0162 0.001724
337.50 C 20260731 -1.00 -1.00 6 1 2.2189 0.0793 0.004159
340.00 C 20260731 -1.00 -1.00 2 116 1.2356 0.0032 0.000481
342.50 C 20260731 -1.00 -1.00 21 23 2.1489 0.0595 0.003396
345.00 C 20260731 -1.00 -1.00 11 49 1.9714 0.0353 0.002463
347.50 C 20260731 -1.00 -1.00 2 4 1.9830 0.0322 0.002256
350.00 C 20260731 -1.00 -1.00 2 332 2.0602 0.0329 0.002215
352.50 C 20260731 -1.00 -1.00 5 6 2.0938 0.0313 0.002087
355.00 C 20260731 -1.00 -1.00 2 109 1.6411 0.0063 0.000663
205.00 P 20260731 -1.00 -1.00 34 78 2.1960 -0.0053 0.000424
210.00 P 20260731 -1.00 -1.00 30 64 2.3303 -0.0127 0.000867
212.50 P 20260731 -1.00 -1.00 4 3 2.6514 -0.0284 0.001522
215.00 P 20260731 -1.00 -1.00 490 111 1.8081 -0.0041 0.000413
217.50 P 20260731 -1.00 -1.00 5 4 1.7660 -0.0051 0.000512
220.00 P 20260731 -1.00 -1.00 1 78 1.8515 -0.0094 0.000839
222.50 P 20260731 -1.00 -1.00 1 4 2.0074 -0.0200 0.001481
225.00 P 20260731 -1.00 -1.00 1 29 1.9854 -0.0234 0.001727
227.50 P 20260731 -1.00 -1.00 2 32 1.7628 -0.0177 0.001516
230.00 P 20260731 -1.00 -1.00 6 276 1.5312 -0.0102 0.001097
232.50 P 20260731 -1.00 -1.00 9 9 1.7156 -0.0253 0.002137
235.00 P 20260731 -1.00 -1.00 3 151 1.5310 -0.0206 0.001997
237.50 P 20260731 -1.00 -1.00 32 135 1.6434 -0.0364 0.002989
240.00 P 20260731 -1.00 -1.00 21 242 1.3437 -0.0206 0.002275
242.50 P 20260731 -1.00 -1.00 1 21 1.4995 -0.0436 0.003797
245.00 P 20260731 -1.00 -1.00 1 79 1.4319 -0.0481 0.004312
247.50 P 20260731 -1.00 -1.00 288 727 1.2142 -0.0348 0.003913
250.00 P 20260731 -1.00 -1.00 32 423 0.8563 -0.0092 0.001787
252.50 P 20260731 -1.00 -1.00 6 40 0.9208 -0.0232 0.003672
255.00 P 20260731 -1.00 -1.00 8 151 0.8489 -0.0250 0.004262
257.50 P 20260731 -1.00 -1.00 7 55 0.8618 -0.0428 0.006498
260.00 P 20260731 -1.00 -1.00 25 575 0.7775 -0.0461 0.007653
262.50 P 20260731 -1.00 -1.00 328 179 0.7913 -0.0727 0.010860
265.00 P 20260731 -1.00 -1.00 73 456 0.7463 -0.0957 0.014067
267.50 P 20260731 -1.00 -1.00 23 78 0.7417 -0.1340 0.018230
270.00 P 20260731 -1.00 -1.00 92 273 0.6728 -0.1677 0.023077
272.50 P 20260731 -1.00 -1.00 47 159 0.6876 -0.2362 0.028048
275.00 P 20260731 -1.00 -1.00 46 292 0.6746 -0.3115 0.032622
277.50 P 20260731 -1.00 -1.00 28 190 0.6791 -0.3976 0.035297
280.00 P 20260731 -1.00 -1.00 13 168 0.6895 -0.4875 0.036446
282.50 P 20260731 -1.00 -1.00 5 77 0.6884 -0.5756 0.035326
285.00 P 20260731 -1.00 -1.00 3 77 0.6703 -0.6645 0.033952
287.50 P 20260731 -1.00 -1.00 1 33 0.7651 -0.7131 0.027611
290.00 P 20260731 -1.00 -1.00 7 26 0.7229 -0.7902 0.024818
292.50 P 20260731 -1.00 -1.00 1 33 0.8455 -0.8041 0.020281
295.00 P 20260731 -1.00 -1.00 1 134 0.8651 -0.8446 0.017178
297.50 P 20260731 -1.00 -1.00 2 12 0.9121 -0.8694 0.014560
300.00 P 20260731 -1.00 -1.00 1 50 0.9928 -0.8786 0.012640
302.50 P 20260731 -1.00 -1.00 6 16 1.0561 -0.8899 0.011025
305.00 P 20260731 -1.00 -1.00 2 185 1.1272 -0.8982 0.009750
307.50 P 20260731 -1.00 -1.00 4 5 1.1977 -0.9054 0.008700
310.00 P 20260731 -1.00 -1.00 1 13 1.3257 -0.9002 0.008166
312.50 P 20260731 -1.00 -1.00 5 6 1.4196 -0.9017 0.007545
315.00 P 20260731 -1.00 -1.00 4 3 1.4140 -0.9209 0.006504
317.50 P 20260731 -1.00 -1.00 6 18 1.4565 -0.9287 0.005853
320.00 P 20260731 -1.00 -1.00 2 9 1.5626 -0.9268 0.005579
322.50 P 20260731 -1.00 -1.00 4 3 1.5837 -0.9338 0.005055
325.00 P 20260731 -1.00 -1.00 2 16 1.7811 -0.9208 0.005175
327.50 P 20260731 -1.00 -1.00 -1 0 1.7648 -0.9323 0.004616
330.00 P 20260731 -1.00 -1.00 3 12 1.8265 -0.9343 0.004348
332.50 P 20260731 -1.00 -1.00 -1 0 1.8739 -0.9375 0.004066
335.00 P 20260731 -1.00 -1.00 1 1 1.9486 -0.9379 0.003889
337.50 P 20260731 -1.00 -1.00 1 1 1.9952 -0.9407 0.003652
340.00 P 20260731 -1.00 -1.00 1 16 2.0552 -0.9422 0.003473
342.50 P 20260731 -1.00 -1.00 -1 0 2.1148 -0.9436 0.003309
345.00 P 20260731 -1.00 -1.00 2 3 2.1875 -0.9437 0.003195
347.50 P 20260731 -1.00 -1.00 2 2 2.2326 -0.9461 0.003021
350.00 P 20260731 -1.00 -1.00 12 10 2.2909 -0.9472 0.002894
352.50 P 20260731 -1.00 -1.00 -1 0 2.3353 -0.9495 0.002743
355.00 P 20260731 -1.00 -1.00 2 2 2.4062 -0.9493 0.002668
205.00 C 20260807 -1.00 -1.00 -1 0 1.1396 0.9743 0.001256
210.00 C 20260807 -1.00 -1.00 -1 0 1.0731 0.9708 0.001470
215.00 C 20260807 -1.00 -1.00 1 2 1.0081 0.9669 0.001726
220.00 C 20260807 -1.00 -1.00 -1 0 0.9248 0.9657 0.001935
222.50 C 20260807 -1.00 -1.00 -1 0 0.8674 0.9679 0.001954
225.00 C 20260807 -1.00 -1.00 -1 0 0.7305 0.9804 0.001514
227.50 C 20260807 -1.00 -1.00 -1 0 0.8130 0.9619 0.002398
230.00 C 20260807 -1.00 -1.00 -1 0 0.7765 0.9604 0.002590
232.50 C 20260807 -1.00 -1.00 -1 0 0.7276 0.9614 0.002703
235.00 C 20260807 -1.00 -1.00 1 2 0.7240 0.9531 0.003198
237.50 C 20260807 -1.00 -1.00 -1 0 0.6504 0.9595 0.003145
240.00 C 20260807 -1.00 -1.00 25 12 0.6156 0.9577 0.003450
242.50 C 20260807 -1.00 -1.00 -1 0 0.5938 0.9524 0.003947
245.00 C 20260807 -1.00 -1.00 -1 0 0.5784 0.9451 0.004572
247.50 C 20260807 -1.00 -1.00 -1 0 0.5507 0.9406 0.005143
250.00 C 20260807 -1.00 -1.00 1 13 0.4428 0.9603 0.004549
252.50 C 20260807 -1.00 -1.00 -1 0 0.5402 0.9071 0.007316
255.00 C 20260807 -1.00 -1.00 2 24 0.5410 0.8864 0.008543
257.50 C 20260807 -1.00 -1.00 -1 0 0.5506 0.8569 0.009821
260.00 C 20260807 -1.00 -1.00 1 10 0.5502 0.8275 0.011083
262.50 C 20260807 -1.00 -1.00 2 0 0.5568 0.7957 0.012297
265.00 C 20260807 -1.00 -1.00 1 3 0.5179 0.7773 0.013951
267.50 C 20260807 -1.00 -1.00 -1 0 0.5523 0.7252 0.014449
270.00 C 20260807 -1.00 -1.00 3 6 0.5143 0.6975 0.016296
272.50 C 20260807 -1.00 -1.00 3 4 0.5136 0.6565 0.017419
275.00 C 20260807 -1.00 -1.00 18 33 0.5163 0.6101 0.017821
277.50 C 20260807 -1.00 -1.00 2 26 0.5175 0.5643 0.018268
280.00 C 20260807 -1.00 -1.00 47 17 0.5202 0.5186 0.018657
282.50 C 20260807 -1.00 -1.00 8 17 0.5082 0.4724 0.018818
285.00 C 20260807 -1.00 -1.00 1 112 0.5132 0.4275 0.018328
287.50 C 20260807 -1.00 -1.00 15 54 0.5212 0.3843 0.017760
290.00 C 20260807 -1.00 -1.00 481 65 0.5076 0.3394 0.017368
292.50 C 20260807 -1.00 -1.00 102 47 0.5059 0.2990 0.016427
295.00 C 20260807 -1.00 -1.00 7 75 0.5160 0.2641 0.015264
297.50 C 20260807 -1.00 -1.00 3 402 0.5145 0.2285 0.014213
300.00 C 20260807 -1.00 -1.00 20 52 0.5053 0.1943 0.013021
302.50 C 20260807 -1.00 -1.00 7 3 0.5065 0.1649 0.011742
305.00 C 20260807 -1.00 -1.00 15 12 0.5193 0.1427 0.010538
307.50 C 20260807 -1.00 -1.00 25 6 0.5114 0.1195 0.009341
310.00 C 20260807 -1.00 -1.00 8 35 0.5210 0.1046 0.008296
312.50 C 20260807 -1.00 -1.00 6 2 0.5191 0.0844 0.007143
315.00 C 20260807 -1.00 -1.00 2 39 0.5387 0.0756 0.006391
317.50 C 20260807 -1.00 -1.00 -1 0 0.5215 0.0585 0.005344
320.00 C 20260807 -1.00 -1.00 5 183 0.5083 0.0427 0.004251
322.50 C 20260807 -1.00 -1.00 2 0 0.5245 0.0378 0.003753
325.00 C 20260807 -1.00 -1.00 2 211 0.5130 0.0280 0.002983
327.50 C 20260807 -1.00 -1.00 -1 0 0.5469 0.0296 0.002939
330.00 C 20260807 -1.00 -1.00 1 99 0.5827 0.0314 0.002908
332.50 C 20260807 -1.00 -1.00 -1 0 0.5458 0.0191 0.002014
335.00 C 20260807 -1.00 -1.00 1 16 0.5373 0.0128 0.001473
337.50 C 20260807 -1.00 -1.00 -1 0 0.6809 0.0349 0.002728
340.00 C 20260807 -1.00 -1.00 12 38 0.7021 0.0340 0.002587
345.00 C 20260807 -1.00 -1.00 6 3 0.7417 0.0323 0.002341
350.00 C 20260807 -1.00 -1.00 4 26 0.7807 0.0309 0.002134
355.00 C 20260807 -1.00 -1.00 4 10 0.9243 0.0497 0.002637
205.00 P 20260807 -1.00 -1.00 4 17 0.9384 -0.0095 0.000653
210.00 P 20260807 -1.00 -1.00 10 16 1.0253 -0.0237 0.001308
215.00 P 20260807 -1.00 -1.00 15 116 1.0600 -0.0399 0.001929
220.00 P 20260807 -1.00 -1.00 1 36 0.9044 -0.0304 0.001819
222.50 P 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
225.00 P 20260807 -1.00 -1.00 1 202 0.8502 -0.0363 0.002228
227.50 P 20260807 -1.00 -1.00 -1 0 0.7723 -0.0297 0.002094
230.00 P 20260807 -1.00 -1.00 3 18 0.7250 -0.0284 0.002156
232.50 P 20260807 -1.00 -1.00 1 1 0.7090 -0.0340 0.002538
235.00 P 20260807 -1.00 -1.00 1 9 0.6932 -0.0399 0.002951
237.50 P 20260807 -1.00 -1.00 2 1 0.6674 -0.0438 0.003310
240.00 P 20260807 -1.00 -1.00 1 37 0.6519 -0.0503 0.003803
242.50 P 20260807 -1.00 -1.00 2 0 0.6480 -0.0596 0.004418
245.00 P 20260807 -1.00 -1.00 471 110 0.6279 -0.0683 0.005043
247.50 P 20260807 -1.00 -1.00 11 0 0.6286 -0.0861 0.005965
250.00 P 20260807 -1.00 -1.00 37 86 0.6027 -0.0955 0.006727
252.50 P 20260807 -1.00 -1.00 45 1 0.6416 -0.1264 0.007832
255.00 P 20260807 -1.00 -1.00 15 114 0.5965 -0.1342 0.008737
257.50 P 20260807 -1.00 -1.00 8 8 0.5880 -0.1583 0.009829
260.00 P 20260807 -1.00 -1.00 139 175 0.5918 -0.1874 0.010924
262.50 P 20260807 -1.00 -1.00 16 6 0.5909 -0.2147 0.012032
265.00 P 20260807 -1.00 -1.00 8 203 0.5819 -0.2471 0.013039
267.50 P 20260807 -1.00 -1.00 12 8 0.5737 -0.2809 0.014083
270.00 P 20260807 -1.00 -1.00 53 56 0.5867 -0.3204 0.014756
272.50 P 20260807 -1.00 -1.00 5 17 0.5828 -0.3578 0.015493
275.00 P 20260807 -1.00 -1.00 81 11 0.5731 -0.3973 0.016141
277.50 P 20260807 -1.00 -1.00 1 30 0.5801 -0.4389 0.016347
280.00 P 20260807 -1.00 -1.00 2 21 0.5841 -0.4796 0.016631
282.50 P 20260807 -1.00 -1.00 2 4 0.5733 -0.5206 0.016732
285.00 P 20260807 -1.00 -1.00 1 11 0.5662 -0.5625 0.016693
287.50 P 20260807 -1.00 -1.00 2 3 0.5755 -0.6015 0.016197
290.00 P 20260807 -1.00 -1.00 4 13 0.5760 -0.6399 0.015762
292.50 P 20260807 -1.00 -1.00 1 42 0.5725 -0.6760 0.015082
295.00 P 20260807 -1.00 -1.00 1 24 0.5824 -0.7073 0.014165
297.50 P 20260807 -1.00 -1.00 1 1 0.5621 -0.7513 0.013714
300.00 P 20260807 -1.00 -1.00 2 11 0.5748 -0.7746 0.012635
302.50 P 20260807 -1.00 -1.00 -1 0 0.5641 -0.8059 0.011697
305.00 P 20260807 -1.00 -1.00 1 55 0.5944 -0.8180 0.010666
307.50 P 20260807 -1.00 -1.00 -1 0 0.5793 -0.8515 0.009722
310.00 P 20260807 -1.00 -1.00 6 55 0.5990 -0.8635 0.008887
312.50 P 20260807 -1.00 -1.00 -1 0 0.6383 -0.8655 0.008237
315.00 P 20260807 -1.00 -1.00 1 14 0.6169 -0.8893 0.007365
317.50 P 20260807 -1.00 -1.00 -1 0 0.6432 -0.8947 0.006814
320.00 P 20260807 -1.00 -1.00 2 4 0.6566 -0.9046 0.006222
322.50 P 20260807 -1.00 -1.00 -1 0 0.6729 -0.9128 0.005705
325.00 P 20260807 -1.00 -1.00 2 1 0.6954 -0.9181 0.005292
327.50 P 20260807 -1.00 -1.00 -1 0 0.7208 -0.9218 0.004952
330.00 P 20260807 -1.00 -1.00 4 4 0.7394 -0.9265 0.004614
332.50 P 20260807 -1.00 -1.00 -1 0 0.7579 -0.9297 0.004338
335.00 P 20260807 -1.00 -1.00 -1 0 0.7761 -0.9327 0.004084
337.50 P 20260807 -1.00 -1.00 -1 0 0.8368 -0.9263 0.004080
340.00 P 20260807 -1.00 -1.00 2 1 0.8282 -0.9348 0.003729
345.00 P 20260807 -1.00 -1.00 -1 0 0.8531 -0.9423 0.003278
350.00 P 20260807 -1.00 -1.00 28 14 0.9038 -0.9435 0.003039
355.00 P 20260807 -1.00 -1.00 2 6 0.9329 -0.9491 0.002717
205.00 C 20260814 -1.00 -1.00 1 6 0.7340 0.9847 0.000880
210.00 C 20260814 -1.00 -1.00 2 1 0.7816 0.9719 0.001427
212.50 C 20260814 -1.00 -1.00 -1 0 0.7474 0.9721 0.001483
215.00 C 20260814 -1.00 -1.00 1 1 0.7186 0.9713 0.001577
217.50 C 20260814 -1.00 -1.00 -1 0 0.6901 0.9704 0.001679
220.00 C 20260814 -1.00 -1.00 -1 0 0.6716 0.9672 0.001869
222.50 C 20260814 -1.00 -1.00 -1 0 0.6291 0.9697 0.001874
225.00 C 20260814 -1.00 -1.00 2 1 0.6064 0.9675 0.002056
227.50 C 20260814 -1.00 -1.00 -1 0 0.5791 0.9664 0.002211
230.00 C 20260814 -1.00 -1.00 50 26 0.5568 0.9639 0.002438
232.50 C 20260814 -1.00 -1.00 -1 0 0.5633 0.9535 0.002977
235.00 C 20260814 -1.00 -1.00 3 12 0.5461 0.9491 0.003314
237.50 C 20260814 -1.00 -1.00 -1 0 0.5555 0.9376 0.003885
240.00 C 20260814 -1.00 -1.00 2 28 0.5498 0.9250 0.004479
242.50 C 20260814 -1.00 -1.00 -1 0 0.5361 0.9152 0.005035
245.00 C 20260814 -1.00 -1.00 40 21 0.5359 0.9000 0.005723
247.50 C 20260814 -1.00 -1.00 -1 0 0.5516 0.8796 0.006452
250.00 C 20260814 -1.00 -1.00 5 14 0.5476 0.8597 0.007145
252.50 C 20260814 -1.00 -1.00 -1 0 0.5395 0.8409 0.007864
255.00 C 20260814 -1.00 -1.00 22 29 0.5298 0.8222 0.008627
257.50 C 20260814 -1.00 -1.00 -1 0 0.5479 0.7933 0.009267
260.00 C 20260814 -1.00 -1.00 3 19 0.5437 0.7682 0.009914
