# opt_chain WDC | epoch 1785436293 | 2026-07-30 14:31:33 | spot 527.95 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 92 | band 0.6000 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
317.50 C 20260731 -1.00 -1.00 106 9 4.0445 0.9900 0.000216
320.00 C 20260731 -1.00 -1.00 94 13 4.3176 0.9837 0.000308
322.50 C 20260731 -1.00 -1.00 6 4 4.3615 0.9817 0.000337
325.00 C 20260731 -1.00 -1.00 14 6 4.7440 0.9723 0.000440
327.50 C 20260731 -1.00 -1.00 20 4 3.8341 0.9890 0.000247
330.00 C 20260731 -1.00 -1.00 12 20 3.9404 0.9855 0.000304
332.50 C 20260731 -1.00 -1.00 2 46 4.6774 0.9675 0.000508
335.00 C 20260731 -1.00 -1.00 207 63 3.8271 0.9851 0.000320
337.50 C 20260731 -1.00 -1.00 10 35 4.2132 0.9767 0.000434
340.00 C 20260731 -1.00 -1.00 12 37 3.6351 0.9864 0.000311
342.50 C 20260731 -1.00 -1.00 2 5 4.2068 0.9721 0.000500
345.00 C 20260731 -1.00 -1.00 48 13 4.2336 0.9689 0.000542
347.50 C 20260731 -1.00 -1.00 46 16 4.2800 0.9651 0.000589
350.00 C 20260731 -1.00 -1.00 46 19 3.9795 0.9723 0.000526
352.50 C 20260731 -1.00 -1.00 2 1 4.2041 0.9626 0.000635
355.00 C 20260731 -1.00 -1.00 80 12 3.2922 0.9857 0.000360
357.50 C 20260731 -1.00 -1.00 100 18 3.7572 0.9725 0.000554
360.00 C 20260731 -1.00 -1.00 32 5 2.8443 0.9925 0.000238
362.50 C 20260731 -1.00 -1.00 32 6 3.3300 0.9802 0.000472
365.00 C 20260731 -1.00 -1.00 20 6 2.9685 0.9881 0.000342
