# opt_chain AMD | epoch 1785506189 | 2026-07-31 09:56:29 | spot 494.25 | exps 20260731 20260803
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 160 | greeks_ok_pct 0.9688 | bidask_ok_pct 0.9938
# strike right exp bid ask vol oi iv delta gamma
495.00 C 20260731 5.80 6.30 855 7997 1.2762 0.4833 0.0241
495.00 P 20260731 6.50 7.05 3016 707 1.2762 -0.5168 0.0241
492.50 C 20260731 7.05 7.80 1067 4860 1.2696 0.5434 0.0241
492.50 P 20260731 5.20 5.75 1198 364 1.2696 -0.4566 0.0241
497.50 C 20260731 4.65 5.25 311 6157 1.2795 0.4276 0.0238
497.50 P 20260731 7.60 8.45 1149 362 1.2795 -0.5725 0.0238
490.00 C 20260731 8.55 9.40 340 1450 1.2724 0.6067 0.0233
490.00 P 20260731 4.30 4.80 2525 3858 1.2724 -0.3933 0.0233
500.00 C 20260731 3.65 4.15 2927 9190 1.2678 0.3653 0.0229
500.00 P 20260731 9.10 9.90 5093 4695 1.2678 -0.6348 0.0229
487.50 C 20260731 10.15 11.00 113 526 1.2870 0.6590 0.0221
487.50 P 20260731 3.45 3.90 1221 714 1.2870 -0.3410 0.0221
502.50 C 20260731 2.93 3.25 513 912 1.2412 0.3106 0.0219
502.50 P 20260731 10.85 11.55 836 373 1.2412 -0.6895 0.0219
485.00 C 20260731 12.00 12.80 121 4292 1.3071 0.7092 0.0202
485.00 P 20260731 2.86 3.15 2516 1205 1.3071 -0.2909 0.0202
505.00 C 20260731 2.26 2.49 2152 1603 1.2200 0.2516 0.0202
505.00 P 20260731 12.40 13.35 1598 1329 1.2200 -0.7485 0.0202
482.50 C 20260731 13.85 14.80 21 405 1.3244 0.7592 0.0181
482.50 P 20260731 2.23 2.50 811 639 1.3244 -0.2408 0.0181
507.50 C 20260731 1.72 1.96 530 1316 1.2208 0.2080 0.0181
507.50 P 20260731 14.55 15.85 561 105 1.2208 -0.7921 0.0181
480.00 C 20260731 15.85 17.65 103 6678 1.3391 0.8013 0.0161
480.00 P 20260731 1.82 1.98 2207 1462 1.3391 -0.1987 0.0161
510.00 C 20260731 1.32 1.42 3242 2465 1.2241 0.1673 0.0158
510.00 P 20260731 15.25 17.50 771 961 1.2241 -0.8329 0.0158
477.50 C 20260731 17.85 20.05 55 1477 1.3576 0.8397 0.0139
477.50 P 20260731 1.45 1.62 791 336 1.3576 -0.1603 0.0139
512.50 C 20260731 0.96 1.13 2425 1143 1.2331 0.1372 0.0137
512.50 P 20260731 17.45 22.70 351 589 1.2331 -0.8630 0.0137
475.00 C 20260731 19.20 22.70 45 1207 1.3846 0.8655 0.0121
475.00 P 20260731 1.20 1.30 1645 3315 1.3846 -0.1345 0.0121
515.00 C 20260731 0.71 0.82 3544 1469 1.2465 0.1090 0.0116
515.00 P 20260731 20.40 25.40 1212 480 1.2465 -0.8911 0.0116
472.50 C 20260731 19.80 23.70 7 607 1.4237 0.8912 0.0101
472.50 P 20260731 0.91 1.06 335 411 1.4237 -0.1088 0.0101
517.50 C 20260731 0.51 0.60 1641 902 1.2577 0.0796 0.0091
517.50 P 20260731 22.60 27.70 5 71 1.2577 -0.9206 0.0091
470.00 C 20260731 22.15 26.15 75 1855 1.4729 0.9085 0.0086
470.00 P 20260731 0.76 0.87 1501 1711 1.4729 -0.0915 0.0086
495.00 C 20260803 11.35 12.00 234 1708 0.6580 0.5041 0.0131
495.00 P 20260803 11.75 12.90 1043 95 0.6580 -0.4964 0.0131
492.50 C 20260803 12.60 13.65 80 135 0.6599 0.5364 0.0130
492.50 P 20260803 10.70 11.75 128 51 0.6599 -0.4640 0.0130
497.50 C 20260803 10.05 11.10 44 185 0.6564 0.4716 0.0130
497.50 P 20260803 12.85 14.35 137 70 0.6564 -0.5289 0.0130
490.00 C 20260803 13.90 15.15 373 597 0.6621 0.5687 0.0128
490.00 P 20260803 9.85 10.60 238 99 0.6621 -0.4317 0.0128
500.00 C 20260803 8.95 9.80 652 998 0.6552 0.4391 0.0130
500.00 P 20260803 14.40 15.60 248 161 0.6552 -0.5615 0.0130
487.50 C 20260803 15.35 16.85 34 137 0.6647 0.6004 0.0125
487.50 P 20260803 8.75 9.40 46 65 0.6647 -0.3999 0.0125
502.50 C 20260803 7.90 8.70 90 98 0.6542 0.4077 0.0128
502.50 P 20260803 15.90 17.10 101 12 0.6542 -0.5929 0.0128
485.00 C 20260803 16.90 19.05 9 185 0.6676 0.6312 0.0121
485.00 P 20260803 7.60 8.65 84 275 0.6676 -0.3691 0.0122
505.00 C 20260803 7.10 7.75 213 2216 0.6536 0.3765 0.0125
505.00 P 20260803 17.15 18.60 99 53 0.6536 -0.6242 0.0125
482.50 C 20260803 18.55 20.00 5 170 0.6708 0.6637 0.0117
