# opt_chain AVGO | epoch 1785514878 | 2026-07-31 12:21:18 | spot 385.63 | exps 20260731 20260803
# fuente ibkr_tws | band 0.0800 | max_strikes 12 | narrow 1 | vencimientos 2 | rows 48 | greeks_ok_pct 1.0000 | bidask_ok_pct 1.0000
# strike right exp bid ask vol oi iv delta gamma
385.00 C 20260731 2.24 2.42 2506 1404 0.6655 0.5392 0.0760
385.00 P 20260731 1.65 1.80 1916 562 0.6655 -0.4608 0.0760
387.50 C 20260731 1.14 1.25 1604 1202 0.6435 0.3472 0.0735
387.50 P 20260731 2.81 3.40 545 282 0.6435 -0.6529 0.0735
382.50 C 20260731 3.65 4.30 947 716 0.6812 0.7142 0.0637
382.50 P 20260731 0.80 0.93 2368 1784 0.6812 -0.2858 0.0637
390.00 C 20260731 0.53 0.61 3954 3078 0.6776 0.2013 0.0529
390.00 P 20260731 4.75 5.45 776 1206 0.6776 -0.7988 0.0529
380.00 C 20260731 5.50 6.50 495 1723 0.7069 0.8431 0.0435
380.00 P 20260731 0.39 0.48 11123 2724 0.7069 -0.1569 0.0435
392.50 C 20260731 0.23 0.28 1844 639 0.7090 0.1071 0.0332
392.50 P 20260731 6.65 8.70 66 204 0.7090 -0.8931 0.0332
377.50 C 20260731 7.25 9.40 66 311 0.7305 0.9219 0.0255
377.50 P 20260731 0.19 0.22 1891 571 0.7305 -0.0781 0.0255
395.00 C 20260731 0.11 0.14 5244 3811 0.7355 0.0459 0.0167
395.00 P 20260731 8.75 11.25 212 161 0.7355 -0.9544 0.0168
375.00 C 20260731 9.20 11.25 323 525 0.7677 0.9593 0.0145
375.00 P 20260731 0.10 0.14 1100 751 0.7677 -0.0407 0.0145
397.50 C 20260731 0.05 0.06 1899 865 0.7739 0.0219 0.0086
397.50 P 20260731 11.50 13.50 144 71 0.7739 -0.9784 0.0087
372.50 C 20260731 11.45 13.50 15 186 0.8424 0.9747 0.0089
372.50 P 20260731 0.06 0.10 754 438 0.8424 -0.0253 0.0089
400.00 C 20260731 0.03 0.05 7725 5110 0.8469 0.0140 0.0054
400.00 P 20260731 13.40 16.55 57 234 0.8469 -0.9862 0.0054
385.00 C 20260803 5.30 6.15 505 244 0.3635 0.5223 0.0308
385.00 P 20260803 4.60 5.35 155 149 0.3635 -0.4786 0.0309
387.50 C 20260803 3.95 4.65 423 236 0.3633 0.4456 0.0306
387.50 P 20260803 6.10 6.70 61 53 0.3633 -0.5555 0.0307
382.50 C 20260803 6.35 7.25 58 231 0.3648 0.5982 0.0298
382.50 P 20260803 3.70 4.25 153 94 0.3648 -0.4025 0.0299
390.00 C 20260803 3.00 3.80 407 731 0.3641 0.3726 0.0291
390.00 P 20260803 7.40 8.25 74 85 0.3641 -0.6287 0.0292
380.00 C 20260803 8.05 8.95 151 317 0.3673 0.6728 0.0276
380.00 P 20260803 2.84 3.25 323 264 0.3673 -0.3276 0.0276
392.50 C 20260803 2.51 2.72 156 57 0.3661 0.3074 0.0269
392.50 P 20260803 8.90 9.95 17 25 0.3661 -0.6942 0.0270
377.50 C 20260803 9.70 10.70 2 241 0.3713 0.7376 0.0247
377.50 P 20260803 2.11 2.31 1407 70 0.3713 -0.2627 0.0247
395.00 C 20260803 1.86 1.99 372 441 0.3694 0.2490 0.0240
395.00 P 20260803 10.55 11.80 24 17 0.3694 -0.7529 0.0242
375.00 C 20260803 11.80 12.80 13 30 0.3768 0.7837 0.0217
375.00 P 20260803 1.55 1.74 588 106 0.3768 -0.2165 0.0217
397.50 C 20260803 1.31 1.57 79 99 0.3738 0.1880 0.0202
397.50 P 20260803 12.80 13.85 5 4 0.3738 -0.8143 0.0204
372.50 C 20260803 13.75 15.10 1 71 0.3841 0.8305 0.0183
372.50 P 20260803 1.13 1.31 102 51 0.3841 -0.1697 0.0183
400.00 C 20260803 0.93 1.05 750 464 0.3792 0.1485 0.0171
400.00 P 20260803 14.35 16.55 5 108 0.3792 -0.8556 0.0172
