# opt_chain GOOGL | epoch 1785526119 | 2026-07-31 15:28:39 | spot 355.63 | exps 20260731 20260803
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 152 | greeks_ok_pct 1.0000 | bidask_ok_pct 0.7763
# strike right exp bid ask vol oi iv delta gamma
355.00 C 20260731 1.03 1.17 78772 1816 0.6658 0.6395 0.2043
355.00 P 20260731 0.47 0.52 10853 19 0.6658 -0.3606 0.2043
357.50 C 20260731 0.13 0.15 37231 1989 0.6518 0.1533 0.1320
357.50 P 20260731 1.90 2.08 817 20 0.6518 -0.8468 0.1321
352.50 C 20260731 3.05 3.35 47888 848 0.7599 0.9349 0.0604
352.50 P 20260731 0.06 0.07 17310 12 0.7599 -0.0651 0.0604
360.00 C 20260731 0.01 0.02 24813 2827 0.7942 0.0239 0.0257
360.00 P 20260731 4.05 4.70 112 68 0.7942 -0.9762 0.0258
350.00 C 20260731 5.55 5.85 38955 8211 0.8560 0.9924 0.0089
350.00 P 20260731 -1.00 0.01 25646 510 0.8560 -0.0076 0.0089
362.50 C 20260731 0.01 0.02 6425 907 1.1378 0.0123 0.0105
362.50 P 20260731 6.20 7.25 3 0 1.1378 -0.9878 0.0105
347.50 C 20260731 7.95 8.40 17100 1535 1.0247 0.9982 0.0020
347.50 P 20260731 -1.00 0.01 15013 843 1.0247 -0.0018 0.0020
365.00 C 20260731 0.01 0.02 3058 2450 1.4917 0.0104 0.0069
365.00 P 20260731 9.15 10.05 31 0 1.4917 -0.9897 0.0069
345.00 C 20260731 10.45 10.85 17280 6771 1.1493 0.9997 0.0003
345.00 P 20260731 -1.00 0.01 16924 613 1.1493 -0.0003 0.0003
367.50 C 20260731 0.01 0.02 2042 532 1.7000 0.0051 0.0032
367.50 P 20260731 11.15 12.85 0 0 1.7000 -0.9949 0.0032
342.50 C 20260731 12.95 13.40 7499 6060 1.2016 1.0000 0.0000
342.50 P 20260731 -1.00 0.01 7954 185 1.2016 -0.0000 0.0000
370.00 C 20260731 -1.00 0.01 471 5253 1.7237 0.0011 0.0008
370.00 P 20260731 13.90 15.35 60 0 1.7237 -0.9989 0.0008
340.00 C 20260731 15.40 15.85 5759 10998 1.2062 1.0000 0.0000
340.00 P 20260731 -1.00 0.01 9473 1589 1.2062 -0.0000 0.0000
372.50 C 20260731 -1.00 0.01 184 1830 1.6735 0.0001 0.0001
372.50 P 20260731 16.15 17.85 0 0 1.6735 -1.0000 0.0001
337.50 C 20260731 17.85 18.70 4089 6472 1.1950 1.0000 0.0000
337.50 P 20260731 -1.00 0.01 1549 785 1.1950 -0.0000 0.0000
375.00 C 20260731 -1.00 0.01 548 3731 1.6297 0.0000 0.0000
375.00 P 20260731 18.95 20.35 0 0 1.6297 -1.0000 0.0000
335.00 C 20260731 20.35 20.80 3626 10653 1.1787 1.0000 0.0000
335.00 P 20260731 -1.00 0.01 1528 1231 1.1787 -0.0000 0.0000
377.50 C 20260731 -1.00 0.01 8 1291 1.6042 0.0000 0.0000
377.50 P 20260731 20.85 23.75 0 0 1.6042 -1.0000 0.0000
332.50 C 20260731 22.90 23.45 1653 5696 1.1633 1.0000 0.0000
332.50 P 20260731 -1.00 0.01 1034 8616 1.1633 -0.0000 0.0000
380.00 C 20260731 -1.00 0.01 233 2652 1.5959 0.0000 0.0000
380.00 P 20260731 23.45 26.05 0 1 1.5959 -1.0000 -0.0000
355.00 C 20260803 3.55 3.75 8773 318 0.2581 0.5385 0.0479
355.00 P 20260803 2.90 3.05 758 28 0.2581 -0.4623 0.0480
357.50 C 20260803 2.46 2.61 2356 749 0.2619 0.4203 0.0467
357.50 P 20260803 4.10 4.50 128 28 0.2619 -0.5809 0.0469
352.50 C 20260803 4.95 5.35 4182 159 0.2562 0.6560 0.0447
352.50 P 20260803 1.88 2.01 1791 41 0.2562 -0.3445 0.0448
360.00 C 20260803 1.65 1.76 4902 2150 0.2674 0.3163 0.0412
360.00 P 20260803 5.75 6.20 65 2 0.2674 -0.6855 0.0415
350.00 C 20260803 6.70 7.00 10709 1242 0.2571 0.7573 0.0377
350.00 P 20260803 1.11 1.27 3608 51 0.2571 -0.2429 0.0378
362.50 C 20260803 1.08 1.16 1633 80 0.2743 0.2245 0.0343
362.50 P 20260803 7.65 8.30 72 0 0.2743 -0.7776 0.0346
347.50 C 20260803 8.55 9.05 2869 507 0.2613 0.8375 0.0291
347.50 P 20260803 0.67 0.72 3842 14 0.2613 -0.1626 0.0291
365.00 C 20260803 0.70 0.81 2315 69 0.2822 0.1569 0.0268
365.00 P 20260803 9.75 10.45 6 0 0.2822 -0.8456 0.0270
345.00 C 20260803 10.70 11.50 2364 269 0.2693 0.8956 0.0208
345.00 P 20260803 0.40 0.42 5064 65 0.2693 -0.1044 0.0208
367.50 C 20260803 0.46 0.51 786 34 0.2911 0.1122 0.0203
367.50 P 20260803 11.20 13.60 3 0 0.2911 -0.8957 0.0202
342.50 C 20260803 12.80 13.90 1052 1207 0.2813 0.9319 0.0144
342.50 P 20260803 0.22 0.30 1576 31 0.2813 -0.0681 0.0144
370.00 C 20260803 0.31 0.34 731 147 0.3010 0.0726 0.0144
370.00 P 20260803 13.00 16.50 2 0 0.3010 -0.9307 0.0147
340.00 C 20260803 15.50 16.20 889 1048 0.2969 0.9538 0.0100
340.00 P 20260803 0.15 0.19 3728 64 0.2969 -0.0461 0.0100
372.50 C 20260803 0.17 0.25 1322 14 0.3120 0.0511 0.0106
372.50 P 20260803 15.85 18.90 0 0 0.3120 -0.9525 0.0108
337.50 C 20260803 17.75 18.95 330 630 0.3157 0.9684 0.0070
337.50 P 20260803 0.11 0.14 989 36 0.3157 -0.0316 0.0070
375.00 C 20260803 0.15 0.17 280 128 0.3235 0.0351 0.0075
375.00 P 20260803 17.45 21.35 0 0 0.3235 -0.9689 0.0078
335.00 C 20260803 19.70 21.15 450 2453 0.3368 0.9764 0.0051
335.00 P 20260803 0.08 0.12 280 170 0.3368 -0.0236 0.0051
377.50 C 20260803 0.07 0.11 27 24 0.3352 0.0245 0.0054
377.50 P 20260803 20.65 23.80 0 0 0.3352 -0.9797 0.0056
332.50 C 20260803 21.80 24.65 248 2271 0.3591 0.9812 0.0039
332.50 P 20260803 0.06 0.12 249 146 0.3591 -0.0187 0.0039
380.00 C 20260803 0.07 0.10 39 81 0.3471 0.0178 0.0039
380.00 P 20260803 23.25 26.25 0 0 0.3471 -0.9866 0.0042
302.50 C 20260731 52.40 54.60 127 44 1.1389 1.0000 0.0000
302.50 P 20260731 -1.00 0.02 5 341 1.1389 0.0000 0.0000
305.00 C 20260731 49.00 51.70 41 41 1.1304 1.0000 -0.0000
305.00 P 20260731 -1.00 0.02 138 3644 1.1304 0.0000 0.0000
307.50 C 20260731 46.25 49.70 33 6 1.1239 1.0000 0.0000
307.50 P 20260731 -1.00 0.06 45 369 1.1239 0.0000 0.0000
310.00 C 20260731 44.25 46.30 148 175 1.1194 1.0000 -0.0000
310.00 P 20260731 -1.00 0.01 969 6907 1.1194 0.0000 0.0000
312.50 C 20260731 41.70 44.70 3 21 1.1159 1.0000 0.0000
312.50 P 20260731 -1.00 0.12 60 486 1.1159 0.0000 0.0000
315.00 C 20260731 39.20 41.85 53 371 1.1142 1.0000 0.0000
315.00 P 20260731 -1.00 0.01 222 2284 1.1142 0.0000 0.0000
317.50 C 20260731 36.45 39.45 9 74 1.1146 1.0000 0.0000
317.50 P 20260731 -1.00 0.01 335 819 1.1146 0.0000 0.0000
320.00 C 20260731 35.10 37.05 202 3672 1.1173 1.0000 -0.0000
320.00 P 20260731 -1.00 0.01 1213 2784 1.1173 0.0000 0.0000
322.50 C 20260731 32.70 33.90 167 460 1.1223 1.0000 0.0000
322.50 P 20260731 -1.00 0.01 246 1421 1.1223 0.0000 0.0000
325.00 C 20260731 30.00 31.25 185 2116 1.1296 1.0000 0.0000
325.00 P 20260731 -1.00 0.01 3763 4484 1.1296 0.0000 0.0000
327.50 C 20260731 27.40 28.55 2074 4626 1.1389 1.0000 -0.0000
327.50 P 20260731 -1.00 0.01 433 2871 1.1389 -0.0000 0.0000
330.00 C 20260731 25.30 25.85 958 2845 1.1500 1.0000 0.0000
330.00 P 20260731 -1.00 0.01 1465 3802 1.1500 -0.0000 0.0000
385.00 C 20260731 -1.00 0.01 66 3644 1.6068 0.0000 0.0000
385.00 P 20260731 28.35 31.20 0 0 1.6068 -1.0000 -0.0000
390.00 C 20260731 -1.00 0.01 40 4495 1.6295 0.0000 0.0000
390.00 P 20260731 33.65 36.25 3 0 1.6295 -1.0000 0.0000
395.00 C 20260731 -1.00 0.01 4 1652 1.6597 0.0000 0.0000
395.00 P 20260731 38.35 41.10 0 0 1.6597 -1.0000 0.0000
400.00 C 20260731 -1.00 0.01 31 12255 1.6990 0.0000 0.0000
400.00 P 20260731 42.80 45.90 2 0 1.6990 -1.0000 -0.0000
405.00 C 20260731 -1.00 0.01 13 1672 1.7314 0.0000 0.0000
405.00 P 20260731 48.35 51.25 1 0 1.7314 -1.0000 -0.0000
302.50 C 20260803 51.25 54.95 0 4 0.5805 0.9990 0.0002
302.50 P 20260803 -1.00 0.01 14 45 0.5805 -0.0009 0.0002
305.00 C 20260803 48.75 52.30 0 20 0.5663 0.9988 0.0002
305.00 P 20260803 -1.00 0.04 21 307 0.5663 -0.0012 0.0002
307.50 C 20260803 46.25 49.80 0 0 0.5508 0.9984 0.0003
307.50 P 20260803 -1.00 0.02 27 30 0.5508 -0.0016 0.0003
310.00 C 20260803 43.75 47.30 0 32 0.5343 0.9980 0.0004
310.00 P 20260803 0.01 0.05 24 592 0.5343 -0.0020 0.0004
312.50 C 20260803 41.15 44.90 0 10 0.5167 0.9974 0.0005
312.50 P 20260803 0.01 0.04 7 10 0.5167 -0.0026 0.0005
315.00 C 20260803 39.40 42.45 32 63 0.4985 0.9967 0.0006
315.00 P 20260803 0.01 0.05 28 307 0.4985 -0.0033 0.0006
317.50 C 20260803 36.15 39.80 0 165 0.4800 0.9959 0.0008
317.50 P 20260803 0.01 0.05 73 117 0.4800 -0.0040 0.0008
320.00 C 20260803 34.95 36.45 13 580 0.4614 0.9946 0.0010
320.00 P 20260803 0.02 0.04 169 867 0.4614 -0.0053 0.0010
322.50 C 20260803 31.80 34.30 26 424 0.4427 0.9933 0.0013
322.50 P 20260803 0.02 0.05 69 227 0.4427 -0.0067 0.0013
325.00 C 20260803 28.85 31.80 68 310 0.4234 0.9906 0.0018
325.00 P 20260803 0.03 0.06 132 315 0.4234 -0.0094 0.0018
327.50 C 20260803 26.40 29.00 35 125 0.4030 0.9888 0.0022
327.50 P 20260803 0.05 0.08 192 235 0.4030 -0.0112 0.0022
330.00 C 20260803 24.95 26.55 221 1028 0.3814 0.9857 0.0029
330.00 P 20260803 0.05 0.08 528 1330 0.3814 -0.0142 0.0029
382.50 C 20260803 0.05 0.09 7 45 0.3597 0.0134 0.0030
382.50 P 20260803 25.45 28.75 0 0 0.3597 -0.9917 0.0032
385.00 C 20260803 0.05 0.12 17 41 0.3729 0.0101 0.0022
385.00 P 20260803 27.70 31.25 0 0 0.3729 -0.9951 0.0025
387.50 C 20260803 0.02 0.05 220 97 0.3871 0.0076 0.0017
387.50 P 20260803 30.70 33.75 0 0 0.3871 -0.9977 0.0017
390.00 C 20260803 0.02 0.03 45 128 0.4022 0.0061 0.0013
390.00 P 20260803 32.80 36.30 3 0 0.4022 -0.9990 0.0011
395.00 C 20260803 0.01 0.06 3 210 0.4351 0.0041 0.0009
395.00 P 20260803 38.05 41.25 1 0 0.4351 -1.0000 0.0002
400.00 C 20260803 0.01 0.02 96 263 0.4705 0.0031 0.0006
400.00 P 20260803 43.35 46.30 0 0 0.4705 -1.0000 0.0000
405.00 C 20260803 -1.00 0.02 259 463 0.5073 0.0024 0.0005
405.00 P 20260803 48.35 51.25 0 0 0.5073 -1.0000 0.0000
