# opt_chain LRCX | epoch 1785504720 | 2026-07-31 09:32:00 | spot 315.83 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 152 | greeks_ok_pct 1.0000 | bidask_ok_pct 0.9671
# strike right exp bid ask vol oi iv delta gamma
315.00 C 20260731 6.75 8.30 9 230 1.7708 0.5410 0.0261
315.00 P 20260731 4.55 7.30 4 335 1.7708 -0.4590 0.0262
317.50 C 20260731 4.50 7.85 1 177 1.7459 0.4851 0.0266
317.50 P 20260731 5.60 8.70 0 70 1.7459 -0.5149 0.0266
312.50 C 20260731 8.10 9.75 75 234 1.7976 0.6047 0.0250
312.50 P 20260731 4.00 6.55 0 65 1.7976 -0.3953 0.0250
320.00 C 20260731 3.45 6.30 0 2047 1.7234 0.4183 0.0265
320.00 P 20260731 6.60 9.85 19 344 1.7234 -0.5818 0.0265
310.00 C 20260731 9.75 11.50 1 448 1.8261 0.6647 0.0234
310.00 P 20260731 2.86 5.35 15 865 1.8261 -0.3353 0.0234
322.50 C 20260731 3.15 4.90 0 635 1.7044 0.3433 0.0252
322.50 P 20260731 9.05 10.75 0 82 1.7044 -0.6568 0.0252
307.50 C 20260731 11.60 13.15 1 128 1.8568 0.7186 0.0212
307.50 P 20260731 2.28 4.65 1 31 1.8568 -0.2814 0.0212
325.00 C 20260731 2.50 4.00 3 579 1.6900 0.2865 0.0236
325.00 P 20260731 9.70 12.40 0 122 1.6900 -0.7136 0.0236
305.00 C 20260731 13.50 14.95 3 387 1.8905 0.7665 0.0189
305.00 P 20260731 1.86 3.95 0 209 1.8905 -0.2335 0.0189
327.50 C 20260731 1.60 3.25 55 88 1.6811 0.2316 0.0212
327.50 P 20260731 12.60 14.30 0 111 1.6811 -0.7685 0.0212
302.50 C 20260731 15.50 17.05 0 145 1.9284 0.8085 0.0165
302.50 P 20260731 1.50 3.55 1 115 1.9284 -0.1915 0.0165
330.00 C 20260731 1.17 2.70 4 1377 1.6781 0.1803 0.0183
330.00 P 20260731 13.55 17.05 0 159 1.6781 -0.8198 0.0183
300.00 C 20260731 16.50 19.15 0 2359 1.9713 0.8467 0.0140
300.00 P 20260731 1.38 2.34 1 927 1.9713 -0.1533 0.0140
332.50 C 20260731 0.61 2.23 0 396 1.6813 0.1434 0.0157
332.50 P 20260731 16.00 19.35 0 9 1.6813 -0.8567 0.0157
297.50 C 20260731 18.70 21.80 0 69 2.0188 0.8772 0.0117
297.50 P 20260731 1.16 1.93 0 76 2.0188 -0.1228 0.0117
335.00 C 20260731 0.72 1.61 9 356 1.6902 0.1128 0.0132
335.00 P 20260731 17.70 21.25 3 73 1.6902 -0.8898 0.0130
295.00 C 20260731 20.65 24.15 1 122 2.0717 0.8999 0.0103
295.00 P 20260731 0.70 1.75 10 258 2.0717 -0.1001 0.0103
337.50 C 20260731 0.35 1.21 0 58 1.7042 0.0838 0.0106
337.50 P 20260731 20.50 23.65 0 7 1.7042 -0.9164 0.0106
292.50 C 20260731 22.90 26.45 0 113 2.1295 0.9190 0.0086
292.50 P 20260731 0.69 1.30 0 118 2.1295 -0.0810 0.0086
340.00 C 20260731 0.41 0.87 1 995 1.7227 0.0588 0.0080
340.00 P 20260731 22.50 26.00 0 2001 1.7227 -0.9356 0.0085
315.00 C 20260807 15.70 18.75 1 74 0.9116 0.5343 0.0098
315.00 P 20260807 14.00 17.30 0 122 0.9116 -0.4662 0.0098
317.50 C 20260807 14.30 17.00 0 1984 0.9085 0.5099 0.0098
317.50 P 20260807 15.50 18.50 0 32 0.9085 -0.4906 0.0098
312.50 C 20260807 17.15 19.75 0 9 0.9150 0.5587 0.0096
312.50 P 20260807 13.05 16.10 0 69 0.9150 -0.4418 0.0097
320.00 C 20260807 13.40 16.30 0 205 0.9058 0.4855 0.0098
320.00 P 20260807 16.55 19.75 0 221 0.9058 -0.5151 0.0099
310.00 C 20260807 18.50 21.50 0 104 0.9188 0.5843 0.0096
310.00 P 20260807 12.50 14.60 1 190 0.9188 -0.4162 0.0096
322.50 C 20260807 11.85 15.00 32 78 0.9033 0.4609 0.0099
322.50 P 20260807 18.00 21.10 0 71 0.9033 -0.5397 0.0099
307.50 C 20260807 19.95 23.00 1 107 0.9228 0.6084 0.0094
