# opt_chain NOK | epoch 1785507398 | 2026-07-31 10:16:38 | spot 9.09 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 20 | greeks_ok_pct 1.0000 | bidask_ok_pct 0.8000
# strike right exp bid ask vol oi iv delta gamma
9.00 C 20260731 0.12 0.17 4994 12373 0.9847 0.6530 1.6233
9.00 P 20260731 0.03 0.06 2520 12909 0.9847 -0.3471 1.6238
9.50 C 20260731 -1.00 0.01 8356 12542 1.1678 0.0698 0.4942
9.50 P 20260731 0.36 0.44 433 3308 1.1678 -0.9306 0.4952
8.50 C 20260731 0.57 0.64 215 1513 1.3269 0.9788 0.1655
8.50 P 20260731 -1.00 0.01 209 15650 1.3269 -0.0212 0.1655
10.00 C 20260731 -1.00 0.01 1737 19133 1.6278 0.0110 0.0766
10.00 P 20260731 0.86 0.96 157 11523 1.6278 -0.9894 0.0772
8.00 C 20260731 1.04 1.20 24 1109 1.3834 0.9999 0.0013
8.00 P 20260731 -1.00 0.01 0 2787 1.3834 -0.0001 0.0013
9.00 C 20260807 0.40 0.43 371 5279 0.7031 0.5700 0.4368
9.00 P 20260807 0.29 0.32 238 13697 0.7031 -0.4306 0.4377
9.50 C 20260807 0.19 0.23 720 4710 0.7116 0.3575 0.4112
9.50 P 20260807 0.58 0.62 59 664 0.7116 -0.6437 0.4126
8.50 C 20260807 0.71 0.78 8 796 0.7141 0.7674 0.3350
8.50 P 20260807 0.13 0.14 107 3193 0.7141 -0.2296 0.3324
10.00 C 20260807 0.08 0.10 2212 8361 0.7304 0.1968 0.2966
10.00 P 20260807 0.95 1.04 81 2514 0.7304 -0.8044 0.2990
8.00 C 20260807 1.13 1.22 5 516 0.7457 0.9010 0.1832
8.00 P 20260807 0.03 0.05 158 12319 0.7457 -0.0991 0.1834
