# opt_chain QQQ | epoch 1785524355 | 2026-07-31 14:59:15 | spot 688.63 | exps 20260731 20260803
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 134 | greeks_ok_pct 1.0000 | bidask_ok_pct 0.8806
# strike right exp bid ask vol oi iv delta gamma
689.00 C 20260731 0.84 0.85 235719 1946 0.2944 0.4449 0.1644
689.00 P 20260731 1.09 1.11 119287 2064 0.2944 -0.5553 0.1643
688.00 C 20260731 1.40 1.42 272592 4174 0.3022 0.6079 0.1584
688.00 P 20260731 0.65 0.67 199156 1684 0.3022 -0.3924 0.1583
690.00 C 20260731 0.47 0.48 407265 26897 0.2974 0.2893 0.1393
690.00 P 20260731 1.71 1.73 94345 17871 0.2974 -0.7108 0.1392
687.00 C 20260731 2.13 2.18 213465 4067 0.3154 0.7347 0.1262
687.00 P 20260731 0.39 0.40 168825 1026 0.3154 -0.2656 0.1261
691.00 C 20260731 0.25 0.26 138361 5223 0.3053 0.1859 0.1042
691.00 P 20260731 2.47 2.54 31522 1290 0.3053 -0.8141 0.1042
686.00 C 20260731 2.96 3.04 180362 2630 0.3337 0.8452 0.0909
686.00 P 20260731 0.24 0.25 175672 1696 0.3337 -0.1553 0.0907
692.00 C 20260731 0.13 0.14 129599 5074 0.3226 0.1126 0.0706
692.00 P 20260731 3.37 3.60 36753 25623 0.3226 -0.8874 0.0706
685.00 C 20260731 3.78 3.96 228008 19592 0.3591 0.8914 0.0632
685.00 P 20260731 0.16 0.17 265311 11866 0.3591 -0.1090 0.0631
693.00 C 20260731 0.07 0.08 101850 3927 0.3454 0.0643 0.0440
693.00 P 20260731 4.27 4.58 20535 1720 0.3454 -0.9357 0.0440
684.00 C 20260731 4.69 4.88 110517 5432 0.3897 0.9265 0.0436
684.00 P 20260731 0.11 0.12 181027 10138 0.3897 -0.0739 0.0435
694.00 C 20260731 0.04 0.05 67700 5181 0.3702 0.0410 0.0287
694.00 P 20260731 5.21 5.48 15140 519 0.3702 -0.9589 0.0287
683.00 C 20260731 5.59 6.08 78136 2746 0.4112 0.9533 0.0290
683.00 P 20260731 0.08 0.09 168760 2500 0.4112 -0.0471 0.0289
695.00 C 20260731 0.03 0.04 160623 24376 0.3924 0.0281 0.0195
695.00 P 20260731 6.18 6.46 14874 29511 0.3924 -0.9719 0.0195
682.00 C 20260731 6.60 6.92 55061 12991 0.4549 0.9636 0.0215
682.00 P 20260731 0.06 0.07 166603 15083 0.4549 -0.0368 0.0215
696.00 C 20260731 0.02 0.03 59890 3242 0.4144 0.0165 0.0120
696.00 P 20260731 6.01 7.37 4465 648 0.4144 -0.9835 0.0120
681.00 C 20260731 7.71 7.87 28194 3373 0.4946 0.9708 0.0165
681.00 P 20260731 0.05 0.06 124502 2389 0.4946 -0.0296 0.0164
697.00 C 20260731 0.01 0.02 49280 7940 0.4410 0.0111 0.0079
697.00 P 20260731 7.77 9.10 3264 248 0.4410 -0.9889 0.0079
680.00 C 20260731 8.70 8.86 35614 18768 0.5251 0.9795 0.0118
680.00 P 20260731 0.03 0.04 242227 34685 0.5251 -0.0210 0.0117
698.00 C 20260731 0.01 0.02 39937 2252 0.4736 0.0086 0.0060
698.00 P 20260731 8.54 9.88 987 229 0.4736 -0.9914 0.0060
679.00 C 20260731 9.09 9.86 5011 1160 0.5571 0.9848 0.0087
679.00 P 20260731 0.03 0.04 70769 3394 0.5571 -0.0158 0.0087
689.00 C 20260803 4.12 4.15 13083 456 0.1673 0.4938 0.0380
689.00 P 20260803 4.29 4.32 7831 168 0.1673 -0.5068 0.0381
688.00 C 20260803 4.69 4.72 14122 640 0.1699 0.5312 0.0373
688.00 P 20260803 3.86 3.89 11614 435 0.1699 -0.4693 0.0374
690.00 C 20260803 3.59 3.61 30306 3644 0.1645 0.4552 0.0384
690.00 P 20260803 4.75 4.78 9188 628 0.1645 -0.5461 0.0385
687.00 C 20260803 5.30 5.33 13004 925 0.1725 0.5669 0.0363
687.00 P 20260803 3.47 3.50 10199 319 0.1725 -0.4336 0.0364
691.00 C 20260803 3.09 3.11 6343 326 0.1626 0.4156 0.0383
691.00 P 20260803 5.25 5.29 3921 195 0.1626 -0.5853 0.0384
686.00 C 20260803 5.94 5.98 14309 663 0.1753 0.6013 0.0351
686.00 P 20260803 3.11 3.14 9691 327 0.1753 -0.3990 0.0352
692.00 C 20260803 2.64 2.65 8235 426 0.1596 0.3765 0.0379
692.00 P 20260803 5.79 5.83 3302 191 0.1596 -0.6246 0.0380
685.00 C 20260803 6.61 6.66 20236 4939 0.1775 0.6344 0.0337
685.00 P 20260803 2.79 2.81 22971 1098 0.1775 -0.3659 0.0338
693.00 C 20260803 2.22 2.24 7742 1311 0.1567 0.3366 0.0371
693.00 P 20260803 6.37 6.42 2832 117 0.1567 -0.6646 0.0373
684.00 C 20260803 7.31 7.35 8279 918 0.1803 0.6684 0.0322
684.00 P 20260803 2.49 2.52 12159 1024 0.1803 -0.3319 0.0323
694.00 C 20260803 1.85 1.87 6939 1102 0.1540 0.2968 0.0358
694.00 P 20260803 6.98 7.06 2260 91 0.1540 -0.7047 0.0360
683.00 C 20260803 8.04 8.09 7170 539 0.1825 0.6952 0.0305
