# opt_chain TSLA | epoch 1785528413 | 2026-07-31 16:06:53 | spot 309.93 | exps 20260731 20260803
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 148 | greeks_ok_pct 0.0270 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
310.00 C 20260731 -1.00 -1.00 259701 12711 3.0194 0.4563 0.0452
310.00 P 20260731 -1.00 -1.00 150789 6401 3.0194 -0.5445 0.0453
307.50 C 20260731 -1.00 -1.00 89868 9815 1.5440 0.5702 0.0455
307.50 P 20260731 -1.00 -1.00 140773 4206 1.5440 -0.4304 0.0456
312.50 C 20260731 -1.00 -1.00 209864 6365 -1.0000 -1.0000 -1.0000
312.50 P 20260731 -1.00 -1.00 29824 1348 -1.0000 -1.0000 -1.0000
305.00 C 20260731 -1.00 -1.00 55325 8736 -1.0000 -1.0000 -1.0000
305.00 P 20260731 -1.00 -1.00 192192 8844 -1.0000 -1.0000 -1.0000
315.00 C 20260731 -1.00 -1.00 171990 13857 -1.0000 -1.0000 -1.0000
315.00 P 20260731 -1.00 -1.00 19773 3432 -1.0000 -1.0000 -1.0000
302.50 C 20260731 -1.00 -1.00 17420 2131 -1.0000 -1.0000 -1.0000
302.50 P 20260731 -1.00 -1.00 114885 4762 -1.0000 -1.0000 -1.0000
317.50 C 20260731 -1.00 -1.00 42191 4142 -1.0000 -1.0000 -1.0000
317.50 P 20260731 -1.00 -1.00 2766 1494 -1.0000 -1.0000 -1.0000
300.00 C 20260731 -1.00 -1.00 10849 5853 -1.0000 -1.0000 -1.0000
300.00 P 20260731 -1.00 -1.00 132733 13137 -1.0000 -1.0000 -1.0000
320.00 C 20260731 -1.00 -1.00 73506 16915 -1.0000 -1.0000 -1.0000
320.00 P 20260731 -1.00 -1.00 6781 3940 -1.0000 -1.0000 -1.0000
297.50 C 20260731 -1.00 -1.00 1231 4420 -1.0000 -1.0000 -1.0000
297.50 P 20260731 -1.00 -1.00 29054 3835 -1.0000 -1.0000 -1.0000
322.50 C 20260731 -1.00 -1.00 11977 4225 -1.0000 -1.0000 -1.0000
322.50 P 20260731 -1.00 -1.00 1922 1602 -1.0000 -1.0000 -1.0000
295.00 C 20260731 -1.00 -1.00 1870 2145 -1.0000 -1.0000 -1.0000
295.00 P 20260731 -1.00 -1.00 24483 8793 -1.0000 -1.0000 -1.0000
325.00 C 20260731 -1.00 -1.00 24477 12183 -1.0000 -1.0000 -1.0000
325.00 P 20260731 -1.00 -1.00 4820 1381 -1.0000 -1.0000 -1.0000
292.50 C 20260731 -1.00 -1.00 314 790 -1.0000 -1.0000 -1.0000
292.50 P 20260731 -1.00 -1.00 3357 2215 -1.0000 -1.0000 -1.0000
327.50 C 20260731 -1.00 -1.00 5415 3829 -1.0000 -1.0000 -1.0000
327.50 P 20260731 -1.00 -1.00 1657 441 -1.0000 -1.0000 -1.0000
290.00 C 20260731 -1.00 -1.00 1090 1321 -1.0000 -1.0000 -1.0000
290.00 P 20260731 -1.00 -1.00 6715 5369 -1.0000 -1.0000 -1.0000
330.00 C 20260731 -1.00 -1.00 14226 19638 -1.0000 -1.0000 -1.0000
330.00 P 20260731 -1.00 -1.00 785 1638 -1.0000 -1.0000 -1.0000
287.50 C 20260731 -1.00 -1.00 25 453 -1.0000 -1.0000 -1.0000
287.50 P 20260731 -1.00 -1.00 1067 1346 -1.0000 -1.0000 -1.0000
332.50 C 20260731 -1.00 -1.00 2401 3413 -1.0000 -1.0000 -1.0000
332.50 P 20260731 -1.00 -1.00 101 66 -1.0000 -1.0000 -1.0000
285.00 C 20260731 -1.00 -1.00 29 114 -1.0000 -1.0000 -1.0000
285.00 P 20260731 -1.00 -1.00 2466 5593 -1.0000 -1.0000 -1.0000
310.00 C 20260803 -1.00 -1.00 34180 4422 -1.0000 -1.0000 -1.0000
310.00 P 20260803 -1.00 -1.00 26731 3605 -1.0000 -1.0000 -1.0000
307.50 C 20260803 -1.00 -1.00 13839 2587 -1.0000 -1.0000 -1.0000
307.50 P 20260803 -1.00 -1.00 15843 2509 -1.0000 -1.0000 -1.0000
312.50 C 20260803 -1.00 -1.00 23163 1032 -1.0000 -1.0000 -1.0000
312.50 P 20260803 -1.00 -1.00 9156 325 -1.0000 -1.0000 -1.0000
305.00 C 20260803 -1.00 -1.00 20315 1542 -1.0000 -1.0000 -1.0000
305.00 P 20260803 -1.00 -1.00 18134 2190 -1.0000 -1.0000 -1.0000
315.00 C 20260803 -1.00 -1.00 27398 2169 -1.0000 -1.0000 -1.0000
315.00 P 20260803 -1.00 -1.00 5024 365 -1.0000 -1.0000 -1.0000
302.50 C 20260803 -1.00 -1.00 7436 793 -1.0000 -1.0000 -1.0000
302.50 P 20260803 -1.00 -1.00 10635 1844 -1.0000 -1.0000 -1.0000
317.50 C 20260803 -1.00 -1.00 11255 2632 -1.0000 -1.0000 -1.0000
317.50 P 20260803 -1.00 -1.00 4436 123 -1.0000 -1.0000 -1.0000
300.00 C 20260803 -1.00 -1.00 10528 1668 -1.0000 -1.0000 -1.0000
300.00 P 20260803 -1.00 -1.00 17829 2653 -1.0000 -1.0000 -1.0000
320.00 C 20260803 -1.00 -1.00 28422 6322 -1.0000 -1.0000 -1.0000
320.00 P 20260803 -1.00 -1.00 5930 951 -1.0000 -1.0000 -1.0000
297.50 C 20260803 -1.00 -1.00 1777 176 -1.0000 -1.0000 -1.0000
297.50 P 20260803 -1.00 -1.00 3671 688 -1.0000 -1.0000 -1.0000
322.50 C 20260803 -1.00 -1.00 4300 1280 -1.0000 -1.0000 -1.0000
322.50 P 20260803 -1.00 -1.00 763 118 -1.0000 -1.0000 -1.0000
295.00 C 20260803 -1.00 -1.00 823 276 -1.0000 -1.0000 -1.0000
295.00 P 20260803 -1.00 -1.00 5462 1738 -1.0000 -1.0000 -1.0000
325.00 C 20260803 -1.00 -1.00 8428 1607 -1.0000 -1.0000 -1.0000
325.00 P 20260803 -1.00 -1.00 509 190 -1.0000 -1.0000 -1.0000
292.50 C 20260803 -1.00 -1.00 206 48 -1.0000 -1.0000 -1.0000
292.50 P 20260803 -1.00 -1.00 1389 594 -1.0000 -1.0000 -1.0000
327.50 C 20260803 -1.00 -1.00 3358 1029 -1.0000 -1.0000 -1.0000
327.50 P 20260803 -1.00 -1.00 209 177 -1.0000 -1.0000 -1.0000
290.00 C 20260803 -1.00 -1.00 785 573 -1.0000 -1.0000 -1.0000
290.00 P 20260803 -1.00 -1.00 3023 1729 -1.0000 -1.0000 -1.0000
330.00 C 20260803 -1.00 -1.00 5750 3690 -1.0000 -1.0000 -1.0000
