# opt_chain TXN | epoch 1785516345 | 2026-07-31 12:45:45 | spot 276.13 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 136 | greeks_ok_pct 1.0000 | bidask_ok_pct 0.8015
# strike right exp bid ask vol oi iv delta gamma
275.00 C 20260731 1.82 3.55 369 347 0.9685 0.5980 0.0759
275.00 P 20260731 0.63 1.82 51 275 0.9685 -0.4020 0.0759
277.50 C 20260731 0.65 1.81 4 513 0.9690 0.4051 0.0760
277.50 P 20260731 1.37 3.10 13 189 0.9690 -0.5949 0.0760
272.50 C 20260731 3.40 6.05 0 23 0.9979 0.7557 0.0596
272.50 P 20260731 0.22 0.84 7 199 0.9979 -0.2443 0.0596
280.00 C 20260731 0.30 0.88 69 366 0.9893 0.2390 0.0596
280.00 P 20260731 2.69 5.25 27 161 0.9893 -0.7611 0.0596
270.00 C 20260731 5.50 8.15 11 5 1.0609 0.8626 0.0392
270.00 P 20260731 0.09 0.44 22 359 1.0609 -0.1374 0.0392
282.50 C 20260731 0.07 0.42 26 60 1.0202 0.1257 0.0385
282.50 P 20260731 5.10 7.55 8 77 1.0202 -0.8744 0.0386
267.50 C 20260731 7.70 10.50 0 0 1.1502 0.9239 0.0236
267.50 P 20260731 -1.00 0.60 11 80 1.1502 -0.0761 0.0236
285.00 C 20260731 0.01 0.20 54 508 1.0564 0.0550 0.0201
285.00 P 20260731 7.20 9.80 18 75 1.0564 -0.9451 0.0201
265.00 C 20260731 10.00 12.80 1 1 1.2509 0.9547 0.0144
265.00 P 20260731 -1.00 0.20 64 356 1.2509 -0.0453 0.0144
287.50 C 20260731 -1.00 0.25 1157 1292 1.0947 0.0280 0.0111
287.50 P 20260731 9.65 12.45 0 33 1.0947 -0.9722 0.0111
262.50 C 20260731 12.60 15.50 0 0 1.3493 0.9739 0.0085
262.50 P 20260731 0.01 0.15 1 322 1.3493 -0.0252 0.0083
290.00 C 20260731 0.01 0.09 170 496 1.1312 0.0110 0.0048
290.00 P 20260731 12.15 14.85 2 26 1.1312 -0.9893 0.0049
260.00 C 20260731 14.95 18.00 0 0 1.4400 0.9852 0.0049
260.00 P 20260731 -1.00 0.10 107 572 1.4400 -0.0148 0.0049
292.50 C 20260731 -1.00 0.53 1171 1246 1.1629 0.0047 0.0022
292.50 P 20260731 14.60 17.35 2 30 1.1629 -0.9956 0.0022
257.50 C 20260731 17.65 20.35 0 0 1.5260 0.9916 0.0028
257.50 P 20260731 -1.00 0.15 74 57 1.5260 -0.0088 0.0030
295.00 C 20260731 -1.00 0.05 7 429 1.1893 0.0016 0.0008
295.00 P 20260731 17.10 19.75 2 134 1.1893 -0.9987 0.0009
255.00 C 20260731 20.15 22.85 0 0 1.6147 0.9950 0.0017
255.00 P 20260731 -1.00 0.12 93 155 1.6147 -0.0050 0.0017
297.50 C 20260731 -1.00 0.67 108 264 1.2121 0.0006 0.0003
297.50 P 20260731 19.65 22.20 0 12 1.2121 -0.9997 0.0003
252.50 C 20260731 22.55 25.35 0 0 1.7125 0.9968 0.0011
252.50 P 20260731 -1.00 0.35 2 38 1.7125 -0.0032 0.0011
300.00 C 20260731 -1.00 0.30 4 441 1.2336 0.0002 0.0001
300.00 P 20260731 22.15 24.90 0 47 1.2336 -1.0000 -0.0000
275.00 C 20260807 8.30 10.10 4 32 0.5493 0.5406 0.0189
275.00 P 20260807 6.55 8.15 6 75 0.5493 -0.4601 0.0188
277.50 C 20260807 7.20 8.75 24 27 0.5468 0.4937 0.0190
277.50 P 20260807 7.75 9.45 15 31 0.5468 -0.5073 0.0190
272.50 C 20260807 9.50 11.60 3 4 0.5523 0.5874 0.0184
272.50 P 20260807 6.00 7.00 0 17 0.5523 -0.4134 0.0184
280.00 C 20260807 6.00 7.55 1181 66 0.5446 0.4464 0.0189
280.00 P 20260807 9.05 10.85 13 20 0.5446 -0.5548 0.0190
270.00 C 20260807 10.75 13.20 3 8 0.5556 0.6323 0.0176
270.00 P 20260807 4.95 5.85 16 90 0.5556 -0.3676 0.0178
282.50 C 20260807 5.15 6.45 3 23 0.5428 0.4006 0.0185
282.50 P 20260807 10.25 12.40 0 14 0.5428 -0.6007 0.0186
267.50 C 20260807 12.50 14.65 0 0 0.5594 0.6761 0.0168
267.50 P 20260807 4.10 5.00 14 6 0.5594 -0.3244 0.0168
285.00 C 20260807 4.30 5.40 1257 111 0.5414 0.3556 0.0179
285.00 P 20260807 12.10 13.95 2 12 0.5414 -0.6460 0.0180
265.00 C 20260807 14.30 16.35 43 4 0.5636 0.7139 0.0158
265.00 P 20260807 3.35 4.15 15 199 0.5636 -0.2872 0.0158
287.50 C 20260807 3.40 4.60 6 50 0.5403 0.3136 0.0170
287.50 P 20260807 13.40 15.80 1 4 0.5403 -0.6882 0.0171
262.50 C 20260807 16.30 18.85 0 2 0.5682 0.7524 0.0146
262.50 P 20260807 2.55 3.50 190 20 0.5682 -0.2480 0.0146
290.00 C 20260807 2.63 3.80 5 1097 0.5397 0.2737 0.0160
290.00 P 20260807 15.00 17.90 3 20 0.5397 -0.7283 0.0161
260.00 C 20260807 17.80 20.85 0 10 0.5733 0.7869 0.0133
260.00 P 20260807 2.11 2.90 197 258 0.5733 -0.2116 0.0131
292.50 C 20260807 2.14 3.05 111 150 0.5394 0.2368 0.0149
292.50 P 20260807 16.85 19.35 1 42 0.5394 -0.7655 0.0150
257.50 C 20260807 19.25 22.90 0 0 0.5789 0.8182 0.0119
257.50 P 20260807 1.74 2.45 34 9 0.5789 -0.1825 0.0120
295.00 C 20260807 1.71 2.64 4 81 0.5396 0.2037 0.0136
295.00 P 20260807 18.90 22.25 1 29 0.5396 -0.7988 0.0137
255.00 C 20260807 21.95 25.00 10 26 0.5850 0.8464 0.0106
255.00 P 20260807 1.30 2.04 10 117 0.5850 -0.1544 0.0106
297.50 C 20260807 1.41 2.18 7 402 0.5401 0.1728 0.0123
297.50 P 20260807 21.35 23.90 0 1 0.5401 -0.8300 0.0125
252.50 C 20260807 24.25 27.10 0 0 0.5917 0.8703 0.0093
252.50 P 20260807 1.09 1.71 12 23 0.5917 -0.1298 0.0093
300.00 C 20260807 0.95 1.80 38 60 0.5411 0.1473 0.0110
300.00 P 20260807 23.25 25.85 1 11 0.5411 -0.8558 0.0112
235.00 C 20260731 40.15 43.10 0 0 2.5757 0.9995 0.0001
235.00 P 20260731 -1.00 0.69 0 150 2.5757 -0.0005 0.0001
237.50 C 20260731 37.65 40.35 0 0 2.4547 0.9994 0.0002
237.50 P 20260731 -1.00 2.13 3 135 2.4547 -0.0006 0.0002
240.00 C 20260731 35.10 37.85 0 0 2.3294 0.9992 0.0002
240.00 P 20260731 -1.00 0.03 10 222 2.3294 -0.0008 0.0002
242.50 C 20260731 32.60 35.35 0 0 2.2002 0.9991 0.0003
242.50 P 20260731 -1.00 2.13 1 21 2.2002 -0.0009 0.0003
245.00 C 20260731 30.05 32.90 0 1 2.0693 0.9989 0.0003
245.00 P 20260731 -1.00 0.01 38 79 2.0693 -0.0011 0.0003
247.50 C 20260731 27.60 30.35 0 0 1.9408 0.9984 0.0005
247.50 P 20260731 -1.00 2.13 0 346 1.9408 -0.0016 0.0005
250.00 C 20260731 25.15 27.90 0 0 1.8205 0.9979 0.0007
250.00 P 20260731 -1.00 0.01 129 414 1.8205 -0.0021 0.0007
302.50 C 20260731 -1.00 2.13 6 76 1.2564 0.0001 0.0000
302.50 P 20260731 24.65 27.35 0 16 1.2564 -1.0000 -0.0000
305.00 C 20260731 -1.00 0.02 4 256 1.2822 0.0000 0.0000
305.00 P 20260731 27.10 29.85 0 185 1.2822 -1.0000 0.0000
307.50 C 20260731 -1.00 1.45 5 80 1.3119 0.0000 0.0000
307.50 P 20260731 29.65 32.35 0 5 1.3119 -1.0000 0.0000
310.00 C 20260731 -1.00 0.35 5 357 1.3451 0.0000 0.0000
310.00 P 20260731 32.15 35.00 0 13 1.3451 -1.0000 0.0000
312.50 C 20260731 -1.00 2.12 0 160 1.3825 0.0000 0.0000
312.50 P 20260731 34.60 37.35 0 6 1.3825 -1.0000 0.0000
315.00 C 20260731 -1.00 0.01 1 69 1.4238 0.0000 0.0000
315.00 P 20260731 37.10 39.90 0 3 1.4238 -1.0000 0.0000
317.50 C 20260731 -1.00 2.13 0 12 1.4689 0.0000 0.0000
317.50 P 20260731 39.55 42.45 0 18 1.4689 -1.0000 0.0000
235.00 C 20260807 40.55 43.45 0 1 0.6538 0.9658 0.0030
235.00 P 20260807 0.01 0.70 1 9 0.6538 -0.0342 0.0030
237.50 C 20260807 38.10 41.05 0 0 0.6432 0.9582 0.0036
237.50 P 20260807 0.03 0.94 2 3 0.6432 -0.0418 0.0036
240.00 C 20260807 35.60 38.70 0 0 0.6332 0.9492 0.0043
240.00 P 20260807 0.15 1.07 12 42 0.6332 -0.0509 0.0043
242.50 C 20260807 33.25 36.30 0 0 0.6238 0.9379 0.0051
242.50 P 20260807 0.39 0.89 0 2 0.6238 -0.0622 0.0051
245.00 C 20260807 31.20 34.05 0 0 0.6149 0.9256 0.0060
245.00 P 20260807 0.55 1.03 2 1205 0.6149 -0.0745 0.0060
247.50 C 20260807 28.60 31.65 0 0 0.6066 0.9095 0.0070
247.50 P 20260807 0.72 1.21 1 11 0.6066 -0.0906 0.0070
250.00 C 20260807 26.15 29.40 0 14 0.5989 0.8921 0.0081
250.00 P 20260807 0.86 1.43 25 124 0.5989 -0.1080 0.0081
302.50 C 20260807 0.70 1.47 0 5 0.5424 0.1200 0.0096
302.50 P 20260807 25.45 28.75 1 0 0.5424 -0.8817 0.0098
305.00 C 20260807 0.51 1.19 8 18 0.5438 0.1026 0.0085
305.00 P 20260807 27.75 31.25 0 55 0.5438 -0.9011 0.0087
307.50 C 20260807 0.39 1.01 11 21 0.5457 0.0846 0.0074
307.50 P 20260807 30.10 33.10 0 0 0.5457 -0.9193 0.0075
310.00 C 20260807 0.46 0.67 25 39 0.5480 0.0708 0.0064
310.00 P 20260807 32.50 35.40 0 55 0.5480 -0.9337 0.0065
312.50 C 20260807 0.05 0.75 0 6 0.5507 0.0577 0.0055
312.50 P 20260807 34.75 38.35 0 0 0.5507 -0.9469 0.0056
315.00 C 20260807 -1.00 0.53 0 40 0.5538 0.0482 0.0047
315.00 P 20260807 37.40 40.20 0 14 0.5538 -0.9567 0.0048
317.50 C 20260807 -1.00 2.10 0 0 0.5573 0.0389 0.0039
317.50 P 20260807 39.70 43.50 0 0 0.5573 -0.9662 0.0041
