# opt_chain ASML | epoch 1785524359 | 2026-07-31 14:59:19 | spot 1648.42 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 78 | band 0.6000 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
990.00 C 20260731 -1.00 -1.00 -1 0 8.9924 0.9942 0.000046
995.00 C 20260731 -1.00 -1.00 -1 0 9.3613 0.9923 0.000058
1000.00 C 20260731 -1.00 -1.00 10 0 9.4295 0.9916 0.000062
1005.00 C 20260731 -1.00 -1.00 -1 0 9.3482 0.9916 0.000063
1010.00 C 20260731 -1.00 -1.00 -1 0 9.2673 0.9915 0.000064
1015.00 C 20260731 -1.00 -1.00 1 0 9.1868 0.9914 0.000065
1020.00 C 20260731 -1.00 -1.00 1 0 9.1067 0.9913 0.000066
1025.00 C 20260731 -1.00 -1.00 -1 0 9.0270 0.9913 0.000067
1030.00 C 20260731 -1.00 -1.00 3 3 9.0533 0.9906 0.000071
1035.00 C 20260731 -1.00 -1.00 -1 0 8.5752 0.9923 0.000062
1040.00 C 20260731 -1.00 -1.00 -1 0 7.6923 0.9962 0.000037
1045.00 C 20260731 -1.00 -1.00 -1 0 8.7123 0.9909 0.000072
1050.00 C 20260731 -1.00 -1.00 1 0 8.6345 0.9909 0.000073
1055.00 C 20260731 -1.00 -1.00 1 0 8.5572 0.9908 0.000074
1060.00 C 20260731 -1.00 -1.00 1 0 8.4768 0.9907 0.000076
1065.00 C 20260731 -1.00 -1.00 -1 0 8.3926 0.9906 0.000077
1070.00 C 20260731 -1.00 -1.00 1 0 8.3089 0.9905 0.000078
1075.00 C 20260731 -1.00 -1.00 -1 0 8.2256 0.9904 0.000080
1080.00 C 20260731 -1.00 -1.00 1 0 8.1426 0.9904 0.000081
1085.00 C 20260731 -1.00 -1.00 -1 0 8.0600 0.9903 0.000082
1090.00 C 20260731 -1.00 -1.00 2 0 7.9779 0.9902 0.000084
1095.00 C 20260731 -1.00 -1.00 1 0 7.8961 0.9901 0.000085
1100.00 C 20260731 -1.00 -1.00 -1 0 7.8146 0.9900 0.000087
1105.00 C 20260731 -1.00 -1.00 1 0 7.5910 0.9909 0.000082
1110.00 C 20260731 -1.00 -1.00 -1 0 7.6529 0.9898 0.000090
1115.00 C 20260731 -1.00 -1.00 1 0 7.5726 0.9897 0.000092
1120.00 C 20260731 -1.00 -1.00 -1 0 7.4926 0.9896 0.000094
1125.00 C 20260731 -1.00 -1.00 -1 0 7.4130 0.9895 0.000095
1130.00 C 20260731 -1.00 -1.00 -1 0 7.3338 0.9894 0.000097
1135.00 C 20260731 -1.00 -1.00 -1 0 7.1587 0.9904 0.000092
1140.00 C 20260731 -1.00 -1.00 -1 0 7.1764 0.9892 0.000101
1145.00 C 20260731 -1.00 -1.00 -1 0 7.0982 0.9891 0.000103
1150.00 C 20260731 -1.00 -1.00 1 0 7.0800 0.9882 0.000110
1155.00 C 20260731 -1.00 -1.00 3 0 6.9429 0.9889 0.000107
1160.00 C 20260731 -1.00 -1.00 -1 0 6.9251 0.9880 0.000114
1165.00 C 20260731 -1.00 -1.00 -1 0 5.9785 0.9947 0.000064
1170.00 C 20260731 -1.00 -1.00 5 5 6.7124 0.9885 0.000114
1175.00 C 20260731 -1.00 -1.00 -1 0 6.6363 0.9884 0.000116
1180.00 C 20260731 -1.00 -1.00 1 0 6.0516 0.9925 0.000086
1185.00 C 20260731 -1.00 -1.00 -1 0 6.4849 0.9881 0.000121
1190.00 C 20260731 -1.00 -1.00 -1 0 6.4097 0.9880 0.000123
1195.00 C 20260731 -1.00 -1.00 10 0 6.3349 0.9879 0.000126
1200.00 C 20260731 -1.00 -1.00 -1 0 6.2603 0.9878 0.000128
1205.00 C 20260731 -1.00 -1.00 1 0 6.3897 0.9848 0.000151
1210.00 C 20260731 -1.00 -1.00 1 0 6.1122 0.9875 0.000134
1215.00 C 20260731 -1.00 -1.00 -1 0 5.9517 0.9887 0.000127
1220.00 C 20260731 -1.00 -1.00 1 0 5.9363 0.9876 0.000136
1225.00 C 20260731 -1.00 -1.00 1 0 5.8057 0.9884 0.000132
1230.00 C 20260731 -1.00 -1.00 -1 0 5.8195 0.9869 0.000146
1235.00 C 20260731 -1.00 -1.00 1 0 5.4627 0.9905 0.000118
1240.00 C 20260731 -1.00 -1.00 1 0 5.6750 0.9866 0.000153
1245.00 C 20260731 -1.00 -1.00 -1 0 5.6032 0.9865 0.000156
1250.00 C 20260731 -1.00 -1.00 -1 0 5.5316 0.9863 0.000160
1255.00 C 20260731 -1.00 -1.00 1 0 5.5458 0.9847 0.000175
1260.00 C 20260731 -1.00 -1.00 1 0 5.3894 0.9860 0.000167
1265.00 C 20260731 -1.00 -1.00 1 0 5.3188 0.9858 0.000171
1270.00 C 20260731 -1.00 -1.00 -1 0 5.2484 0.9856 0.000175
1275.00 C 20260731 -1.00 -1.00 -1 0 5.1783 0.9854 0.000180
1280.00 C 20260731 -1.00 -1.00 -1 0 5.1084 0.9853 0.000184
1285.00 C 20260731 -1.00 -1.00 1 0 5.0389 0.9851 0.000189
1290.00 C 20260731 -1.00 -1.00 -1 0 4.9696 0.9849 0.000193
1295.00 C 20260731 -1.00 -1.00 -1 0 4.9006 0.9847 0.000198
1300.00 C 20260731 -1.00 -1.00 -1 0 4.8598 0.9840 0.000208
1305.00 C 20260731 -1.00 -1.00 1 1 4.5679 0.9882 0.000171
1310.00 C 20260731 -1.00 -1.00 -1 0 4.6951 0.9841 0.000214
1315.00 C 20260731 -1.00 -1.00 -1 0 4.6272 0.9839 0.000220
1320.00 C 20260731 -1.00 -1.00 -1 0 4.5595 0.9836 0.000225
1325.00 C 20260731 -1.00 -1.00 -1 0 4.4921 0.9834 0.000231
1330.00 C 20260731 -1.00 -1.00 -1 0 4.4249 0.9832 0.000238
1335.00 C 20260731 -1.00 -1.00 -1 0 4.3580 0.9829 0.000244
1340.00 C 20260731 -1.00 -1.00 -1 0 4.2913 0.9827 0.000251
1345.00 C 20260731 -1.00 -1.00 -1 0 4.2249 0.9824 0.000258
1350.00 C 20260731 -1.00 -1.00 -1 0 3.9667 0.9866 0.000219
1355.00 C 20260731 -1.00 -1.00 -1 0 4.0928 0.9819 0.000274
1360.00 C 20260731 -1.00 -1.00 -1 0 4.0818 0.9804 0.000294
