# opt_chain IWM | epoch 1785526289 | 2026-07-31 15:31:29 | spot 292.59 | exps 20260731 20260803 20260804 20260805 20260806 20260807 20260810 20260811 20260812 20260813 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 84688 | band 0.1800 vencimientos 12 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
260.00 C 20260731 -1.00 -1.00 2 23 -1.0000 -1.0000 -1.000000
261.00 C 20260731 -1.00 -1.00 9 27 -1.0000 -1.0000 -1.000000
262.00 C 20260731 -1.00 -1.00 9 16 -1.0000 -1.0000 -1.000000
263.00 C 20260731 -1.00 -1.00 11 16 -1.0000 -1.0000 -1.000000
264.00 C 20260731 -1.00 -1.00 13 16 -1.0000 -1.0000 -1.000000
265.00 C 20260731 -1.00 -1.00 27 19 -1.0000 -1.0000 -1.000000
266.00 C 20260731 -1.00 -1.00 26 13 -1.0000 -1.0000 -1.000000
267.00 C 20260731 -1.00 -1.00 10 20 -1.0000 -1.0000 -1.000000
268.00 C 20260731 -1.00 -1.00 5 14 -1.0000 -1.0000 -1.000000
269.00 C 20260731 -1.00 -1.00 27 9 -1.0000 -1.0000 -1.000000
270.00 C 20260731 -1.00 -1.00 46 48 -1.0000 -1.0000 -1.000000
271.00 C 20260731 -1.00 -1.00 26 8 -1.0000 -1.0000 -1.000000
272.00 C 20260731 -1.00 -1.00 21 11 -1.0000 -1.0000 -1.000000
272.50 C 20260731 -1.00 -1.00 9 3 -1.0000 -1.0000 -1.000000
273.00 C 20260731 -1.00 -1.00 13 10 -1.0000 -1.0000 -1.000000
274.00 C 20260731 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
275.00 C 20260731 -1.00 -1.00 9 14 -1.0000 -1.0000 -1.000000
276.00 C 20260731 -1.00 -1.00 1 18 -1.0000 -1.0000 -1.000000
277.00 C 20260731 -1.00 -1.00 14 39 -1.0000 -1.0000 -1.000000
277.50 C 20260731 -1.00 -1.00 3 3 -1.0000 -1.0000 -1.000000
278.00 C 20260731 -1.00 -1.00 2 14 -1.0000 -1.0000 -1.000000
279.00 C 20260731 -1.00 -1.00 4 117 -1.0000 -1.0000 -1.000000
280.00 C 20260731 -1.00 -1.00 62 255 -1.0000 -1.0000 -1.000000
281.00 C 20260731 -1.00 -1.00 1 102 -1.0000 -1.0000 -1.000000
282.00 C 20260731 -1.00 -1.00 19 51 -1.0000 -1.0000 -1.000000
282.50 C 20260731 -1.00 -1.00 7 8 -1.0000 -1.0000 -1.000000
283.00 C 20260731 -1.00 -1.00 15 103 -1.0000 -1.0000 -1.000000
284.00 C 20260731 -1.00 -1.00 57 250 -1.0000 -1.0000 -1.000000
285.00 C 20260731 -1.00 -1.00 216 408 -1.0000 -1.0000 -1.000000
286.00 C 20260731 -1.00 -1.00 222 271 -1.0000 -1.0000 -1.000000
287.00 C 20260731 -1.00 -1.00 341 167 -1.0000 -1.0000 -1.000000
287.50 C 20260731 -1.00 -1.00 1028 207 -1.0000 -1.0000 -1.000000
288.00 C 20260731 -1.00 -1.00 3651 400 -1.0000 -1.0000 -1.000000
289.00 C 20260731 -1.00 -1.00 15534 1003 -1.0000 -1.0000 -1.000000
290.00 C 20260731 -1.00 -1.00 49649 1718 -1.0000 -1.0000 -1.000000
291.00 C 20260731 -1.00 -1.00 85419 3727 0.1155 0.7603 0.415075
292.00 C 20260731 -1.00 -1.00 87688 2819 0.1169 0.2721 0.434619
292.50 C 20260731 -1.00 -1.00 23023 1175 0.1219 0.1138 0.241817
