# opt_chain LRCX | epoch 1785524373 | 2026-07-31 14:59:33 | spot 301.57 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 93 | band 0.6000 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
185.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
190.00 C 20260731 -1.00 -1.00 2 0 -1.0000 -1.0000 -1.000000
195.00 C 20260731 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
197.50 C 20260731 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
200.00 C 20260731 -1.00 -1.00 2 6 -1.0000 -1.0000 -1.000000
202.50 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
205.00 C 20260731 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
207.50 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
210.00 C 20260731 -1.00 -1.00 1 6 -1.0000 -1.0000 -1.000000
212.50 C 20260731 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
215.00 C 20260731 -1.00 -1.00 1 5 4.9788 0.9985 0.000131
217.50 C 20260731 -1.00 -1.00 1 3 -1.0000 -1.0000 -1.000000
220.00 C 20260731 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
222.50 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
225.00 C 20260731 -1.00 -1.00 2 3 -1.0000 -1.0000 -1.000000
227.50 C 20260731 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
230.00 C 20260731 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
232.50 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
235.00 C 20260731 -1.00 -1.00 1 16 -1.0000 -1.0000 -1.000000
237.50 C 20260731 -1.00 -1.00 11 11 -1.0000 -1.0000 -1.000000
240.00 C 20260731 -1.00 -1.00 14 22 -1.0000 -1.0000 -1.000000
242.50 C 20260731 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
245.00 C 20260731 -1.00 -1.00 1 5 -1.0000 -1.0000 -1.000000
247.50 C 20260731 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
250.00 C 20260731 -1.00 -1.00 1 61 -1.0000 -1.0000 -1.000000
252.50 C 20260731 -1.00 -1.00 12 28 -1.0000 -1.0000 -1.000000
255.00 C 20260731 -1.00 -1.00 3 42 -1.0000 -1.0000 -1.000000
257.50 C 20260731 -1.00 -1.00 23 33 -1.0000 -1.0000 -1.000000
260.00 C 20260731 -1.00 -1.00 7 474 -1.0000 -1.0000 -1.000000
262.50 C 20260731 -1.00 -1.00 9 42 -1.0000 -1.0000 -1.000000
265.00 C 20260731 -1.00 -1.00 1852 1918 -1.0000 -1.0000 -1.000000
267.50 C 20260731 -1.00 -1.00 1856 1886 -1.0000 -1.0000 -1.000000
270.00 C 20260731 -1.00 -1.00 97 225 -1.0000 -1.0000 -1.000000
272.50 C 20260731 -1.00 -1.00 11 62 -1.0000 -1.0000 -1.000000
275.00 C 20260731 -1.00 -1.00 68 445 -1.0000 -1.0000 -1.000000
277.50 C 20260731 -1.00 -1.00 27 95 -1.0000 -1.0000 -1.000000
280.00 C 20260731 -1.00 -1.00 63 1171 1.4871 0.9838 0.003756
282.50 C 20260731 -1.00 -1.00 28 358 -1.0000 -1.0000 -1.000000
285.00 C 20260731 -1.00 -1.00 60 171 1.5527 0.9413 0.010566
287.50 C 20260731 -1.00 -1.00 54 152 -1.0000 -1.0000 -1.000000
290.00 C 20260731 -1.00 -1.00 194 543 1.3088 0.8993 0.018771
292.50 C 20260731 -1.00 -1.00 13 113 -1.0000 -1.0000 -1.000000
295.00 C 20260731 -1.00 -1.00 45 122 0.6083 0.9405 0.027257
297.50 C 20260731 -1.00 -1.00 25 69 0.6681 0.8099 0.056798
300.00 C 20260731 -1.00 -1.00 1159 2359 0.5784 0.6588 0.089735
302.50 C 20260731 -1.00 -1.00 104 145 0.5526 0.4194 0.098878
305.00 C 20260731 -1.00 -1.00 154 387 0.5462 0.2011 0.072020
307.50 C 20260731 -1.00 -1.00 106 128 0.5645 0.0760 0.035510
310.00 C 20260731 -1.00 -1.00 308 448 0.6850 0.0479 0.020180
312.50 C 20260731 -1.00 -1.00 267 234 0.8135 0.0325 0.012542
315.00 C 20260731 -1.00 -1.00 486 230 0.8905 0.0207 0.007720
