# opt_chain META | epoch 1785524350 | 2026-07-31 14:59:10 | spot 550.63 | exps 20260731 20260803 20260805 20260807 20260810 20260812 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 68 | band 0.6000 vencimientos 8 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
340.00 C 20260731 -1.00 -1.00 8 29 8.7969 0.9924 0.000180
350.00 C 20260731 -1.00 -1.00 1 29 7.6731 0.9953 0.000135
360.00 C 20260731 -1.00 -1.00 42 27 8.2689 0.9886 0.000274
370.00 C 20260731 -1.00 -1.00 28 27 6.6895 0.9953 0.000153
380.00 C 20260731 -1.00 -1.00 4 26 7.1188 0.9894 0.000301
390.00 C 20260731 -1.00 -1.00 4 16 6.8325 0.9864 0.000385
400.00 C 20260731 -1.00 -1.00 24 34 6.4223 0.9850 0.000448
405.00 C 20260731 -1.00 -1.00 29 28 6.2428 0.9838 0.000489
410.00 C 20260731 -1.00 -1.00 29 16 -1.0000 -1.0000 -1.000000
415.00 C 20260731 -1.00 -1.00 63 19 5.7616 0.9833 0.000544
420.00 C 20260731 -1.00 -1.00 46 18 5.7175 0.9801 0.000640
425.00 C 20260731 -1.00 -1.00 21 19 5.3769 0.9814 0.000642
430.00 C 20260731 -1.00 -1.00 61 16 4.5245 0.9911 0.000406
435.00 C 20260731 -1.00 -1.00 95 15 4.4396 0.9898 0.000470
440.00 C 20260731 -1.00 -1.00 58 92 5.3028 0.9671 0.001055
445.00 C 20260731 -1.00 -1.00 11 30 4.4686 0.9798 0.000829
450.00 C 20260731 -1.00 -1.00 132 34 3.3259 0.9956 0.000292
455.00 C 20260731 -1.00 -1.00 117 20 4.3662 0.9714 0.001151
460.00 C 20260731 -1.00 -1.00 2 21 4.1424 0.9701 0.001256
465.00 C 20260731 -1.00 -1.00 6 22 3.6412 0.9768 0.001152
470.00 C 20260731 -1.00 -1.00 20 23 3.6617 0.9689 0.001467
475.00 C 20260731 -1.00 -1.00 14 31 2.9004 0.9851 0.000985
480.00 C 20260731 -1.00 -1.00 20 36 -1.0000 -1.0000 -1.000000
485.00 C 20260731 -1.00 -1.00 68 27 -1.0000 -1.0000 -1.000000
487.50 C 20260731 -1.00 -1.00 87 0 -1.0000 -1.0000 -1.000000
490.00 C 20260731 -1.00 -1.00 31 42 -1.0000 -1.0000 -1.000000
492.50 C 20260731 -1.00 -1.00 24 2 -1.0000 -1.0000 -1.000000
495.00 C 20260731 -1.00 -1.00 22 34 2.5235 0.9630 0.002437
497.50 C 20260731 -1.00 -1.00 10 0 2.3032 0.9701 0.002269
500.00 C 20260731 -1.00 -1.00 62 84 2.1106 0.9737 0.002215
502.50 C 20260731 -1.00 -1.00 1 0 1.8663 0.9801 0.001956
505.00 C 20260731 -1.00 -1.00 10 76 1.9341 0.9715 0.002603
507.50 C 20260731 -1.00 -1.00 10 6 2.4233 0.9224 0.004585
510.00 C 20260731 -1.00 -1.00 12 81 1.6047 0.9772 0.002569
512.50 C 20260731 -1.00 -1.00 6 31 1.5184 0.9760 0.002840
515.00 C 20260731 -1.00 -1.00 14 40 1.1389 0.9928 0.001315
517.50 C 20260731 -1.00 -1.00 3 73 1.2702 0.9787 0.003050
520.00 C 20260731 -1.00 -1.00 62 222 1.2619 0.9714 0.003988
522.50 C 20260731 -1.00 -1.00 15 256 1.0244 0.9828 0.003139
525.00 C 20260731 -1.00 -1.00 67 431 1.1707 0.9528 0.006403
527.50 C 20260731 -1.00 -1.00 74 229 1.2425 0.9226 0.008937
530.00 C 20260731 -1.00 -1.00 477 1457 1.1296 0.9163 0.010401
532.50 C 20260731 -1.00 -1.00 313 2578 0.8068 0.9533 0.009205
535.00 C 20260731 -1.00 -1.00 901 1636 0.7119 0.9478 0.011436
537.50 C 20260731 -1.00 -1.00 407 725 0.6362 0.9361 0.015188
540.00 C 20260731 -1.00 -1.00 2114 4816 0.5045 0.9364 0.019072
542.50 C 20260731 -1.00 -1.00 2164 381 0.3734 0.9370 0.025538
545.00 C 20260731 -1.00 -1.00 5260 1124 0.3636 0.8475 0.049732
547.50 C 20260731 -1.00 -1.00 7774 268 0.3146 0.7154 0.082589
550.00 C 20260731 -1.00 -1.00 25271 4122 0.3272 0.4868 0.094411
552.50 C 20260731 -1.00 -1.00 20246 1056 0.3391 0.2773 0.075702
555.00 C 20260731 -1.00 -1.00 29070 3749 0.3611 0.1371 0.047076
557.50 C 20260731 -1.00 -1.00 12610 1144 0.3791 0.0620 0.024759
560.00 C 20260731 -1.00 -1.00 16658 2606 0.4215 0.0320 0.013130
562.50 C 20260731 -1.00 -1.00 3884 796 0.4572 0.0179 0.007288
565.00 C 20260731 -1.00 -1.00 7492 1360 0.5347 0.0156 0.005556
567.50 C 20260731 -1.00 -1.00 5730 1174 0.5890 0.0111 0.003789
570.00 C 20260731 -1.00 -1.00 6862 2498 0.6395 0.0087 0.002778
572.50 C 20260731 -1.00 -1.00 1595 1804 0.6897 0.0066 0.002013
575.00 C 20260731 -1.00 -1.00 4137 4164 0.7736 0.0073 0.001961
577.50 C 20260731 -1.00 -1.00 436 547 0.8233 0.0056 0.001468
580.00 C 20260731 -1.00 -1.00 1990 2054 0.8714 0.0041 0.001072
582.50 C 20260731 -1.00 -1.00 215 151 0.9557 0.0049 0.001130
585.00 C 20260731 -1.00 -1.00 1158 1210 1.0215 0.0046 0.001007
587.50 C 20260731 -1.00 -1.00 81 473 1.3320 0.0185 0.002571
590.00 C 20260731 -1.00 -1.00 403 2311 1.1507 0.0042 0.000820
592.50 C 20260731 -1.00 -1.00 57 1195 1.2840 0.0071 0.001150
595.00 C 20260731 -1.00 -1.00 350 1619 1.2657 0.0038 0.000683
597.50 C 20260731 -1.00 -1.00 77 287 1.2770 0.0029 0.000519
