# opt_chain QCOM | epoch 1785501929 | 2026-07-31 08:45:29 | spot 153.48 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 89 | band 0.6000 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
105.00 C 20260731 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
110.00 C 20260731 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
115.00 C 20260731 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
120.00 C 20260731 -1.00 -1.00 1 63 -1.0000 -1.0000 -1.000000
125.00 C 20260731 -1.00 -1.00 1 81 -1.0000 -1.0000 -1.000000
126.00 C 20260731 -1.00 -1.00 12 2 -1.0000 -1.0000 -1.000000
127.00 C 20260731 -1.00 -1.00 8 2 -1.0000 -1.0000 -1.000000
128.00 C 20260731 -1.00 -1.00 3 9 -1.0000 -1.0000 -1.000000
129.00 C 20260731 -1.00 -1.00 3 9 -1.0000 -1.0000 -1.000000
130.00 C 20260731 -1.00 -1.00 19 24 -1.0000 -1.0000 -1.000000
131.00 C 20260731 -1.00 -1.00 12 4 -1.0000 -1.0000 -1.000000
132.00 C 20260731 -1.00 -1.00 10 4 -1.0000 -1.0000 -1.000000
133.00 C 20260731 -1.00 -1.00 101 27 -1.0000 -1.0000 -1.000000
134.00 C 20260731 -1.00 -1.00 106 25 -1.0000 -1.0000 -1.000000
135.00 C 20260731 -1.00 -1.00 4 15 -1.0000 -1.0000 -1.000000
136.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
137.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
138.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
139.00 C 20260731 -1.00 -1.00 2 32 -1.0000 -1.0000 -1.000000
140.00 C 20260731 -1.00 -1.00 14 143 -1.0000 -1.0000 -1.000000
141.00 C 20260731 -1.00 -1.00 6 2 -1.0000 -1.0000 -1.000000
142.00 C 20260731 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
143.00 C 20260731 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
144.00 C 20260731 -1.00 -1.00 1 21 -1.0000 -1.0000 -1.000000
145.00 C 20260731 -1.00 -1.00 85 228 -1.0000 -1.0000 -1.000000
146.00 C 20260731 -1.00 -1.00 7 16 -1.0000 -1.0000 -1.000000
147.00 C 20260731 -1.00 -1.00 27 109 -1.0000 -1.0000 -1.000000
148.00 C 20260731 -1.00 -1.00 2591 2367 -1.0000 -1.0000 -1.000000
149.00 C 20260731 -1.00 -1.00 96 68 -1.0000 -1.0000 -1.000000
150.00 C 20260731 -1.00 -1.00 852 293 -1.0000 -1.0000 -1.000000
152.50 C 20260731 -1.00 -1.00 1722 908 0.6712 0.6283 0.104044
155.00 C 20260731 -1.00 -1.00 4648 1897 0.8262 0.3888 0.085509
157.50 C 20260731 -1.00 -1.00 1384 571 0.9292 0.2307 0.060787
160.00 C 20260731 -1.00 -1.00 4000 1741 1.0001 0.1301 0.039106
162.50 C 20260731 -1.00 -1.00 1251 698 1.0731 0.0713 0.023467
165.00 C 20260731 -1.00 -1.00 4466 2003 1.1242 0.0381 0.013434
167.50 C 20260731 -1.00 -1.00 471 360 1.2129 0.0237 0.008355
170.00 C 20260731 -1.00 -1.00 1845 1338 1.2760 0.0123 0.004578
172.50 C 20260731 -1.00 -1.00 835 620 1.3461 0.0080 0.002929
175.00 C 20260731 -1.00 -1.00 2308 1711 1.4540 0.0057 0.002028
177.50 C 20260731 -1.00 -1.00 2790 2720 1.6376 0.0067 0.002058
180.00 C 20260731 -1.00 -1.00 978 2623 1.7420 0.0049 0.001483
182.50 C 20260731 -1.00 -1.00 2123 2302 1.8830 0.0046 0.001299
185.00 C 20260731 -1.00 -1.00 484 2057 2.0121 0.0043 0.001152
187.50 C 20260731 -1.00 -1.00 138 953 2.1329 0.0041 0.001031
190.00 C 20260731 -1.00 -1.00 758 6112 2.2522 0.0039 0.000929
192.50 C 20260731 -1.00 -1.00 109 2172 3.4540 0.0356 0.004180
195.00 C 20260731 -1.00 -1.00 256 2778 2.6709 0.0063 0.001193
197.50 C 20260731 -1.00 -1.00 179 2511 3.9440 0.0416 0.004111
200.00 C 20260731 -1.00 -1.00 473 5972 3.4399 0.0171 0.002235
202.50 C 20260731 -1.00 -1.00 28 315 3.9865 0.0297 0.003082
205.00 C 20260731 -1.00 -1.00 92 1697 3.2156 0.0061 0.000973
207.50 C 20260731 -1.00 -1.00 27 191 3.7322 0.0129 0.001619
210.00 C 20260731 -1.00 -1.00 127 1182 3.1538 0.0028 0.000495
212.50 C 20260731 -1.00 -1.00 2 3021 3.9695 0.0122 0.001444
