# opt_chain SKHY | epoch 1785501938 | 2026-07-31 08:45:38 | spot 156.67 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 98 | band 0.6000 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
95.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
98.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
99.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
100.00 C 20260731 -1.00 -1.00 14 53 -1.0000 -1.0000 -1.000000
101.00 C 20260731 -1.00 -1.00 66 16 -1.0000 -1.0000 -1.000000
102.00 C 20260731 -1.00 -1.00 54 16 -1.0000 -1.0000 -1.000000
103.00 C 20260731 -1.00 -1.00 16 6 -1.0000 -1.0000 -1.000000
104.00 C 20260731 -1.00 -1.00 16 6 -1.0000 -1.0000 -1.000000
105.00 C 20260731 -1.00 -1.00 2 5 -1.0000 -1.0000 -1.000000
106.00 C 20260731 -1.00 -1.00 12 4 -1.0000 -1.0000 -1.000000
107.00 C 20260731 -1.00 -1.00 22 7 -1.0000 -1.0000 -1.000000
108.00 C 20260731 -1.00 -1.00 12 5 -1.0000 -1.0000 -1.000000
109.00 C 20260731 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
110.00 C 20260731 -1.00 -1.00 8 21 -1.0000 -1.0000 -1.000000
111.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
112.00 C 20260731 -1.00 -1.00 86 21 -1.0000 -1.0000 -1.000000
113.00 C 20260731 -1.00 -1.00 4 1 -1.0000 -1.0000 -1.000000
114.00 C 20260731 -1.00 -1.00 10 6 -1.0000 -1.0000 -1.000000
115.00 C 20260731 -1.00 -1.00 7 15 -1.0000 -1.0000 -1.000000
116.00 C 20260731 -1.00 -1.00 10 2 -1.0000 -1.0000 -1.000000
117.00 C 20260731 -1.00 -1.00 10 4 -1.0000 -1.0000 -1.000000
118.00 C 20260731 -1.00 -1.00 7 4 -1.0000 -1.0000 -1.000000
119.00 C 20260731 -1.00 -1.00 39 56 -1.0000 -1.0000 -1.000000
120.00 C 20260731 -1.00 -1.00 140 102 -1.0000 -1.0000 -1.000000
121.00 C 20260731 -1.00 -1.00 14 8 -1.0000 -1.0000 -1.000000
