# opt_chain SMH | epoch 1785526224 | 2026-07-31 15:30:24 | spot 545.07 | exps 20260731 20260803 20260805 20260807 20260810 20260812 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 82 | band 0.4050 vencimientos 8 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
400.00 C 20260731 -1.00 -1.00 1 8 -1.0000 -1.0000 -1.000000
405.00 C 20260731 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
410.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
415.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
420.00 C 20260731 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
422.50 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
425.00 C 20260731 -1.00 -1.00 1 6 -1.0000 -1.0000 -1.000000
427.50 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
430.00 C 20260731 -1.00 -1.00 1 7 -1.0000 -1.0000 -1.000000
432.50 C 20260731 -1.00 -1.00 19 19 -1.0000 -1.0000 -1.000000
435.00 C 20260731 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
437.50 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
440.00 C 20260731 -1.00 -1.00 2 4 -1.0000 -1.0000 -1.000000
442.50 C 20260731 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
445.00 C 20260731 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
447.50 C 20260731 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
450.00 C 20260731 -1.00 -1.00 1 32 -1.0000 -1.0000 -1.000000
452.50 C 20260731 -1.00 -1.00 -1 0 2.6548 0.9992 0.000078
455.00 C 20260731 -1.00 -1.00 2 4 -1.0000 -1.0000 -1.000000
457.50 C 20260731 -1.00 -1.00 10 10 -1.0000 -1.0000 -1.000000
460.00 C 20260731 -1.00 -1.00 1 118 -1.0000 -1.0000 -1.000000
462.50 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
465.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
467.50 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
470.00 C 20260731 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
472.50 C 20260731 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
475.00 C 20260731 -1.00 -1.00 10 10 2.0008 0.9991 0.000128
477.50 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
480.00 C 20260731 -1.00 -1.00 26 29 1.8598 0.9990 0.000145
482.50 C 20260731 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
485.00 C 20260731 -1.00 -1.00 9 20 -1.0000 -1.0000 -1.000000
487.50 C 20260731 -1.00 -1.00 2 0 -1.0000 -1.0000 -1.000000
490.00 C 20260731 -1.00 -1.00 1 117 -1.0000 -1.0000 -1.000000
492.50 C 20260731 -1.00 -1.00 2 151 -1.0000 -1.0000 -1.000000
495.00 C 20260731 -1.00 -1.00 4 14 -1.0000 -1.0000 -1.000000
497.50 C 20260731 -1.00 -1.00 3 78 -1.0000 -1.0000 -1.000000
500.00 C 20260731 -1.00 -1.00 51 289 -1.0000 -1.0000 -1.000000
502.50 C 20260731 -1.00 -1.00 21 63 -1.0000 -1.0000 -1.000000
505.00 C 20260731 -1.00 -1.00 1 48 -1.0000 -1.0000 -1.000000
507.50 C 20260731 -1.00 -1.00 24 27 -1.0000 -1.0000 -1.000000
510.00 C 20260731 -1.00 -1.00 18 246 -1.0000 -1.0000 -1.000000
512.50 C 20260731 -1.00 -1.00 5 108 -1.0000 -1.0000 -1.000000
515.00 C 20260731 -1.00 -1.00 1 130 -1.0000 -1.0000 -1.000000
517.50 C 20260731 -1.00 -1.00 7 65 -1.0000 -1.0000 -1.000000
520.00 C 20260731 -1.00 -1.00 24 4211 -1.0000 -1.0000 -1.000000
522.50 C 20260731 -1.00 -1.00 5 605 -1.0000 -1.0000 -1.000000
525.00 C 20260731 -1.00 -1.00 134 1241 -1.0000 -1.0000 -1.000000
527.50 C 20260731 -1.00 -1.00 17 440 -1.0000 -1.0000 -1.000000
530.00 C 20260731 -1.00 -1.00 76 835 -1.0000 -1.0000 -1.000000
532.50 C 20260731 -1.00 -1.00 15 1748 -1.0000 -1.0000 -1.000000
535.00 C 20260731 -1.00 -1.00 142 641 -1.0000 -1.0000 -1.000000
537.50 C 20260731 -1.00 -1.00 50 365 0.2897 0.9621 0.023167
540.00 C 20260731 -1.00 -1.00 724 1563 0.4336 0.7615 0.059061
542.50 C 20260731 -1.00 -1.00 176 951 0.3620 0.6099 0.087102
545.00 C 20260731 -1.00 -1.00 1929 1900 0.3246 0.3748 0.096554
547.50 C 20260731 -1.00 -1.00 718 320 0.3327 0.1800 0.064421
550.00 C 20260731 -1.00 -1.00 3335 4721 0.3568 0.0754 0.032731
552.50 C 20260731 -1.00 -1.00 714 1419 0.3931 0.0337 0.015616
555.00 C 20260731 -1.00 -1.00 1212 1535 0.4425 0.0195 0.008670
557.50 C 20260731 -1.00 -1.00 1424 277 0.5333 0.0184 0.006829
560.00 C 20260731 -1.00 -1.00 1298 5616 0.5527 0.0086 0.003399
562.50 C 20260731 -1.00 -1.00 62 156 0.6614 0.0106 0.003451
565.00 C 20260731 -1.00 -1.00 422 1881 0.7333 0.0096 0.002847
567.50 C 20260731 -1.00 -1.00 72 131 0.8049 0.0088 0.002396
570.00 C 20260731 -1.00 -1.00 366 5202 0.8580 0.0070 0.001832
572.50 C 20260731 -1.00 -1.00 279 297 1.0696 0.0157 0.002980
575.00 C 20260731 -1.00 -1.00 377 2457 1.1077 0.0116 0.002234
577.50 C 20260731 -1.00 -1.00 235 193 1.1778 0.0109 0.001991
580.00 C 20260731 -1.00 -1.00 895 24063 1.1580 0.0063 0.001237
582.50 C 20260731 -1.00 -1.00 33 158 1.3351 0.0106 0.001700
585.00 C 20260731 -1.00 -1.00 506 581 1.2971 0.0057 0.001011
587.50 C 20260731 -1.00 -1.00 45 200 1.3841 0.0062 0.001017
590.00 C 20260731 -1.00 -1.00 101 961 1.3788 0.0038 0.000658
592.50 C 20260731 -1.00 -1.00 79 156 1.5213 0.0057 0.000860
595.00 C 20260731 -1.00 -1.00 147 807 1.5489 0.0042 0.000646
597.50 C 20260731 -1.00 -1.00 254 386 1.5605 0.0033 0.000520
600.00 C 20260731 -1.00 -1.00 641 3508 1.6206 0.0032 0.000485
602.50 C 20260731 -1.00 -1.00 14 182 1.7288 0.0038 0.000524
605.00 C 20260731 -1.00 -1.00 57 2410 1.7400 0.0030 0.000424
607.50 C 20260731 -1.00 -1.00 106 412 1.8957 0.0041 0.000519
610.00 C 20260731 -1.00 -1.00 36 830 1.8584 0.0028 0.000374
612.50 C 20260731 -1.00 -1.00 73 318 1.9172 0.0028 0.000353
615.00 C 20260731 -1.00 -1.00 298 465 1.9758 0.0027 0.000334
617.50 C 20260731 -1.00 -1.00 6 114 2.2256 0.0051 0.000536
